# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664569.62093284 699.11925739
0.00200000 1664326.18290659 823.84148663
0.00300000 1663920.65738658 998.35243000
0.00400000 1663352.91130388 2245.52651559
0.00500000 1662623.45469868 1945.26951899
0.00600000 1661732.17344955 1744.81885316
0.00700000 1660679.64540719 2192.09722304
0.00800000 1659465.70559254 2912.36243627
0.00900000 1658091.53033927 2487.13740183
0.01000000 1656556.54878628 3279.98210822
0.01100000 1654861.99411018 3276.62689100
0.01200000 1653007.77226456 4835.04794586
0.01300000 1650995.08804367 5547.34374049
0.01400000 1648823.92362457 4451.82479114
0.01500000 1646495.71782695 4741.90787849
0.01600000 1644009.82747431 5030.67029696
0.01700000 1641368.51116834 7533.88180422
0.01800000 1638571.73728896 5603.91559369
0.01900000 1635620.10173746 5397.54657928
0.02000000 1632514.79786699 6170.90621508
0.02100000 1629257.90327148 6989.51672193
0.02200000 1625847.81874591 6731.01027541
0.02300000 1622287.99661186 6424.26075900
0.02400000 1618577.56409716 7890.56598476
0.02500000 1614719.40465805 6297.40596577
0.02600000 1610713.33271459 7175.72822545
0.02700000 1606561.58687898 7422.31487133
0.02800000 1602263.90963874 9757.78765719
0.02900000 1597822.82069377 7190.20302325
0.03000000 1593239.64153816 11112.84701053
0.03100000 1588514.68721199 9912.33210430
0.03200000 1583649.57485030 8622.97233222
0.03300000 1578647.91774872 8051.10475168
0.03400000 1573507.72758422 12391.37392647
0.03500000 1568232.55032970 9315.30177912
0.03600000 1562823.23085284 9541.03626528
0.03700000 1557281.87480514 13314.76064536
0.03800000 1551609.80322127 13615.37665338
0.03900000 1545809.16766505 11129.82652261
0.04000000 1539879.78739550 10417.28724446
0.04100000 1533825.54466634 11595.72165533
0.04200000 1527647.27652809 11823.99046888
0.04300000 1521345.95882146 11044.97217373
0.04400000 1514925.06727563 13293.46808272
0.04500000 1508385.79707728 14571.00747681
0.04600000 1501728.36876961 10587.18549199
0.04700000 1494956.89958496 11840.05919537
0.04800000 1488071.87132410 12031.06163944
0.04900000 1481076.75718974 12218.88381557
0.05000000 1473971.31137843 19168.99779710
0.05100000 1466760.19656624 17161.09509926
0.05200000 1459441.56181265 13923.07314853
0.05300000 1452021.44803066 17642.06141601
0.05400000 1444499.73023340 11917.12333017
0.05500000 1436879.05571800 18104.67694662
0.05600000 1429160.40197882 15885.11860926
0.05700000 1421348.88746841 13602.30948801
0.05800000 1413443.30023205 13759.87117024
0.05900000 1405446.48562364 12649.01896140
0.06000000 1397361.89035089 12785.86189405
0.06100000 1389191.18506789 15503.37434985
0.06200000 1380936.28397686 13049.84849358
0.06300000 1372600.32154564 18447.74918410
0.06400000 1364182.20659963 13300.77713638
0.06500000 1355687.89605439 13421.31079876
0.06600000 1347118.29227466 14892.39341789
0.06700000 1338475.10838302 21843.91479108
0.06800000 1329761.31674632 16515.63632707
0.06900000 1320979.78814774 18031.37495243
0.07000000 1312130.66182159 18166.44986363
0.07100000 1303217.53389211 16889.70003032
0.07200000 1294242.75005740 15589.15465474
0.07300000 1285208.62650342 15692.39806488
0.07400000 1276117.99521206 15791.96093083
0.07500000 1266971.84673608 17332.17567575
0.07600000 1257771.61501709 18885.44168484
0.07700000 1248522.67647819 16068.48759970
0.07800000 1239224.93053434 17621.77933859
0.07900000 1229880.64441699 16234.42526776
0.08000000 1220493.97361000 16311.90272251
0.08100000 1211065.69416897 16385.71961089
0.08200000 1201597.56131706 16455.87937443
0.08300000 1192093.04506712 21028.52230189
0.08400000 1182553.87913276 18093.07520000
0.08500000 1172982.30398848 18157.76691816
0.08600000 1163380.17772182 21254.95684493
0.08700000 1153751.31270562 18275.42165143
0.08800000 1144095.23812242 21383.14100474
0.08900000 1134417.38256665 22971.95307596
0.09000000 1124717.34077490 19958.11014959
0.09100000 1114997.93862202 20003.06395865
0.09200000 1105260.94381675 33920.45995955
0.09300000 1095511.94407399 20080.73487851
0.09400000 1085747.12904618 17019.08704765
0.09500000 1075972.22898008 17043.40090813
0.09600000 1066188.52486766 18615.65251927
0.09700000 1056400.55616773 24846.54224917
0.09800000 1046607.80906697 18650.55203448
0.09900000 1036813.43710549 17107.42251667
0.10000000 1027017.70374542 15559.31894345
0.10100000 1017223.61578966 17119.87425892
0.10200000 1007433.76747867 17121.33768362
0.10300000 997649.10357539 18675.99209746
0.10400000 987873.27465212 15559.00480775
0.10500000 978108.41346939 17107.11695646
0.10600001 968351.79521964 23313.07056688
0.10700001 958611.15638464 17082.45161063
0.10800001 948884.88176481 24822.82967517
0.10900001 939176.80373461 20145.34338826
0.11000001 929486.98611894 18571.15085679
0.11100001 919818.00727720 21634.12054955
0.11200001 910171.84309856 18512.89616016
0.11300001 900549.48354633 18479.27627239
0.11400001 890953.66003405 24590.32217476
0.11500001 881386.03046717 23004.17647841
0.11600001 871847.45203309 26011.56995633
0.11700001 862340.68948410 21368.80329178
0.11800001 852864.90634253 18268.36715427
0.11900001 843423.21903752 18217.94238931
0.12000001 834016.72624281 19678.62558266
0.12100001 824649.42033302 19618.41063391
0.12200001 815320.03244425 18051.18636873
0.12300001 806031.36896008 16491.40258591
0.12400001 796783.18708989 20915.55964660
0.12500001 787577.19466439 19350.77258472
0.12600001 778417.68339985 17794.62908106
0.12700001 769302.82990074 23632.98404829
0.12800001 760234.53535921 19123.70063825
0.12900001 751215.07110451 23437.91132314
0.13000001 742245.26742694 20419.16826937
0.13100001 733325.15230610 17423.80644011
0.13200001 724457.37702396 24569.97310000
0.13300001 715642.69094402 21576.62814915
0.13400001 706881.40508701 17177.21895344
0.13500001 698175.74954663 18515.62175096
0.13600001 689526.33863362 17003.72031244
0.13700001 680934.30497898 22552.54524433
0.13800001 672398.63907912 19627.31720026
0.13900001 663923.95199311 18125.12474416
0.14000001 655508.03818816 16636.79479382
0.14100001 647154.07622080 19298.13546306
0.14200001 638861.28397134 16444.29022502
0.14300001 630631.99064771 17708.14713264
0.14400001 622463.08760327 14892.43007338
0.14500001 614360.92490040 16145.40586800
0.14600001 606322.73861772 17380.24212238
0.14700001 598351.23343234 14611.73780975
0.14800001 590443.47527757 21114.25967207
0.14900001 582603.56137046 17041.15497410
0.15000001 574830.51306151 15623.89408219
0.15100001 567125.42454055 16809.59837654
0.15200001 559489.84060655 19260.43867172
0.15300001 551922.87798279 17849.18671625
0.15400001 544423.47958612 15189.41579726
0.15500001 536995.64607569 17591.97819566
0.15600001 529636.01783614 14967.51457044
0.15700001 522349.83841826 16093.59928123
0.15800001 515131.45158068 18428.82855012
0.15900001 507986.45092721 17068.34555679
0.16000001 500910.60468587 21774.58501351
0.16100001 493908.77836694 18002.97582129
0.16200001 486978.42569243 14287.94768429
0.16300001 480119.65626449 11810.94410168
0.16400001 473333.89650652 12886.51594076
0.16500001 466619.77467252 11618.83293789
0.16600001 459978.85878650 12674.71805227
0.16700001 453409.70310360 17138.88758652
0.16800001 446913.52423910 12462.18421183
0.16900001 440491.17703460 11232.52554476
0.17000001 434140.13960809 14476.40363880
0.17100001 427862.67368057 12142.74325245
0.17200001 421657.51499255 14224.61694000
0.17300001 415525.06402545 14098.76608819
0.17400001 409466.07635759 16122.72751799
0.17500001 403478.34903449 13847.37759284
0.17600001 397561.84719768 10555.26754161
0.17700001 391720.35389633 12550.72073162
0.17800001 385948.85182003 14507.81802515
0.17900001 380249.02334850 13346.74134995
0.18000001 374621.85879208 11188.08234130
0.18100001 369066.62004205 11083.07112339
0.18200001 363580.13991287 10978.30284326
0.18300001 358165.23311690 11862.43308120
0.18400001 352820.85349485 9790.77914701
0.18500001 347546.86151006 12605.52526248
0.18600001 342342.98342359 12483.53748031
0.18700001 337207.69797540 13312.96054504
0.18800001 332140.20695677 14124.26296815
0.18900001 327144.77904652 10255.98930768
0.19000001 322213.59085295 12000.84575834
0.19100001 317352.95091093 12795.67158533
0.19200001 312558.03093565 9953.41096546
0.19300001 307831.95508381 13436.86547434
0.19400001 303170.53117377 11528.05999263
0.19500001 298575.89326598 11411.57117988
0.19600001 294045.56989830 9557.95170122
0.19700001 289581.94105278 9460.64246128
0.19800001 285181.72771027 11066.47746679
0.19900001 280845.79448602 10110.44907932
0.20000001 276571.66165046 10006.36319143
0.20100001 272362.10685575 11553.60111887
0.20200001 268213.56539252 10617.23448787
0.20300001 264127.15704313 8890.52052628
0.20400001 260102.06924886 11197.39461042
0.20500001 256136.75909340 8706.08885309
0.20600001 252231.06260243 7831.77486400
0.20700001 248385.04940276 13174.34364306
0.20800001 244597.10596982 8434.93159809
0.20900001 240869.42988018 8346.12613988
0.21000001 237196.29657057 8257.98945548
0.21100001 233581.36948556 10399.04306110
0.21200001 230021.34670202 8084.10061201
0.21300001 226516.93396526 8725.43270884
0.21400001 223067.43898905 7913.31777225
0.21500001 219673.33336350 8540.89960497
0.21600001 216331.01117576 8449.88969602
0.21700001 213041.99129357 7663.12078914
0.21800001 209805.19592485 8959.73131559
0.21900001 206619.23195838 10227.65246552
0.22000001 203483.37735503 8769.11656174
0.22100001 200399.19163898 8007.95207654
0.22200001 197363.79519124 6601.81926131
0.22300001 194376.83457472 6531.06195053
0.22400001 191437.23631241 10337.61124970
0.22500001 188547.32760680 6391.75470812
0.22600001 185702.15506873 6955.47454701
0.22700001 182903.79080539 10008.49590616
0.22800001 180150.37620281 10519.88171585
0.22900001 177441.06761643 6733.88883450
0.23000001 174776.43991733 7872.80510840
0.23100001 172156.17647733 6590.13874722
0.23200001 169576.71503453 6519.37711783
0.23300001 167040.54161996 7622.06027460
0.23400001 164544.73742866 6960.24272242
0.23500001 162089.45064035 6311.76350646
0.23600001 159674.57169645 6244.07442152
0.23700001 157299.25501224 7300.25877040
0.23800001 154962.24051289 7222.01556070
0.23900001 152663.39413384 8243.82367316
0.24000001 150401.57143584 7068.12218395
0.24100001 148177.73148174 6454.62228866
0.24200001 145989.93965944 6385.60026276
0.24300001 143837.03651422 7370.21009962
0.24400001 141719.20929610 5728.99930680
0.24500001 139635.24695774 5667.79494213
0.24600001 137585.34445765 7136.55215461
0.24700001 135569.11974547 8573.39153828
0.24800001 133585.06988667 5488.34285593
0.24900001 131631.91817435 5429.81688156
0.25000001 129711.47046213 5860.36451272
0.25100001 127820.91116538 5314.79373769
0.25200001 125962.38739734 5258.30011067
0.25300001 124131.90838805 5202.36852667
0.25400001 122331.70664419 4679.18800052
0.25500001 120558.50558772 6018.28088368
0.25600001 118814.85379781 5038.34411367
0.25700001 117097.72262571 4531.68208002
0.25800001 115407.76146988 4931.95091977
0.25900001 113745.31755739 4879.67435409
0.26000001 112107.88808652 5705.73123413
0.26100001 110495.65157066 4342.47931220
0.26200001 108909.74578207 4296.48967440
0.26300001 107347.03502814 5526.22562474
0.26400001 105809.31942721 4626.51271087
0.26500001 104295.16807072 4161.37740293
0.26600001 102803.82362022 4529.02266390
0.26700001 101335.60486842 4073.69150848
0.26800001 99889.90721265  4836.66953611
0.26900001 98465.23446298  5184.19483980
0.27000001 97062.87037338  4340.16645413
0.27100001 95681.10370079  3903.78921573
0.27200001 94320.72906007  4248.67744157
0.27300001 92980.59566746  4585.80319534
0.27400001 91658.83574872  4159.01986892
0.27500001 90358.66841318  4114.93395428
0.27600001 89075.54865173  3701.08922164
0.27700001 87813.06989508  5492.70778189
0.27800001 86568.02181727  3985.15907296
0.27900001 85341.54581383  4659.64862197
0.28000001 84132.38000052  3900.79798334
0.28100001 82941.03767996  5262.60908987
0.28200001 81767.25795548  4859.42837029
0.28300001 80610.01438300  3433.98677525
0.28400001 79468.80130690  3737.02055833
0.28500001 78344.48487204  3697.07641610
0.28600001 77235.85889204  3657.50427095
0.28700001 76143.67060048  4934.11008846
0.28800001 75065.31950064  4555.71445613
0.28900001 74004.00226034  3863.00910084
0.29000001 72956.62045399  4458.37928698
0.29100001 71924.69039257  3780.36190598
0.29200001 70906.66282472  3116.34797866
0.29300001 69903.35421764  3391.01187361
