# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 252.40994265
0.00100000 1682651.36548924 504.79542164
0.00200000 1682406.55240349 984.20786432
0.00300000 1681998.73258185 1211.03913060
0.00400000 1681427.76698360 1261.07087316
0.00500000 1680694.17134510 2117.67473971
0.00600000 1679797.84707382 2292.92415461
0.00700000 1678739.36450010 2820.28224957
0.00800000 1677518.52696016 3849.90518192
0.00900000 1676136.56970629 3771.30744305
0.01000000 1674592.86462221 4144.61751890
0.01100000 1672888.67522630 3613.43969582
0.01200000 1671023.95295635 5865.29433203
0.01300000 1668999.84298098 3855.38980733
0.01400000 1666816.35714940 3750.33696984
0.01500000 1664474.84807770 5193.16175725
0.01600000 1661974.75201817 4661.83938781
0.01700000 1659318.44110111 5376.19199034
0.01800000 1656505.66186489 6137.35375338
0.01900000 1653537.18904889 4960.61179098
0.02000000 1650414.14836830 6238.56576304
0.02100000 1647138.60422421 5979.11340442
0.02200000 1643709.00911527 7372.03524081
0.02300000 1640128.63929910 7085.35604429
0.02400000 1636396.96719214 7363.78668814
0.02500000 1632516.64894177 7640.17826598
0.02600000 1628487.52207683 7254.91224268
0.02700000 1624311.77916834 9550.95369895
0.02800000 1619989.23343227 7046.95348860
0.02900000 1615522.47141601 9450.80689171
0.03000000 1610912.76397003 8988.89363613
0.03100000 1606160.37595256 8480.52717525
0.03200000 1601267.09409966 8718.89972895
0.03300000 1596236.23344303 8140.80516585
0.03400000 1591066.05627615 11694.33605321
0.03500000 1585759.94596929 10275.72492439
0.03600000 1580319.07944470 10524.92555550
0.03700000 1574745.23330484 12566.46754294
0.03800000 1569039.78138614 11014.65977508
0.03900000 1563204.94933853 13130.92218254
0.04000000 1557240.55809770 10534.73286370
0.04100000 1551150.58435076 9772.24913452
0.04200000 1544935.68379498 13950.76987188
0.04300000 1538596.90284164 12185.68803614
0.04400000 1532137.75677527 12410.31640624
0.04500000 1525559.46763663 13684.26906054
0.04600000 1518862.20570304 13920.37276238
0.04700000 1512050.15740674 14152.79013154
0.04800000 1505123.57358552 11062.65878058
0.04900000 1498086.41516827 13482.77836410
0.05000000 1490938.12370384 12546.24489520
0.05100000 1483683.31072939 12730.00339907
0.05200000 1476320.06727405 11736.74508178
0.05300000 1468854.79520436 22605.67635202
0.05400000 1461287.09783976 15672.30485519
0.05500000 1453619.71658244 15873.52804557
0.05600000 1445853.70805881 12362.04978077
