# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.68126601 649.18219111
0.00200000 1664326.42101035 898.73629580
0.00300000 1663921.19771159 1297.85858045
0.00400000 1663353.86513476 1372.26699088
0.00500000 1662624.94140155 1795.63500779
0.00600000 1661734.31001198 2617.23164482
0.00700000 1660682.56969184 2590.66491639
0.00800000 1659469.50737349 2464.31232249
0.00900000 1658096.35005445 3482.00248396
0.01000000 1656562.48431753 3553.32668229
0.01100000 1654869.15860608 2978.76461518
0.01200000 1653016.32566798 3223.38197638
0.01300000 1651005.10630291 3813.82196377
0.01400000 1648835.55482128 5193.83222793
0.01500000 1646509.03012654 4346.78403309
0.01600000 1644024.92984221 5030.71651021
0.01700000 1641385.62148016 4431.74137680
0.01800000 1638590.79414350 7004.97596017
0.01900000 1635641.32713796 7360.38630424
0.02000000 1632538.35901496 8227.99370163
0.02100000 1629283.80754521 5914.30048953
0.02200000 1625876.18302444 5609.27308628
0.02300000 1622318.91667713 8176.48771223
0.02400000 1618611.21008574 7890.73000897
0.02500000 1614755.87760163 8816.56749436
0.02600000 1610752.73843988 7175.90377796
0.02700000 1606603.99105356 6747.73707148
0.02800000 1602309.39938490 8364.05544836
0.02900000 1597871.49942367 7190.42207755
0.03000000 1593291.68618969 10372.32935386
0.03100000 1588570.07742638 9150.16406700
0.03200000 1583708.53891298 7839.35762869
0.03300000 1578710.40966446 10466.85049860
0.03400000 1573573.99250566 10739.64299438
0.03500000 1568302.52848363 11009.48425835
0.03600000 1562897.17221884 9541.48767734
0.03700000 1557359.72072395 8876.95081866
0.03800000 1551691.67311182 9985.13637858
0.03900000 1545895.15212291 11130.44561074
0.04000000 1539970.00891240 11364.97919242
0.04100000 1533920.11803024 10630.06691083
0.04200000 1527746.23973178 11824.75644411
0.04300000 1521449.34800203 12049.87939551
0.04400000 1515032.94790298 13294.41473527
0.04500000 1508498.36587590 11449.50312900
0.04600000 1501845.66005258 10588.01239557
0.04700000 1495078.88017278 12917.48212546
0.04800000 1488198.66501185 12032.08676645
0.04900000 1481208.47392891 12219.97047872
0.05000000 1474108.00763025 12404.61946184
0.05100000 1466901.96573572 17162.75379862
0.05200000 1459588.34153762 12764.10064157
0.05300000 1452173.38682431 12938.86547979
0.05400000 1444656.84074128 14302.10339030
0.05500000 1437041.44634748 13278.26358367
