# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 321.09991309
0.00100000 1646585.58107573 642.16839187
0.00200000 1646343.59081133 814.94010326
0.00300000 1645940.47988488 1580.10291698
0.00400000 1645376.12536938 1480.83856910
0.00500000 1644651.00645713 2368.29754304
0.00600000 1643765.04695313 2243.73938044
0.00700000 1642718.80742736 2562.64144609
0.00800000 1641512.07912303 2216.04140038
0.00900000 1640146.11502402 2952.26313325
0.01000000 1638620.30178849 4055.58542204
0.01100000 1636935.86301474 3535.78161806
0.01200000 1635092.76008052 3188.43102195
0.01300000 1633092.08790863 4801.29095021
0.01400000 1630933.91055478 3669.60146143
0.01500000 1628619.64402019 3908.68731970
0.01600000 1626148.62471100 4976.01501406
0.01700000 1623523.17361234 4821.86404193
0.01800000 1620743.18066529 5081.03010002
0.01900000 1617809.25695014 5824.11358782
0.02000000 1614722.59543330 5086.37640570
0.02100000 1611485.26546635 5317.90161714
0.02200000 1608095.77751076 5547.93068447
0.02300000 1604557.28289191 7509.32842575
0.02400000 1600869.30997757 7804.23824199
0.02500000 1597034.42205258 8096.96488960
0.02600000 1593052.65337583 6451.86354127
0.02700000 1588925.95561639 8008.18718309
0.02800000 1584654.35805477 7582.57145103
0.02900000 1580240.13956917 7822.18905002
0.03000000 1575684.86866126 8059.62847367
0.03100000 1570988.75463476 7540.74636922
0.03200000 1566153.19432141 10078.19626964
0.03300000 1561181.85878468 8758.23063154
0.03400000 1556073.28536632 12254.07768767
0.03500000 1550830.29373922 10886.82916478
0.03600000 1545454.23553443 14581.36138613
0.03700000 1539946.81483017 9655.46697553
0.03800000 1534309.66546538 12565.99674171
0.03900000 1528544.59416089 11005.52158762
0.04000000 1522651.90780967 14046.46450044
0.04100000 1516635.08319051 14332.20220069
0.04200000 1510495.10400671 10716.96326012
0.04300000 1504232.74258624 11913.52387428
0.04400000 1497851.71088422 14154.69932523
0.04500000 1491353.30644125 14406.47360962
0.04600000 1484737.44755631 12560.87939024
0.04700000 1478008.26388886 12769.99199391
0.04800000 1471166.19536308 11894.37924293
0.04900000 1464215.07388884 10981.61356533
0.05000000 1457154.49713259 15606.12539101
0.05100000 1449988.78159107 13571.89562793
0.05200000 1442716.43544293 12616.55581590
0.05300000 1435343.27655763 15114.16540674
0.05400000 1427869.43453892 16491.89273801
0.05500000 1420297.22935128 15509.64646803
0.05600000 1412627.81234674 13285.76519509
0.05700000 1404866.21917895 14666.80401285
0.05800000 1397011.42072435 14836.26198083
0.05900000 1389066.06765956 16252.07375068
0.06000000 1381033.59396250 15163.74957014
0.06100000 1372915.68263891 14044.92808973
0.06200000 1364714.23920666 12896.55016333
0.06300000 1356432.56805659 13021.75326218
0.06400000 1348069.29584429 18401.14674884
0.06500000 1339630.45687063 19893.51321510
0.06600000 1331117.37102187 17391.04926610
0.06700000 1322530.73281370 17536.75833781
0.06800000 1313874.58654188 21757.76417159
0.06900000 1305150.83532638 23296.94350131
0.07000000 1296360.68410386 16567.49031868
0.07100000 1287506.84717045 20857.61190109
0.07200000 1278592.04473064 22400.93367309
0.07300000 1269618.61046537 22548.42757838
0.07400000 1260588.95245089 22690.60220749
0.07500000 1251504.47171855 18547.29714023
0.07600000 1242366.73371817 24393.87196016
0.07700000 1233180.59332709 15871.03498029
0.07800000 1223946.11376209 15954.13834108
0.07900000 1214665.91279556 14575.99163722
0.08000000 1205343.61316123 19038.40326299
0.08100000 1195980.27589983 20594.78131727
0.08200000 1186577.59149845 16250.18087811
0.08300000 1177139.34052168 20764.73894133
0.08400000 1167666.48356569 20842.84770998
0.08500000 1158161.92339051 14940.28951311
0.08600000 1148627.17128963 17987.50234694
0.08700000 1139066.21537961 19546.37717377
0.08800000 1129478.46715696 16586.39206916
0.08900000 1119869.44836947 16630.06208940
0.09000000 1110238.36557117 16670.22984214
0.09100000 1100588.68986270 22782.18695049
0.09200000 1090921.95927910 27393.05168461
0.09300000 1081243.29693011 22868.29680470
0.09400000 1071549.22913982 21377.40812602
0.09500000 1061845.64233722 16819.63576519
0.09600000 1052133.62713269 21431.96299216
0.09700000 1042417.43579179 16855.89072920
0.09800000 1032697.10439592 18402.66326559
0.09900000 1022975.29960961 16879.09323726
0.10000000 1013252.67863044 19956.01244410
0.10100000 1003531.77878084 15354.03693747
0.10200000 993815.64674672 23031.67869668
0.10300000 984105.05736768 27633.67131079
0.10400000 974403.12840148 19950.90499261
0.10500000 964712.66848248 21474.50501078
0.10600001 955031.09029023 21459.54960857
0.10700001 945365.51700537 19909.39872502
0.10800001 935714.44627676 16828.82510828
0.10900001 926082.14936498 18336.42742044
0.11000001 916467.88747683 15259.19104473
0.11100001 906874.85846224 16759.04817329
0.11200001 897304.75253580 16730.24789864
0.11300001 887758.74564489 16698.74279177
0.11400001 878239.67718869 21209.48920274
0.11500001 868748.56991232 25697.58390805
0.11600001 859287.00264185 21112.68264914
0.11700001 849857.22043872 18050.96821223
0.11800001 840458.97056458 24003.50932985
0.11900001 831094.79085347 19447.61902199
0.12000001 821765.67597542 19389.56203798
0.12100001 812476.26558474 20815.64290487
0.12200001 803224.30114917 16301.43795980
0.12300001 794013.55331288 17722.38334492
0.12400001 784843.45315978 17658.97852814
0.12500001 775715.69079571 19059.33542094
0.12600001 766634.21514178 20446.13548132
0.12700001 757597.59966627 20364.22443872
0.12800001 748607.57539112 14485.55726651
0.12900001 739666.47540322 21635.24542526
0.13000001 730775.02917633 15795.70300017
0.13100001 721933.39411575 14294.28187729
0.13200001 713143.84104470 15649.94232947
0.13300001 704407.48664086 14158.59114896
0.13400001 695724.56432437 14088.42309178
0.13500001 687097.50910423 15418.46883125
0.13600001 678526.56877436 19521.21030408
0.13700001 670013.00754202 16643.12389212
0.13800001 661556.02981929 15172.78825939
0.13900001 653159.16894442 17831.24615307
0.14000001 644821.65157457 15001.77643137
0.14100001 636545.94481455 21693.48682241
0.14200001 628331.45223361 25607.64954357
0.14300001 620179.91568473 21433.41889703
0.14400001 612089.22841057 25294.58855721
0.14500001 604064.86786423 15874.82547632
0.14600001 596104.72945692 14458.52089505
0.14700001 588210.86217072 14364.10993186
0.14800001 580380.65018111 15565.80977223
0.14900001 572618.30405443 16749.08618383
0.15000001 564922.70826051 14075.04994041
0.15100001 557294.72253661 13976.95230072
0.15200001 549735.94768391 12616.44059468
