# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682650.73454685 656.23380206
0.00200000 1682404.01554619 832.79001407
0.00300000 1681993.03428690 1110.11544218
0.00400000 1681417.64642723 1639.38226756
0.00500000 1680678.35609774 1663.87163839
0.00600000 1679775.09561832 2292.89309887
0.00700000 1678708.41288489 2417.34021502
0.00800000 1677478.12761667 2717.51468147
0.00900000 1676085.46844621 3519.77963420
0.01000000 1674529.85013319 3591.86668363
0.01100000 1672812.48654967 3312.16886758
0.01200000 1670933.38381573 3909.98428956
0.01300000 1668893.63617646 4205.61214865
0.01400000 1666693.32852120 3750.06015542
0.01500000 1664333.82261076 3994.40135213
0.01600000 1661814.53777799 5932.67816508
0.01700000 1659137.78675026 5823.57389273
0.01800000 1656303.48485531 7080.69771637
0.01900000 1653312.23982149 5951.92433192
0.02000000 1650165.36029431 7277.22956809
0.02100000 1646864.81733311 9238.91204412
0.02200000 1643409.16865046 6803.71426732
0.02300000 1639801.49021786 5903.28563349
0.02400000 1636041.55688703 7975.70295350
0.02500000 1632131.80643200 9547.97150369
0.02600000 1628072.29425614 7253.06240265
0.02700000 1623865.08296917 7502.25702693
0.02800000 1619509.93258630 8453.84223579
0.02900000 1615009.78007115 7994.29877840
0.03000000 1610365.50285222 8985.83991895
0.03100000 1605577.64166978 11560.15955194
0.03200000 1600647.80376316 7923.20699356
0.03300000 1595579.63580775 9764.94782131
0.03400000 1590371.19344299 10854.28389607
0.03500000 1585025.93796115 9415.05450626
0.03600000 1579544.90607050 12273.06448735
0.03700000 1573930.21822420 11662.82345642
0.03800000 1568183.09868557 10091.25870706
0.03900000 1562305.63197245 9373.83422594
0.04000000 1556297.82679726 10528.35528616
0.04100000 1550163.73212701 12695.84155478
0.04200000 1543904.11060684 9958.18197540
0.04300000 1537519.77043028 11162.39405146
0.04400000 1531014.30620054 14468.08586552
0.04500000 1524389.21230006 10518.28605360
0.04600000 1517644.34275614 13909.21104796
0.04700000 1510783.90362512 10877.64461200
0.04800000 1503808.72236273 13263.59354837
0.04900000 1496722.16806140 16838.12517446
0.05000000 1489523.93659809 14813.31623927
0.05100000 1482218.68158963 13873.56750597
0.05200000 1474804.66853502 14069.63719349
0.05300000 1467288.16132239 19016.05545723
0.05400000 1459668.57378972 20471.85270208
0.05500000 1451948.96973592 12196.37191473
0.05600000 1444130.36113183 16051.50971301
0.05700000 1436217.72826104 14994.11378295
0.05800000 1428209.96849470 13903.62469249
0.05900000 1420109.85065724 15337.18710343
0.06000000 1411921.34763171 15502.89712127
0.06100000 1403645.52022882 13053.90394815
0.06200000 1395284.72022255 25052.33832263
0.06300000 1386841.68448151 13313.68079351
0.06400000 1378315.94698065 24189.44600077
0.06500000 1369713.00515600 21696.25501657
0.06600000 1361034.27521255 21885.43216941
0.06700000 1352281.11801544 16551.92165912
0.06800000 1343456.59745555 16685.73172144
0.06900000 1334563.48671291 15414.20899321
0.07000000 1325602.66642266 19764.73668191
0.07100000 1316576.85965750 15640.93382532
0.07200000 1307488.83728816 15748.70378291
0.07300000 1298341.07051313 18735.06252535
0.07400000 1289136.47631954 18853.62184973
0.07500000 1279875.56391672 18967.75674631
0.07600000 1270560.22542404 19077.46267910
0.07700000 1261195.87753692 17707.19095088
0.07800000 1251782.62742262 16316.98731366
0.07900000 1242322.38628397 17889.44320157
0.08000000 1232819.37486304 17974.50732871
0.08100000 1223274.37398787 16550.90305659
0.08200000 1213689.64832847 15110.43683075
0.08300000 1204068.08958406 19722.63623301
0.08400000 1194411.91169638 18274.50310674
0.08500000 1184723.05282977 16811.22090886
0.08600000 1175003.87793425 19933.94172508
0.08700000 1165257.80948419 21533.96533045
0.08800000 1155484.70732812 18510.86588074
0.08900000 1145689.37888625 21653.53027801
0.09000000 1135872.29108664 18605.58900201
0.09100000 1126035.64196578 20201.08036594
0.09200000 1116182.14519387 18684.88998849
0.09300000 1106316.09356299 20278.77494795
0.09400000 1096434.60015533 15624.19378651
0.09500000 1086543.36820403 25033.96038008
0.09600000 1076643.73063532 20364.71712227
0.09700000 1066740.12619250 26657.83700681
0.09800000 1056831.80665878 18832.74368013
0.09900000 1046922.45375310 21985.37256262
0.10000000 1037011.97520163 21995.02502839
0.10100000 1027103.34949261 22000.55478086
0.10200000 1017199.47230586 20430.45236224
0.10300000 1007301.59541891 15713.90562773
0.10400000 997412.68027875 20422.02558946
0.10500000 987535.29547895 18842.17432425
0.10600001 977666.82830835 18829.86399923
0.10700001 967814.88233858 18814.32219802
0.10800001 957977.73505628 18795.52404635
0.10900001 948159.58017180 20338.02395191
0.11000001 938360.50024710 15623.70306451
0.11100001 928582.63903682 17160.20797719
0.11200001 918828.23323386 18688.96714380
0.11300001 909098.42143081 17100.14211220
0.11400001 899395.96169948 18617.49728377
0.11500001 889722.41528540 15481.17075494
0.11600001 880078.62308695 15445.38056252
0.11700001 870467.68181601 15407.27869375
0.11800001 860888.33998463 16903.54335173
0.11900001 851343.76735502 26051.12050811
0.12000001 841835.30440211 19863.10494302
0.12100001 832367.35725212 21325.25269739
0.12200001 822937.86935347 15183.20440487
0.12300001 813549.94661838 18158.43566405
