# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420645 255.13692513
0.00100000 1700830.15010072 714.34868001
0.00200000 1700582.03121086 994.84051976
0.00300000 1700168.72466096 1122.11139825
0.00400000 1699590.07093494 1402.16186180
0.00500000 1698846.59862406 1834.75439914
0.00600000 1697938.21018986 2317.68575127
0.00700000 1696865.47253423 2850.73411233
0.00800000 1695628.18927967 2518.00796739
0.00900000 1694227.61684330 3303.74399407
0.01000000 1692663.15212537 3072.18375376
0.01100000 1690936.01624799 3652.42195412
0.01200000 1689046.24416401 4940.46048079
0.01300000 1686994.90899745 3542.68946514
0.01400000 1684782.03586931 4927.98767338
0.01500000 1682409.08250785 4037.78197782
0.01600000 1679875.41263652 5140.41899246
0.01700000 1677183.38373043 4981.23487313
0.01800000 1674332.86117411 4771.84886907
0.01900000 1671324.54803193 7019.56341847
0.02000000 1668159.64965440 5780.17344752
0.02100000 1664840.19491710 6592.76747078
0.02200000 1661364.67544444 6304.87922976
0.02300000 1657736.21435900 6564.63570767
0.02400000 1653954.68442367 8063.02945422
0.02500000 1650022.43934957 9009.12293030
0.02600000 1645939.46984692 9332.47722088
0.02700000 1641708.00629450 6895.17394224
0.02800000 1637327.66115500 9259.08834845
0.02900000 1632801.37423260 9551.88847783
0.03000000 1628130.21565847 8327.88643589
0.03100000 1623314.52705185 10129.48311489
0.03200000 1618356.00944925 9613.03513889
0.03300000 1613258.31800732 9050.37958125
0.03400000 1608019.35250867 12663.15298529
0.03500000 1602642.81623255 10385.12592875
0.03600000 1597129.81439212 11523.29214337
0.03700000 1591482.04203134 14514.31689458
0.03800000 1585701.07670335 12059.25724643
0.03900000 1579789.08817873 12322.35545844
0.04000000 1573745.62815089 19357.07212324
0.04100000 1567575.36582590 12838.44284139
0.04200000 1561278.50871685 10070.24684841
0.04300000 1554856.21024009 14366.87204950
0.04400000 1548312.09125096 14631.54994184
