# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.03536354 499.37072247
0.00200000 1664323.82908757 823.84032149
0.00300000 1663915.37195282 1297.85403636
0.00400000 1663343.52889469 1621.76000230
0.00500000 1662608.77339874 1645.98275081
0.00600000 1661711.06271088 2791.67469901
0.00700000 1660650.93442860 2391.33744496
0.00800000 1659428.21059976 3136.31945045
0.00900000 1658044.11714153 2487.06628203
0.01000000 1656498.07011424 3826.51070719
0.01100000 1654791.27662544 4170.07419866
0.01200000 1652923.74519032 3867.84173333
0.01300000 1650896.56863636 5200.32442056
0.01400000 1648709.82593706 3709.59727281
0.01500000 1646364.87078744 4741.53103900
0.01600000 1643861.17021964 7126.13849147
0.01700000 1641200.95313272 6203.73988113
0.01800000 1638384.15444081 6070.21356535
0.01900000 1635411.37104882 4906.23433453
0.02000000 1632284.05389031 6684.20350305
0.02100000 1629003.96109689 7525.99864148
0.02200000 1625569.67445647 5608.21563167
0.02300000 1621984.46683623 7006.97321568
0.02400000 1618247.86298511 9709.48762064
0.02500000 1614362.42839824 8184.81788578
0.02600000 1610328.21803157 7826.19549759
0.02700000 1606147.28985255 11467.89217479
0.02800000 1601819.32838088 7664.70583780
0.02900000 1597347.27150713 8625.67566218
0.03000000 1592732.09999287 9628.06598701
0.03100000 1587974.23992437 11433.41505354
0.03200000 1583075.26131923 10187.08977579
0.03300000 1578038.96948530 10462.39885001
0.03400000 1572863.43586146 10734.79344506
0.03500000 1567551.87866500 13543.64885709
0.03600000 1562105.44253778 13004.52841011
0.03700000 1556526.18628895 13308.29950825
0.03800000 1550815.48004980 9979.49807597
0.03900000 1544975.34305604 12050.80823391
0.04000000 1539005.70851920 10411.37410058
0.04100000 1532910.70523546 9657.33789076
0.04200000 1526690.98201162 12801.30447806
0.04300000 1520347.45490069 15051.44050217
0.04400000 1513883.65691914 11240.58667466
0.04500000 1507301.10451894 12480.45372532
0.04600000 1500599.59061610 10579.22760564
0.04700000 1493783.34146713 11830.76461464
0.04800000 1486853.21826302 10928.37166271
0.04900000 1479812.41830313 11098.59365389
0.05000000 1472660.85392330 13519.02726854
0.05100000 1465403.15839059 16002.20323507
0.05200000 1458037.35822571 11591.39753807
0.05300000 1450569.91190518 11749.61683417
0.05400000 1443000.24897591 13095.22787014
0.05500000 1435331.26129115 14468.13978874
0.05600000 1427564.05764032 12205.67326239
0.05700000 1419703.53887795 16056.84777422
0.05800000 1411748.83005148 17491.56882106
0.05900000 1403702.33522062 18949.98241055
0.06000000 1395568.21777692 15323.33974708
0.06100000 1387347.41087406 15482.79782889
0.06200000 1379042.46276206 14335.14707049
0.06300000 1370656.18655628 14474.13000678
0.06400000 1362187.58787120 17265.72848373
0.06500000 1353642.54560391 17421.38037686
0.06600000 1345022.53079126 16220.97248030
0.06700000 1336328.56907748 14993.60724673
0.06800000 1327563.94234316 17862.37368035
0.06900000 1318731.59984529 18000.68718066
0.07000000 1309831.95790727 15344.68210545
0.07100000 1300868.10141720 19669.12661469
0.07200000 1291842.54542361 19803.94714910
0.07300000 1282757.98217513 21357.92140395
0.07400000 1273617.05690852 21492.28884255
0.07500000 1264420.55496638 15855.83450248
0.07600000 1255170.30310385 17396.66121659
0.07700000 1245871.37748261 18949.70454003
0.07800000 1236524.22260055 21979.21908747
0.07900000 1227130.57428149 16198.12434027
0.08000000 1217694.81359341 16274.49194713
0.08100000 1208217.51729733 19319.39900802
0.08200000 1198700.93333839 16416.21005240
0.08300000 1189148.30478989 17979.92321226
0.08400000 1179561.19090345 24063.04942392
0.08500000 1169942.23464877 27166.05996386
0.08600000 1160293.21369335 21198.55800948
0.08700000 1150617.88775888 18225.78819794
