# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097189 252.40994265
0.00100000 1682650.76657800 706.71333875
0.00200000 1682404.13888060 908.49826376
0.00300000 1681993.31186804 1110.11562538
0.00400000 1681418.14043210 1261.06365324
0.00500000 1680679.13382815 1815.13353638
0.00600000 1679776.19379914 2116.51809035
0.00700000 1678709.92066943 2618.78758508
0.00800000 1677480.08208309 2943.97766835
0.00900000 1676087.93577543 3016.95841336
0.01000000 1674532.89692810 3039.27733916
0.01100000 1672816.21854419 4817.71091917
0.01200000 1670937.80091262 3909.99462556
0.01300000 1668898.79421388 4205.62514691
0.01400000 1666699.33344678 5250.10313310
0.01500000 1664340.65937821 5991.62664056
0.01600000 1661822.29411153 4661.41174336
0.01700000 1659146.59238264 4927.66560043
0.01800000 1656313.31361520 6608.69041870
0.01900000 1653323.18677244 4959.96978412
0.02000000 1650177.48987705 5717.86526108
0.02100000 1646878.12753000 5978.16787397
0.02200000 1643423.67744352 6803.77433373
0.02300000 1639817.38507098 11216.35142444
0.02400000 1636058.82518661 9202.83131130
0.02500000 1632150.50360806 9548.08088217
0.02600000 1628092.46157943 7912.52972518
0.02700000 1623886.76949625 7502.35721869
0.02800000 1619533.26414619 7749.46702433
0.02900000 1615034.62406735 11628.24982719
0.03000000 1610392.03467794 7488.32330546
0.03100000 1605606.04785256 7706.90938431
0.03200000 1600677.87443932 11092.69818077
0.03300000 1595611.43135964 11392.66614512
0.03400000 1590404.91437946 10854.51404147
0.03500000 1585061.44322825 11127.13184529
0.03600000 1579582.53504806 8766.68347466
0.03700000 1573969.72447989 9868.79062890
0.03800000 1568224.56826229 13761.17122336
0.03900000 1562349.30209875 10311.50587138
0.04000000 1556343.57200367 12442.96743476
0.04100000 1550211.63101432 12696.23384669
0.04200000 1543954.04610571 9958.50405939
0.04300000 1537571.99408598 12177.57075842
0.04400000 1531068.74886076 13435.12889521
0.04500000 1524445.85822076 12622.41229257
0.04600000 1517703.36196781 12839.77103913
