# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682650.68739161 656.23378367
0.00200000 1682403.82179356 984.20626691
0.00300000 1681992.59055701 1110.11514931
0.00400000 1681416.86533414 1513.27523630
0.00500000 1680677.14790119 2420.17518877
0.00600000 1679773.34312261 2292.89070671
0.00700000 1678706.03109979 3021.67098156
0.00800000 1677475.00145277 3396.88702136
0.00900000 1676081.50174986 4022.59577616
0.01000000 1674524.97857798 2762.96633396
0.01100000 1672806.60847423 3914.36763426
0.01200000 1670926.40058649 4235.79861120
0.01300000 1668885.42230887 3855.12549556
0.01400000 1666683.82862049 4125.04265870
0.01500000 1664322.87184488 5192.68759138
0.01600000 1661802.12670795 4237.59561254
0.01700000 1659123.83610547 7167.41529350
0.01800000 1656287.79111548 6136.54654221
0.01900000 1653294.83588904 5455.87320462
0.02000000 1650146.09179916 7277.14459402
0.02100000 1646843.58899130 7064.95931709
0.02200000 1643385.75453765 6803.61733289
0.02300000 1639776.07660022 5903.19414446
0.02400000 1636013.90407475 6748.55766203
0.02500000 1632101.86500378 8911.27658990
0.02600000 1628039.90474763 7252.91810739
0.02700000 1623830.23022856 9548.12219106
0.02800000 1619472.56186172 7044.70596717
0.02900000 1614969.55739773 8720.83601036
0.03000000 1610322.62866893 12729.60096475
0.03100000 1605532.07711667 8477.20975724
0.03200000 1600599.21824528 9507.55979428
0.03300000 1595527.99866761 8950.91248517
0.03400000 1590316.54492114 9184.07847068
0.03500000 1584968.08936963 11982.35930896
0.03600000 1579484.05916111 9642.75062681
0.03700000 1573865.83270456 9868.13922743
0.03800000 1568115.33988363 11925.51771172
0.03900000 1562234.55750618 14060.11166868
0.04000000 1556223.16796471 12442.00480443
0.04100000 1550085.48245815 9765.53899228
0.04200000 1543822.12248055 11949.18378236
0.04300000 1537434.04980074 12176.47823963
0.04400000 1530924.84702097 11367.11751704
0.04500000 1524295.74198951 14724.69755180
0.04600000 1517546.93568735 11768.57703334
0.04700000 1510682.62143506 11964.60691821
0.04800000 1503703.30447585 12157.44178235
0.04900000 1496612.66438157 13469.51460641
0.05000000 1489410.18653189 13672.78614905
0.05100000 1482100.90880239 12716.42638991
0.05200000 1474682.44751323 15240.84380529
0.05300000 1467161.33880571 14260.80887800
0.05400000 1459537.53895629 12041.18525792
0.05500000 1451813.57653831 18292.85191773
0.05600000 1443990.32831060 14815.34145981
0.05700000 1436073.09875836 18740.75481359
0.05800000 1428060.86912565 13902.17321006
0.05900000 1419956.08113223 14057.56585978
0.06000000 1411763.01142152 15501.15858960
0.06100000 1403482.29982959 22189.05619723
0.06200000 1395116.58095731 13183.85230631
0.06300000 1386668.83251444 14643.22355600
0.06400000 1378138.08089732 14780.53160886
0.06500000 1369530.31689624 17625.85600295
0.06600000 1360846.52934766 17779.46073780
0.06700000 1352088.34886843 17928.69234504
0.06800000 1343258.95142547 16683.27695763
0.06900000 1334360.76591968 18214.02530756
0.07000000 1325394.80385770 16938.54638651
0.07100000 1316364.08671494 15638.40608264
0.07200000 1307270.79482445 17177.53904871
0.07300000 1298118.21301440 18731.84669149
0.07400000 1288908.08004994 18850.28155413
0.07500000 1279642.08022560 17505.50447801
0.07600000 1270321.68546108 17606.65938590
