# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626458 283.66641538
0.00100000 1719106.87291234 567.30528153
0.00200000 1718856.25054890 850.83387096
0.00300000 1718438.76105998 1237.27595204
0.00400000 1717854.24680460 2190.26424790
0.00500000 1717103.25303471 2318.08948335
0.00600000 1716185.68663211 2522.79306206
0.00700000 1715102.10020097 2881.37164809
0.00800000 1713852.32157676 2545.07080499
0.00900000 1712437.56364370 2568.65645527
0.01000000 1710857.28807460 3105.20611194
0.01100000 1709112.69380833 3384.04328108
0.01200000 1707203.78384852 3994.85702936
0.01300000 1705131.69190220 3938.85438202
0.01400000 1702896.43807201 5364.12401772
0.01500000 1700499.50430191 4489.31889126
0.01600000 1697940.17104961 4762.72239270
0.01700000 1695220.89523832 5034.80628471
0.01800000 1692341.60911005 6752.44332419
0.01900000 1689302.83717600 8108.65398433
0.02000000 1686105.91330151 5842.35725387
0.02100000 1682752.93407833 6663.70192107
0.02200000 1679242.24528986 9848.75621608
0.02300000 1675577.11078956 6635.28566075
0.02400000 1671757.34359206 7522.90838919
0.02500000 1667785.44009588 7154.79986478
0.02600000 1663661.17718369 7411.61088335
0.02700000 1659386.79761503 6969.42486919
0.02800000 1654962.15064396 7918.99425399
0.02900000 1650390.32376834 7426.75679795
0.03000000 1645671.84005158 9948.08673038
0.03100000 1640807.35177438 8663.46321600
0.03200000 1635798.85606058 10526.36612357
0.03300000 1630649.64593302 10811.20765094
0.03400000 1625357.72915418 12799.69270767
0.03500000 1619926.88041185 9622.36611399
0.03600000 1614358.02432045 11647.59368375
0.03700000 1608653.25351978 15587.85074751
0.03800000 1602813.93717481 11251.75435969
0.03900000 1596842.00674240 10539.15773257
0.04000000 1590737.56353579 12717.94740981
0.04100000 1584505.02298506 11978.85852919
0.04200000 1578144.47842187 10179.03235806
0.04300000 1571657.42706281 16596.70320017
0.04400000 1565047.13535457 12676.88238511
0.04500000 1558315.06715477 13978.08680187
0.04600000 1551461.10913741 14219.14172625
0.04700000 1544489.97138044 20016.59096002
0.04800000 1537401.95500453 18079.84783207
0.04900000 1530200.75176360 16067.10864140
0.05000000 1522885.72513778 15145.09924174
0.05100000 1515461.93425318 15366.78472917
0.05200000 1507927.59942463 14385.62996890
0.05300000 1500289.11230695 15798.04508906
0.05400000 1492545.46069626 16007.55081246
0.05500000 1484700.12159416 12471.48160318
0.05600000 1476754.07769508 13888.87274883
0.05700000 1468712.39181121 14055.57824573
0.05800000 1460573.64310101 16803.90054849
0.05900000 1452341.13012891 13071.07078166
0.06000000 1444018.57519450 19819.15587047
0.06100000 1435607.27520450 14686.26311165
0.06200000 1427109.16024026 14834.80041413
0.06300000 1418527.36663891 16341.43602773
0.06400000 1409861.58316386 15120.76618658
0.06500000 1401117.01240907 13871.05907171
0.06600000 1392294.86466268 23787.35887574
0.06700000 1383397.58916141 18343.85289075
0.06800000 1374427.11651270 22760.51411485
0.06900000 1365386.87434999 17203.87542228
0.07000000 1356277.42959462 17333.22636191
0.07100000 1347101.96877435 17458.44233303
0.07200000 1337862.89941871 16114.55937841
0.07300000 1328562.84940651 14747.04831939
0.07400000 1319204.83412962 17809.26609537
0.07500000 1309789.63555404 17917.92305424
0.07600000 1300318.29469605 21026.14781095
0.07700000 1290797.54459533 25673.96436582
0.07800000 1281226.49347251 18219.04159158
0.07900000 1271607.30065474 19837.07482065
0.08000000 1261944.72975282 21465.68086007
0.08100000 1252239.01193847 20023.30274035
0.08200000 1242492.74945352 23203.55318488
0.08300000 1232708.66712482 17085.34292820
0.08400000 1222889.29449508 21828.57493134
0.08500000 1213035.97526415 18777.79777862
0.08600000 1203151.96230512 15701.13384527
0.08700000 1193240.43651558 17325.85195179
0.08800000 1183301.01497769 17376.77622103
0.08900000 1173338.50542388 19008.08468067
0.09000000 1163353.74396816 17467.75728624
0.09100000 1153348.86337029 17507.83656850
0.09200000 1143326.46205245 25519.04783207
0.09300000 1133290.66301008 23969.09864902
0.09400000 1123239.33539999 22408.62579438
0.09500000 1113177.53925644 24044.63597810
0.09600000 1103106.99669237 17655.22831199
0.09700000 1093032.31526851 22494.60610576
0.09800000 1082952.06553489 19298.20671519
0.09900000 1072870.69962813 27358.20412697
0.10000000 1062787.79628486 19321.48304509
0.10100000 1052706.46505082 24159.61450919
0.10200000 1042629.51124264 25773.80273022
0.10300000 1032558.16634076 22551.07141370
0.10400000 1022496.18136885 20935.61029844
0.10500000 1012445.07904597 17707.66526565
0.10600001 1002402.63253856 17697.41931019
0.10700001 992377.10197477 17684.16078937
0.10800001 982365.87952162 19274.01946328
0.10900001 972373.42741745 20857.41099977
0.11000001 962400.25462242 17626.36149307
0.11100001 952448.69164507 17601.25265015
0.11200001 942520.11705783 20768.43175709
0.11300001 932616.55693821 22326.84142427
0.11400001 922740.03692697 17508.99302509
0.11500001 912892.89771149 20649.63831858
0.11600001 903075.32199355 19018.76717681
0.11700001 893291.00309692 17392.37664939
0.11800001 883538.26289323 28388.08572379
0.11900001 873820.73626868 17301.65139306
0.12000001 864139.28627341 17252.54166313
0.12100001 854498.95707282 25019.73064172
0.12200001 844897.19296112 18706.02473342
0.12300001 835337.86448206 18644.74201368
0.12400001 825819.38662221 21677.75992023
0.12500001 816345.41982714 24686.28665880
0.12600001 806918.67145730 15371.80141563
0.12700001 797538.07996505 24500.37097114
0.12800001 788205.18465741 16776.94814612
0.12900001 778923.03559781 16707.89990105
0.13000001 769691.95276948 25711.56089418
0.13100001 760511.45912747 16563.94036058
0.13200001 751385.97045612 19487.19606241
0.13300001 742314.64124057 16412.57749157
0.13400001 733298.33709214 17819.15043143
0.13500001 724339.59542058 17731.83413192
0.13600001 715438.10618128 16172.47915277
0.13700001 706596.26683155 16089.19775441
0.13800001 697811.95843054 14549.38001936
0.13900001 689091.27977405 23153.46809228
0.14000001 680430.32784834 20147.54295776
0.14100001 671833.86297127 17172.07434743
0.14200001 663299.90876935 18496.11882841
0.14300001 654831.97655198 14144.37136068
0.14400001 646425.44735240 15465.72955742
0.14500001 638088.33565395 20961.20281502
0.14600001 629816.32829600 18053.68590228
0.14700001 621613.53844638 13799.82120454
0.14800001 613476.56689362 13711.20191695
0.14900001 605408.94477719 14983.87209019
0.15000001 597410.23410584 13531.34244095
0.15100001 589482.07963302 14784.21125479
0.15200001 581624.77808147 16017.94714420
0.15300001 573838.53891085 15906.80504924
0.15400001 566121.33501303 15794.78599224
0.15500001 558477.92325610 15682.06082511
0.15600001 550905.17962782 15568.58111104
0.15700001 543407.97125633 15454.52343193
0.15800001 535980.12030843 14061.43911997
0.15900001 528628.10962152 22836.73541356
0.16000001 521347.09734053 12590.53299508
0.16100001 514142.21498679 14992.38769672
0.16200001 507010.93877452 19834.26886116
0.16300001 499953.33274166 13528.73782265
0.16400001 492970.58031912 15861.32917057
0.16500001 486061.99329108 20575.00514738
0.16600001 479229.11493590 16806.56585429
0.16700001 472469.02976241 14287.46413459
0.16800001 465784.12240928 12988.39086665
0.16900001 459176.30169463 14050.79549531
0.17000001 452641.16233797 16254.34490708
0.17100001 446181.46437278 13813.77878929
0.17200001 439795.95858830 13695.24679717
0.17300001 433486.06254581 13576.78412009
0.17400001 427250.78794761 14579.93382726
0.17500001 421089.10232375 15563.45395691
0.17600001 415000.75185479 13221.92457855
0.17700001 408989.54312526 12012.02344892
0.17800001 403050.37447720 12986.28367902
0.17900001 397184.48522299 11796.37976831
0.18000001 391394.07424973 17002.15938851
0.18100001 385676.99528618 11581.88071553
0.18200001 380030.61975721 13561.39330665
0.18300001 374458.12337292 12402.05363198
0.18400001 368957.48997922 11262.42791366
0.18500001 363529.82534822 13185.22738828
0.18600001 358173.87187250 10046.77758067
0.18700001 352888.21613515 10946.59298168
0.18800001 347672.36124804 10842.16309777
0.18900001 342530.60540889 11714.54725847
0.19000001 337454.87344457 13535.31561339
0.19100001 332451.67337701 10532.06951022
0.19200001 327515.70052884 11377.89597399
0.19300001 322650.82108269 12205.88113832
0.19400001 317851.86786975 11156.60108942
0.19500001 313122.05956991 10126.36788501
0.19600001 308457.76350977 13672.39101368
0.19700001 303862.48394906 9024.71619977
0.19800001 299331.61738859 9828.55412144
0.19900001 294866.91971661 9730.60881052
0.20000001 290465.92604982 13136.32212644
0.20100001 286131.15752561 10403.72937934
0.20200001 281858.57049139 11157.37204024
0.20300001 277650.23242142 14443.36577322
0.20400001 273504.57177022 10092.31917534
0.20500001 269420.02527048 10822.60292667
0.20600001 265396.97835474 9888.69188092
0.20700001 261434.90264449 11419.47708730
0.20800001 257532.41789487 11303.09835571
0.20900001 253691.81236782 9589.55096081
0.21000001 249907.09776722 11073.38402553
0.21100001 246181.89387793 8611.44305494
0.21200001 242513.13872517 10072.78369314
0.21300001 238901.21128117 11503.09386700
0.21400001 235345.89801960 9107.88668395
0.21500001 231846.69147868 12770.11637039
0.21600001 228401.00931011 8177.89852499
0.21700001 225009.94715422 7357.82561982
0.21800001 221672.22647416 8010.12628237
0.21900001 218386.25754401 9368.77089161
0.22000001 215151.99880813 7845.51800749
0.22100001 211970.26135288 7764.47104049
0.22200001 208839.13675272 7684.23640016
0.22300001 205756.98223676 8987.46540908
0.22400001 202723.25435915 8894.48320560
0.22500001 199740.48022106 7448.32285965
0.22600001 196803.46777243 8711.50591290
0.22700001 193914.54325319 7295.06546216
0.22800001 191071.02440882 6563.28999882
0.22900001 188273.22896386 7794.51204771
0.23000001 185520.72330177 8356.78137634
0.23100001 182813.83660938 6361.92181488
0.23200001 180148.44192070 8185.04484577
0.23300001 177527.46196120 9346.82131431
0.23400001 174946.92330367 8633.63107337
0.23500001 172408.81295106 7934.25394727
0.23600001 169911.47159453 6040.35310088
0.23700001 167454.21898794 7771.55067081
0.23800001 165036.55696646 8874.84127064
0.23900001 162657.77194592 7612.38408713
0.24000001 160316.60495949 5795.44554341
0.24100001 158014.20213890 5735.91580896
0.24200001 155748.52798041 6244.73752476
0.24300001 153518.62987651 6180.66033119
0.24400001 151324.08821229 7785.62470681
0.24500001 149164.36716840 6054.58194977
0.24600001 147039.06862013 5992.57752509
0.24700001 144948.71197742 7009.72004283
0.24800001 142890.53403751 8005.44254816
0.24900001 140863.72376393 5810.62888015
0.25000001 138870.55535855 6797.01965358
0.25100001 136907.64084126 6210.13088235
0.25200001 134977.78977352 7683.61104637
0.25300001 133075.80064199 6084.22589320
0.25400001 131205.21099894 5520.45951396
0.25500001 129361.38293875 8444.71147778
0.25600001 127548.21530275 5900.38071907
0.25700001 125761.90928704 6327.08195559
0.25800001 124002.84065873 5299.26164628
0.25900001 122272.12843831 5722.33588166
0.26000001 120566.48899425 6136.23174770
0.26100001 118886.99304798 5606.71085743
0.26200001 117233.52438693 5549.83530708
0.26300001 115604.07983856 6866.88266733
0.26400001 113999.91209267 4531.49672011
0.26500001 112419.73340774 6279.76660531
0.26600001 110862.45684345 5772.05408869
0.26700001 109328.81160011 5713.52396459
0.26800001 107818.08397160 5220.55187295
