# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700829.81872683 561.27385351
0.00200000 1700580.71705149 841.78748160
0.00300000 1700165.75688413 1428.13928666
0.00400000 1699584.80026586 1402.15751350
0.00500000 1698838.35804802 2140.53641587
0.00600000 1697926.36912966 1782.82276017
0.00700000 1696849.36135302 2443.46318190
0.00800000 1695607.17941234 2517.97676774
0.00900000 1694201.02165009 3049.56196933
0.01000000 1692630.36535649 2792.84022343
0.01100000 1690896.37043056 3652.33631915
0.01200000 1688999.09010563 3293.54837011
0.01300000 1686939.60413539 4251.08798991
0.01400000 1684717.98469477 4548.73876033
0.01500000 1682335.64380262 4441.36629741
0.01600000 1679791.96927608 4711.81668445
0.01700000 1677089.29211495 7245.02606694
0.01800000 1674227.58585867 4771.54883441
0.01900000 1671207.38237143 5514.98461068
0.02000000 1668030.06637970 5254.29494678
0.02100000 1664697.60681699 6592.20282188
0.02200000 1661208.38558263 8596.75378596
0.02300000 1657565.85590189 7160.68482344
0.02400000 1653769.47081543 6201.63579834
0.02500000 1649821.98548399 7721.16724470
0.02600000 1645723.14744005 7998.21486238
0.02700000 1641475.09557920 8962.45443235
0.02800000 1637077.81169202 8545.54656893
0.02900000 1632534.12964857 11754.24627316
0.03000000 1627844.92502178 8326.42717421
0.03100000 1623010.58358296 8569.49627563
0.03200000 1618033.06381704 12814.82245566
0.03300000 1612915.87765350 9048.45849077
0.03400000 1607656.93740242 8440.19931080
0.03500000 1602259.92461974 10382.64479099
0.03600000 1596725.84204575 11520.37748276
0.03700000 1591056.64510080 9069.02329649
0.03800000 1585253.85728478 10201.10904373
0.03900000 1579319.45058634 11371.10057082
0.04000000 1573253.36321239 10643.05949532
0.04100000 1567059.99238085 15795.96545560
0.04200000 1560739.53917084 10066.77049468
0.04300000 1554293.45971166 13335.83850335
0.04400000 1547725.01722958 13581.28765693
0.04500000 1541035.63627512 12759.77566124
0.04600000 1534225.25032526 16224.43277641
0.04700000 1527298.45793065 15395.16917194
0.04800000 1520255.74239750 18995.59638509
0.04900000 1513100.48201544 12483.07955768
0.05000000 1505832.31154961 16127.46480769
0.05100000 1498456.31018865 14025.55171673
0.05200000 1490970.33118864 13038.53615386
0.05300000 1483381.09053642 18023.08109022
