# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664568.82333366 599.24479063
0.00200000 1664322.98979106 823.83990603
0.00300000 1663913.47718299 1497.52218281
0.00400000 1663340.16186351 1497.00620256
0.00500000 1662603.51498408 2094.88051180
0.00600000 1661703.50336614 2617.18312435
0.00700000 1660640.65120926 2989.15329641
0.00800000 1659414.81157323 3136.29412629
0.00900000 1658027.12773636 2984.44895750
0.01000000 1656477.15031834 3006.50615765
0.01100000 1654765.98357617 5361.44202022
0.01200000 1652893.64735763 3545.45702903
0.01300000 1650861.28509799 5200.21327741
0.01400000 1648668.93428715 4080.45579325
0.01500000 1646318.00711392 4346.27973232
0.01600000 1643807.91049225 5030.05243097
0.01700000 1641140.89269655 5317.29673086
0.01800000 1638316.98871736 6069.96471633
0.01900000 1635336.67410867 6377.81331681
0.02000000 1632201.40575324 7712.15199105
0.02100000 1628913.02669519 5912.95455499
0.02200000 1625469.95022125 10094.16884948
0.02300000 1621875.83859528 8174.25459860
0.02400000 1618129.75810488 10922.37636524
0.02500000 1614234.62957936 7554.61841146
0.02600000 1610190.26094835 6521.27085511
0.02700000 1605998.78246640 9443.27327341
0.02800000 1601660.13948880 8360.66631155
0.02900000 1597176.86084139 9343.48506492
0.03000000 1592550.28223157 8886.43098332
0.03100000 1587780.59276625 9145.61663515
0.03200000 1582869.45586371 7835.20416740
0.03300000 1577820.76464101 8046.88627063
0.03400000 1572632.49394548 12384.48146125
0.03500000 1567307.82026873 10156.15514433
0.03600000 1561848.14460202 9535.08336345
0.03700000 1556255.22399230 13305.98278050
0.03800000 1550530.67894558 9070.60489162
0.03900000 1544676.36970009 10194.86451214
0.04000000 1538692.32042538 12301.84567186
0.04100000 1532582.67562788 10620.79843455
0.04200000 1526347.89637287 9844.94438834
0.04300000 1519989.22469910 12038.31521841
0.04400000 1513510.09976256 12259.43237743
0.04500000 1506911.84044716 17676.07670976
0.04600000 1500194.48861448 12691.64596367
0.04700000 1493362.34457836 17203.53500964
0.04800000 1486415.98157038 12017.67377016
0.04900000 1479358.82849940 11095.19173020
0.05000000 1472190.46638014 11262.25759225
0.05100000 1464916.00620759 15996.88353299
0.05200000 1457533.31976432 17381.08564817
0.05300000 1450048.76854842 14094.47468734
0.05400000 1442461.83909899 16660.43501853
0.05500000 1434775.52141504 14462.53793053
0.05600000 1426990.51172797 21961.38500030
0.05700000 1419112.59255987 16050.16417105
0.05800000 1411140.13982424 12488.59082057
0.05900000 1403075.68468808 16415.98627757
0.06000000 1394923.67781853 20421.68359734
0.06100000 1386684.92114848 14185.78740627
0.06200000 1378361.70452562 19538.27807494
0.06300000 1369957.39692472 14466.75078792
