# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682650.54711796 605.75421135
0.00200000 1682403.27073377 984.20594454
0.00300000 1681991.35227009 1614.71175570
0.00400000 1681414.66581525 1387.16715201
0.00500000 1680673.70002182 1815.12766787
0.00600000 1679768.39424186 2469.25964006
0.00700000 1678699.28635376 2215.88315008
0.00800000 1677466.21846200 2717.49538864
0.00900000 1676070.40765323 3016.92686274
0.01000000 1674511.27940289 4697.00434154
0.01100000 1672790.02840430 3312.12440045
0.01200000 1670906.67128475 3909.92178223
0.01300000 1668862.36747261 4205.53335152
0.01400000 1666657.13382944 4124.97658909
0.01500000 1664292.26195519 3994.30160655
0.01600000 1661767.32919871 4661.25756678
0.01700000 1659084.57394264 5823.38711577
0.01800000 1656243.92737867 6608.41356760
0.01900000 1653246.03582908 6943.63366380
0.02000000 1650092.08556747 7796.68545699
0.02100000 1646784.17989463 6521.26564805
0.02200000 1643320.79497477 5669.45700024
0.02300000 1639705.17499758 8264.11445816
0.02400000 1635936.91217228 6134.76370038
0.02500000 1632018.46122224 6364.87228945
0.02600000 1627949.99813260 7911.83735280
0.02700000 1623733.45264151 6819.68081344
0.02800000 1619368.80059959 7044.25460565
0.02900000 1614858.65690603 9446.92357665
0.03000000 1610204.36654269 10482.43090802
0.03100000 1605406.04498138 10017.73418163
0.03200000 1600465.55640521 7922.30486909
0.03300000 1595386.31541226 8136.47058370
0.03400000 1590166.65518141 8348.37532490
0.03500000 1584809.83457399 12836.96025284
0.03600000 1579317.10904368 9641.73139629
0.03700000 1573690.24127173 8970.03479009
0.03800000 1567930.80447924 10089.63519377
0.03900000 1562040.95217087 10309.47076176
0.04000000 1556020.38059828 16268.19383301
0.04100000 1549873.41493260 10740.62326349
0.04200000 1543600.54344346 10951.84636382
0.04300000 1537202.77629069 15218.30819168
0.04400000 1530683.77104468 14464.96230815
0.04500000 1524044.87946336 16825.45625107
0.04600000 1517286.07871012 14975.61429304
0.04700000 1510411.57292841 13049.95659703
0.04800000 1503421.93144690 14365.19722336
0.04900000 1496321.01356440 11222.40812411
0.05000000 1489108.11367624 18226.68416014
0.05100000 1481788.11801858 12713.74264486
0.05200000 1474359.11756253 15237.50219010
0.05300000 1466827.51967533 14257.56415590
0.05400000 1459192.79525488 13242.17523447
0.05500000 1451457.93875640 13411.47197974
0.05600000 1443623.90056139 12342.98492577
0.05700000 1435695.76136878 13739.60907764
0.05800000 1427672.41205258 17688.86201127
0.05900000 1419556.77912538 15331.21393061
0.06000000 1411352.40450028 14205.26261495
0.06100000 1403060.70233417 14353.31165563
0.06200000 1394684.02368716 14497.74110390
0.06300000 1386225.16988061 14638.53847837
0.06400000 1377683.15866633 14775.65256771
0.06500000 1369064.53930746 18975.23540242
0.06600000 1360369.60298307 13671.71514966
0.06700000 1351600.45272808 16543.59031561
0.06800000 1342759.99767874 16677.07995181
0.06900000 1333850.72630621 16806.51993832
0.07000000 1324873.76215982 22575.84996440
0.07100000 1315831.98819593 14210.98613813
0.07200000 1306727.88445400 17170.40520610
0.07300000 1297564.33637189 14402.96480859
0.07400000 1288343.51731133 15943.25177389
0.07500000 1279066.84756647 18955.77156944
0.07600000 1269735.79805650 20531.62881711
0.07700000 1260355.60577312 16220.77740687
0.07800000 1250926.70560814 20752.87501927
0.07900000 1241450.77795117 16387.15103757
0.08000000 1231932.27159385 22451.96670304
0.08100000 1222372.01586509 21049.24710079
0.08200000 1212771.74117178 18118.81066333
0.08300000 1203135.22775088 18191.40549735
0.08400000 1193463.78012551 16738.33030193
0.08500000 1183760.02976233 15270.50510081
0.08600000 1174025.95171570 22981.55908385
0.08700000 1164265.12109042 18441.96038406
0.08800000 1154477.35634943 21577.18280352
0.08900000 1144667.68863713 21634.22033139
0.09000000 1134836.41236173 17039.56953205
0.09100000 1124985.74649858 17077.28443416
0.09200000 1115118.28827833 29556.21161957
0.09300000 1105238.54857057 21817.40997403
0.09400000 1095343.68215880 26534.70194736
0.09500000 1085438.99876925 15630.32231694
0.09600000 1075526.46701143 20343.58407983
0.09700000 1065609.78340333 15664.46455246
0.09800000 1055688.75970922 17244.67670065
0.09900000 1045766.85716679 17255.15395463
0.10000000 1035844.09960068 20400.95050103
0.10100000 1025923.47949787 20405.61896693
0.10200000 1016008.08602401 21976.25593438
0.10300000 1006098.42304771 17264.64975164
0.10400000 996198.22168079 20397.15954850
0.10500000 986309.94173287 23523.49321709
0.10600001 976430.47110104 17238.88077844
0.10700001 966568.10790739 15658.40408495
0.10800001 956720.80523572 17206.62449194
0.10900001 946892.63291468 18748.47501412
0.11000001 937083.68041315 21843.42161859
0.11100001 927296.40754906 17136.43841818
0.11200001 917532.71790956 18662.61636086
0.11300001 907794.17441824 21732.59355876
0.11400001 898083.03273902 15491.93304418
0.11500001 888401.32611185 18549.82056269
0.11600001 878749.43511881 18506.46397510
0.11700001 869130.64228438 23075.41963939
0.11800001 859543.97328918 16877.14671042
0.11900001 849992.62870680 18359.84164485
0.12000001 840477.19745592 16780.12803763
0.12100001 831002.55226641 16728.08216515
0.12200001 821566.56975159 15157.90392603
0.12300001 812173.00543866 16617.06047418
0.12400001 802820.97572141 18063.47280484
0.12500001 793512.60204138 20996.34443937
0.12600001 784251.79789370 19421.99669007
0.12700001 775036.92150993 25297.20631025
0.12800001 765869.86636675 16301.54087390
0.12900001 756753.05305744 22135.02784520
0.13000001 747687.20846882 19099.67064060
0.13100001 738671.96151091 19013.41718554
0.13200001 729711.08418419 17469.28417888
0.13300001 720804.21951789 17385.79859439
0.13400001 711952.22773832 15858.73662054
0.13500001 703157.52781872 14344.41424382
0.13600001 694420.20362835 15697.36944316
0.13700001 685741.74748192 15614.34032643
0.13800001 677121.10543232 18353.36842821
0.13900001 668562.66012891 14039.81652480
0.14000001 660064.48358326 18148.47383201
0.14100001 651629.96950309 16655.66280603
0.14200001 643257.55127073 16557.45015065
0.14300001 634950.32852254 13714.92774299
0.14400001 626704.84899590 14993.91421949
0.14500001 618527.63016253 14900.33131350
0.14600001 610415.76730202 16151.60196475
0.14700001 602371.95490400 17384.45543867
0.14800001 594393.61438014 19927.04686223
0.14900001 586484.28864143 22433.02509894
0.15000001 578643.37507007 14416.90037010
0.15100001 570871.67166598 16920.63714658
0.15200001 563170.89792775 15509.72726079
0.15300001 555540.39037303 16682.87871015
0.15400001 547978.66736533 12740.50461748
0.15500001 540489.93777499 15176.95816897
0.15600001 533070.90254169 18830.73052100
0.15700001 525726.72633230 17443.61360299
0.15800001 518451.55050112 18547.60509460
0.15900001 511251.27206819 18405.04666318
0.16000001 504121.34594877 18261.79661900
0.16100001 497067.02625440 13286.60223896
0.16200001 490085.23420393 15577.35990452
0.16300001 483176.65539290 15451.99016892
0.16400001 476342.33602440 12968.42071050
0.16500001 469580.88893788 12861.82115523
0.16600001 462894.01117792 17393.24329120
0.16700001 456280.06809118 13797.90991054
0.16800001 449740.46798457 21661.75066327
0.16900001 443276.19293835 12433.89779903
0.17000001 436884.26888412 13447.29843123
0.17100001 430567.08802900 11108.63139571
0.17200001 424323.45417669 14314.55240263
0.17300001 418153.80844632 12005.19640743
0.17400001 412058.47178192 11898.18893461
0.17500001 406035.90683327 11791.28329131
0.17600001 400085.69150835 16995.64097796
0.17700001 394211.66780468 15788.17804126
0.17800001 388408.47662028 12514.52170779
0.17900001 382678.11424374 12398.77148714
0.18000001 377021.91023807 11259.75988112
0.18100001 371438.00386794 10140.25798458
0.18200001 365924.50902419 12053.55389664
0.18300001 360483.27219978 17908.80980889
0.18400001 355113.52378810 10839.84082571
0.18500001 349815.35866410 15615.75834849
0.18600001 344588.13181088 10632.26730933
0.18700001 339430.31330335 10529.12881612
0.18800001 334341.38424189 11374.29442930
0.18900001 329325.56190516 9385.77895775
0.19000001 324374.50041659 11151.99585124
0.19100001 319494.96529451 15642.47423993
0.19200001 314681.88946690 11843.05346969
0.19300001 309938.71547428 13528.82556972
0.19400001 305260.86331710 10714.65680874
0.19500001 300650.36592549 9723.03329349
0.19600001 296105.12300853 10499.88815807
0.19700001 291627.42733131 12125.86900147
0.19800001 287213.58201709 12859.98874256
0.19900001 282864.76886145 10183.13216027
0.20000001 278578.52732009 11758.80019392
0.20100001 274357.43483254 9144.33373515
0.20200001 270197.71071732 11518.52895229
0.20300001 266100.95286246 9771.22745094
0.20400001 262066.10359115 9670.23967958
0.20500001 258091.55376019 10367.53820459
0.20600001 254177.09364279 11049.07878292
0.20700001 250322.67290816 7810.06776391
0.20800001 246526.84079116 8501.47850655
0.20900001 242791.98214494 8412.74257900
0.21000001 239111.77552675 8324.67685849
0.21100001 235490.41402705 8986.31462409
0.21200001 231924.39231381 14078.97090099
0.21300001 228414.02156275 8065.29948267
0.21400001 224959.33563297 11607.90226744
0.21500001 221559.94710785 7896.39688825
0.21600001 218212.72418529 9233.67186046
0.21700001 214919.12584289 8433.42689680
0.21800001 211678.38554289 7648.99882324
0.21900001 208488.15631579 7568.12043210
0.22000001 205348.54427460 8168.76547748
0.22100001 202260.80558777 6735.28514454
0.22200001 199222.05522531 8663.17148111
0.22300001 196231.84330757 7252.72927160
0.22400001 193289.26580927 7828.21563544
0.22500001 190396.40227394 7745.32601076
0.22600001 187548.16510702 7024.61685626
0.22700001 184747.24275655 7582.02720128
0.22800001 181991.00232893 6251.39122563
0.22900001 179279.21931093 9277.70003809
0.23000001 176612.02025010 9179.41018661
0.23100001 173989.06443869 7265.78367458
