# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 433.73277272
0.00100000 1700829.75212125 765.37340663
0.00200000 1700580.44275407 1071.36571286
0.00300000 1700165.13504088 1224.11894084
0.00400000 1699583.69360628 2166.96929169
0.00500000 1698836.63795493 1834.74364161
0.00600000 1697923.87646711 1961.10215716
0.00700000 1696845.95486180 2239.83675351
0.00800000 1695602.71302639 2746.87651108
0.00900000 1694195.43050858 2541.29325440
0.01000000 1692623.43632401 3630.67742769
0.01100000 1690888.02429447 4869.75772199
0.01200000 1688989.13906967 3622.88186215
0.01300000 1686927.94518421 4251.05860936
0.01400000 1684704.52954813 4548.70243143
0.01500000 1682320.15740879 7267.62340362
0.01600000 1679774.38301358 5996.79481544
0.01700000 1677069.48470556 4528.08781183
0.01800000 1674205.36083493 6680.07969032
0.01900000 1671182.71752211 5514.90321667
0.02000000 1668002.71719097 6830.47143588
0.02100000 1664667.45211017 7141.42369333
0.02200000 1661175.40223220 6304.16093788
0.02300000 1657529.83305616 7757.23997180
0.02400000 1653730.37678251 10542.53163270
0.02500000 1649779.54260315 7720.96861200
0.02600000 1645677.32522963 7331.49281923
0.02700000 1641425.82068058 8272.78651513
0.02800000 1637024.97061378 7833.16484361
0.02900000 1632477.40508319 7346.14866017
0.03000000 1627784.35458035 7569.19759672
0.03100000 1622946.23804487 11685.21345160
0.03200000 1617964.60862082 8809.81769970
0.03300000 1612843.16058069 9870.60059779
0.03400000 1607579.98468499 9283.77483991
0.03500000 1602178.52092235 9516.94085375
0.03600000 1596639.97087874 10633.62269747
0.03700000 1590966.12427996 10882.20879335
0.03800000 1585158.70483352 12055.13250817
0.03900000 1579219.45198817 13265.44401102
0.04000000 1573148.55441607 9674.86405798
0.04100000 1566950.07040474 11846.14308152
0.04200000 1560624.61114618 14092.44089244
0.04300000 1554173.27711859 12309.05292614
0.04400000 1547599.53913943 12535.55684921
0.04500000 1540904.85657419 12758.69280527
0.04600000 1534089.13761239 14059.92759982
0.04700000 1527156.83879870 12095.08272580
0.04800000 1520108.24598073 17876.47380449
0.04900000 1512947.41267674 12481.81673558
0.05000000 1505673.70837173 18429.44704866
0.05100000 1498291.88970437 12855.34501252
0.05200000 1490799.98188866 23703.72081665
0.05300000 1483204.55613265 14416.74895769
0.05400000 1475505.15760002 15824.79355323
0.05500000 1467704.65031300 13561.59160153
0.05600000 1459804.05557586 12481.32525760
0.05700000 1451808.52135379 13893.80819790
0.05800000 1443716.72839276 15332.27237143
0.05900000 1435531.88627247 18087.70261183
0.06000000 1427257.59483708 16977.22988374
0.06100000 1418895.01421121 22432.73122299
0.06200000 1410446.61154303 13328.72110211
