# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664569.21537492 499.37077647
0.00200000 1664324.55245655 1123.41910848
0.00300000 1663916.99333606 1198.02027788
0.00400000 1663346.39364984 1746.51377970
0.00500000 1662613.28916770 1945.25762532
0.00600000 1661717.55288383 1919.28385172
0.00700000 1660659.75171030 2590.62932034
0.00800000 1659439.74139714 2464.26812002
0.00900000 1658058.67978428 2487.08812599
0.01000000 1656516.04801973 4099.87739588
0.01100000 1654813.03903298 3872.26267993
0.01200000 1652949.54512699 5157.20280691
0.01300000 1650926.86932333 6240.50384128
0.01400000 1648744.93567974 4822.57915065
0.01500000 1646405.13322460 5531.92149396
0.01600000 1643906.92501576 6707.14055390
0.01700000 1641252.55028605 4874.52029301
0.01800000 1638441.95823591 5136.51577020
0.01900000 1635475.73268573 4906.42741945
0.02000000 1632355.18152374 5656.11095984
0.02100000 1629082.23681687 6988.76311280
0.02200000 1625655.44172558 6730.21383451
0.02300000 1622078.15086053 7007.37793068
0.02400000 1618349.66840255 7889.45499320
0.02500000 1614472.66951377 8815.02117813
0.02600000 1610447.21722882 8479.00498652
0.02700000 1606275.30775186 8770.26358201
0.02800000 1601956.83590670 8362.21506692
0.02900000 1597494.36965061 9345.34249154
0.03000000 1592889.19574112 7406.93510066
0.03100000 1588141.66480457 11434.62051274
0.03200000 1583253.29824694 9404.52502474
0.03300000 1578227.79074081 12878.33936614
0.03400000 1573063.29311983 9084.44093693
0.03500000 1567763.03798847 11005.69703490
0.03600000 1562328.36425808 12139.29195129
0.03700000 1556761.02733801 8873.53826621
0.03800000 1551062.42806216 9981.08718650
0.03900000 1545234.91565118 12052.83290025
0.04000000 1539277.88282805 12306.52724348
0.04100000 1533195.74831033 12556.87376088
0.04200000 1526989.21754939 11818.89709214
0.04300000 1520658.98839509 11039.98476820
0.04400000 1514208.81193330 10220.90995523
0.04500000 1507640.11355259 11442.98899356
0.04600000 1500952.71383503 11639.88883689
0.04700000 1494150.76383774 15061.04039994
0.04800000 1487234.95508020 10931.17742845
0.04900000 1480208.77672760 16652.34951331
0.05000000 1473072.05753629 16903.50264736
0.05100000 1465829.30682337 14863.50986359
0.05200000 1458478.83892182 12754.39804074
0.05300000 1451026.60253054 14103.97923409
0.05400000 1443472.47053279 13099.51328097
0.05500000 1435819.17916255 21709.58700167
0.05600000 1428067.60063923 14651.97426628
0.05700000 1420223.20373429 13591.53669417
0.05800000 1412284.44600542 12498.71793074
0.05900000 1404254.25647991 17693.60445804
