# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682650.77763428 605.75429433
0.00200000 1682404.19754370 908.49829544
0.00300000 1681993.44345344 1715.63337344
0.00400000 1681418.36911672 1639.38297218
0.00500000 1680679.49654810 1663.87276744
0.00600000 1679776.74175324 2116.51878078
0.00700000 1678710.63446571 2820.23398311
0.00800000 1677481.03494864 3170.43928991
0.00900000 1676089.13167297 3268.37394648
0.01000000 1674534.38482404 3868.17459597
0.01100000 1672817.95504920 4215.50143026
0.01200000 1670939.87007442 4561.66604530
0.01300000 1668901.29455033 5607.50859701
0.01400000 1666702.15344553 4875.10401495
0.01500000 1664343.97972243 6790.52373964
0.01600000 1661826.08942439 4661.42238922
0.01700000 1659150.80587131 7167.53180289
0.01800000 1656318.06686624 5192.55737328
0.01900000 1653328.48707544 5455.98425354
0.02000000 1650183.34506918 5717.88554932
0.02100000 1646884.63413494 5978.19149295
0.02200000 1643430.81538924 7937.77119896
0.02300000 1639825.22274622 6493.70817766
0.02400000 1636067.26999895 6748.77779647
0.02500000 1632159.72556067 7001.96554244
0.02600000 1628102.42968585 9231.34119854
0.02700000 1623897.52830118 7502.40692437
0.02800000 1619544.83512848 7045.02035589
0.02900000 1615047.08109056 10174.79707804
0.03000000 1610405.44719887 9734.90137578
0.03100000 1605620.14560837 10019.07016961
0.03200000 1600693.03187071 9508.11704724
0.03300000 1595627.64318364 9765.24162647
0.03400000 1590422.05080174 10854.63099756
0.03500000 1585079.72274352 10271.31707769
0.03600000 1579601.77914644 9643.46930735
0.03700000 1573990.08874715 9868.91831286
0.03800000 1568246.06491255 14678.78384691
0.03900000 1562371.95110133 10311.65535480
0.04000000 1556367.33934729 11485.99149663
0.04100000 1550236.65330767 9766.49136868
0.04200000 1543980.39023306 12946.27617272
0.04300000 1537599.53622268 13192.60463316
0.04400000 1531097.69753739 15502.36490753
0.04500000 1524476.19737165 12622.66350075
0.04600000 1517734.97683854 11770.03529253
0.04700000 1510878.42301753 13053.99018199
0.04800000 1503907.06390167 13264.46092078
0.04900000 1496824.23924714 13471.41878029
0.05000000 1489629.91078285 12535.23628296
0.05100000 1482328.66991131 17343.24624588
0.05200000 1474918.60827800 17588.40522336
0.05300000 1467406.23115004 15451.78833434
0.05400000 1459790.83605913 14451.92995093
0.05500000 1452075.43996890 18296.15139711
0.05600000 1444260.94116206 13583.27478548
0.05700000 1436352.71398956 14995.52303402
0.05800000 1428349.24464918 13904.98054592
0.05900000 1420253.50842331 15338.73860738
0.06000000 1412069.29103527 14212.47807826
0.06100000 1403798.01462659 14360.85436073
0.06200000 1395441.54360240 14505.61552379
0.06300000 1387003.32106398 17309.80225620
0.06400000 1378482.04282154 17472.26070988
0.06500000 1369883.69361128 17630.40396149
0.06600000 1361209.56123867 16416.18807663
0.06700000 1352461.12408888 20692.65616695
0.06800000 1343641.28010094 15297.35669000
0.06900000 1334752.85306210 18219.37729731
0.07000000 1325796.76422815 15531.70982026
0.07100000 1316775.84966513 17065.41581097
0.07200000 1307692.57439116 18615.00466851
0.07300000 1298549.75292685 18738.07381272
0.07400000 1289349.61510554 21757.77577457
0.07500000 1280093.82522768 20430.29840825
0.07600000 1270783.35263594 14677.54841104
0.07700000 1261423.92232185 20662.12481645
0.07800000 1252015.49142160 16320.02269603
0.07900000 1242560.08211821 17892.86602174
0.08000000 1233062.02625502 16479.87475399
0.08100000 1223522.02985503 19564.11817530
0.08200000 1213942.29749848 18136.29877568
0.08300000 1204325.57533394 24279.20473820
0.08400000 1194674.29063911 16755.30771269
0.08500000 1184990.24240543 19872.28729805
0.08600000 1175276.16844268 19938.56113378
0.08700000 1165534.93828921 18462.07428944
0.08800000 1155766.62339243 21601.27920568
0.08900000 1145976.31431122 24753.08955177
0.09000000 1136164.10052023 17059.50477069
0.09100000 1126332.55317071 21760.74594960
0.09200000 1116483.65389057 23362.42155538
0.09300000 1106622.47137236 18724.05309550
0.09400000 1096745.91733606 17191.49306220
0.09500000 1086859.41185317 21911.08677284
0.09600000 1076964.58725348 18803.80257737
0.09700000 1067065.67312972 18823.03935893
0.09800000 1057162.19486415 20408.51713141
0.09900000 1047257.54148189 23563.29579135
0.10000000 1037351.59555828 17287.46515296
0.10100000 1027447.79028355 17291.94712374
0.10200000 1017548.44394083 15721.12419835
0.10300000 1007655.13321386 28294.95747166
0.10400000 997770.88645375 18857.87064115
0.10500000 987897.92697633 21990.60888914
0.10600001 978033.87682482 26685.65558482
0.10700001 968186.49784505 17253.08420349
0.10800001 958353.66073472 18802.89970851
0.10900001 948539.74061699 17215.99710248
0.11000001 938744.70983699 15630.10015449
0.11100001 928971.27937765 23410.07734231
0.11200001 919220.95500512 28045.43265750
0.11300001 909495.30752243 17107.60753994
0.11400001 899796.82472828 21730.09434034
0.11500001 890127.43875925 17037.03998009
0.11600001 880487.39990642 20088.32097485
0.11700001 870880.30261447 26204.78953978
0.11800001 861304.76667413 16911.71989016
0.11900001 851764.07247053 18398.10483194
0.12000001 842259.05762466 16815.70287758
0.12100001 832794.67174359 16764.15753193
0.12200001 823368.66956158 18229.38320290
0.12300001 813984.31068175 15140.10889200
0.12400001 804641.21326668 18104.42815154
0.12500001 795341.38331850 19541.53870894
0.12600001 786088.65056794 16472.48844889
0.12700001 776881.56449030 17899.35208939
0.12800001 767721.84057207 16340.96014671
0.12900001 758611.88981351 17751.51905830
0.13000001 749552.71972535 16201.58280052
0.13100001 740543.77367854 16129.04415100
0.13200001 731588.49408545 18973.74848853
0.13300001 722687.18036617 14526.01301016
0.13400001 713840.16785743 17346.31689674
0.13500001 705050.01955739 18697.92740024
0.13600001 696316.57640352 18602.09821572
0.13700001 687641.73616020 21351.27691456
0.13800001 679024.42202249 18404.95782682
0.13900001 670468.86117867 16895.81609848
0.14000001 661973.06518289 15400.80408779
0.14100001 653540.39342173 18096.53434733
0.14200001 645169.81096212 15222.78240764
0.14300001 636863.94159521 15131.88796604
0.14400001 628619.19414919 16406.96174121
0.14500001 620442.38383673 17663.99550108
0.14600001 612330.41324846 16202.26349889
0.14700001 604286.26905153 21464.24928932
0.14800001 596306.86027768 13327.45895598
0.14900001 588396.30854805 17210.59283704
0.15000001 580553.64861675 13149.54076160
0.15100001 572780.24496430 16977.20726181
0.15200001 565076.95841408 14265.36848830
0.15300001 557443.51887813 19315.41884060
0.15400001 549878.50001392 17898.54602010
0.15500001 542386.07281469 16499.38511368
0.15600001 534962.98193025 15118.05458284
0.15700001 527614.52369214 17506.25072234
0.15800001 520334.45152935 16132.97043112
0.15900001 513129.13235145 12315.09975771
0.16000001 505993.64812250 17107.64605054
0.16100001 498933.45163850 12124.08344712
0.16200001 491945.57497116 13230.87686343
0.16300001 485030.21924287 15511.26714364
0.16400001 478188.78227844 13018.69021214
0.16500001 471419.97379686 14086.02948207
0.16600001 464725.61948125 12805.51504939
0.16700001 458103.42999906 19625.15186776
0.16800001 451555.42901780 14881.00986591
0.16900001 445082.49927388 11349.60426739
0.17000001 438681.50062604 11252.18102238
0.17100001 432354.94765480 16732.13726435
0.17200001 426101.51626141 13268.80184297
0.17300001 419921.94436145 12055.95959195
0.17400001 413816.48284680 13035.21982528
0.17500001 407783.13528590 16148.21291996
0.17600001 401822.05394135 11735.21363960
0.17700001 395936.65069739 10571.50907292
0.17800001 390122.18442295 11522.25926115
0.17900001 384380.03619326 14529.56605439
0.18000001 378711.81953594 11310.22902468
0.18100001 373115.83105756 10186.06266903
0.18200001 367589.47945174 10090.33168760
0.18300001 362135.65510740 13992.92237437
0.18400001 356752.76715336 14849.83463428
0.18500001 351441.38718962 12746.77971555
0.18600001 346200.55863048 9710.92612836
0.18700001 341029.13517862 10578.72427303
0.18800001 335926.11610434 14285.25876226
0.18900001 330895.99702195 10373.58999676
0.19000001 325930.61071520 11205.49492583
0.19100001 321036.57030850 15717.95122498
0.19200001 316208.81791699 10985.09485350
0.19300001 311450.73047120 13594.82502746
0.19400001 306757.52567915 8972.65805011
0.19500001 302132.08598117 8882.68374760
0.19600001 297571.34088797 9672.55689265
0.19700001 293078.06337966 10445.30267247
0.19800001 288648.36745409 10339.38501083
0.19900001 284283.74944802 13645.62061840
0.20000001 279981.57817841 8441.44498103
0.20100001 275744.26652302 9190.55683758
0.20200001 271568.30126509 9096.18068079
0.20300001 267455.31643539 8184.13306974
0.20400001 263403.90615142 13769.43984489
0.20500001 259412.70534968 11222.19416387
0.20600001 255481.78711511 8725.98085138
0.20700001 251610.68367647 9420.30444214
0.20800001 247798.15228339 9322.16692956
0.20900001 244046.40235730 11531.19305648
0.21000001 240349.37352319 7607.05803161
0.21100001 236710.94528419 9032.89009906
0.21200001 233127.95003479 10427.81369803
0.21300001 229600.66129013 7370.18157584
0.21400001 226128.71017488 7292.65124791
0.21500001 222712.34348599 8659.05632411
0.21600001 219348.07562801 8567.73623910
0.21700001 216037.66869305 7770.87531029
0.21800001 212779.61520834 7688.79175908
0.21900001 209572.44009714 7607.47993522
0.22000001 206415.65434029 7526.94719141
0.22100001 203310.94647094 8801.33128888
0.22200001 200255.22766622 10047.80652326
0.22300001 197248.01494462 7290.28697708
0.22400001 194288.34673846 8524.40161624
0.22500001 191378.45519863 8434.04891943
0.22600001 188513.59352333 6418.88816301
0.22700001 185695.93392536 7620.96148869
0.22800001 182922.94753852 6911.74389960
0.22900001 180194.37744656 6838.37694749
0.23000001 177510.57142469 9841.18654519
0.23100001 174871.24277179 6694.07148988
0.23200001 172273.01706005 12041.88446200
0.23300001 169717.95626043 7148.52065577
0.23400001 167203.21189149 5893.91349793
0.23500001 164729.37367519 6414.56211430
0.23600001 162295.76477912 6923.53765294
0.23700001 159901.72887466 9133.58718532
0.23800001 157546.21804888 6777.63862104
0.23900001 155229.03460299 8382.36826504
0.24000001 152948.47752989 7187.81404150
0.24100001 150706.10458882 8205.94778301
0.24200001 148499.88321925 8119.23149907
0.24300001 146328.54205843 6426.74987121
0.24400001 144192.19002131 6888.78220413
0.24500001 142089.72671129 6291.73339640
0.24600001 140021.27167942 7781.68254170
0.24700001 137986.57951480 5133.10100078
0.24800001 135983.91356702 5586.89935320
0.24900001 134011.95178292 6030.53811552
0.25000001 132072.83780126 5967.05109415
0.25100001 130163.67998021 4920.18733602
0.25200001 128286.46752165 5842.16600733
0.25300001 126437.09618052 5780.70431086
0.25400001 124618.18992852 6196.63978737
0.25500001 122825.96634259 6603.12426298
0.25600001 121063.41861572 4666.99500844
0.25700001 119327.20372052 5079.75930272
0.25800001 117618.10988969 5026.41016396
0.25900001 115936.37237347 4521.51873650
0.26000001 114279.64710229 4921.45323532
0.26100001 112648.11223812 5312.48522452
0.26200001 111042.75481505 5256.76426168
0.26300001 109460.59791111 5201.56785886
0.26400001 107903.16656503 6862.64171826
0.26500001 106369.47569325 6790.62764958
0.26600001 104858.28578739 4199.57454451
0.26700001 103370.30007836 4571.03488577
0.26800001 101904.65954211 5345.40916923
0.26900001 100460.07787158 4882.36001560
0.27000001 99037.57525769  4428.46538721
0.27100001 97635.75060197  3983.53881307
0.27200001 96255.13762565  4335.81287953
0.27300001 94894.53443907  4290.18210502
0.27400001 93552.51171693  4244.94542005
0.27500001 92231.86442290  3818.39936782
0.27600001 90928.18150560  4533.67934443
0.27700001 89645.29130858  4112.02970693
0.27800001 88379.46478468  5178.15308680
0.27900001 87132.33442248  4025.51404084
0.28000001 85902.35054803  5069.09794575
0.28100001 84690.18122660  5731.83173670
0.28200001 83495.48814924  4607.69873160
0.28300001 82317.51735939  4208.07168658
0.28400001 81155.25091593  4857.14199721
0.28500001 80009.80288659  4118.90484756
0.28600001 78880.14990671  3735.36967563
0.28700001 77766.93399160  3359.53170745
0.28800001 76667.39070593  3988.23785330
0.28900001 75585.04653196  4274.33458370
0.29000001 74516.54133605  4228.44133826
0.29100001 73463.42720969  4183.00774332
