# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 479.57889103
0.00100000 1682650.69563347 656.23378688
0.00200000 1682403.86906373 832.78994156
0.00300000 1681992.69429292 1311.95434828
0.00400000 1681417.04350949 1891.59424582
0.00500000 1680677.41861786 1815.13168395
0.00600000 1679773.76168109 1763.76252157
0.00700000 1678706.58255852 2014.44798279
0.00800000 1677475.73816749 2491.05157635
0.00900000 1676082.44528402 3519.77328556
0.01000000 1674526.13699977 3315.56189442
0.01100000 1672807.97774081 4817.68718565
0.01200000 1670928.01507440 3258.30977225
0.01300000 1668887.34725945 4205.59630058
0.01400000 1666686.04418271 5625.06564848
0.01500000 1664325.47809080 6391.01012045
0.01600000 1661805.06779393 5085.12373477
0.01700000 1659127.12690767 8511.32254284
0.01800000 1656291.53677842 8024.73285679
0.01900000 1653298.95688777 4959.89709447
0.02000000 1650150.66408415 7277.16475780
0.02100000 1646848.64638968 7064.98101333
0.02200000 1643391.39014643 5669.70055359
0.02300000 1639782.17897340 5903.21611301
0.02400000 1636020.51459094 8589.10809324
0.02500000 1632109.04562991 10184.36090986
0.02600000 1628047.74685143 7912.31241159
0.02700000 1623838.58870177 10230.18357737
0.02800000 1619481.58409288 7749.21973526
0.02900000 1614979.30676765 10174.37009978
0.03000000 1610333.13147541 8985.65928666
0.03100000 1605543.15311739 10018.58973644
0.03200000 1600611.10164074 8715.32784985
0.03300000 1595540.74436732 8950.98398855
0.03400000 1590329.97472612 11688.92585357
0.03500000 1584982.36499676 11126.57671608
0.03600000 1579499.03371172 9642.84204644
0.03700000 1573881.77413818 11662.46448572
0.03800000 1568132.13561983 13760.36012689
0.03900000 1562252.15888214 10310.86472612
0.04000000 1556241.79195092 11485.06495680
0.04100000 1550105.06642104 10742.22860838
0.04200000 1543842.73587485 11949.34333004
0.04300000 1537455.66594064 13191.37022609
0.04400000 1530947.40730979 13434.06412305
0.04500000 1524319.52502663 11569.58573253
0.04600000 1517571.73387826 10698.88122120
0.04700000 1510708.55232212 13052.52249911
0.04800000 1503730.40713995 15473.38660942
