# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 249.69761198
0.00100000 1664569.20547764 798.99323760
0.00200000 1664324.51980469 898.73526915
0.00300000 1663916.91523449 1297.85524012
0.00400000 1663346.25937597 1497.01169032
0.00500000 1662613.06540582 2244.52772714
0.00600000 1661717.24763686 2268.24413537
0.00700000 1660659.32980917 2391.34953431
0.00800000 1659439.18374081 2464.26729190
0.00900000 1658057.97387656 2984.50448056
0.01000000 1656515.19866569 4099.87529373
0.01100000 1654811.96980121 3276.52784286
0.01200000 1652948.32218819 3545.57430655
0.01300000 1650925.44603647 4853.72102542
0.01400000 1648743.22875348 5193.54140081
0.01500000 1646403.22383205 3951.36791315
0.01600000 1643904.72704919 4611.15296551
0.01700000 1641250.05734913 4431.37535363
0.01800000 1638439.15851431 5603.46217426
0.01900000 1635472.62215892 4906.41808787
0.02000000 1632351.78692799 5141.90836142
0.02100000 1629078.53552526 6988.74723426
0.02200000 1625651.36807390 7851.89646453
0.02300000 1622073.70092960 8759.19838372
0.02400000 1618344.80051642 7282.55193439
0.02500000 1614467.50304015 7555.70825930
0.02600000 1610441.60974034 6522.28881777
0.02700000 1606269.28794154 6746.33131834
0.02800000 1601950.40008568 7665.33301594
0.02900000 1597487.46602004 8626.43271258
0.03000000 1592881.91968644 8888.28152040
0.03100000 1588133.86367594 9147.65147569
0.03200000 1583245.00032206 10188.18204632
0.03300000 1578219.01413822 9658.70081180
0.03400000 1573054.08040115 9084.38773347
0.03500000 1567753.34506180 10159.04214513
0.03600000 1562318.22161345 10405.03983680
0.03700000 1556750.25436858 13310.21529042
0.03800000 1551051.20020568 9981.01493524
0.03900000 1545223.08041299 11125.60669420
0.04000000 1539265.57002457 9466.48369432
0.04100000 1533182.87784486 11590.86309394
0.04200000 1526975.77829168 11818.79307229
0.04300000 1520644.96912166 10036.25726207
0.04400000 1514194.32861373 12264.97463138
0.04500000 1507624.99773517 11442.87426450
0.04600000 1500936.94951454 11639.76658458
0.04700000 1494134.58490718 12909.32341398
0.04800000 1487218.26281728 12024.16021434
0.04900000 1480191.52921604 15542.01178021
0.05000000 1473054.18488316 11268.86503910
0.05100000 1465810.86540075 12576.65781101
0.05200000 1458459.73353151 17392.13313286
0.05300000 1451006.98807539 12928.47286645
0.05400000 1443452.33770197 15481.02704379
0.05500000 1435798.45226747 16884.99058634
0.05600000 1428046.36607731 20756.65489953
0.05700000 1420201.35571958 16062.47808296
0.05800000 1412262.11474920 13748.37232903
0.05900000 1404231.19549565 15165.69761968
0.06000000 1396112.78804292 19161.64891110
0.06100000 1387908.01767194 20652.07226806
0.06200000 1379618.88414818 14341.13897108
0.06300000 1371248.85382192 18429.58545705
0.06400000 1362796.39821751 17273.44515523
0.06500000 1354267.63507014 14747.97523579
0.06600000 1345663.95201623 16228.70802063
0.06700000 1336986.40099187 15000.98812116
0.06800000 1328238.30157634 21995.62730370
0.06900000 1319422.48012974 15239.33035899
0.07000000 1310539.49900562 19540.14484521
0.07100000 1301592.34326964 22491.51674515
0.07200000 1292583.54886103 21230.68578463
0.07300000 1283515.74965957 15671.72803765
0.07400000 1274391.24403814 17204.28260078
0.07500000 1265211.62013573 17308.09577473
0.07600000 1255978.20619025 15957.20385773
0.07700000 1246696.12995361 17503.61448527
0.07800000 1237365.60331394 21994.17463035
0.07900000 1227988.71211031 23577.38437839
0.08000000 1218569.65192069 22208.43294808
0.08100000 1209109.23158458 17846.45309551
0.08200000 1199609.39519485 14935.13767101
0.08300000 1190073.31909076 25491.37169129
0.08400000 1180502.81467644 16556.55275298
0.08500000 1170900.27955531 22656.92147303
0.08600000 1161268.06932117 19700.91372102
0.08700000 1151608.93064392 18241.48631798
0.08800000 1141923.16616359 21342.54497792
0.08900000 1132215.88170088 19870.38965716
0.09000000 1122487.09610499 16854.14453975
0.09100000 1112739.28410098 19962.54369464
0.09200000 1102974.35519067 18463.79157344
0.09300000 1093197.59160129 21579.72147229
0.09400000 1083405.71934383 18526.23867147
0.09500000 1073604.19441273 15459.90112620
0.09600000 1063794.46683432 18573.85226404
0.09700000 1053980.89015394 24789.63170185
0.09800000 1044163.12186817 21708.15232431
0.09900000 1034344.42129596 15515.16704900
0.10000000 1024524.39447618 18625.85436750
0.10100000 1014707.20356683 18630.02513369
0.10200000 1004894.42472312 24840.99134758
0.10300000 995087.69546764 17075.70565748
0.10400000 985290.03829309 20173.81448313
0.10500000 975504.18236501 15510.51722936
0.10600001 965727.24401565 20149.89989451
0.10700001 955966.85065265 23229.99556401
0.10800001 946221.41455405 23206.08128406
0.10900001 936494.76341095 20087.81362061
0.11000001 926787.02955002 20060.30619884
0.11100001 917100.94069673 20029.48548767
0.11200001 907438.03983080 16919.18304915
0.11300001 897799.87293844 23028.56782507
0.11400001 888188.83134678 19917.63548076
0.11500001 878606.75122579 22931.63728680
0.11600001 869054.13091778 21352.66100218
0.11700001 859534.31537177 15213.75809857
0.11800001 850046.17316397 16690.65739618
0.11900001 840592.81228148 16643.73846712
0.12000001 831174.81836653 16594.40603037
0.12100001 821797.28758842 18046.66928559
0.12200001 812458.31256476 19486.81354491
0.12300001 803160.59739113 17926.54537837
0.12400001 793904.27979312 16374.27654225
0.12500001 784690.76968363 19279.85311960
0.12600001 775524.42360514 16251.11506245
0.12700001 766403.46135723 19129.43129698
0.12800001 757329.75569201 17585.19775595
0.12900001 748305.52828125 18969.54603600
0.13000001 739331.79701395 17433.44459531
0.13100001 730408.33629145 17354.50288833
0.13200001 721537.95662623 17273.61949592
0.13300001 712721.38839776 17190.84069858
0.13400001 703958.94189193 18531.72001899
0.13500001 695253.04136931 17019.79525517
0.13600001 686603.71981675 18342.61923977
0.13700001 678012.47450891 15438.34477254
0.13800001 669478.59369689 16750.35520417
0.13900001 661005.93938647 16657.35045807
0.14000001 652592.91759094 17943.04311537
0.14100001 644242.59833988 15094.60479101
0.14200001 635954.15168281 15005.33891669
0.14300001 627729.79206839 16270.75697787
0.14400001 619566.32315772 13475.56816432
0.14500001 611470.45345718 14730.32391864
0.14600001 603439.15943544 17297.58432122
0.14700001 595475.05826826 15863.45630065
0.14800001 587575.25779411 19698.46144689
0.14900001 579743.95338536 14348.66352327
0.15000001 571980.26059078 14250.88886502
0.15100001 564285.24208165 14152.27453918
0.15200001 556659.91340205 16607.94930003
0.15300001 549103.96031289 15221.16249814
0.15400001 541616.06972831 16370.34648007
0.15500001 534200.28743395 15000.34477906
0.15600001 526853.36800419 13648.13714227
0.15700001 519580.43285404 12314.05683983
0.15800001 512375.63912634 12220.15956994
0.15900001 505245.01544006 14551.05713149
0.16000001 498183.63440582 13234.24887268
0.16100001 491197.11773604 11936.09052442
0.16200001 484282.41956740 20129.19971954
0.16300001 477439.76785984 15268.52449695
0.16400001 470670.50924185 18638.55304590
0.16500001 463973.30278077 13863.52294160
0.16600001 457349.67744482 11456.60996089
0.16700001 450798.29950796 13632.14122076
0.16800001 444320.34338047 16895.28185478
0.16900001 437916.62900953 14516.93693713
0.17000001 431584.40441665 16605.21074402
0.17100001 425326.12486881 13168.09744775
0.17200001 419140.64717223 11964.37033852
0.17300001 413028.03662662 10780.03226504
0.17400001 406989.24381551 10683.46815470
0.17500001 401021.82076528 12704.37188184
0.17600001 395126.33767960 17834.02809345
0.17700001 389305.71148940 11433.90928647
0.17800001 383555.50068246 11328.31224772
0.17900001 377877.19515689 20405.36950229
0.18000001 372271.81978290 13139.33449987
0.18100001 366738.42829177 13015.54743488
0.18200001 361274.08955106 13883.76391729
0.18300001 355881.43598247 9822.32809712
0.18400001 350559.37418182 13619.23233035
0.18500001 345308.02336898 13487.73202998
0.18600001 340126.72610640 11448.66614162
0.18700001 335014.45602031 11336.88972734
0.18800001 329969.73466116 10290.10666158
0.18900001 324997.50425765 12967.40103256
0.19000001 320089.13048368 10087.60942382
0.19100001 315251.65744836 11803.02261256
0.19200001 310479.96918319 12583.75374559
0.19300001 305777.12528790 10677.73771960
0.19400001 301138.65732838 12331.62860031
0.19500001 296567.35177610 9590.98860966
0.19600001 292060.18484458 8630.37887000
0.19700001 287619.76565351 12813.46116540
0.19800001 283242.45960093 10145.74538238
0.19900001 278929.45516297 8367.88405036
0.20000001 274678.54799941 9109.71447494
0.20100001 270491.76550938 11474.26123521
0.20200001 266365.86090132 10544.09310213
0.20300001 262302.20383871 8829.09259851
0.20400001 258299.61020941 10325.52740617
0.20500001 254356.74527212 8645.58618045
0.20600001 250473.29270285 9332.63532724
0.20700001 246649.37133967 10773.64504938
0.20800001 242883.23654940 8375.82880833
0.20900001 239177.49528661 7534.09145767
0.21000001 235525.91663047 8199.83517512
0.21100001 231932.21244161 10325.62258603
0.21200001 228393.39973754 8026.88641324
0.21300001 224909.85372661 7941.56731053
0.21400001 221481.00588131 7142.76277736
0.21500001 218107.18656212 7773.34049658
0.21600001 214784.86372425 7690.37240924
0.21700001 211515.84281575 13141.47993547
0.21800001 208298.65136345 7526.87212289
0.21900001 205132.02890397 10830.97163823
0.22000001 202015.00483088 9375.51681750
0.22100001 198949.77097116 9275.03876123
0.22200001 195932.74745598 7864.74085476
0.22300001 192963.76937527 9725.37443638
0.22400001 190042.00164711 7055.30964477
0.22500001 187169.30854321 6979.54384562
0.22600001 184341.22120990 6904.50076692
0.22700001 181559.78129579 7451.21377674
0.22800001 178822.70324492 7371.07217633
0.22900001 176129.25796610 8507.04356207
0.23000001 173480.24138831 6011.09064838
0.23100001 170875.29056623 7135.75247151
0.23200001 168310.89870145 7058.95942538
0.23300001 165789.22135864 8146.88272287
0.23400001 163307.56660206 7483.56959348
0.23500001 160865.99168735 10250.38147512
0.23600001 158464.48454660 9013.46030732
0.23700001 156102.10662683 6130.13001718
0.23800001 153777.67950232 7718.10209928
0.23900001 151491.12504608 8725.88921538
0.24000001 149240.89791463 7553.08220072
0.24100001 147028.46537021 5870.84689993
0.24200001 144851.62991818 6863.79480834
0.24300001 142709.31163272 7312.42547396
0.24400001 140601.72002705 6200.53614650
0.24500001 138527.52871164 6133.99926152
0.24600001 136487.07680494 6068.21572181
0.24700001 134479.78387436 7503.97229517
0.24800001 132504.24240704 6928.64716324
0.24900001 130559.10973633 6364.75690075
0.25000001 128646.46109811 5327.89343843
0.25100001 126763.26730702 6229.14725016
0.25200001 124911.68165772 5214.43839749
0.25300001 123087.76657080 6096.53736668
0.25400001 121293.98329247 5103.44458848
0.25500001 119526.48486274 6884.72585382
0.25600001 117788.17609772 5448.88128408
0.25700001 116076.04344291 4941.35740316
0.25800001 114390.78812005 6666.12349310
0.25900001 112732.42442324 4836.22123658
0.26000001 111098.92511240 4784.47543635
0.26100001 109490.22412282 6024.15241628
0.26200001 107907.54472541 6811.12454535
0.26300001 106347.51998868 5895.90678715
0.26400001 104812.30742326 5832.80518410
0.26500001 103300.38277867 4946.02256148
0.26600001 101810.70199346 5708.52633090
0.26700001 100343.95188962 4437.20976253
0.26800001 98899.29165956  4389.64526803
0.26900001 97475.58459834  3947.76136305
0.27000001 96073.78562278  5467.55939853
0.27100001 94692.21356276  5408.81949467
0.27200001 93331.68247517  4204.12583605
0.27300001 91991.11119877  4537.00181903
0.27400001 90668.76652113  4114.09547559
0.27500001 89367.65643554  5919.71384244
0.27600001 88083.29259450  4757.81927466
0.27700001 86819.45658372  3620.37151088
0.27800001 85572.65958349  3581.21597306
0.27900001 84344.29918061  4250.95287989
0.28000001 83132.93550487  3854.45873711
0.28100001 81939.20704511  4159.23434646
0.28200001 80762.84478443  3771.22121570
0.28300001 79602.86466218  4069.29863413
0.28400001 78458.57638700  4024.92515916
0.28500001 77331.05994925  5639.75446904
0.28600001 76219.07971672  3281.23153711
0.28700001 75123.48868898  3569.86835147
0.28800001 74041.41952069  3209.69568815
0.28900001 72976.26741090  3491.91456090
0.29000001 71925.00376038  3139.52656275
0.29100001 70889.03575622  4346.91587833
0.29200001 69866.79249847  4298.90394592
0.29300001 68859.24168457  4251.36978285
0.29400001 67864.71511458  3603.61654317
0.29500001 66885.24019718  3860.61624693
0.29600001 65918.01686720  4111.30690663
0.29700001 64964.76064311  4065.49491350
0.29800001 64024.74511042  3158.66094955
0.29900001 63098.04868530  3407.29479030
0.30000001 62183.22659510  3088.33009505
0.30100001 61282.08602192  3608.90221668
