# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 345.79990640
0.00100000 1646585.11445961 592.77065528
0.00200000 1646341.71458985 963.10993353
0.00300000 1645936.27456789 1481.34269988
0.00400000 1645368.64780610 1357.42918602
0.00500000 1644639.33035786 1924.22809268
0.00600000 1643748.21350260 1898.52926389
0.00700000 1642695.91718793 2365.48221906
0.00800000 1641482.22564852 2880.80142764
0.00900000 1640108.35821118 2952.19517098
0.01000000 1638573.69952904 3785.10540935
0.01100000 1636879.55825019 3241.02166645
0.01200000 1635025.82511093 4144.79064838
0.01300000 1633013.65335482 4458.12747028
0.01400000 1630843.08846889 3669.39711172
0.01500000 1628515.51055003 4299.28113929
0.01600000 1626030.31187661 6219.56622096
0.01700000 1623389.79810742 4821.46791666
0.01800000 1620593.88617108 6466.16989678
0.01900000 1617643.28349146 5338.22307640
0.02000000 1614539.06238560 8137.27724252
0.02100000 1611283.28490456 5317.23508126
0.02200000 1607874.60179792 6656.60115387
0.02300000 1604316.09230083 5775.53819518
0.02400000 1600607.35138853 6602.50562554
0.02500000 1596750.73805468 6850.06097910
0.02600000 1592746.53494881 8385.81089006
0.02700000 1588596.87251792 7339.31788718
0.02800000 1584301.29607919 8959.22424019
0.02900000 1579862.55404469 8531.25818355
0.03000000 1575281.89406609 8790.07337293
0.03100000 1570559.77913482 9800.29347274
0.03200000 1565697.55414240 8525.22357496
0.03300000 1560698.77794410 10347.43337479
0.03400000 1555562.31941129 12250.05383059
0.03500000 1550290.60911179 10883.04057852
0.03600000 1544885.26529472 8574.11361863
0.03700000 1539348.08844413 12283.99831389
0.03800000 1533680.43016013 11663.64021116
0.03900000 1527884.47408928 12834.23017670
0.04000000 1521960.07315537 9360.05488364
0.04100000 1515911.19940467 14325.36149859
0.04200000 1509738.60669817 10711.59591147
0.04300000 1503443.17862268 10914.99798345
0.04400000 1497028.42553732 14146.91927834
0.04500000 1490496.12621720 12341.30849852
0.04600000 1483845.70917018 14645.55783034
0.04700000 1477081.54810295 14888.98269733
0.04800000 1470204.27072061 15128.40264961
0.04900000 1463217.55863718 19753.43796108
0.05000000 1456121.01132610 15595.05675750
0.05100000 1448918.85173702 12431.72432702
0.05200000 1441610.00418665 13752.96008085
0.05300000 1434199.92384396 15102.12590211
0.05400000 1426688.69361733 12947.20049836
0.05500000 1419079.13101326 15496.34483356
0.05600000 1411372.03162719 14480.67772022
0.05700000 1403572.50426896 13432.18949285
0.05800000 1395679.64336176 14822.11850458
0.05900000 1387695.89124889 13738.18996502
0.06000000 1379625.18458382 15148.28523444
0.06100000 1371468.59406254 16581.05607707
0.06200000 1363228.61267878 14170.76209119
0.06300000 1354908.31629714 14307.83248906
0.06400000 1346506.16639522 14441.27930996
0.06500000 1338028.54255117 14571.13150999
0.06600000 1329476.72600101 20041.86258219
0.06700000 1320851.13180171 16167.21860986
0.06800000 1312156.27066169 13580.81803705
0.06900000 1303393.75981618 20528.45267822
0.07000000 1294565.03697663 22059.38926309
0.07100000 1285672.69747062 13885.26578304
0.07200000 1276719.37318498 15378.08557043
0.07300000 1267707.62849657 18293.02193634
0.07400000 1258639.98423279 16991.64058344
0.07500000 1249517.34304801 18517.84789195
0.07600000 1240341.77723206 14325.94819864
0.07700000 1231118.02138944 14404.08152564
0.07800000 1221846.16692865 17374.65330853
0.07900000 1212528.90885256 16005.38234757
0.08000000 1203169.92084653 16080.36674646
0.08100000 1193769.99975633 16151.70885451
0.08200000 1184330.98060713 16219.41354051
0.08300000 1174856.94053145 17763.83777453
0.08400000 1165348.58233401 14858.19512218
0.08500000 1155808.90140007 17891.92263361
0.08600000 1146239.45589926 16454.26816199
0.08700000 1136644.04426620 18004.44250662
0.08800000 1127022.46340711 16550.32565240
0.08900000 1117380.05923297 18101.55780980
0.09000000 1107715.48064258 21168.44382948
0.09100000 1098033.26545259 18183.43173017
0.09200000 1088334.75277448 18218.72461748
0.09300000 1078624.40317970 21292.04671933
0.09400000 1068899.27716179 18278.17849849
0.09500000 1059165.30220207 16777.17917545
0.09600000 1049423.13047674 19849.83944606
0.09700000 1039677.81217494 19868.24392472
0.09800000 1029928.56074636 18353.32781543
0.09900000 1020178.29711656 16832.94269395
0.10000000 1010428.30300563 19900.38636355
0.10100000 1000680.14310894 21434.56967350
0.10200000 990937.69749953 18371.98577579
0.10300000 981201.27747662 24490.78503788
0.10400000 971474.39071199 16830.79461089
0.10500000 961759.51834156 19879.57017944
0.10600001 952054.22724895 21392.65949288
0.10700001 942365.22255514 16792.94905617
0.10800001 932691.88839523 16774.46440222
0.10900001 923037.94491098 19799.16485020
0.11000001 913402.80644715 18249.78893182
0.11100001 903789.34434842 16702.02786978
0.11200001 894199.70889303 22735.02866890
0.11300001 884635.01087701 18152.71127784
0.11400001 875097.83741338 18114.52608737
0.11500001 865589.44976460 19579.63427564
0.11600001 856111.30145126 15024.75404801
0.11700001 846665.78377372 16484.58358641
0.11800001 837252.43132221 14944.95660298
0.11900001 827873.81536486 17882.07525416
0.12000001 818531.39187188 22284.51819342
0.12100001 809229.19841805 16289.78453154
0.12200001 799965.17314599 16235.29395386
0.12300001 790743.33216927 17649.39200556
0.12400001 781562.61165718 20516.01952266
0.12500001 772425.50428878 18978.49553465
0.12600001 763335.02478180 18903.99277954
0.12700001 754290.36794037 15930.61332165
0.12800001 745293.22731460 20189.99447949
0.12900001 736345.63313217 14358.74052283
0.13000001 727448.44235732 17153.23507930
0.13100001 718601.88204697 15651.14972874
0.13200001 709808.04571214 15576.73829745
0.13300001 701068.32367971 15500.62136730
0.13400001 692383.04520544 16824.90879171
0.13500001 683754.10461260 18133.15970927
0.13600001 675182.02904301 18037.48875637
0.13700001 666668.24313083 17940.04326858
0.13800001 658211.91437145 13723.71906180
0.13900001 649816.07974230 19104.59364536
0.14000001 641480.63745158 14924.04773414
0.14100001 633207.66965377 17533.52119965
0.14200001 624996.61233296 20109.26695027
0.14300001 616849.20880702 15988.73224643
0.14400001 608763.51640107 13240.60710628
0.14500001 600744.73952639 15787.57249949
0.14600001 592791.02547698 13071.04272839
0.14700001 584904.16051380 16880.33486878
0.14800001 577081.51893377 15477.32706800
0.14900001 569327.89839266 20495.80530914
0.15000001 561641.27620759 13993.29305696
0.15100001 554023.02580770 13894.89814289
0.15200001 546474.63994527 13795.75293640
0.15300001 538995.76152482 26146.68562541
0.15400001 531584.88608572 16067.15394017
0.15500001 524245.84243654 19627.76526712
0.15600001 516975.91121016 13392.26161195
0.15700001 509779.42262828 18122.65932977
0.15800001 502651.42526912 13187.06076435
0.15900001 495596.99407511 20220.35831268
0.16000001 488611.88970478 15339.97100137
0.16100001 481701.49271402 17558.02023824
0.16200001 474862.63295303 11610.39192378
0.16300001 468096.06201753 16121.22913693
0.16400001 461402.34055663 14845.62100827
0.16500001 454780.46148686 12456.43742821
0.16600001 448232.06826224 12351.03522410
0.16700001 441755.97483480 14471.92641888
0.16800001 435353.40204727 14347.07204189
0.16900001 429024.22173238 13128.14180490
0.17000001 422766.88924589 13012.76546545
0.17100001 416582.73484954 12897.40207997
0.17200001 410471.81678136 11716.91856333
0.17300001 404432.88248059 16889.11796997
0.17400001 398468.10262386 11505.76700664
0.17500001 392574.40067512 14509.55053420
0.17600001 386751.88046210 14375.56807572
0.17700001 381004.38867789 12207.38118980
0.17800001 375327.15292137 10077.53453192
0.17900001 369721.74815730 12977.23397328
0.18000001 364188.60827415 12854.03753620
0.18100001 358727.06665712 10772.57432057
0.18200001 353334.77987424 9699.04016571
0.18300001 348013.74416914 9605.17979281
0.18400001 342763.18032889 11414.01444416
0.18500001 337582.76831029 15069.69548929
0.18600001 332472.36279469 13056.19030377
0.18700001 327430.62246985 14773.67038382
0.18800001 322456.53432538 10055.80749804
0.18900001 317554.00151602 9050.28947081
0.19000001 312715.36607492 12543.01392591
0.19100001 307947.33311164 8868.88361267
0.19200001 303244.62851584 9656.82565138
0.19300001 298610.29239456 11296.42789507
0.19400001 294040.60230318 10320.82562854
0.19500001 289537.00793601 12768.58265336
0.19600001 285097.98055227 8424.64572344
0.19700001 280725.08049734 10838.79587022
0.19800001 276414.97493668 14026.67856605
0.19900001 272169.16638128 8981.58291505
0.20000001 267984.37895246 11311.62117018
0.20100001 263863.92807252 8794.58513831
0.20200001 259803.91679687 8702.13260440
0.20300001 255805.67366345 10175.95017929
0.20400001 251868.61083919 8519.45616431
0.20500001 247990.42581160 8429.19497176
0.20600001 244171.48027404 9097.82978505
0.20700001 240411.79250116 9001.01793671
0.20800001 236709.49004141 9647.09572266
0.20900001 233067.27015084 8809.94322816
0.21000001 229478.73735056 7989.30261853
0.21100001 225947.70096122 7185.13723023
0.21200001 222471.29922991 9240.34585035
0.21300001 219049.79190700 9844.09811369
0.21400001 215682.88330893 7651.35064711
0.21500001 212370.22738102 9633.11396943
0.21600001 209108.92539487 10209.74376511
0.21700001 205900.58858394 9426.12939104
0.21800001 202743.48919450 7326.13632843
0.21900001 199636.69542483 7905.61351261
0.22000001 196579.59726223 6516.61395736
