# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664568.99249145 599.24485153
0.00200000 1664323.65496465 898.73480214
0.00300000 1663914.98749176 1297.85373648
0.00400000 1663342.83958130 1996.01148334
0.00500000 1662607.71484616 2244.52050388
0.00600000 1661709.50586125 2093.75406263
0.00700000 1660648.81662501 2391.33439532
0.00800000 1659425.45895730 2912.29180343
0.00900000 1658040.64494695 3233.17939586
0.01000000 1656493.75323904 3006.53629195
0.01100000 1654786.09793669 3276.47661657
0.01200000 1652917.58218489 4190.14625455
0.01300000 1650889.35322858 4506.92813309
0.01400000 1648701.46683591 4822.45200428
0.01500000 1646355.30231372 5136.62877195
0.01600000 1643850.25753643 5449.36384734
0.01700000 1641188.65144683 4431.20955768
0.01800000 1638370.39070909 5136.29140599
0.01900000 1635396.18165397 8340.52090278
0.02000000 1632267.14309879 8226.62677335
0.02100000 1628985.32415503 8063.47772015
0.02200000 1625549.34731231 6168.96005332
0.02300000 1621962.33343217 7006.87759937
0.02400000 1618223.83975965 7282.00761096
0.02500000 1614336.35335103 8814.27689185
0.02600000 1610300.01663937 7173.88690225
0.02700000 1606117.05472174 7420.26113267
0.02800000 1601786.96778351 7664.55099234
0.02900000 1597312.51400901 7906.69730737
0.03000000 1592695.04608656 8887.23876567
0.03100000 1587934.94492542 9908.71451227
0.03200000 1583033.50489040 10970.42269417
0.03300000 1577994.57384134 8047.77269760
0.03400000 1572816.51648323 11560.20192954
0.03500000 1567502.29735012 9310.96407622
0.03600000 1562053.25548286 9536.33556543
0.03700000 1556471.36207224 16856.58563082
0.03800000 1550757.79336655 11793.51356435
0.03900000 1544914.92408026 12977.28596325
0.04000000 1538942.49178938 12303.84579200
0.04100000 1532844.47888111 11588.30479765
0.04200000 1526621.74169501 13785.39496705
0.04300000 1520275.24044762 11037.19875797
0.04400000 1513808.35279463 21458.23439743
0.04500000 1507222.70443328 13519.78828696
0.04600000 1500518.06579906 12694.38342678
0.04700000 1493698.71119477 12905.55746493
0.04800000 1486765.23411196 12020.49747709
0.04900000 1479721.42051867 12207.70228752
0.05000000 1472566.69187672 12391.64928917
0.05100000 1465305.60701703 13715.26112059
0.05200000 1457936.58182563 12749.65600222
0.05300000 1450465.66328974 14098.52690442
0.05400000 1442892.67111398 11903.86509181
0.05500000 1435220.40542426 18083.77795194
0.05600000 1427449.70134807 15866.10417086
0.05700000 1419585.84040285 12350.39738800
0.05800000 1411627.67426330 17490.06770078
0.05900000 1403577.81958605 17685.08135278
0.06000000 1395440.19547815 24259.72893177
0.06100000 1387215.93945115 15481.33060774
0.06200000 1378907.39950450 15636.81064130
0.06300000 1370517.81356847 13156.97162542
0.06400000 1362045.62409542 19919.91818398
0.06500000 1353497.22222221 13399.62312680
0.06600000 1344873.74829645 17570.77634360
0.06700000 1336176.15274471 17717.69661456
0.06800000 1327408.23276902 16486.41102270
0.06900000 1318572.12755609 13845.00798755
0.07000000 1309669.14354268 15342.77473508
0.07100000 1300701.91541587 21071.37201667
0.07200000 1291672.97573956 19801.34764572
0.07300000 1282585.00676503 19931.37193902
0.07400000 1273440.53289100 15758.82733305
0.07500000 1264240.64081983 20177.28157324
0.07600000 1254987.01854361 18843.63096683
0.07700000 1245684.73342247 18946.86568375
0.07800000 1236333.93114872 17580.66932540
0.07900000 1226937.11107030 23557.19363747
0.08000000 1217497.98515291 16271.86133490
0.08100000 1208017.57474297 22287.92529972
0.08200000 1198497.59895461 17905.55496860
0.08300000 1188941.89910927 16478.73549503
0.08400000 1179351.67076040 25562.44866360
0.08500000 1169729.56969383 22634.26823614
0.08600000 1160077.29892747 22708.51419270
0.08700000 1150398.72480887 21259.36943276
0.08800000 1140693.69751433 19796.74005009
0.08900000 1130967.25766302 18321.67043470
0.09000000 1121218.68113299 18365.56285969
0.09100000 1111451.76530514 21473.24911453
0.09200000 1101668.35141360 16905.10164676
0.09300000 1091872.79617357 16934.94786446
0.09400000 1082062.11751590 16961.32448920
0.09500000 1072242.33094671 23160.43543705
0.09600000 1062414.30612276 21641.38043303
0.09700000 1052582.80380024 20114.85832628
0.09800000 1042747.08414282 20130.23340585
