# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700830.09709100 561.27394537
0.00200000 1700581.82299692 918.31421350
0.00300000 1700168.24843551 1428.14137956
0.00400000 1699589.21957477 1784.56874836
0.00500000 1698845.29192699 2140.54515255
0.00600000 1697936.29958918 2317.68314330
0.00700000 1696862.86830193 2647.10618457
0.00800000 1695624.78698111 2518.00291498
0.00900000 1694223.34801757 2795.46864373
0.01000000 1692657.83459261 3910.03976674
0.01100000 1690929.65276635 4261.14291050
0.01200000 1689038.66364493 5269.80086162
0.01300000 1686985.99655133 4959.73904861
0.01400000 1684771.75052565 4548.88392808
0.01500000 1682397.28190555 4845.30438764
0.01600000 1679862.01788195 7710.56700677
0.01700000 1677168.26113273 4528.35450819
0.01800000 1674315.94028024 6203.34083787
0.01900000 1671305.80559670 5013.91764303
0.02000000 1668138.85672510 5780.10140002
0.02100000 1664817.28469199 5493.89728857
0.02200000 1661339.61333511 7451.10850433
0.02300000 1657708.96636252 8354.85357077
0.02400000 1653925.04659875 8062.88496982
0.02500000 1649990.39037332 10939.43678779
0.02600000 1645904.81677014 8665.68925665
0.02700000 1641670.73955570 9653.02439071
0.02800000 1637287.78561208 9971.08307165
0.02900000 1632758.60191067 9551.63825973
0.03000000 1628084.60198141 9841.77187136
0.03100000 1623266.07704147 16362.52280947
0.03200000 1618304.51022344 10413.79000293
0.03300000 1613203.67346314 9872.80693674
0.03400000 1607961.65522774 9285.97898740
0.03500000 1602581.87881549 11250.12530879
0.03600000 1597065.48326105 10636.45661007
0.03700000 1591414.48232194 9978.16926562
0.03800000 1585630.03731774 14841.49783615
0.03900000 1579714.58090400 9478.28792436
0.04000000 1573667.69988528 12581.47384360
0.04100000 1567493.62527967 10862.73132686
0.04200000 1561193.10924235 14097.57443049
0.04300000 1554767.13902954 11287.60995330
0.04400000 1548219.24363363 12540.57645584
0.04500000 1541550.64455783 11700.36993585
0.04600000 1534761.53774703 12984.08321293
0.04700000 1527856.11291485 14300.73388198
0.04800000 1520834.77020357 16767.20412164
0.04900000 1513701.66094540 11352.76298553
0.05000000 1506455.96456343 11524.38866556
0.05100000 1499102.42155825 16370.19920601
0.05200000 1491639.12528259 11858.53159862
0.05300000 1484072.48187536 15627.28396266
0.05400000 1476402.30726700 15834.41548386
0.05500000 1468631.19002354 14803.80308602
0.05600000 1460760.28712296 14987.40124526
0.05700000 1452794.65026078 15167.17685670
0.05800000 1444733.09302948 15343.06616438
0.05900000 1436578.58230395 19393.81176691
0.06000000 1428334.78655480 15683.11668907
0.06100000 1420002.85674017 14526.62990330
0.06200000 1411585.37186568 14673.43062643
0.06300000 1403085.03125798 26939.23385971
0.06400000 1394501.08095068 17675.30202767
0.06500000 1385839.59938518 20579.71901354
0.06600000 1377101.29941439 24911.76367199
0.06700000 1368288.15797403 16747.84783738
0.06800000 1359402.88486577 15476.80256865
0.06900000 1350448.29425131 19851.59085492
0.07000000 1341425.44907210 14286.18170162
0.07100000 1332337.10949752 20144.93803915
0.07200000 1323185.70183885 18835.54934806
0.07300000 1313974.34512233 17502.13909710
0.07400000 1304705.00721991 17613.51842291
0.07500000 1295379.32569621 16244.05750563
0.07600000 1285998.22792964 16338.60825181
0.07700000 1276567.87539324 19416.59829515
0.07800000 1267087.61694898 18017.98675799
0.07900000 1257560.25426748 15090.72375902
0.08000000 1247989.36761476 21228.30013897
0.08100000 1238376.36737357 22848.04505003
0.08200000 1228722.85679321 15297.60028492
0.08300000 1219031.90368677 16895.78297805
0.08400000 1209306.09543463 18502.38412863
0.08500000 1199546.85594993 18568.98620183
0.08600000 1189756.90177677 18631.59395661
0.08700000 1179939.56939701 17132.72335216
0.08800000 1170094.83439311 17182.84345003
0.08900000 1160227.51973593 21928.30115297
0.09000000 1150337.55124634 23553.16246819
0.09100000 1140428.26908782 17311.70193808
0.09200000 1130501.54106101 22078.69613433
0.09300000 1120561.69015214 20539.89674570
0.09400000 1110605.98192879 18991.36318353
0.09500000 1100640.46603073 17434.14580138
0.09600000 1090665.90216949 17456.10858480
0.09700000 1080687.16795051 19063.32253887
0.09800000 1070703.54904692 15899.94845093
0.09900000 1060717.90098036 17501.84618916
0.10000000 1050731.52238583 15918.58331275
0.10100000 1040746.29670450 20700.44481503
0.10200000 1030765.59418061 23887.99376874
0.10300000 1020790.56776282 17516.76696681
0.10400000 1010824.21574771 19104.57857641
0.10500000 1000869.34542420 17505.20567508
0.10600001 990922.85251554 28627.76255621
0.10700001 980992.91710274 15892.08600491
0.10800001 971077.26333185 19052.53680322
0.10900001 961180.57775535 17445.42830734
0.11000001 951302.32318511 19007.02131189
