# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 345.79990640
0.00100000 1646585.09856902 543.37309543
0.00200000 1646341.65407498 889.02452135
0.00300000 1645936.13605163 1185.07406017
0.00400000 1645368.40417366 1234.02635002
0.00500000 1644638.94645154 1628.19262143
0.00600000 1643747.67634938 2416.30918261
0.00700000 1642695.18612196 3351.09831896
0.00800000 1641481.26371602 3102.39971941
0.00900000 1640107.14505656 2460.16082275
0.01000000 1638572.21613132 3514.73755537
0.01100000 1636877.75329099 3241.01809263
0.01200000 1635023.67915390 3825.95557696
0.01300000 1633011.13538733 3772.25588912
0.01400000 1630840.16238520 4770.20768644
0.01500000 1628512.16552302 5471.80111981
0.01600000 1626026.52475090 4975.64138817
0.01700000 1623385.52887757 5698.08346197
0.01800000 1620589.04041689 6004.28266492
0.01900000 1617637.91785111 6794.07956154
0.02000000 1614533.16899033 6102.93565485
0.02100000 1611276.79162205 6912.37774946
0.02200000 1607867.44790327 8320.71442093
0.02300000 1604308.30768001 8663.26525581
0.02400000 1600598.88972980 8403.14455424
0.02500000 1596741.61717605 9340.93888709
0.02600000 1592736.71658663 10320.93439554
0.02700000 1588586.29056140 7339.26899854
0.02800000 1584289.97984184 10337.49259254
0.02900000 1579850.40119426 9953.05798451
0.03000000 1575268.99967827 10987.50177780
0.03100000 1570546.05373182 10554.06996670
0.03200000 1565682.85408716 8525.14353316
0.03300000 1560683.32754380 11143.27947237
0.03400000 1555545.89736247 8983.27797176
0.03500000 1550273.32611950 10882.91925191
0.03600000 1544867.03186540 9431.41366540
0.03700000 1539328.87108583 9651.59246807
0.03800000 1533660.24300758 9869.10412049
0.03900000 1527863.31876887 11000.61640457
0.04000000 1521937.94679580 10295.91068718
0.04100000 1515887.92881911 10505.10383380
0.04200000 1509714.33102108 10711.42367553
0.04300000 1503417.84490014 10914.81406062
0.04400000 1497002.15332423 10104.76500422
0.04500000 1490468.66029535 12341.08108067
0.04600000 1483817.20060279 14645.27645076
0.04700000 1477051.93542665 13825.20675858
0.04800000 1470173.56155591 12966.93141625
0.04900000 1463185.70061726 14266.06124507
0.05000000 1456087.99058264 15594.70310532
0.05100000 1448884.77535175 12431.43195162
0.05200000 1441574.67599009 11460.51920820
0.05300000 1434163.36996858 11616.72383829
0.05400000 1426651.05606663 14123.84611371
0.05500000 1419040.29860312 15495.92078362
0.05600000 1411331.97329346 19307.02229560
0.05700000 1403531.26871020 13431.79486853
0.05800000 1395637.36009468 14821.66945626
0.05900000 1387652.32416497 18733.30725118
0.06000000 1379580.47800322 13885.47815982
0.06100000 1371422.72816484 15305.07836155
0.06200000 1363181.38594770 14170.27116929
0.06300000 1354859.97464542 18209.31891062
0.06400000 1346456.73598344 17066.33992673
0.06500000 1337977.76397345 18544.37267614
0.06600000 1329424.72159662 16032.86289261
0.06700000 1320798.01192616 16166.56842255
0.06800000 1312101.84097126 16296.30562768
0.06900000 1303338.19486108 20527.57753014
0.07000000 1294508.24199472 19301.11879198
0.07100000 1285614.82460265 15273.10483164
0.07200000 1276660.36725334 15377.37484395
