# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646585.08839795 592.77064590
0.00200000 1646341.61870288 740.85375188
0.00300000 1645936.05090315 1678.85483173
0.00400000 1645368.25550599 1480.83148622
0.00500000 1644638.72499600 1628.19240219
0.00600000 1643747.35200914 2588.90218481
0.00700000 1642694.73728993 2759.72727334
0.00800000 1641480.67764763 2437.59890922
0.00900000 1640106.41277516 3198.20764163
0.01000000 1638571.30251143 2974.00704247
0.01100000 1636876.65978602 3535.65373908
0.01200000 1635022.37230911 3507.12314237
0.01300000 1633009.57646375 3772.25228801
0.01400000 1630838.37198781 4770.20244953
0.01500000 1628510.11181172 4299.26688662
0.01600000 1626024.24611354 7048.81542201
0.01700000 1623382.92265085 4821.44749656
0.01800000 1620586.12201375 5542.40478668
0.01900000 1617634.64412681 5338.19456649
0.02000000 1614529.59714054 5085.76846105
0.02100000 1611272.85833045 6380.64080828
0.02200000 1607863.09195974 5547.12791928
0.02300000 1604303.59078951 9240.78910357
0.02400000 1600593.72801930 7202.67210451
0.02500000 1596736.11145302 6849.99823098
0.02600000 1592730.72213387 7740.67166362
0.02700000 1588579.85172104 11342.46066079
0.02800000 1584283.09120722 13094.10034932
0.02900000 1579843.02180338 9242.08210189
0.03000000 1575261.12264569 11719.94329119
0.03100000 1570537.65922200 9800.15544448
0.03200000 1565673.88833145 7750.08610420
0.03300000 1560673.95332499 13531.04379912
0.03400000 1555535.91914804 13883.15871897
0.03500000 1550262.89591071 8371.42002449
0.03600000 1544855.95078488 9431.34601540
0.03700000 1539317.16643679 9651.51907992
0.03800000 1533648.00272614 15252.13009297
0.03900000 1527850.39947177 13750.65423204
0.04000000 1521924.40694988 9359.83553647
0.04100000 1515873.77010957 11460.00623339
0.04200000 1509699.53660231 12658.83120169
0.04300000 1503402.39762741 11906.94754191
0.04400000 1496986.16234613 13136.05418465
0.04500000 1490451.98686397 14397.76686210
0.04600000 1483799.81993203 12552.94706017
0.04700000 1477033.87562754 19142.35991840
0.04800000 1470154.88642573 12966.76670159
0.04900000 1463166.20552449 10973.74705223
0.05000000 1456067.82936719 14480.59523736
0.05100000 1448863.92788665 12431.25308037
0.05200000 1441553.12852542 13752.41748701
0.05300000 1434141.06018278 12778.19744192
0.05400000 1426628.12147984 12946.65080618
0.05500000 1419016.55578579 15495.66151204
0.05600000 1411307.62329898 16893.35303920
0.05700000 1403506.10332542 12210.50366890
0.05800000 1395611.50955151 14821.39492348
0.05900000 1387625.72687093 13737.49533764
0.06000000 1379553.11149180 18934.36733982
0.06100000 1371394.56158276 17855.55802622
0.06200000 1363152.60731424 15458.15128951
0.06300000 1354830.37810333 14307.00946170
0.06400000 1346426.42049097 14440.42403510
0.06500000 1337946.78080402 13245.67374956
0.06600000 1329392.87887004 17368.51877508
0.06700000 1320765.52634783 16166.17079906
0.06800000 1312068.48304261 13579.90943515
0.06900000 1303304.39014931 16421.63608472
0.07000000 1294473.48310528 13786.14324066
0.07100000 1285579.36621541 13884.25780543
0.07200000 1276624.13871169 16774.84196852
0.07300000 1267610.39895245 16884.57130518
0.07400000 1258540.78725310 18406.15987617
0.07500000 1249416.49320676 18516.35329723
0.07600000 1240239.09670551 22919.61958160
0.07700000 1231013.46944277 24484.85905528
0.07800000 1221739.89740256 14477.61846317
0.07900000 1212420.72138332 20368.66907461
0.08000000 1203060.06683051 16078.89854747
0.08100000 1193658.39771799 16150.19887886
0.08200000 1184217.62429556 26538.31820578
0.08300000 1174741.83827393 16281.92264262
0.08400000 1165231.78059029 16342.37648987
0.08500000 1155690.45840370 17890.08913594
0.08600000 1146119.33157948 22435.28696904
0.08700000 1136522.24843628 16502.30382221
0.08800000 1126898.99357141 18052.92272485
0.08900000 1117254.89464744 25641.00103651
0.09000000 1107589.22462212 22677.89043944
0.09100000 1097905.56716364 21211.53655414
0.09200000 1088205.14112873 24288.73989124
0.09300000 1078493.70205676 15206.76191360
0.09400000 1068767.07443960 16752.92467919
0.09500000 1059031.71322595 21350.08034215
0.09600000 1049288.19102901 15267.14389715
0.09700000 1039541.45612485 18337.51214814
0.09800000 1029791.05814975 27526.31627857
0.09900000 1020039.63596939 16830.65478491
0.10000000 1010288.40571175 21428.21809285
0.10100000 1000539.22294067 15308.25083097
0.10200000 990795.53377144 15307.79171679
0.10300000 981058.17180831 16834.95902016
0.10400000 971330.22486431 19887.98728973
0.10500000 961614.46486527 19876.57192395
0.10600001 951908.18609650 22917.19065861
0.10700001 942218.41019754 24422.30234158
0.10800001 932544.08426657 18296.51579438
0.10900001 922889.36570129 25887.04792631
0.11000001 913253.31682515 16726.23528495
0.11100001 903639.32519902 22771.71206696
0.11200001 894048.98680909 19700.37035178
0.11300001 884483.57051776 18149.60372152
0.11400001 874945.95672344 15092.81846412
0.11500001 865437.01412770 18070.32570588
0.11600001 855958.41799857 21030.89932060
0.11700001 846512.60271394 14983.27377367
0.11800001 837098.75436436 20919.09885682
0.11900001 827719.85612625 19368.64554565
0.12000001 818377.00546450 19309.60635351
0.12100001 809074.56337121 22209.09781077
0.12200001 799810.51667932 16232.15520072
0.12300001 790588.43190858 16175.44007895
0.12400001 781407.81553798 19046.81640118
0.12500001 772270.39609635 14595.91117399
0.12600001 763180.09600227 15992.43966535
0.12700001 754135.59576341 26062.92741783
0.12800001 745138.49192968 15860.27354821
0.12900001 736190.95975595 20098.01414860
0.13000001 727293.98471681 14291.32747331
0.13100001 718447.94429921 15647.79696444
0.13200001 709654.38230347 18404.88727265
0.13300001 700915.16375428 19723.75363788
0.13400001 692230.04706950 18222.95684824
0.13500001 683601.73120069 19523.66636360
0.13600001 675030.22178871 20807.80756774
0.13700001 666516.70586100 16556.27575427
0.13800001 658060.88710065 15092.62715736
0.13900001 649666.13725352 20464.48428855
0.14000001 641331.32558350 16276.98981094
0.14100001 633059.10401329 16180.99146172
0.14200001 624848.84741911 17423.91093209
0.14300001 616702.46005369 13320.77376547
0.14400001 608617.63576350 15884.92104272
0.14500001 600599.85629558 14468.45122067
0.14600001 592647.01481980 15681.44075189
0.14700001 584761.21695106 14279.86959162
0.14800001 576939.85215993 18052.44882577
0.14900001 569186.97632461 14087.37832869
0.15000001 561501.75262820 15261.61835652
0.15100001 553884.63394173 12628.57024975
0.15200001 546337.67643172 12538.45026576
0.15300001 538860.02107862 18671.50061146
0.15400001 531450.56976845 14827.47159626
0.15500001 524112.97638676 19622.79076198
0.15600001 516844.20603077 17040.35427705
0.15700001 509649.27418018 15702.29487859
0.15800001 502522.66168989 13183.68265169
0.15900001 495469.71153789 22593.41991255
0.16000001 488486.33644008 14156.33469825
0.16100001 481577.62192737 11702.33676524
0.16200001 474740.54892692 12768.14766612
0.16300001 467975.45050423 14965.85561363
0.16400001 461283.61878869 13700.12412480
0.16500001 454663.56166496 12453.23554194
0.16600001 448116.91792804 12347.86225649
0.16700001 441642.87137541 15581.16123778
0.16800001 435241.81870785 15446.73287528
0.16900001 428914.49487653 14218.51617653
0.17000001 422658.98099376 14093.56438673
0.17100001 416476.95618529 16117.65896547
0.17200001 410367.92291448 11713.95291276
0.17300001 404331.02861692 10553.04034526
0.17400001 398368.28367659 13594.31832247
0.17500001 392476.62493989 11397.52172653
0.17600001 386656.16117072 15398.58234589
0.17700001 380910.81241529 12204.38300621
0.17800001 375235.56886967 13097.59815002
0.17900001 369632.11093263 10978.07421323
0.18000001 364101.11022488 12850.94929240
0.18100001 358641.99049108 20560.94628608
0.18200001 353251.72356529 10666.43629691
0.18300001 347932.76635619 18245.59512963
0.18400001 342684.64449462 10460.44926736
0.18500001 337506.36817809 11299.71374042
0.18600001 332398.24578402 12120.90260515
0.18700001 327358.62263476 9231.51359444
0.18800001 322386.65401346 11881.56069502
0.18900001 317486.32814132 9953.19685749
0.19000001 312650.05519156 8957.42450447
0.19100001 307884.19279476 11527.18472290
0.19200001 303183.88990115 8777.17402737
0.19300001 298551.79388783 10425.42913519
0.19400001 293984.36207479 12038.66019584
0.19500001 289483.18105676 8510.80592525
0.19600001 285046.25827350 14319.29946105
0.19700001 280675.56066114 11670.49036381
0.19800001 276367.74758555 9899.49318635
0.19900001 272124.12092478 11429.21361898
0.20000001 267941.59688953 12925.50324482
0.20100001 263823.40534375 9592.61947167
0.20200001 259765.70950511 11073.81271959
0.20300001 255769.59732035 9391.86005751
0.20400001 251834.78342448 9292.70394759
0.20500001 247958.87842577 9194.31564661
0.20600001 244142.08015125 7580.61194702
0.20700001 240384.54196758 8249.99787030
0.20800001 236684.52145086 8162.06610806
0.20900001 233044.35003993 8809.07684793
0.21000001 229457.90870723 10893.51473084
0.21100001 225929.15907282 9339.91187760
0.21200001 222454.86048654 12082.63631853
0.21300001 219035.30137343 9843.44690908
0.21400001 215670.46331832 6955.37277084
0.21500001 212359.96546506 7568.50952700
0.21600001 209100.64616296 6806.22635439
0.21700001 205894.15800037 8752.56107041
0.21800001 202739.24072890 7325.98281012
0.21900001 199634.38344529 6587.93496518
0.22000001 196579.03077133 9123.23324947
0.22100001 193574.63711982 10958.26072550
0.22200001 190618.19576497 7651.41473980
0.22300001 187709.53909250 8829.85713643
0.22400001 184847.67513497 7486.33119697
0.22500001 182034.50206768 8639.35787666
0.22600001 179265.29100667 6103.98344742
0.22700001 176542.34072210 6641.52317204
0.22800001 173863.47111870 7166.65261842
0.22900001 171227.97150634 8861.04794450
0.23000001 168636.29057097 7011.89729355
0.23100001 166088.30650473 7513.83534162
0.23200001 163580.27228519 8003.98310145
