# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664568.79152776 499.37064932
0.00200000 1664322.85205342 1048.52343000
0.00300000 1663913.17803854 1198.01753086
0.00400000 1663339.61966067 1497.00571458
0.00500000 1662602.68971520 1945.24522396
0.00600000 1661702.27449663 1744.78745926
0.00700000 1660638.98249606 2590.59692036
0.00800000 1659412.63261942 2912.26929320
0.00900000 1658024.41306274 3233.14774368
0.01000000 1656473.72720286 3279.81812148
0.01100000 1654761.90087419 3574.28586151
0.01200000 1652888.80400913 4834.69996370
0.01300000 1650855.62334687 4506.83605051
0.01400000 1648662.39552097 5564.23583155
0.01500000 1646310.50274381 5926.71807379
0.01600000 1643799.37316427 5030.02630674
0.01700000 1641131.28048668 4874.16012169
0.01800000 1638306.15621279 5136.09003084
0.01900000 1635324.75096388 6377.76681654
0.02000000 1632188.13937231 7197.95002024
0.02100000 1628898.36678492 6450.43782492
0.02200000 1625454.06525880 7290.16181389
0.02300000 1621858.39215992 5838.69047754
0.02400000 1618110.91919568 6067.91622367
0.02500000 1614214.09936927 8813.60938508
0.02600000 1610168.09813605 9781.77164358
0.02700000 1605975.08695351 10117.64351121
0.02800000 1601634.62792514 6967.11095098
0.02900000 1597149.60616255 8624.60826927
0.03000000 1592521.10072039 8145.74580461
0.03100000 1587749.68565818 7621.19884183
0.03200000 1582836.72559756 8618.54636783
0.03300000 1577785.87717027 8046.70834453
0.03400000 1572595.65196010 9081.74030910
0.03500000 1567268.89191208 11002.22812928
0.03600000 1561807.16899831 10401.63622623
0.03700000 1556212.12862318 9757.45049773
0.03800000 1550485.38718341 9977.37392827
0.03900000 1544628.91573109 12048.10610065
0.04000000 1538642.61962985 15140.24407874
0.04100000 1532530.59697543 11585.93185033
0.04200000 1526293.57964453 13782.43166360
0.04300000 1519932.48253645 13041.02130550
0.04400000 1513450.94829183 17366.85043820
0.04500000 1506850.32107069 12476.72123819
0.04600000 1500130.55079959 10575.92087478
0.04700000 1493295.82749802 15052.42264124
0.04800000 1486346.79011294 13109.57929876
0.04900000 1479287.22207160 17751.44749114
0.05000000 1472116.52047132 13514.03028722
0.05100000 1464839.33019109 11425.74730775
0.05200000 1457454.14679958 16221.46540982
0.05300000 1449966.87978913 17617.09841071
0.05400000 1442377.26223642 16659.45815573
0.05500000 1434688.34477326 15666.79745577
0.05600000 1426900.79509191 15860.00307754
0.05700000 1419020.06681605 13580.02267333
0.05800000 1411044.89048262 14985.29743663
0.05900000 1402977.93884160 15152.16244718
0.06000000 1394823.04879725 14038.89464202
0.06100000 1386581.47400946 14184.72914199
0.06200000 1378255.64991456 14326.96815055
0.06300000 1369848.52601859 13150.54646464
0.06400000 1361358.86020673 17255.22436009
0.06500000 1352793.02087262 16071.18183974
0.06600000 1344151.97603942 14859.60079037
0.06700000 1335436.76546862 16345.74677430
0.06800000 1326651.25030724 19223.17751677
0.06900000 1317797.55932371 13836.87502073
0.07000000 1308876.97404485 20909.31063952
0.07100000 1299892.05278646 16846.60179317
0.07200000 1290845.46904434 15548.23440302
0.07300000 1281740.04015226 17072.77813478
0.07400000 1272577.93575736 18611.45318266
0.07500000 1263360.56171874 15842.54218653
0.07600000 1254089.35819910 14484.73276625
0.07700000 1244769.85104446 16020.18873410
0.07800000 1235401.78620902 17567.41422374
0.07900000 1225987.63074755 25010.14884032
0.08000000 1216531.37008724 19215.11389193
0.08100000 1207033.83255642 23754.42693923
0.08200000 1197496.81595448 16399.71966406
0.08300000 1187924.30991625 14967.84700742
0.08400000 1178317.36189421 18028.25648320
0.08500000 1168678.64715902 21106.33735853
0.08600000 1159010.10894282 22687.62394777
0.08700000 1149315.16475375 22756.44133071
0.08800000 1139593.79492822 16734.93566446
0.08900000 1129851.46173805 21354.19362985
0.09000000 1120087.05802151 19875.94577827
0.09100000 1110304.55465814 18386.64428896
0.09200000 1100505.50523537 21492.87352713
0.09300000 1090694.68515056 18454.55493997
0.09400000 1080869.13467450 15402.38589298
0.09500000 1071034.28134819 18507.47325160
0.09600000 1061191.71281239 18528.40817668
0.09700000 1051345.62638323 21636.69400817
0.09800000 1041495.72932986 21652.69723083
0.09900000 1031645.04749873 18569.61172817
0.10000000 1021794.23576823 20124.23841984
0.10100000 1011945.71075783 15482.77010278
0.10200000 1002102.85013706 24771.98362057
0.10300000 992266.24528844 18575.22498559
0.10400000 982439.31517383 18568.10393032
0.10500000 972624.46546292 15464.72972847
0.10600001 962819.23874661 16998.57445991
0.10700001 953030.85470897 21614.74080194
0.10800001 943258.31315687 16964.50156050
0.10900001 933505.26617359 16943.12137849
0.11000001 923771.29506834 19995.03062291
0.11100001 914059.41777017 19963.05862383
0.11200001 904371.57562292 16862.00882130
0.11300001 894708.97746522 16829.47665847
0.11400001 885074.30143812 16794.28566054
0.11500001 875468.89561861 22849.73925159
0.11600001 865893.96478621 22794.65969643
0.11700001 856352.09074943 16673.17599211
0.11800001 846842.77016295 16627.75857529
0.11900001 837368.77435557 21101.69410768
0.12000001 827931.07972598 16529.64478536
0.12100001 818534.37048904 16477.09765415
0.12200001 809176.56723151 14929.30836876
0.12300001 799861.00337378 16365.15690006
0.12400001 790587.27875699 16305.86339265
0.12500001 781357.77751798 16244.42896004
0.12600001 772175.30602174 23535.90443664
0.12700001 763039.36609454 14650.35651943
0.12800001 753951.35030979 18965.64711088
0.12900001 744913.56275835 18883.55970595
0.13000001 735926.71130786 17353.15267058
0.13100001 726991.18655393 21591.63925843
0.13200001 718109.22854527 15758.90776331
0.13300001 709281.79955816 24236.16023347
0.13400001 700509.63023923 19859.44895357
0.13500001 691794.36376922 14112.60568628
0.13600001 683136.55858052 15442.30263483
0.13700001 674537.85577317 20944.40140935
0.13800001 665997.09431757 18051.85209273
0.13900001 657517.93668271 16569.45278579
0.14000001 649099.62164370 13728.45764521
0.14100001 640744.67110427 13647.86213819
0.14200001 632452.24469354 16279.32154623
0.14300001 624224.49235320 13483.24967080
0.14400001 616058.85615205 13399.28075335
0.14500001 607961.12990661 14645.78431032
0.14600001 599929.06565633 18519.81113047
0.14700001 591964.87584795 21026.59338208
0.14800001 584065.59661044 15664.64004013
0.14900001 576235.96065351 12965.30972642
0.15000001 568474.23134696 19313.91292130
0.15100001 560781.87494001 17900.15829270
0.15200001 553160.22945158 12695.02786495
0.15300001 545608.64285571 12603.56024472
0.15400001 538125.97252401 16264.85828709
0.15500001 530715.97219418 13660.62976896
0.15600001 523375.84702060 13558.05195694
0.15700001 516110.19880594 12231.81228900
0.15800001 508913.58019883 15778.86629881
0.15900001 501791.67528448 24086.00155053
0.16000001 494739.80951375 13142.76366010
0.16100001 487763.40138205 11852.65121308
0.16200001 480859.59099723 11757.01755488
0.16300001 474028.70415768 16325.54934188
0.16400001 467271.74096812 18503.96181590
0.16500001 460587.41998363 12615.49002895
0.16600001 453977.45588285 21607.05803288
0.16700001 447440.50649938 16913.25194423
0.16800001 440977.71970497 12296.66429458
0.16900001 434589.64196176 21055.86914726
0.17000001 428273.94919137 12083.75004703
0.17100001 422032.49101351 13066.12653878
0.17200001 415864.85975300 14029.20170627
0.17300001 409770.40982649 16042.51230231
0.17400001 403750.54577425 16957.52372336
0.17500001 397802.77970719 11552.19326828
0.17600001 391927.16006123 11446.23325018
0.17700001 386127.35768046 11340.56103070
0.17800001 380398.51861702 16341.92113165
0.17900001 374742.25520430 15177.06205264
0.18000001 369159.16296884 12027.20609763
0.18100001 363648.63668834 11913.12990064
0.18200001 358208.00549000 11799.37225822
0.18300001 352839.41926798 10712.20527501
0.18400001 347542.06064355 10608.72190231
