# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 255.13692513
0.00100000 1700829.77122140 612.29873218
0.00200000 1700580.51608242 918.31350776
0.00300000 1700165.31171564 1530.14883505
0.00400000 1699583.99959332 1402.15685294
0.00500000 1698837.12435800 2140.53486142
0.00600000 1697924.55550670 2317.66711262
0.00700000 1696846.91708637 2850.70293918
0.00800000 1695603.97520516 2517.97200949
0.00900000 1694197.00547687 3049.55474022
0.01000000 1692625.35698087 3909.96474346
0.01100000 1690890.36984609 3652.32335789
0.01200000 1688991.96275763 3952.24136613
0.01300000 1686931.23115913 3542.55574168
0.01400000 1684708.31157547 4169.65325599
0.01500000 1682324.53844243 4845.09488646
0.01600000 1679779.35025749 5140.12504157
0.01700000 1677075.09314111 7697.77502283
0.01800000 1674211.59792020 6680.10457629
0.01900000 1671189.72511461 5514.92634173
0.02000000 1668010.47869633 7355.92654380
0.02100000 1664676.00146979 8240.14658087
0.02200000 1661184.84509940 6877.30557116
0.02300000 1657540.14290363 7160.57374328
0.02400000 1653741.53014069 8061.99032704
0.02500000 1649791.70484360 9651.28191412
0.02600000 1645690.46064462 9997.57000569
0.02700000 1641440.00029572 7583.45314870
0.02800000 1637040.17338444 9969.57511311
0.02900000 1632493.77017230 8080.84453338
0.03000000 1627801.81084932 9083.13452205
0.03100000 1622964.87294505 9348.27809831
0.03200000 1617984.49307211 12814.43777534
0.03300000 1612864.20594351 12338.41174427
0.03400000 1607602.36328346 9283.90407632
0.03500000 1602202.18432083 9517.08141435
0.03600000 1596665.07012176 8861.49154870
0.03700000 1590992.68475315 9068.65872250
0.03800000 1585186.63621840 10200.67647615
0.03900000 1579248.96268382 14213.24132237
0.04000000 1573179.55763717 10642.56020058
0.04100000 1566982.53762988 9871.99044480
0.04200000 1560658.71701699 14092.74886847
0.04300000 1554208.98786412 10257.77979605
0.04400000 1547636.91579277 10446.54966676
0.04500000 1540943.93563367 14885.51910988
0.04600000 1534129.94149699 12978.73990841
0.04700000 1527199.37438692 10995.83600698
0.04800000 1520152.70671642 14525.05978850
0.04900000 1512993.70583056 12482.19865412
0.05000000 1505721.81472465 17278.15862854
0.05100000 1498341.91503631 16361.89447440
0.05200000 1490851.94588238 15407.95557872
0.05300000 1483258.58088992 14417.27407835
0.05400000 1475561.10974821 15825.39364005
0.05500000 1467762.67791199 18493.81060441
0.05600000 1459864.09247063 13730.02243039
0.05700000 1451870.69396597 13894.40318982
0.05800000 1443781.00031288 14055.20869432
0.05900000 1435598.37373618 16796.50175721
0.06000000 1427326.14225903 14366.03829300
0.06100000 1418965.94745542 15835.66071362
0.06200000 1410519.66033003 17328.23483714
0.06300000 1401990.61296838 14805.02156516
0.06400000 1393377.82885075 14943.97791331
0.06500000 1384687.35477976 13708.40545357
0.06600000 1375920.03214196 19359.19575803
0.06700000 1367077.70934379 18127.45127424
0.06800000 1358163.34617529 19679.78780727
0.06900000 1349179.54311518 16999.66303916
0.07000000 1340127.50485805 19981.30203313
0.07100000 1331009.90721502 22999.85227394
0.07200000 1321829.28843354 14474.03138641
0.07300000 1312588.67734460 17483.68200144
0.07400000 1303290.14165504 16128.21625882
0.07500000 1293935.39339902 17701.03701139
0.07600000 1284525.27169307 20770.77461702
0.07700000 1275065.84100952 17901.92524717
0.07800000 1265556.93694434 16496.53544669
0.07900000 1256000.63327885 19593.61079816
0.08000000 1246401.15776425 15143.77477725
0.08100000 1236759.52874920 18254.57150081
0.08200000 1227077.57069707 18332.53976647
0.08300000 1217358.48357378 15338.71761291
0.08400000 1207604.53590634 16936.65441107
0.08500000 1197817.45043746 18542.21500324
0.08600000 1187999.86632972 18604.07878021
0.08700000 1178155.22610660 21772.30960083
0.08800000 1168283.18089750 18715.89743695
0.08900000 1158388.82652965 21893.54984974
0.09000000 1148472.29556873 26650.30087058
0.09100000 1138536.57816835 17282.98606857
0.09200000 1128583.49653487 22041.23672297
0.09300000 1118617.61411254 20504.26183022
0.09400000 1108636.54825793 20537.49302169
0.09500000 1098645.44676795 23730.74276560
0.09600000 1088646.14732016 17423.78240691
0.09700000 1078642.72262834 19027.25852169
0.09800000 1068634.71721311 20629.99418577
0.09900000 1058625.30725966 22231.13249782
0.10000000 1048615.20622972 27007.08590651
0.10100000 1038606.87875469 19068.82319078
0.10200000 1028603.51899209 20659.50265070
0.10300000 1018605.96746372 17479.27922392
0.10400000 1008617.88141904 17474.30561767
0.10500000 998641.33430810 23817.59694385
0.10600001 988673.66899767 17455.03444748
0.10700001 978723.18285690 17440.84793924
0.10800001 968787.41802765 19007.61003623
0.10900001 958870.92751760 23732.05657303
0.11000001 948973.42307919 18960.48988558
0.11100001 939097.89200118 26820.63705809
0.11200001 929245.71300161 17325.78713456
0.11300001 919418.82321659 18866.47514065
0.11400001 909619.32275015 20398.21427311
0.11500001 899849.34529723 21920.33108362
0.11600001 890109.34107753 21869.98754017
0.11700001 880402.30753209 18699.74589264
0.11800001 870727.50221762 32639.22195788
0.11900001 861087.91295044 15499.58316316
0.12000001 851484.77127940 23181.67399005
0.12100001 841922.57771064 18488.62067749
0.12200001 832399.03713894 18429.31555049
0.12300001 822918.17611684 15306.27879692
0.12400001 813478.58406498 18303.26900387
0.12500001 804083.49187970 16716.89658389
0.12600001 794735.46465976 19681.62470976
0.12700001 785434.01603179 18096.40058219
0.12800001 776180.41860878 16521.00098871
0.12900001 766977.52273989 17947.27487801
0.13000001 757825.56380708 19358.65493992
0.13100001 748724.63724665 16307.22336792
0.13200001 739678.24278953 19183.55613107
0.13300001 730686.23778511 19092.83229342
0.13400001 721749.34304816 14615.42488578
0.13500001 712870.18577384 17451.06297053
0.13600001 704048.32985426 15915.01324676
0.13700001 695285.86276684 24467.11066447
0.13800001 686581.40281803 17178.26750856
0.13900001 677939.68901708 18507.75438296
0.14000001 669358.52108985 18404.01340531
0.14100001 660841.39577530 14075.92239388
0.14200001 652386.79132618 13993.69733396
0.14300001 643997.71310275 19474.49176279
0.14400001 635670.70166057 16591.00609594
0.14500001 627412.42905256 16488.39941329
0.14600001 619219.72653063 16384.55473693
0.14700001 611095.82148521 18992.85902778
0.14800001 603037.55449524 14825.67897672
0.14900001 595048.71247867 16066.31599495
0.15000001 587128.51863726 14628.30773205
0.15100001 579278.57101753 19811.32806360
0.15200001 571499.77462228 15739.10453578
0.15300001 563791.56406593 15628.30289339
0.15400001 556152.49223026 14223.60066002
0.15500001 548586.98672807 15404.32331430
0.15600001 541091.78666622 14016.98339512
0.15700001 533671.99450500 15177.63224006
0.15800001 526321.50266814 13808.04527422
0.15900001 519046.40949300 12457.11441582
0.16000001 511842.34709267 13597.09259233
0.16100001 504714.04316027 18396.82774160
0.16200001 497659.06545864 15818.09414231
0.16300001 490677.69783943 14484.80632402
0.16400001 483771.27947916 16762.67562531
0.16500001 476938.06463471 11875.75837007
0.16600001 470180.29994811 18844.82731164
