# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626458 335.24212727
0.00100000 1719106.79803781 618.87846199
0.00200000 1718855.94119483 928.18223764
0.00300000 1718438.06260954 1237.27544915
0.00400000 1717853.00317847 1417.22878147
0.00500000 1717101.32875362 2009.00863416
0.00600000 1716182.88143096 2702.98814830
0.00700000 1715098.29377243 2469.74164568
0.00800000 1713847.32225895 3007.80217755
0.00900000 1712431.30506501 3596.10589436
0.01000000 1710849.50210606 3105.19198040
0.01100000 1709103.34605650 3999.30200390
0.01200000 1707192.68091227 3661.92846111
0.01300000 1705118.62953194 5013.04899192
0.01400000 1702881.36568749 4597.77989118
0.01500000 1700482.16849083 4081.15738611
0.01600000 1697920.51746140 5628.60676700
0.01700000 1695198.75164304 5492.44420171
0.01800000 1692316.70403156 5305.41310587
0.01900000 1689275.26545474 5574.60862754
0.02000000 1686075.38706240 6373.36525140
0.02100000 1682719.25502720 8329.46069003
0.02200000 1679205.40130771 5793.25889771
0.02300000 1675536.93720196 6635.12657334
0.02400000 1671713.63800013 6895.81907118
0.02500000 1667738.12048301 7805.01476032
0.02600000 1663610.10773382 7411.38336894
0.02700000 1659331.85704765 8363.03294256
0.02800000 1654903.28740251 7198.82963034
0.02900000 1650327.12829014 8911.76690194
0.03000000 1645604.42058629 9947.67917969
0.03100000 1640735.74118506 9450.63830408
0.03200000 1635722.67711639 9716.19314958
0.03300000 1630568.76670662 9147.49120293
0.03400000 1625272.18769471 11092.48319283
0.03500000 1619836.38957820 9621.82859841
0.03600000 1614262.70765340 8959.15844151
0.03700000 1608552.79626908 11002.50163532
0.03800000 1602708.30263013 10313.42840473
0.03900000 1596731.18794530 12454.50384274
0.04000000 1590621.43739187 14673.48343989
0.04100000 1584383.15045890 11977.93717285
0.04200000 1578017.19618832 12213.85366513
0.04300000 1571524.40148848 13483.67999066
0.04400000 1564908.38148977 11619.44527219
0.04500000 1558170.49064986 12901.65226205
0.04600000 1551310.72916401 14217.76349373
0.04700000 1544333.56259207 13343.04260135
0.04800000 1537239.29525553 19207.80588792
0.04900000 1530031.92671205 14917.81197983
0.05000000 1522710.93019355 12813.61307426
0.05100000 1515280.98979281 14183.03072516
0.05200000 1507740.12676585 19178.45530620
0.05300000 1500094.99187433 12150.77000063
0.05400000 1492345.03629492 16005.40126066
0.05500000 1484493.16990080 19951.58913419
0.05600000 1476540.50286784 13886.86407749
0.05700000 1468492.23113791 15331.05960871
0.05800000 1460346.73771088 15508.88307864
0.05900000 1452107.65704861 13068.96952383
0.06000000 1443778.23968297 14531.62866131
0.06100000 1435359.95828375 18688.38753019
0.06200000 1426854.94364184 14832.15783246
0.06300000 1418266.31415698 17699.96442825
0.06400000 1409593.37961971 15117.88970344
0.06500000 1400842.06309658 19415.67190274
0.06600000 1392012.95350805 15388.70392105
0.06700000 1383108.50559474 15518.47815902
0.06800000 1374131.04947945 17066.70843341
0.06900000 1365083.64304028 21500.06838449
0.07000000 1355967.19789038 24549.78726743
0.07100000 1346784.64713046 14545.27487028
0.07200000 1337538.34576284 19039.85924389
0.07300000 1328231.52915707 17692.04479734
0.07400000 1318866.20312593 17804.69457660
0.07500000 1309443.96063538 16420.42803603
0.07600000 1299965.63817999 16516.06420736
0.07700000 1290437.74871913 21137.37131512
0.07800000 1280859.56719162 22767.27987453
0.07900000 1271233.34954012 19831.24118299
0.08000000 1261563.58779858 16860.79814189
0.08100000 1251851.16400269 21556.87805554
0.08200000 1242097.85395213 18556.94280883
0.08300000 1232306.73830691 20185.18532080
0.08400000 1222480.38852718 17145.28825387
0.08500000 1212620.31633564 18771.36337810
0.08600000 1202729.29584298 17265.17985245
0.08700000 1192810.91168783 18894.12572836
0.08800000 1182864.55172778 17370.36675790
0.08900000 1172895.24628327 25334.53850967
0.09000000 1162903.55403346 19048.36110987
0.09100000 1152892.16507606 17500.90388807
0.09200000 1142863.07553820 19131.52878344
0.09300000 1132820.71820238 15972.77287725
0.09400000 1122762.70183907 19199.24310376
0.09500000 1112694.58091566 19227.36326196
0.09600000 1102617.59723646 17647.39547333
0.09700000 1092536.29170818 25696.45478904
0.09800000 1082450.10202584 16074.38477086
0.09900000 1072361.97955138 22519.60262951
0.10000000 1062273.10112513 19312.12588665
0.10100000 1052185.47787638 19318.12628238
0.10200000 1042102.49375633 28980.87171452
0.10300000 1032025.03093520 20929.46861190
0.10400000 1021956.95092050 19314.98728107
0.10500000 1011900.17498523 16089.21353925
0.10600001 1001851.83220351 17687.69492982
0.10700001 991820.69751470 22494.49447817
0.10800001 981803.84162072 27289.23906213
0.10900001 971806.00667227 22448.71981069
0.11000001 961827.02738172 19217.30491164
0.11100001 951870.17767304 19189.70368521
0.11200001 941936.05654136 17562.39860100
0.11300001 932027.28741322 15937.66736512
0.11400001 922145.63107078 28632.62319290
0.11500001 912293.42540538 20636.07825438
0.11600001 902470.95513667 19006.03921020
0.11700001 892681.56263275 20540.60372354
0.11800001 882924.05906538 22064.27327523
0.11900001 873201.78897143 18861.15953017
0.12000001 863515.77629486 17240.09328582
0.12100001 853870.98076626 18751.00762095
0.12200001 844264.23665699 20249.67867021
0.12300001 834700.76022927 18630.52184608
0.12400001 825178.04960919 17019.29807510
0.12500001 815699.99411511 21583.42286131
