# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682650.33231755 656.23364519
0.00200000 1682402.41417296 908.49733242
0.00300000 1681989.42613257 1614.70990661
0.00400000 1681411.23182221 1765.48186050
0.00500000 1680668.35930562 1512.60158325
0.00600000 1679760.67909797 2469.24829880
0.00700000 1678688.81155709 2820.19732062
0.00800000 1677452.53017932 2717.47321362
0.00900000 1676053.09748373 3016.89570444
0.01000000 1674489.89615957 3591.78098235
0.01100000 1672764.23426277 3613.17090332
0.01200000 1670876.02327861 3909.85006589
0.01300000 1668826.34993461 3504.53548943
0.01400000 1666615.39403821 3749.88480282
0.01500000 1664244.48089419 4793.02431840
0.01600000 1661713.05368989 6356.05271450
0.01700000 1659023.35703614 4927.29959143
0.01800000 1656175.31392847 5192.10984280
0.01900000 1653169.72513373 5951.41127902
0.02000000 1650007.76406961 6237.02963032
0.02100000 1646691.32045961 7607.71424545
0.02200000 1643219.04301539 6802.92714716
0.02300000 1639594.20366979 5902.53940189
0.02400000 1635816.24024186 9814.89788899
0.02500000 1631887.94868131 7637.23594863
0.02600000 1627809.02182049 9229.67757587
0.02700000 1623581.83937077 8182.85284521
0.02800000 1619206.08914250 8452.25617294
0.02900000 1614684.57491335 8719.29710487
0.03000000 1610018.38442513 10481.22016438
0.03100000 1605208.02370081 8475.49875512
0.03200000 1600254.92765341 11881.89338508
0.03300000 1595163.10245370 8948.86541731
0.03400000 1589930.39745902 10016.56196616
0.03500000 1584560.20818535 11123.61317513
0.03600000 1579053.79479518 15774.74813901
0.03700000 1573412.83558585 9865.29893537
0.03800000 1567639.24216091 11921.89698837
0.03900000 1561734.67890137 11244.49020882
0.04000000 1555699.32405451 12437.81667217
0.04100000 1549537.14736757 12690.70982536
0.04200000 1543248.80019391 12940.14178996
0.04300000 1536835.44112319 11157.42582046
0.04400000 1530300.60683232 11362.48253343
0.04500000 1523645.58811916 11564.47055117
0.04600000 1516870.28134180 10693.93598059
0.04700000 1509979.27629254 10871.85129493
0.04800000 1502972.95457078 13256.22207610
0.04900000 1495854.94529395 17950.26017907
0.05000000 1488624.78517377 11387.98013687
0.05100000 1481287.49533653 11554.04300186
0.05200000 1473840.82815901 14060.44215587
0.05300000 1466291.48803886 14252.35392815
0.05400000 1458638.85335151 12033.77110133
0.05500000 1450885.87664431 13406.18612558
0.05600000 1443033.49651106 19740.69915345
0.05700000 1435087.04224932 13733.78363540
0.05800000 1427045.17952644 13892.28547135
0.05900000 1418910.87861876 16601.25805521
0.06000000 1410687.73726589 16780.13141873
0.06100000 1402377.23134631 16954.74151930
0.06200000 1393981.43286144 14490.43767193
0.06300000 1385503.59704659 13300.83515353
0.06400000 1376942.74124518 17452.75006149
0.06500000 1368304.67332737 21673.94703936
0.06600000 1359590.49278715 16396.66211019
0.06700000 1350801.94134220 19289.45262509
0.06800000 1341942.01683157 15278.01057678
0.06900000 1333013.55198547 15396.30724627
0.07000000 1324017.23216815 14100.78418291
0.07100000 1314956.00762654 21302.28832130
0.07200000 1305832.46822662 15728.75281663
0.07300000 1296649.36627021 15832.08950398
0.07400000 1287409.09112019 15931.68824924
0.07500000 1278113.30829888 16027.54163732
0.07600000 1268762.70389918 19050.47289214
0.07700000 1259363.31734877 16208.00665425
0.07800000 1249915.07504523 16292.64376728
0.07900000 1240419.81853885 17862.04622476
0.08000000 1230882.27689076 22432.83054868
0.08100000 1221302.85702691 18026.43101549
0.08200000 1211683.69210592 24136.74027937
0.08300000 1202028.18926817 15145.55589559
0.08400000 1192337.95139359 16722.54055323
0.08500000 1182615.66587613 16781.31708658
0.08600000 1172862.82275685 15305.86055561
0.08700000 1163083.65150342 29170.13934947
0.08800000 1153277.63979998 16935.88293584
0.08900000 1143449.76201998 15436.57251232
0.09000000 1133600.50944424 23210.47152119
0.09100000 1123732.30757253 20159.75854498
0.09200000 1113846.77934758 17091.97963218
0.09300000 1103949.68805944 20235.39873303
0.09400000 1094037.35029067 21826.04616407
0.09500000 1084115.68401152 15611.26658354
0.09600000 1074185.98441013 21881.16953102
0.09700000 1064252.61446832 18773.41700181
0.09800000 1054315.23778794 18787.89842074
0.09900000 1044377.03589587 25065.05004012
0.10000000 1034438.16577825 18806.08673825
0.10100000 1024502.03558063 17242.37006976
0.10200000 1014570.84865357 20377.65645370
0.10300000 1004645.82240423 15672.47556675
0.10400000 994730.72240369 20367.11249939
0.10500000 984827.51224356 18790.50981769
0.10600001 974933.59072531 15647.68486742
0.10700001 965057.09979609 21887.49605335
0.10800001 955195.88816283 17179.19885709
0.10900001 945353.98093209 18718.00970343
0.11000001 935531.37672736 15576.59815569
0.11100001 925731.19517873 23328.42721665
0.11200001 915954.81969995 20183.06540225
0.11300001 906203.82389489 18595.30334181
0.11400001 896480.56204669 21650.00659281
0.11500001 886786.92737499 15430.09326290
0.11600001 877123.69969822 16932.87382007
0.11700001 867493.83972233 15354.64168621
0.11800001 857896.28227105 18376.13923173
0.11900001 848334.37619325 22905.02923608
0.12000001 838808.78501825 22836.57024784
0.12100001 829324.59202164 15176.64074894
0.12200001 819879.37315529 16639.45266209
0.12300001 810476.79884149 16582.35608556
0.12400001 801115.93663882 21029.29432762
0.12500001 791799.36798339 17958.01051205
0.12600001 782530.43057236 20870.08756684
0.12700001 773308.01714908 17817.01755477
0.12800001 764133.91544827 16264.59115685
0.12900001 755010.22213528 22084.05003832
0.13000001 745938.01160366 19054.98740457
0.13100001 736917.00885356 16050.05320939
0.13200001 727950.17453245 14522.60666652
0.13300001 719038.30537201 18788.47180512
0.13400001 710181.41513965 24447.99636880
0.13500001 701382.35195227 15739.02071988
0.13600001 692640.78290797 17080.52251187
0.13700001 683958.75530196 16989.53628281
0.13800001 675334.61857704 19713.01844585
0.13900001 666773.53452598 22403.59181659
0.14000001 658272.81172723 15314.71768709
0.14100001 649836.17450853 16609.81340381
0.14200001 641462.32453610 20639.05126540
0.14300001 633154.06196075 16411.35406011
0.14400001 624907.58607513 17669.26282973
0.14500001 616730.04184001 20259.58283013
0.14600001 608618.06160271 16104.03466970
0.14700001 600574.69346924 18665.86235361
0.14800001 592597.08910585 13244.54556638
0.14900001 584688.91762902 18417.70177428
0.15000001 576849.45722649 16985.33306945
0.15100001 569079.98218877 18165.03388858
0.15200001 561381.76802825 12883.71218419
0.15300001 553753.90231347 16629.23047119
0.15400001 546195.47806520 16508.75910359
0.15500001 538710.38794374 12605.82367279
0.15600001 531295.33593996 17516.80805264
0.15700001 523955.53588196 13659.52146513
0.15800001 516685.29601809 17252.12284832
0.15900001 509490.19693339 13450.54183392
0.16000001 502365.91238440 13345.35109242
0.16100001 495317.57339574 15647.08288218
0.16200001 488342.38671681 11939.97191886
0.16300001 481440.45766557 11843.43581768
0.16400001 474613.26822982 12921.34683757
0.16500001 467859.47571538 18639.52239250
0.16600001 461180.58865890 18484.11886614
0.16700001 454575.08298242 18328.46821122
0.16800001 448043.97305123 11357.91525313
0.16900001 441588.62739607 13512.61263636
0.17000001 435206.06278528 12279.33964131
0.17100001 428898.81554591 11065.58996362
0.17200001 422665.26437098 17549.06260540
0.17300001 416506.04778335 13044.97003262
0.17400001 410421.75650055 15083.00026371
0.17500001 404410.26583621 10676.43152230
0.17600001 398471.60486681 14811.19025242
0.17700001 392609.42149689 14675.74086870
0.17800001 386818.43629012 16617.72080791
0.17900001 381100.64569351 11318.68971172
0.18000001 375456.97803432 13251.75466567
0.18100001 369886.71145092 11107.69846956
0.18200001 364386.31886423 11002.64541785
0.18300001 358959.10728174 11888.72619479
0.18400001 353603.51802991 10793.74789777
0.18500001 348319.76161109 10689.93398886
0.18600001 343107.17345511 11548.98800411
0.18700001 337964.59026967 15248.96303340
0.18800001 332890.80353180 11324.94567121
0.18900001 327890.41359363 15886.29128920
0.19000001 322955.27529528 10177.93598183
0.19100001 318091.93450726 10077.15296134
0.19200001 313295.36545300 11790.87163596
0.19300001 308568.66202024 11673.15303581
0.19400001 303907.58882335 8889.29739314
0.19500001 299314.57263626 11439.80350675
0.19600001 294786.61075490 9582.03923540
0.19700001 290326.58374611 11209.50992817
0.19800001 285930.58490214 13656.04538029
0.19900001 281599.72547439 12671.98824523
0.20000001 277331.80163866 9197.70963604
0.20100001 273129.12320990 8275.81282439
0.20200001 268988.30873975 11466.97214354
0.20300001 264910.37806820 10538.13533763
0.20400001 260894.49336747 12033.75907536
0.20500001 256939.36574857 8733.36945459
0.20600001 253044.20620564 13356.93905592
0.20700001 249209.70936001 8552.87762952
0.20800001 245433.68134099 10002.65015588
0.20900001 241718.72998315 8375.55438984
0.21000001 238058.76901271 10548.38455360
0.21100001 234457.55329601 7455.75054727
0.21200001 230911.81929700 10328.68616544
0.21300001 227422.20357524 9490.32900385
0.21400001 223988.12042575 7945.97894776
0.21500001 220609.55864602 10006.85005328
0.21600001 217283.35677512 9901.60303638
0.21700001 214010.87231590 8397.78702672
0.21800001 210791.03349654 9694.28008886
0.21900001 207622.16262849 6851.53169069
0.22000001 204503.86458159 11524.81583342
0.22100001 201437.62943286 7378.66071501
0.22200001 198420.28675860 9955.73835886
0.22300001 195451.59075113 6567.17375977
0.22400001 192530.50918927 6497.90499240
