# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 357.19169518
0.00100000 1700829.68040649 561.27380786
0.00200000 1700580.16348315 841.78720758
0.00300000 1700164.50793684 1938.18760809
0.00400000 1699582.57679978 1912.03047155
0.00500000 1698834.90882701 1681.84662631
0.00600000 1697921.37868031 2495.94452828
0.00700000 1696842.55746644 2239.83226894
0.00800000 1695598.29824447 2517.96357920
0.00900000 1694189.84248065 2795.41335959
0.01000000 1692616.50490656 3909.94429516
0.01100000 1690879.67164842 4565.37531222
0.01200000 1688979.22080272 3622.86058746
0.01300000 1686916.33772181 3542.52446546
0.01400000 1684691.03580196 3790.55499859
0.01500000 1682304.73218796 6460.05045926
0.01600000 1679756.88827149 4283.38025657
0.01700000 1677049.71531440 5433.64132136
0.01800000 1674183.19002564 6202.84899816
0.01900000 1671158.12752179 7018.86445230
0.02000000 1667975.49090166 7881.18455102
0.02100000 1664637.44350574 7690.62533768
0.02200000 1661142.59241170 7450.22486545
0.02300000 1657494.00056627 8353.77014310
0.02400000 1653691.49222939 10542.28374366
0.02500000 1649737.43092634 9650.96441168
0.02600000 1645631.79850390 11330.17545092
0.02700000 1641376.98174673 6893.78363908
0.02800000 1636972.48214731 9257.07981107
0.02900000 1632421.31403735 7345.89625045
0.03000000 1627724.40176527 11353.37822417
0.03100000 1622882.44400057 8568.81969860
0.03200000 1617896.79678856 9610.30741556
0.03300000 1612771.25863501 9047.64717804
0.03400000 1607503.84200624 11815.15378390
0.03500000 1602098.11666740 10381.59627541
0.03600000 1596555.19459157 9746.96991343
0.03700000 1590876.89241349 9974.79857674
0.03800000 1585064.85803638 10199.89283351
0.03900000 1579121.10588031 11369.67248887
0.04000000 1573045.37386920 12576.49834687
0.04100000 1566842.05048900 13819.54752608
0.04200000 1560511.69892359 12078.36111002
0.04300000 1554055.29496630 14359.47159203
0.04400000 1547476.57363369 13579.10756428
0.04500000 1540776.68792991 13820.76753291
0.04600000 1533955.83100320 12977.26693356
0.04700000 1527018.16977308 14292.89073381
0.04800000 1519964.28960652 12288.91185325
0.04900000 1512798.03126705 11345.98576263
0.05000000 1505518.92131455 14972.38636968
0.05100000 1498131.50060122 16359.59674866
0.05200000 1490634.06812250 13035.59553321
0.05300000 1483032.98076762 14415.08124506
0.05400000 1475327.87813045 14605.74667461
0.05500000 1467521.58997530 19723.49108935
0.05600000 1459615.22590532 14975.65291661
0.05700000 1451613.97951839 15154.85065358
0.05800000 1443516.43670658 16607.65737976
0.05900000 1435325.72052337 15501.51850566
0.06000000 1427045.36243223 18280.45194680
0.06100000 1418676.71838643 15832.43291706
0.06200000 1410222.50250497 19989.90490741
0.06300000 1401685.03303622 13456.17694630
0.06400000 1393063.85889661 13582.37325944
0.06500000 1384365.20748623 15075.73781473
0.06600000 1375589.40264929 17972.07638650
0.06700000 1366738.75122883 19517.03028092
0.06800000 1357815.79102340 15458.73350441
