# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700829.88837564 612.29877436
0.00200000 1700580.99684348 918.31376737
0.00300000 1700166.38728096 1224.11984245
0.00400000 1699585.91465475 1529.62738131
0.00500000 1698840.10410543 1528.95615421
0.00600000 1697928.85979264 2852.52060058
0.00700000 1696852.76355265 2443.46808107
0.00800000 1695611.60837692 2517.98334475
0.00900000 1694206.66220190 3049.57212233
0.01000000 1692637.27857827 2792.85163025
0.01100000 1690904.77620150 3347.99160265
0.01200000 1689009.07498060 3952.28140874
0.01300000 1686951.31687151 4251.11750601
0.01400000 1684731.57158267 6065.03392657
0.01500000 1682351.22156331 6460.22897847
0.01600000 1679809.70641978 5140.21793143
0.01700000 1677109.30346287 5886.65391922
0.01800000 1674249.86294671 7157.41848616
0.01900000 1671232.33418400 6016.43667454
0.02000000 1668057.64357336 6830.69635942
0.02100000 1664727.91137095 6042.96259226
0.02200000 1661241.70735891 9170.05464124
0.02300000 1657602.18865712 8951.05222619
0.02400000 1653808.98112949 9922.85433923
0.02500000 1649864.78894952 10295.15675323
0.02600000 1645769.31881167 8664.97585986
0.02700000 1641524.90566268 7583.84541151
0.02800000 1637131.29749015 9970.13005894
0.02900000 1632591.32477914 11019.99194823
0.03000000 1627906.02896876 7569.76338265
0.03100000 1623075.84194592 10127.99371976
0.03200000 1618102.38834238 11213.45006768
0.03300000 1612989.42886467 10694.12040638
0.03400000 1607734.89361519 13504.97372949
0.03500000 1602342.31264018 12113.70844295
0.03600000 1596812.96044667 12407.23727606
0.03700000 1591148.38603970 11790.41008583
0.03800000 1585350.43958815 13911.45075120
0.03900000 1579421.02857437 12319.48459340
0.04000000 1573360.05471089 9676.16478486
0.04100000 1567171.61224390 13822.45426089
0.04200000 1560856.55982691 15101.28791692
0.04300000 1554415.65869011 13336.88697063
0.04400000 1547852.69806837 11492.80681691
0.04500000 1541168.84069786 11697.47204442
0.04600000 1534364.23369903 16225.90252566
0.04700000 1527443.10965427 12097.34999108
0.04800000 1520406.08449947 15644.97933743
0.04900000 1513256.74490214 11349.42611505
0.05000000 1505994.75408982 11520.86040527
0.05100000 1498624.81270236 16364.98371706
0.05200000 1491144.98229797 13040.06347788
0.05300000 1483561.71886039 14420.22057956
0.05400000 1475874.54288082 15828.75521055
0.05500000 1468086.48380226 16031.50515098
0.05600000 1460198.53973872 12484.69809735
0.05700000 1452215.73814718 13897.70526279
0.05800000 1444136.80038533 16614.79466422
0.05900000 1435964.95234397 14216.05369218
0.06000000 1427703.49064378 23514.27758946
0.06100000 1419354.20390338 13199.99471316
0.06200000 1410919.01300362 14666.50382574
0.06300000 1402401.01511060 14809.35541198
0.06400000 1393799.29521857 16307.45251670
0.06500000 1385120.09864706 16455.22754167
0.06600000 1376363.96715443 23515.17947907
0.06700000 1367533.01781876 16738.60492145
0.06800000 1358629.91861266 21092.73047379
0.06900000 1349657.59062514 21257.10804758
0.07000000 1340616.86396236 18560.84135073
0.07100000 1331510.75962752 14380.31687752
