# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682650.29596102 706.71314109
0.00200000 1682402.26616588 908.49725250
0.00300000 1681989.10207704 1009.19349720
0.00400000 1681410.64942753 1261.05803499
0.00500000 1680667.44948867 1966.38099373
0.00600000 1679759.37287827 2292.87163733
0.00700000 1678687.02161855 2215.86696063
0.00800000 1677450.20787632 2491.01366387
0.00900000 1676050.17550727 2765.48290781
0.01000000 1674486.27485777 3868.06346194
0.01100000 1672759.85945005 4215.35502935
0.01200000 1670870.79965952 3909.83784263
0.01300000 1668820.26365390 4205.42724989
0.01400000 1666608.33370209 4499.84270048
0.01500000 1664236.37446315 4393.58422422
0.01600000 1661703.84063784 6356.01747458
0.01700000 1659013.00806715 6271.06945181
0.01800000 1656163.70759789 5192.07345695
0.01900000 1653156.84231439 5951.36490087
0.02000000 1649993.44913355 6236.97551986
0.02100000 1646675.56294798 5977.43256451
0.02200000 1643201.78734492 7936.66499346
0.02300000 1639575.39180757 7082.96601501
0.02400000 1635795.85316212 7974.50514778
0.02500000 1631865.77945765 7637.13219665
0.02600000 1627785.06449302 9229.54173782
0.02700000 1623556.12739717 6818.93604738
0.02800000 1619178.48570580 7747.76940941
0.02900000 1614654.93782323 9445.73181996
0.03000000 1609986.82040244 8983.72687079
0.03100000 1605174.51532193 7704.83802807
0.03200000 1600219.32603693 10297.41183733
0.03300000 1595125.20289782 9762.16669178
0.03400000 1589890.27967566 8346.92435343
0.03500000 1584517.81988666 10267.67594701
0.03600000 1579009.05094094 10516.20076526
0.03700000 1573365.80213615 10761.82258432
0.03800000 1567589.65794606 10087.43991573
0.03900000 1561682.70765539 13118.13535181
0.04000000 1555644.87342415 11480.65969787
0.04100000 1549480.07036944 11714.06987513
0.04200000 1543189.05103823 11944.28380917
0.04300000 1536773.11664992 12171.24364883
0.04400000 1530235.48221123 11361.99898309
0.04500000 1523577.74148988 11563.95559523
0.04600000 1516799.68483031 18178.84506777
0.04700000 1509905.77639076 11958.45430518
0.04800000 1502896.48096030 15464.80550863
0.04900000 1495775.69662531 12340.15007156
0.05000000 1488542.69438006 12526.08735650
0.05100000 1481202.30264367 12708.71634871
0.05200000 1473752.60781462 11716.33377812
0.05300000 1466200.21512839 15439.08898504
0.05400000 1458544.51225215 12032.99278723
0.05500000 1450788.46098328 13405.28600483
0.05600000 1442933.00820931 14804.49335507
0.05700000 1434983.42566627 16229.66330186
0.05800000 1426938.40182926 18942.60816876
0.05900000 1418800.86108297 12769.20834614
0.06000000 1410574.54047349 14197.43341315
0.06100000 1402260.63758664 16953.33190067
0.06200000 1393861.68208301 19757.99026708
0.06300000 1385380.58156953 15959.58504588
0.06400000 1376816.17056438 13423.95829080
0.06500000 1368175.04722864 16253.92032140
0.06600000 1359457.53671192 13662.54888321
0.06700000 1350665.60439905 13776.78980961
0.06800000 1341802.41686001 15276.42123103
0.06900000 1332870.40998815 15394.65395612
0.07000000 1323870.67034358 21148.83494911
0.07100000 1314806.25538932 15619.89904563
0.07200000 1305679.21491652 20016.06330236
0.07300000 1296492.92662397 15830.17937581
0.07400000 1287249.19390786 15929.70952114
0.07500000 1277949.99803660 18939.21985863
0.07600000 1268596.18234567 16117.51525230
0.07700000 1259193.32251801 19152.33133352
0.07800000 1249741.49863540 17771.32494400
0.07900000 1240242.96723779 19347.79119639
0.08000000 1230702.06791642 25420.15240530
0.08100000 1221119.40588610 22529.65409565
0.08200000 1211496.84418945 19608.07734332
0.08300000 1201838.03361672 18171.79192112
0.08400000 1192144.46963041 18239.81124150
0.08500000 1182418.88730575 15253.20436231
0.08600000 1172662.78229254 24485.20004389
0.08700000 1162880.28503463 16885.02253158
0.08800000 1153070.95795034 21550.89721620
0.08900000 1143240.02112589 18520.48921214
0.09000000 1133387.17839940 17017.80928309
0.09100000 1123515.79612320 23256.77807238
0.09200000 1113627.30788262 18642.12200989
0.09300000 1103727.02876317 17118.80702057
0.09400000 1093811.57236515 17145.49720262
0.09500000 1083886.86200164 18729.56585573
0.09600000 1073954.11533523 20313.84304647
0.09700000 1064017.65991317 17205.16636966
0.09800000 1054077.30284222 17218.35355149
0.09900000 1044136.01418783 15662.04094929
0.10000000 1034194.31890920 17234.84913513
0.10100000 1024255.04008487 21939.54399047
0.10200000 1014321.07610397 15671.26136292
0.10300000 1004393.34310277 15668.53688946
0.10400000 994475.38569965 20361.88448013
0.10500000 984569.28541321 18785.58284953
0.10600001 974672.73112989 23465.24710608
0.10700001 964793.50251288 15629.65547620
0.10800001 954929.46262636 18735.71693846
0.10900001 945085.11191761 20272.07660475
0.11000001 935259.98476213 20243.70332304
0.11100001 925457.26437233 20211.98760534
0.11200001 915678.28022475 21729.04661267
0.11300001 905924.79905753 17040.44627255
0.11400001 896199.16129199 21643.21076426
0.11500001 886503.13958118 23137.73303258
0.11600001 876837.58814844 20005.05051567
0.11700001 867205.46038601 19954.39858323
0.11800001 857605.87121330 26024.05138766
0.11900001 848041.68037116 16791.22606224
0.12000001 838514.09229135 15219.03149198
0.12100001 829027.75369229 18205.45032871
0.12200001 819580.26009350 16633.38216222
0.12300001 810175.79796379 24110.83288337
0.12400001 800813.02417545 24024.39185723
0.12500001 791494.70978566 16455.17579182
0.12600001 782223.82673204 17881.63752174
0.12700001 772999.74249514 22262.39363301
0.12800001 763824.09153079 23647.99498831
0.12900001 754698.58314004 17659.94767783
0.13000001 745624.66383013 17581.83040183
0.13100001 736602.11631873 20418.61162684
0.13200001 727633.77119009 15967.92386150
0.13300001 718720.43455865 15890.90955724
0.13400001 709861.98832020 14374.70594119
0.13500001 701061.77697345 14301.66092456
0.13600001 692318.97745833 17072.58678911
0.13700001 683635.59514942 18396.63473293
0.13800001 675010.49048869 22518.35102457
0.13900001 666448.07681321 19593.57438231
0.14000001 657946.57020329 16698.68473928
0.14100001 649508.80085802 17984.89954398
0.14200001 641133.89696050 17878.01955997
0.14300001 632824.64640657 13669.01300712
0.14400001 624577.47437676 14943.01677932
0.14500001 616399.08649570 20248.71094656
0.14600001 608286.44257655 25484.16171394
0.14700001 600242.45773072 21320.61310443
0.14800001 592264.13022233 15884.52472197
0.14900001 584355.49524893 14462.79918978
0.15000001 576515.65009888 15669.69610903
0.15100001 568745.55967724 19451.09905876
0.15200001 561046.84488583 16738.83340702
0.15300001 553418.73179414 14062.37063848
0.15400001 545860.11117680 20305.99709404
0.15500001 538374.64780495 16377.35755912
0.15600001 530959.41214722 13754.50422082
0.15700001 523619.67343230 12409.78684605
0.15800001 516349.20511725 13546.42203562
0.15900001 509154.11118021 15885.60901863
0.16000001 502029.88432405 13336.42450658
0.16100001 494981.67348487 12028.05523346
0.16200001 488006.51707733 13124.93589637
0.16300001 481104.87645552 13018.69857147
0.16400001 474277.99647929 16433.73335384
0.16500001 467524.34324778 13969.62803577
0.16600001 460845.78540894 16161.86245734
0.16700001 454240.65377393 14880.92452023
0.16800001 447710.09406543 12484.39656248
0.16900001 441255.14852333 14627.60886424
0.17000001 434873.29889286 12269.95070765
0.17100001 428566.51787300 14374.12168823
0.17200001 422333.63053458 12055.51405291
0.17300001 416175.08994768 11948.38739665
0.17400001 410091.53420762 16147.35492200
0.17500001 404080.84994593 14934.82891934
0.17600001 398142.95494471 12684.83514363
0.17700001 392281.57922006 10473.91865987
0.17800001 386491.55275371 10377.29868158
0.17900001 380774.76984432 16449.47083424
0.18000001 375132.09162546 13240.28779933
0.18100001 369562.77532416 13115.78351580
0.18200001 364063.53696337 12991.60793023
0.18300001 358637.40538357 15837.42856989
0.18400001 353282.95085078 9803.60234924
0.18500001 348000.40359295 13592.89640650
0.18600001 342789.02522759 10576.75587308
0.18700001 337647.65326734 12378.16355358
0.18800001 332575.29583865 14142.76512373
0.18900001 327576.16864820 9335.92124757
0.19000001 322642.57902101 13865.56548856
0.19100001 317780.60794845 10982.49832962
0.19200001 312985.40231137 13591.39173758
0.19300001 308260.21349585 10764.44716392
0.19400001 303600.82373091 12432.45431926
0.19500001 299009.03668780 11428.12592224
0.19600001 294482.78179984 12182.75325877
0.19700001 290024.29149277 11197.83842372
0.19800001 285629.99815342 9378.66143259
0.19900001 281300.87879792 9282.92943904
0.20000001 277034.65830483 14199.41208249
0.20100001 272833.72619030 9920.23475313
0.20200001 268694.63092083 10636.27746771
0.20300001 264618.44360075 8097.32475690
0.20400001 260604.41554864 10417.66200396
0.20500001 256651.06257648 8723.57002931
0.20600001 252757.94727936 7848.13463399
0.20700001 248925.20888614 11649.70032654
0.20800001 245151.15149864 9222.58675533
0.20900001 241438.14745951 9886.89260583
0.21000001 237780.07384395 9030.88763150
0.21100001 234180.92513918 9681.03990291
0.21200001 230637.12605408 12527.05609384
0.21300001 227149.51041601 10937.24944359
0.21400001 223717.43121541 8657.86499735
0.21500001 220341.03017050 8566.85965805
0.21600001 217016.83444365 11302.23727218
