# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 280.65061764
0.00100000 1700829.70412315 612.29870803
0.00200000 1700580.25011225 994.83947782
0.00300000 1700164.70518456 1224.11863134
0.00400000 1699582.90401805 1274.68722645
0.00500000 1698835.42450824 1528.95194258
0.00600000 1697922.11464256 2852.50926873
0.00700000 1696843.58302166 2239.83362268
0.00800000 1695599.61351061 3204.68340484
0.00900000 1694191.52879304 2541.28740182
0.01000000 1692618.55877297 3351.38489108
0.01100000 1690882.20578478 3652.30572351
0.01200000 1688982.22940541 3622.86704091
0.01300000 1686919.84015556 5668.05091291
0.01400000 1684695.12585337 4169.62062133
0.01500000 1682309.37459795 4845.05121459
0.01600000 1679762.15683398 5140.07242969
0.01700000 1677055.71895737 4528.05064431
0.01800000 1674189.85586158 5725.72956469
0.01900000 1671165.60397207 5514.84674195
0.02000000 1667983.72207116 7355.80854708
0.02100000 1664646.50263580 7690.66719086
0.02200000 1661152.49176147 8023.36689973
0.02300000 1657504.89148052 7160.42145713
0.02400000 1653703.30094148 6821.52642743
0.02500000 1649750.23920372 9007.63671744
0.02600000 1645645.61392758 8664.32455362
0.02700000 1641391.80762712 8272.61508934
0.02800000 1636988.40673623 10681.34984380
0.02900000 1632438.28165268 8080.56986519
0.03000000 1627742.57389423 9082.80397982
0.03100000 1622901.96179969 10126.90870760
0.03200000 1617917.58293040 9610.43088525
0.03300000 1612793.03448511 10692.81831158
0.03400000 1607527.13663168 8439.51785672
0.03500000 1602122.63081412 10381.75512708
0.03600000 1596581.13223322 9747.12826273
0.03700000 1590904.23468628 9974.97001280
0.03800000 1585093.50890964 10200.07720189
0.03900000 1579151.28238060 11369.88975968
0.04000000 1573077.15325275 13544.19491713
0.04100000 1566875.17319077 9871.31404880
0.04200000 1560546.28222739 11072.07638607
0.04300000 1554091.53672962 11282.70508038
0.04400000 1547514.29453407 10445.72197322
0.04500000 1540816.09036050 12757.95782098
0.04600000 1533996.83384062 14059.08163571
0.04700000 1527060.95447455 14293.29119863
0.04800000 1520008.55217200 11172.06337828
0.04900000 1512844.14457496 13615.59793495
0.05000000 1505566.80378316 16124.62121938
0.05100000 1498181.12643720 11685.81333058
0.05200000 1490685.43558316 17776.42464773
0.05300000 1483086.10936112 13214.29785043
0.05400000 1475382.84648319 17040.67267155
0.05500000 1467578.42019515 12327.65930472
0.05600000 1459673.93770249 16224.27657466
0.05700000 1451674.51692823 18944.35333021
0.05800000 1443578.74081007 17885.94143377
0.05900000 1435389.98605684 14210.36152567
0.06000000 1427111.66013485 14363.87953032
0.06100000 1418744.97385931 18472.06042287
0.06200000 1410292.56649967 17325.44498930
0.06300000 1401756.93544906 17493.92737234
0.06400000 1393137.76011667 14941.40317601
0.06500000 1384441.06370019 24670.74090918
0.06600000 1375667.35036609 22120.73202888
0.06700000 1366818.51570098 23700.63417142
0.06800000 1357897.65228735 19675.93790266
0.06900000 1348907.24514531 15579.87941086
0.07000000 1339848.47150770 15696.32557875
0.07100000 1330724.58721634 20120.55670111
0.07200000 1321537.26152168 15917.91706073
0.07300000 1312290.47965841 20392.99500942
0.07400000 1302984.99468700 16124.44006491
0.07500000 1293623.64129966 20646.23428288
0.07600000 1284207.13833683 22248.88971473
0.07700000 1274740.98960337 19388.81136098
0.07800000 1265225.24472286 16492.21183838
0.07900000 1255662.30330116 16574.74318099
0.08000000 1246056.18521376 21195.41670479
0.08100000 1236408.31153988 18249.38753456
0.08200000 1226719.49210583 21381.72175075
