# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1719190.39626458 361.02998322
0.00100000 1719106.74505237 722.02485007
0.00200000 1718855.73704625 1082.87914863
0.00300000 1718437.59652942 1237.27511358
0.00400000 1717852.15570399 1932.58374860
0.00500000 1717100.01492079 1699.92908206
0.00600000 1716181.00240696 2522.78617625
0.00700000 1715095.72192547 2675.54943740
0.00800000 1713843.97545090 2776.42735745
0.00900000 1712427.09470781 2825.50482705
0.01000000 1710844.28049354 3952.05045859
0.01100000 1709097.06759145 3384.01234117
0.01200000 1707185.18028124 3661.91237226
0.01300000 1705109.87550793 4296.87707579
0.01400000 1702871.21667362 4214.60644810
0.01500000 1700470.50420459 5713.58114855
0.01600000 1697907.32498772 4329.66387227
0.01700000 1695183.86732890 5492.39597653
0.01800000 1692300.00841547 5787.66628921
0.01900000 1689256.74040913 6588.10158487
0.02000000 1686054.82030898 5842.18021665
0.02100000 1682696.59314720 7218.76871189
0.02200000 1679180.58411480 5793.17327839
0.02300000 1675509.91247507 7841.38674731
0.02400000 1671684.34491686 6895.69823721
0.02500000 1667706.30004479 9105.67681411
0.02600000 1663575.67063179 7411.22995164
0.02700000 1659294.88634075 11150.46214691
0.02800000 1654863.59344302 10797.98544241
0.02900000 1650284.61940427 8168.90924112
0.03000000 1645559.03032022 11477.77476406
0.03100000 1640687.52481132 9450.36057775
0.03200000 1635671.39136165 10525.54588820
0.03300000 1630514.28414201 9147.18555573
0.03400000 1625214.60186654 11945.32787488
0.03500000 1619775.54835495 13994.86138404
0.03600000 1614198.44625497 9854.68196981
0.03700000 1608485.14750770 11002.03891777
0.03800000 1602637.07628092 10312.97006315
0.03900000 1596656.52988437 12453.92150984
0.04000000 1590543.20034615 10760.02524895
0.04100000 1584301.20846156 10979.20788371
0.04200000 1577931.38423553 10177.65790049
0.04300000 1571434.75063516 11408.61681918
0.04400000 1564814.79401795 17956.25059528
0.04500000 1558072.97845506 12900.84486104
0.04600000 1551209.26563385 14216.83358043
0.04700000 1544228.09676373 12230.28709517
0.04800000 1537129.49180872 15817.06320665
0.04900000 1529918.09580270 13769.26350315
0.05000000 1522592.94808474 16306.97123334
0.05100000 1515158.65619007 13000.06187571
0.05200000 1507613.53391571 14382.63378380
0.05300000 1499963.91410638 13364.67909772
0.05400000 1492209.54330522 14772.87516764
0.05500000 1484353.27231419 18702.85210363
0.05600000 1476396.15297199 12623.18769696
0.05700000 1468343.36630203 12774.58788313
0.05800000 1460193.35105885 14214.98293629
0.05900000 1451949.71354174 15681.05763865
0.06000000 1443615.66705671 19813.62595602
0.06100000 1435192.54854791 16016.74959028
0.06200000 1426683.10692068 21571.44958497
0.06300000 1418089.53344131 16336.39218906
0.06400000 1409411.81500357 24735.17851010
0.06500000 1400655.91618760 15253.14364079
0.06600000 1391822.15612886 15386.59465592
0.06700000 1382912.88208207 18337.42567458
0.06800000 1373930.64682103 19908.25600432
0.06900000 1364878.38794303 22929.95799100
0.07000000 1355756.97741490 17326.57498274
0.07100000 1346569.84765211 17451.54604296
0.07200000 1337318.53584219 17572.36638418
0.07300000 1328007.22773638 14740.88091857
0.07400000 1318636.75615384 20768.52988272
0.07500000 1309209.71869696 17909.98979126
0.07600000 1299726.81697843 21016.58361581
0.07700000 1290193.99142872 18114.32448901
0.07800000 1280610.86344929 18210.28733224
0.07900000 1270979.81253420 19827.28600551
0.08000000 1261305.25196838 16857.34548335
0.08100000 1251588.33072825 20012.89834731
0.08200000 1241830.02929604 23191.17688535
0.08300000 1232034.34626097 21733.08688802
0.08400000 1222203.08669627 20258.01711287
0.08500000 1212338.22755838 18766.99664362
0.08600000 1202442.71200825 21968.62937985
0.08700000 1192519.66405073 22037.76442650
0.08800000 1182568.54114580 20523.47799545
0.08900000 1172594.80326047 20579.03976381
0.09000000 1162598.16206687 20630.30535500
0.09100000 1152582.43746785 20677.32989962
0.09200000 1142548.83855584 20720.12416078
0.09300000 1132502.26211291 15968.28264618
0.09400000 1122439.68804691 19193.71956766
0.09500000 1112367.22029756 19221.70647021
0.09600000 1102285.89821828 17642.08663030
0.09700000 1092200.13532919 24083.01411622
0.09800000 1082109.79634037 16069.33123120
0.09900000 1072017.26061521 20904.33756497
0.10000000 1061924.32199008 19305.78508168
0.10100000 1051832.66072993 22530.25665247
0.10200000 1041745.65087227 22532.95948823
0.10300000 1031664.21657164 16093.96253559
0.10400000 1021592.08718186 19308.09135609
