# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682650.42225046 555.27465253
0.00200000 1682402.77609243 1287.03816446
0.00300000 1681990.24150086 1412.87185319
0.00400000 1681412.67363736 1765.48337440
0.00500000 1680670.61113941 1512.60360990
0.00600000 1679763.93276213 2292.87786157
0.00700000 1678693.22545132 2618.76154054
0.00800000 1677458.29761391 2717.48255687
0.00900000 1676060.41311984 3016.90887258
0.01000000 1674498.91397963 3039.21566010
0.01100000 1672775.14714555 3613.19447515
0.01200000 1670888.94904820 3584.05695285
0.01300000 1668841.56256196 6308.22138471
0.01400000 1666632.98901765 4874.90170899
0.01500000 1664264.66594336 5192.50598896
0.01600000 1661736.00852258 4237.42701116
0.01700000 1659049.24525944 4927.37647946
0.01800000 1656204.25029331 6136.23702345
0.01900000 1653202.03767227 5455.56697049
0.02000000 1650043.39568672 5717.40062468
0.02100000 1646730.55444784 7607.89550648
0.02200000 1643262.04892033 7936.95605688
0.02300000 1639641.13940426 6492.97920759
0.02400000 1635867.33961558 9201.75420492
0.02500000 1631943.19883579 7001.03664275
0.02600000 1627868.63179419 7252.15508634
0.02700000 1623646.03782334 8865.10777255
0.02800000 1619275.04670592 7748.23145382
0.02900000 1614758.28070066 12352.90141453
0.03000000 1610097.19949184 8984.34278613
0.03100000 1605292.05710455 9246.48267438
0.03200000 1600344.24857402 13466.89747201
0.03300000 1595257.73736216 9762.97780273
0.03400000 1590030.57215075 10851.95915564
0.03500000 1584666.12431166 8557.19746644
0.03600000 1579165.53844440 10517.24297208
0.03700000 1573530.65278967 12556.77518998
0.03800000 1567763.03191686 11005.69699340
0.03900000 1561864.84876772 11245.42743190
0.04000000 1555835.89216662 10525.23029824
0.04100000 1549680.04550731 13668.17863512
0.04200000 1543398.32934249 14932.37952914
0.04300000 1536991.70670304 12172.97488213
0.04400000 1530463.67694615 15495.94544874
0.04500000 1523815.54875399 10514.32777495
0.04600000 1517047.43904297 12834.22193093
0.04700000 1510163.48998641 10873.17763359
0.04800000 1503164.22070602 14362.73479712
0.04900000 1496053.62585814 12342.44298784
0.05000000 1488831.10287407 18223.29354777
0.05100000 1481501.17840566 16177.99362183
0.05200000 1474062.18678812 12890.67442418
0.05300000 1466520.41393871 11878.81590667
0.05400000 1458875.55390400 16850.01343337
