# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682650.40812835 605.75416131
0.00200000 1682402.71431111 832.78936995
0.00300000 1681990.10143150 1412.87173553
0.00400000 1681412.42144907 1639.37717321
0.00500000 1680670.21336473 1512.60325190
0.00600000 1679763.36388504 2116.50192466
0.00700000 1678692.45279050 2417.31723248
0.00800000 1677457.27520793 2943.93764228
0.00900000 1676059.13767104 2765.49769538
0.01000000 1674497.32611790 3039.21277814
0.01100000 1672773.23306082 3613.19034073
0.01200000 1670886.67471214 4561.52082196
0.01300000 1668838.88406701 5256.84271666
0.01400000 1666629.91640250 4874.89272159
0.01500000 1664261.10988591 4393.64952574
0.01600000 1661731.93968901 4661.15829920
0.01700000 1659044.68609330 7615.01545077
0.01800000 1656199.13562896 5664.20129873
0.01900000 1653196.37006086 6447.46613416
0.02000000 1650037.11414177 6756.90228806
0.02100000 1646723.62411264 5977.60702654
0.02200000 1643254.42811669 6803.07364148
0.02300000 1639632.80322660 7083.21403236
0.02400000 1635858.29907130 8588.25646173
0.02500000 1631933.40602977 7000.99463161
0.02600000 1627858.06099567 7252.10799343
0.02700000 1623634.65958155 7501.19247083
0.02800000 1619262.79152708 11974.44889249
0.02900000 1614745.14315445 8719.62417339
0.03000000 1610083.12012382 10481.64159380
0.03100000 1605277.14815423 10016.92986539
0.03200000 1600328.39421444 9505.95109946
0.03300000 1595240.79870884 11390.01982787
0.03400000 1590012.68815789 10017.08039759
0.03500000 1584647.15900721 10268.51406455
0.03600000 1579145.53412071 8764.25811940
0.03700000 1573509.58370030 9865.90554607
0.03800000 1567740.85859657 10088.41289196
0.03900000 1561841.48115571 10308.15425300
0.04000000 1555811.35945733 13395.53642566
0.04100000 1549654.27255722 10739.10460676
0.04200000 1543371.36448291 9954.74576274
0.04300000 1536963.49962324 12172.75148205
0.04400000 1530434.19449471 13429.56068039
0.04500000 1523784.78068561 12616.93857032
0.04600000 1517015.34637660 12833.95042696
0.04700000 1510130.01944948 10872.93664571
0.04800000 1503129.39371399 12152.80171362
0.04900000 1496017.39585250 13464.15718940
0.05000000 1488793.53569813 11389.27107844
0.05100000 1481462.11248373 19644.18852664
0.05200000 1474021.71259970 12890.32047739
0.05300000 1466478.39408718 14254.17065503
0.05400000 1458832.11368313 18053.04824871
0.05500000 1451085.46312597 15845.85399653
0.05600000 1443239.51094905 16041.60791277
0.05700000 1435299.52126766 18730.65962686
0.05800000 1427264.12418421 15157.54570658
0.05900000 1419136.36838486 14049.45070320
0.06000000 1410919.84025135 18073.88399801
0.06100000 1402615.82653165 14348.76057596
0.06200000 1394226.65469231 14492.98675298
0.06300000 1385755.47097741 14633.57845772
0.06400000 1377201.10052808 17456.02476555
0.06500000 1368569.96993697 16258.61200339
0.06600000 1359862.54144221 16399.94301712
