# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 349.57665678
0.00100000 1664569.15522537 549.30783427
0.00200000 1664324.31130998 823.84056019
0.00300000 1663916.44843183 998.34990462
0.00400000 1663345.42910109 2120.76550269
0.00500000 1662611.77016550 1645.98571761
0.00600000 1661715.36133287 1919.28132048
0.00700000 1660656.78669647 2590.62469491
0.00800000 1659435.84784299 2464.26233809
0.00900000 1658053.76764756 3730.62113668
0.01000000 1656509.97059423 3553.21404035
0.01100000 1654805.71856681 4765.84067697
0.01200000 1652940.91979763 5479.49938937
0.01300000 1650916.69277246 4160.31024928
0.01400000 1648733.13722070 4080.61469552
0.01500000 1646391.61219451 4741.60805426
0.01600000 1643891.56385850 5030.30841028
0.01700000 1641235.26402521 4431.33541165
0.01800000 1638422.55165201 5136.45493056
0.01900000 1635454.19725381 6868.90793841
0.02000000 1632331.42704259 5656.02865056
0.02100000 1629055.98962797 5913.47351046
0.02200000 1625626.76796251 6730.09512513
0.02300000 1622046.84258485 6423.30578901
0.02400000 1618315.67992943 6068.68407645
0.02500000 1614435.93990456 8185.19058914
0.02600000 1610407.53070212 7174.36587742
0.02700000 1606232.64147784 9444.64836447
0.02800000 1601911.11490291 8361.97640327
0.02900000 1597445.40373348 8626.20557623
0.03000000 1592837.03292729 8888.03105228
0.03100000 1588086.20196819 8385.09553222
0.03200000 1583194.29240743 9404.17453004
0.03300000 1578165.22946525 8048.64304132
0.03400000 1572997.21190941 12387.35361534
0.03500000 1567693.33063344 9312.09881398
0.03600000 1562254.96011073 9537.56697224
0.03700000 1556683.62834671 8873.09709193
0.03800000 1550981.12684549 11795.21201554
0.03900000 1545149.48324758 14833.43572611
0.04000000 1539188.57367588 10412.61118343
0.04100000 1533102.26756004 10624.39920681
0.04200000 1526891.52362201 14772.67617639
0.04300000 1520557.02140628 12042.81216854
0.04400000 1514102.57121057 12264.23139638
0.04500000 1507529.49237482 11442.14937878
0.04600000 1500837.69593940 11638.99687307
0.04700000 1494031.25221290 13984.13317109
0.04800000 1487111.01372264 12023.29310537
0.04900000 1480080.40129587 14430.78458435
0.05000000 1472939.08848740 12394.78300680
0.05100000 1465691.60577543 16005.35308066
0.05200000 1458336.51113035 17390.66370566
0.05300000 1450879.46629129 15277.76149226
0.05400000 1443320.70485604 14288.87564442
0.05500000 1435662.50884943 13265.52220060
0.05600000 1427906.35289108 12208.59988692
0.05700000 1420057.04103926 12354.49683373
0.05800000 1412113.42183914 13746.92480348
0.05900000 1404078.49953223 13900.37779460
0.06000000 1395955.82606915 15327.59568633
0.06100000 1387746.41175436 24521.48024162
0.06200000 1379452.94076380 16946.58016943
0.06300000 1371078.51083644 14478.58975138
0.06400000 1362621.68385901 17271.23065063
0.06500000 1354088.75886917 17427.12314185
0.06600000 1345480.56244332 16226.49634228
0.06700000 1336798.62579442 16362.41594547
0.06800000 1328046.10973628 20617.91681876
0.06900000 1319225.78150124 15237.05848972
0.07000000 1310338.34364401 25119.18722395
0.07100000 1301386.83943015 15460.47637656
0.07200000 1292373.68519208 19812.08952213
0.07300000 1283301.57244969 15669.11293380
0.07400000 1274172.61321669 20068.21959864
0.07500000 1264988.71335561 24515.48241393
0.07600000 1255751.08461552 14503.92570726
0.07700000 1246464.51854401 14583.63555077
0.07800000 1237129.57854054 17591.98343184
0.07900000 1227748.36339490 22099.47157766
0.08000000 1218325.13337753 16282.91617144
0.08100000 1208860.47461298 25277.27371012
0.08200000 1199356.29169292 19411.58249194
0.08300000 1189816.20381333 19489.19033313
0.08400000 1180241.51067376 27086.54394137
0.08500000 1170634.94307507 19631.54891697
0.08600000 1160998.30732313 22726.54293290
0.08700000 1151335.36644499 16717.39030579
0.08800000 1141645.45448655 22861.45129975
0.08900000 1131934.21536041 24449.78020018
0.09000000 1122201.09514954 19913.45936887
0.09100000 1112449.42785684 16886.98310824
0.09200000 1102680.62793331 16920.63503068
0.09300000 1092900.15999225 15409.89298003
0.09400000 1083104.25661135 16977.66002029
0.09500000 1073299.11177466 17001.05872961
0.09600000 1063485.61859922 17021.08812580
0.09700000 1053668.25476449 20135.60129518
0.09800000 1043846.97897786 17051.24120331
0.09900000 1034024.47976422 17061.40471838
0.10000000 1024201.38357318 24826.64270534
0.10100000 1014380.22283087 17072.01995317
0.10200000 1004564.27147916 20176.67434170
0.10300000 994754.13942574 26380.88101855
0.10400000 984953.08412031 21718.21652659
0.10500000 975163.81790784 15505.10543424
0.10600001 965383.81181696 26340.49854484
0.10700001 955620.22262782 17029.15316858
0.10800001 945871.75633880 18558.00473274
0.10900001 936142.04050191 21624.88215338
0.11000001 926431.37065213 18510.09965689
0.11100001 916742.15040826 18481.52262222
0.11200001 907076.36600456 16912.43964034
0.11300001 897435.38189587 19949.98947881
0.11400001 887821.60843671 16846.41581329
0.11500001 878236.67878233 18337.58271645
0.11600001 868681.64169267 15245.36352963
0.11700001 859159.07645674 16727.82800641
0.11800001 849668.45650625 21233.21572814
0.11900001 840212.68804465 18148.59491659
0.12000001 830792.30038562 22618.32144343
0.12100001 821412.63581557 22547.77791532
0.12200001 812070.78932132 16480.97744572
0.12300001 802771.15168850 14931.54412490
0.12400001 793512.67454483 17854.03601850
0.12500001 784297.06827540 17787.85834666
0.12600001 775128.61154603 17719.44089494
0.12700001 766005.72982879 14707.31070581
0.12800001 756930.06479433 21969.89616608
0.12900001 747904.06580557 20417.78195882
0.13000001 738928.43472853 15971.93886949
0.13100001 730003.38889137 21681.10167207
0.13200001 721131.09691581 14386.56606166
0.13300001 712312.96684246 17180.98957020
0.13400001 703548.66860078 17096.23345301
0.13500001 694841.32857715 19844.66927980
0.13600001 686190.80483364 18331.58821548
0.13700001 677598.06315012 18234.16473917
0.13800001 669062.87758839 20924.94248331
0.13900001 660588.99268171 18034.08035067
0.14000001 652174.86040404 13793.49894805
0.14100001 643823.23210670 15084.77903970
0.14200001 635533.62695787 17721.85602358
0.14300001 627308.18516757 13549.85743873
0.14400001 619143.82912980 17506.29259441
0.14500001 611046.95148734 13381.92886883
0.14600001 603014.78425503 14626.12428208
0.14700001 595049.94395511 21136.17500642
0.14800001 587149.48166636 23621.02476185
0.14900001 579317.44771256 14338.10750737
0.15000001 571552.93546227 15534.80951884
0.15100001 563857.16984854 17998.32171082
0.15200001 556231.26117713 14042.05885102
0.15300001 548674.82424496 22813.90026867
0.15400001 541186.52839143 15099.10485466
0.15500001 533770.46638742 14988.27540350
0.15600001 526422.98396261 17356.16660037
0.15700001 519149.79877083 12303.85081157
0.15800001 511944.87361433 17093.84013679
0.15900001 504813.77980529 12115.53128719
0.16000001 497752.32329164 16829.00684486
0.16100001 490765.66914959 15503.28822026
0.16200001 483850.69799040 16562.21017405
0.16300001 477007.99190814 14081.27658587
0.16400001 470238.83938515 15129.93537150
0.16500001 463541.47782153 23084.36668536
0.16600001 456918.04723935 13734.95714848
0.16700001 450366.88718314 17023.86913930
0.16800001 443889.01470921 14628.36317044
0.16900001 437485.44418416 15618.23109484
0.17000001 431153.40427119 16588.62801264
0.17100001 424895.52716832 15347.22716604
0.17200001 418710.38395440 16298.30246508
0.17300001 412598.04465995 12922.57136901
0.17400001 406559.68752576 11739.41153171
0.17500001 400592.81506075 10575.65081707
0.17600001 394697.45182116 13622.98319301
0.17700001 388877.48976460 13497.93830725
0.17800001 383127.70745335 12344.37531720
0.17900001 377449.98320051 11210.26503056
0.18000001 371845.17290630 14133.83568978
0.18100001 366312.34769956 14000.45859041
0.18200001 360848.66643053 10895.82599757
0.18300001 355456.77718834 16678.03277354
0.18400001 350135.54812125 15546.01907099
0.18500001 344884.78837160 14433.42907522
0.18600001 339704.42561561 9528.70958869
0.18700001 334592.81355988 13209.72490343
0.18800001 329548.96794097 11211.25641904
0.18900001 324577.54257173 14800.73664057
0.19000001 319670.26844017 9158.55362354
0.19100001 314833.68910429 12694.09494448
0.19200001 310063.03836248 9873.95792321
0.19300001 305360.94704921 9774.60437692
0.19400001 300723.71034448 12314.63652052
0.19500001 296153.26740483 12189.66906241
0.19600001 291647.19262296 12065.44492898
0.19700001 287207.94098343 10236.09150038
0.19800001 282831.91201330 9286.78626984
0.19900001 278520.11523761 9191.16423722
0.20000001 274270.25221365 8269.24849506
0.20100001 270084.77637370 13093.71057744
0.20200001 265960.23391806 11337.88530779
0.20300001 261897.71186405 8815.47739800
0.20400001 257896.43034383 10309.41029028
0.20500001 253954.95252600 7847.20840397
0.20600001 250072.87664548 11647.14478030
0.20700001 246250.25101872 7683.00819495
0.20800001 242485.83216064 9882.51055686
0.20900001 238781.27805498 12786.73804429
