# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 246.99993315
0.00100000 1646585.08166248 493.97553623
0.00200000 1646341.59001364 889.02448676
0.00300000 1645935.98557564 987.56162653
0.00400000 1645368.12421653 1604.23398207
0.00500000 1644638.52395414 1628.19220316
0.00600000 1643747.06320227 1725.93448663
0.00700000 1642694.34731622 2365.47995845
0.00800000 1641480.17466244 2880.79782816
0.00900000 1640105.75155968 2460.15873251
0.01000000 1638570.50649312 3785.09803344
0.01100000 1636875.71133456 3535.65169042
0.01200000 1635021.24521528 4144.77903834
0.01300000 1633008.25170919 3429.31747984
0.01400000 1630836.83281124 4036.32134014
0.01500000 1628508.34772162 5862.63031285
0.01600000 1626022.21690848 4975.62820617
0.01700000 1623380.68466899 4821.44084975
0.01800000 1620583.63099169 5542.39626739
0.01900000 1617631.83926560 5338.18531045
0.02000000 1614526.54194007 6102.91060460
0.02100000 1611269.42244424 5848.90826865
0.02200000 1607859.35844672 5547.11503866
0.02300000 1604299.54731981 5775.47863324
0.02400000 1600589.32800438 7802.87332981
0.02500000 1596731.38313589 6849.97794650
0.02600000 1592725.61565415 8385.70074997
0.02700000 1588574.30004956 6672.01236579
0.02800000 1584277.16440223 7580.76657932
0.02900000 1579836.69765255 9242.04510561
0.03000000 1575254.37208737 10254.90643366
0.03100000 1570530.47891278 10553.96530392
0.03200000 1565666.31301414 9300.05832765
0.03300000 1560665.89151255 7959.39641365
0.03400000 1555527.48512620 11433.12754321
0.03500000 1550253.88958488 12557.05708550
0.03600000 1544846.58679688 10288.67874355
0.03700000 1539307.19677488 8774.05142739
0.03800000 1533637.48987100 9868.95770405
0.03900000 1527839.35781398 11917.14754283
0.04000000 1521912.92355194 11231.71789628
0.04100000 1515861.84021533 11459.91604338
0.04200000 1509686.98123781 11684.97777688
0.04300000 1503389.30783625 13891.31784921
0.04400000 1496972.47180513 10104.56465396
0.04500000 1490437.79814147 11312.42341352
0.04600000 1483785.10871009 10460.68550269
0.04700000 1477018.67530519 10634.53495679
0.04800000 1470139.14170052 11886.07551369
0.04900000 1463149.93532965 10973.62502577
0.05000000 1456050.80456774 12252.66809100
0.05100000 1448846.34279356 15821.40280033
0.05200000 1441535.05049151 14898.26544111
0.05300000 1434122.49241873 13939.67127615
0.05400000 1426608.93565442 12946.47669481
0.05500000 1418996.76233948 15495.44536760
0.05600000 1411287.23185428 14479.80767451
0.05700000 1403485.17346001 13431.35373697
0.05800000 1395589.90590345 16056.26261712
0.05900000 1387603.57810302 14986.11934345
0.06000000 1379530.46087004 18934.05646002
0.06100000 1371371.35035361 16579.88040058
0.06200000 1363128.64464346 15457.87955281
0.06300000 1354805.85701119 26012.27367083
0.06400000 1346401.35596855 14440.15521808
0.06500000 1337921.26677003 15894.50539274
0.06600000 1329366.67830851 13360.13574210
0.06700000 1320738.80133500 14818.69004448
0.06800000 1312041.28309962 14937.59070730
0.06900000 1303276.52670385 17789.72542240
0.07000000 1294445.16324050 15164.42579749
0.07100000 1285550.40872165 20825.91759673
0.07200000 1276594.64443324 16774.45441368
0.07300000 1267580.48845523 15477.15848923
0.07400000 1258510.17590548 18405.71218519
