# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682650.72503020 656.23379835
0.00200000 1682403.99037257 832.79000160
0.00300000 1681992.97005182 1110.11539978
0.00400000 1681417.52314673 1387.16950931
0.00500000 1680678.19152270 1512.61043224
0.00600000 1679774.83639350 1940.14001502
0.00700000 1678708.04493961 2014.44973765
0.00800000 1677477.65685913 2943.97341208
0.00900000 1676084.86585177 3519.77836875
0.01000000 1674529.09573982 3039.27044000
0.01100000 1672811.61854083 3613.27325337
0.01200000 1670932.33828440 4561.64548352
0.01300000 1668892.44421833 4906.54400240
0.01400000 1666691.92082279 4500.06838571
0.01500000 1664332.23558961 3994.39754328
0.01600000 1661812.74990915 5085.14724205
0.01700000 1659135.80806725 6271.53363583
0.01800000 1656301.22580331 4720.45870595
0.01900000 1653309.81595549 4959.92967167
0.02000000 1650162.69233034 6237.61525917
0.02100000 1646861.83144998 6521.57314822
0.02200000 1643405.90616953 6236.72569726
0.02300000 1639798.08250467 6493.60070230
0.02400000 1636037.80576882 6748.65625652
0.02500000 1632127.88881904 6365.29905710
0.02600000 1628067.97636215 7912.41072702
0.02700000 1623860.47113971 7502.23572028
0.02800000 1619505.14081106 9862.78675984
0.02900000 1615004.56983302 12354.78552648
0.03000000 1610360.10309353 7488.17482358
0.03100000 1605571.97702031 9248.09501317
0.03200000 1600641.82937959 8715.49516239
0.03300000 1595573.31856558 11392.39401975
0.03400000 1590364.66658668 9184.35637331
0.03500000 1585019.11926037 10270.92436710
0.03600000 1579537.88800601 8766.43568356
0.03700000 1573922.89881295 8971.36093814
0.03800000 1568175.38776449 11008.59173158
0.03900000 1562297.83727097 10311.16620350
0.04000000 1556289.81279972 11485.41935068
0.04100000 1550155.41485098 10742.57752301
0.04200000 1543895.48246583 13941.37685345
0.04300000 1537510.93156794 11162.32988132
0.04400000 1531005.38563784 13434.57288290
0.04500000 1524380.11200900 14725.51256623
0.04600000 1517635.04636823 13909.12584656
0.04700000 1510774.67019956 11965.33594446
0.04800000 1503799.19620854 13263.50952769
0.04900000 1496712.64148791 11225.34533367
0.05000000 1489514.29737954 13673.74188668
0.05100000 1482209.13995391 16185.72456229
0.05200000 1474794.88832158 12897.08189939
0.05300000 1467278.40528944 15450.44232796
0.05400000 1459658.93616449 13246.40546342
0.05500000 1451939.43251962 14635.55016254
0.05600000 1444120.84289611 13581.95716123
0.05700000 1436208.18857734 16243.51537103
0.05800000 1428200.60582453 16431.44873724
0.05900000 1420100.69252942 21727.54161050
0.06000000 1411912.24998687 14210.89746003
0.06100000 1403636.75158542 20886.11583963
0.06200000 1395275.84820505 17140.96459643
0.06300000 1386833.41327741 19970.40208492
0.06400000 1378307.78000490 16126.20178023
0.06500000 1369705.38784337 13560.08397396
0.06600000 1361026.84973844 15046.15252785
0.06700000 1352274.03891788 16551.83501096
0.06800000 1343450.01036719 25028.47486470
0.06900000 1334557.26837395 19617.99276359
0.07000000 1325596.90401315 19764.65076438
0.07100000 1316571.85721838 22750.36275831
0.07200000 1307484.30400828 15748.64917955
0.07300000 1298337.35860849 25940.78164047
0.07400000 1289132.90714481 17403.29506205
0.07500000 1279873.02247106 20426.77439609
0.07600000 1270558.43447408 20544.93084860
0.07700000 1261194.87155687 16231.57875801
0.07800000 1251782.21478657 14833.61994086
0.07900000 1242322.75831340 19380.23593869
0.08000000 1232820.62216174 16476.64838813
0.08100000 1223276.71973809 16550.93479460
0.08200000 1213692.95313946 16621.52577321
0.08300000 1204072.25712543 15171.31115180
0.08400000 1194417.11868142 15228.81897801
0.08500000 1184729.34696403 15283.00929330
0.08600000 1175011.25343666 27601.01563914
0.08700000 1165266.23593438 16919.66654028
0.08800000 1155494.11598079 21596.18604192
0.08900000 1145700.14860386 20107.03855242
0.09000000 1135884.12637630 24807.71048541
0.09100000 1126049.10185201 17093.42616918
0.09200000 1116196.61475421 17128.03785819
0.09300000 1106332.01231812 23398.92316009
0.09400000 1096451.86964420 21874.21582743
0.09500000 1086561.94758375 18775.79133676
0.09600000 1076663.88036167 17232.00621523
0.09700000 1066761.58671917 21953.95448680
0.09800000 1056854.91978951 23541.44444518
0.09900000 1046946.91465760 17274.62490415
0.10000000 1037037.93531762 26708.91328015
0.10100000 1027131.08542020 17286.61698064
0.10200000 1017228.73077789 20431.04001867
0.10300000 1007332.40256138 20428.70208493
0.10400000 997445.18750690 20422.69117499
0.10500000 987569.42581412 15702.35460923
0.10600001 977702.62683490 20399.76626879
0.10700001 967852.52636370 18815.05399790
0.10800001 958017.09484537 15663.58023788
0.10900001 948200.64109539 20338.90470876
0.11000001 938402.93785632 21874.17351104
0.11100001 928627.20227956 18721.12527922
0.11200001 918874.29098000 21804.88795147
0.11300001 909146.47882785 26428.88938382
0.11400001 899445.76310198 17066.98415845
0.11500001 889774.20359542 26319.52218169
0.11600001 880132.02391214 18535.58129646
0.11700001 870522.77201434 21571.55530643
0.11800001 860945.38965353 26125.38907950
0.11900001 851402.68701086 22987.87363206
0.12000001 841895.96449033 16808.45372281
0.12100001 832429.80163143 21326.85252247
0.12200001 823001.77759460 15184.38351198
0.12300001 813615.92873740 18159.90838501
0.12400001 804271.31335502 22620.13175391
0.12500001 794969.92294070 18029.91870187
0.12600001 785715.54442660 17961.45819200
0.12700001 776507.10417401 16399.83081302
0.12800001 767346.38727620 16332.96862293
0.12900001 758234.96165307 16264.14069402
0.13000001 749174.53183287 17665.53629328
0.13100001 740164.52330753 26379.46485415
0.13200001 731208.02235099 18963.88095364
0.13300001 722305.83424219 17422.01754325
0.13400001 713457.60693845 18781.77238813
0.13500001 704666.65049402 20125.28048698
0.13600001 695932.45419791 21452.11891213
0.13700001 687256.80045801 18494.08137238
0.13800001 678638.76594268 19809.46651200
0.13900001 670082.45026560 19700.42496684
0.14000001 661586.34011871 20988.82763011
0.14100001 653153.00628014 13912.15968991
0.14200001 644781.89650833 15213.62956567
0.14300001 636475.46991122 16497.44495824
0.14400001 628230.46833782 15030.41466397
0.14500001 620053.25432197 13579.16691021
0.14600001 611941.02717892 16191.96034300
0.14700001 603896.63094560 16087.80700736
0.14800001 595917.01460937 18646.24426683
0.14900001 588006.36538060 15876.17261433
0.15000001 580163.62602650 15768.84809942
0.15100001 572390.05285723 16965.64196721
0.15200001 564686.80279120 12959.56273558
0.15300001 557053.44753872 16728.31581898
0.15400001 549488.56326611 12775.60969883
0.15500001 541996.30549757 13950.98556190
0.15600001 534573.32820230 15107.04296797
0.15700001 527225.10209282 12495.23550934
0.15800001 519945.20053073 16120.90170334
0.15900001 512740.20430455 15997.49512939
0.16000001 505605.03843112 15873.47093081
0.16100001 498545.23475538 16960.50968699
0.16200001 491557.73890058 14422.30474016
0.16300001 484642.83448883 16691.10000775
0.16400001 477801.97432484 13008.15936510
0.16500001 471033.56947608 14074.48372042
