# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682650.72001485 555.27475079
0.00200000 1682403.96645384 984.20635154
0.00300000 1681992.91683380 1311.95452187
0.00400000 1681417.43258288 1639.38205906
0.00500000 1680678.04299689 1663.87132842
0.00600000 1679774.62601116 2998.39782950
0.00700000 1678707.76246276 2417.33927841
0.00800000 1677477.29022055 2943.97276863
0.00900000 1676084.40829343 3519.77740788
0.01000000 1674528.52442675 3591.86383999
0.01100000 1672810.93465170 3011.05981347
0.01200000 1670931.51734932 4561.64324236
0.01300000 1668891.46499772 4906.54112350
0.01400000 1666690.80499862 4875.07082074
0.01500000 1664330.94686981 7589.34945567
0.01600000 1661811.26904146 5508.90460314
0.01700000 1659134.14654784 5823.56111562
0.01800000 1656299.37078199 5192.49876105
0.01900000 1653307.74839675 6943.89285659
0.02000000 1650160.42289375 6757.40723743
0.02100000 1646859.31619946 5434.63598986
0.02200000 1643403.13814099 5669.74108418
0.02300000 1639795.06296135 5903.26249537
0.02400000 1636034.52493479 8589.18164755
0.02500000 1632124.28684309 8911.39901315
0.02600000 1628064.12111657 7253.02599132
0.02700000 1623856.31686482 9548.27558049
0.02800000 1619500.69482558 7749.31118012
0.02900000 1614999.78489129 10174.49911197
0.03000000 1610354.97822038 9734.59629080
0.03100000 1605566.56449768 10018.73582346
0.03200000 1600636.06111128 10300.09352765
0.03300000 1595567.17818771 8951.13228228
0.03400000 1590358.12176131 9184.31857694
0.03500000 1585012.19355613 8559.06624044
0.03600000 1579530.61171758 11396.31389021
0.03700000 1573915.18854592 12559.84378546
0.03800000 1568167.29037310 14678.04651719
0.03900000 1562289.30340293 9373.73625452
0.04000000 1556280.85123886 9571.12767864
0.04100000 1550145.96629906 11719.10404860
0.04200000 1543885.64564763 10953.86916405
0.04300000 1537500.65610585 11162.25528146
0.04400000 1530994.58216368 11367.63530050
0.04500000 1524368.85262607 12621.77468621
0.04600000 1517623.30615534 13909.01824750
0.04700000 1510762.35690073 13052.98737069
0.04800000 1503786.47448655 12158.11421192
0.04900000 1496699.30455807 11225.24530669
0.05000000 1489500.51637054 13673.61537701
0.05100000 1482194.75218126 13873.34352669
0.05200000 1474780.05987409 12896.95222461
0.05300000 1467262.92131358 14261.79626002
0.05400000 1459642.95772520 15654.67145164
0.05500000 1451922.85325581 15854.99829718
0.05600000 1444103.66058347 14816.50424899
0.05700000 1436190.54684510 13744.34417487
0.05800000 1428182.21285300 16431.23712609
0.05900000 1420081.87003734 17893.03239818
0.06000000 1411892.78581133 15502.58351247
0.06100000 1403616.60238233 18275.08901704
0.06200000 1395255.14770701 15822.19411458
0.06300000 1386812.07301921 18638.75513284
0.06400000 1378285.81796680 21501.25976583
0.06500000 1369682.73838839 17627.81766765
0.06600000 1361003.55631649 15045.89501905
0.06700000 1352250.09484486 19310.13225808
0.06800000 1343425.37618040 15294.89862375
0.06900000 1334532.00236167 15413.84534894
0.07000000 1325570.87077770 14117.33043488
0.07100000 1316545.16672926 21328.03269997
0.07200000 1307456.97939207 15748.32005454
0.07300000 1298309.27370298 15852.35697468
0.07400000 1289104.18249858 18853.14955258
0.07500000 1279843.51191242 18967.28173559
0.07600000 1270528.36856298 14674.60334486
0.07700000 1261163.99732001 16231.18140656
0.07800000 1251750.65264157 19283.21970825
0.07900000 1242290.38766890 14907.48535124
0.08000000 1232787.52589658 19471.87988498
0.08100000 1223242.99144623 15045.88950071
0.08200000 1213658.43342327 22665.07230774
0.08300000 1204037.14847810 21239.21629595
0.08400000 1194381.08072800 18274.03139290
0.08500000 1184692.58952202 19867.29565896
0.08600000 1174973.74091900 18400.08964670
0.08700000 1165228.12109928 19995.31549700
0.08800000 1155455.20081759 16967.86042088
0.08900000 1145660.44757949 18559.70012253
0.09000000 1135843.58549406 17054.69223735
0.09100000 1126007.83411271 20200.58149303
0.09200000 1116154.66393915 17127.39412291
0.09300000 1106289.19113057 18718.41399355
0.09400000 1096408.30653193 18748.58292283
0.09500000 1086517.68500514 18775.02647937
0.09600000 1076618.81060460 20364.24575986
0.09700000 1066715.70784201 15680.72164247
0.09800000 1056808.35198203 21971.04667073
0.09900000 1046899.42884730 15703.49217113
0.10000000 1036989.81829740 15710.39648602
0.10100000 1027082.08799876 17285.79235400
0.10200000 1017179.03456263 18858.50018783
0.10300000 1007281.90303555 21999.03779715
0.10400000 997393.95471217 18850.74663090
0.10500000 987517.49700454 18841.83472934
0.10600001 977649.86385569 15691.28105321
0.10700001 967799.08475557 25085.35345732
0.10800001 957962.79664248 15662.69246222
0.10900001 948145.62917556 18773.28434125
0.11000001 938347.21671137 18748.17827236
0.11100001 928570.62774763 17159.98600855
0.11200001 918816.99399731 21803.52829400
0.11300001 909088.34280221 15545.41139381
0.11400001 899386.87664112 17065.86678780
0.11500001 889714.54503062 23221.55071876
