# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 399.51617917
0.00100000 1664568.96783323 599.24484265
0.00200000 1664323.56976210 823.84019312
0.00300000 1663914.77741802 1896.86291383
0.00400000 1663342.46060776 1871.26033929
0.00500000 1662607.13689035 1496.34648243
0.00600000 1661708.67896312 2093.75302073
0.00700000 1660647.67952263 2590.61048772
0.00800000 1659423.98556214 2688.26697011
0.00900000 1658038.76443590 3233.17572886
0.01000000 1656491.45279574 3553.17431967
0.01100000 1654783.33103257 4170.05417576
0.01200000 1652914.27627383 3867.81957606
0.01300000 1650885.47172480 5546.97542964
0.01400000 1648696.96224848 3709.56832951
0.01500000 1646350.16243050 4346.36462236
0.01600000 1643844.44004412 4610.98386045
0.01700000 1641182.10408879 5317.43025578
0.01800000 1638363.03422801 4669.33485766
0.01900000 1635387.97474398 8340.47904754
0.02000000 1632258.15490289 6169.93610463
0.02100000 1628975.38416750 9138.55231951
0.02200000 1625538.41792074 9533.78325425
0.02300000 1621950.48577959 7590.72861897
0.02400000 1618210.90913044 6068.29118594
0.02500000 1614322.51359404 7555.02970866
0.02600000 1610285.01825487 9782.48193333
0.02700000 1606100.83179511 7420.18618275
0.02800000 1601769.65166762 6967.69830429
0.02900000 1597294.01079448 7906.60571646
0.03000000 1592675.30373753 13330.69290503
0.03100000 1587913.90365777 11432.98063240
0.03200000 1583011.12884920 14104.62980768
0.03300000 1577970.98470213 17704.83526456
0.03400000 1572791.53864288 8257.15595886
0.03500000 1567475.95775369 9310.80761901
0.03600000 1562025.51905398 13003.86304708
0.03700000 1556442.06460004 11533.23623207
0.03800000 1550727.03516303 9978.92893309
0.03900000 1544882.62688507 11123.15542869
0.04000000 1538908.69151423 14196.43333707
0.04100000 1532809.10812425 12553.70717761
0.04200000 1526584.72549479 10831.11912987
0.04300000 1520236.58245521 11036.91810094
0.04400000 1513768.20311448 10217.93584556
0.04500000 1507180.95334485 10399.54906129
0.04600000 1500474.58385325 12694.01556950
0.04700000 1493653.73159913 10754.30736767
0.04800000 1486718.63150590 14205.59718500
