# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1628779.37420969 317.61197797
0.00100000 1628699.39503165 635.19277915
0.00200000 1628459.37849596 732.80674353
0.00300000 1628059.57082423 1074.51935502
0.00400000 1627499.82920611 1464.74990194
0.00500000 1626780.63374097 1903.33341681
0.00600000 1625901.90208386 1877.91677336
0.00700000 1624864.24597918 1949.83717621
0.00800000 1623667.37201753 2849.53635820
0.00900000 1622312.58722531 3406.85657881
0.01000000 1620799.24026801 2941.75074811
0.01100000 1619128.60008150 3497.31792845
0.01200000 1617300.56093348 5361.35159456
0.01300000 1615316.31005470 4070.59728087
0.01400000 1613175.76033067 4355.57474598
0.01500000 1610880.49075511 4639.33601996
0.01600000 1608429.70487182 5742.09430308
0.01700000 1605825.79578446 4769.30282742
0.01800000 1603068.57065074 4568.74563194
0.01900000 1600158.71003689 6720.66688541
0.02000000 1597097.45951005 5030.85722503
0.02100000 1593886.73032993 10519.65289712
0.02200000 1590525.02641787 6584.77390853
0.02300000 1587015.70119324 7998.55949810
0.02400000 1583358.05768606 8906.38948059
0.02500000 1579554.65180467 6776.28976572
0.02600000 1575605.65960657 6381.20321327
0.02700000 1571513.08292557 6600.35525059
0.02800000 1567276.69860747 8862.95013708
0.02900000 1562898.90318691 7033.04538726
0.03000000 1558381.22493049 8695.76763482
0.03100000 1553723.84729781 9695.23725325
0.03200000 1548928.20306436 7667.19495831
0.03300000 1543998.06065503 8661.82951959
0.03400000 1538931.92798046 8887.33229415
0.03500000 1533732.35253201 10766.80161196
0.03600000 1528400.85060428 11027.41264673
0.03700000 1522939.23167710 11284.98022863
0.03800000 1517348.90680381 14202.38642496
0.03900000 1511631.89266153 9069.79177599
0.04000000 1505788.06433313 9260.59702478
0.04100000 1499821.51220070 21732.41471945
0.04200000 1493732.62026987 15415.32135635
0.04300000 1487522.63442247 12762.94479577
0.04400000 1481194.86677840 17996.51846715
0.04500000 1474750.92854618 10175.78187979
0.04600000 1468190.34086920 10350.74238430
0.04700000 1461517.60817901 10522.92726829
0.04800000 1454733.10666655 10692.28883149
0.04900000 1447840.34193184 11944.68337693
0.05000000 1440839.07050106 13226.90328313
0.05100000 1433733.74175670 15656.37318932
0.05200000 1426522.75419787 14743.11335168
0.05300000 1419211.93365678 14944.30235808
0.05400000 1411801.16509007 11647.36015515
0.05500000 1404293.11681309 16514.48782411
0.05600000 1396688.58907231 15524.19439196
0.05700000 1388992.87817141 12084.23860417
0.05800000 1381205.05008056 12223.66526397
0.05900000 1373327.00387582 13595.93797338
0.06000000 1365363.16376807 18739.61029821
0.06100000 1357314.48431998 13885.32782347
0.06200000 1349182.94886691 14024.75740904
0.06300000 1340972.40398729 16735.33638423
0.06400000 1332680.82841548 18191.09415861
0.06500000 1324314.18020578 23599.27979519
0.06600000 1315874.37276143 15869.44567801
0.06700000 1307361.39869027 14668.59557978
0.06800000 1298779.92509045 17475.08471008
0.06900000 1290131.57337742 14901.02037016
0.07000000 1281417.43930612 19105.93491476
0.07100000 1272640.32033723 19242.32254477
0.07200000 1263802.89336478 15222.50656370
0.07300000 1254907.37136454 15322.41972230
0.07400000 1245956.32704088 15418.71026972
0.07500000 1236950.97682309 14101.24179674
0.07600000 1227893.01992960 17018.59805407
0.07700000 1218787.22829347 15685.79236362
0.07800000 1209633.68004541 22934.65564921
0.07900000 1200434.92888812 24488.87369794
0.08000000 1191194.77015460 20262.22399085
0.08100000 1181913.76821053 18898.80204038
0.08200000 1172593.98262769 16058.67534564
0.08300000 1163239.28186043 23450.90502290
0.08400000 1153850.25827719 22067.38722536
0.08500000 1144430.14419158 17715.77946376
0.08600000 1134979.98603025 17773.78741574
0.08700000 1125504.20126958 17827.98738527
0.08800000 1116002.14440859 16388.49226031
0.08900000 1106479.05181723 14937.46790114
0.09000000 1096934.03333308 17967.78031004
0.09100000 1087370.91972018 16506.29133684
0.09200000 1077791.24265634 18042.22624981
0.09300000 1068199.64666854 21086.26201613
0.09400000 1058593.21647074 18101.94485240
0.09500000 1048977.58188192 16615.80567800
0.09600000 1039353.34585512 21171.62865030
0.09700000 1029725.58165131 19678.05679048
0.09800000 1020093.55685802 19692.90704106
0.09900000 1010460.54693400 18188.29070007
0.10000000 1000826.78589004 21227.53712700
0.10100000 991195.01827931 19714.86984080
0.10200000 981568.04119161 21231.31772962
0.10300000 971946.66200895 18194.84236871
0.10400000 962334.31113888 21219.47255888
0.10500000 952733.40270909 18178.15417896
0.10600001 943141.48924955 18164.90593767
0.10700001 933565.31810640 16636.13475151
0.10800001 924004.20066641 22661.20408782
0.10900001 914461.66814735 19615.20370496
0.11000001 904937.15474269 18080.64520281
0.11100001 895433.91248008 19556.27756914
0.11200001 885953.51655022 21023.67793747
0.11300001 876497.40172741 16486.91690271
0.11400001 867068.06840642 19444.00234952
0.11500001 857666.57033610 17908.07883187
0.11600001 848294.60302663 14887.57098420
0.11700001 838954.33998954 19304.34027230
0.11800001 829645.42662931 16290.08871910
0.11900001 820370.58784691 17720.00553213
0.12000001 811130.47998290 14722.01890517
0.12100001 801930.07022331 19077.91726934
0.12200001 792766.98079273 14626.55148470
0.12300001 783644.78333729 18948.53175384
0.12400001 774563.20494537 17427.67293242
0.12500001 765523.73708522 20255.75903774
0.12600001 756530.34211059 20176.66517488
0.12700001 747581.34312458 20094.98745019
0.12800001 738678.93326234 18581.46944194
0.12900001 729825.11304932 15654.74941275
0.13000001 721020.68668821 21252.08574185
0.13100001 712265.90760005 16923.43876231
0.13200001 703562.52802381 15439.68040531
0.13300001 694912.32766629 26538.70304469
0.13400001 686315.37530927 18067.25310681
0.13500001 677773.74672411 13826.58508507
0.13600001 669287.73366017 27507.72715044
0.13700001 660859.00990566 19151.69501013
0.13800001 652486.37704321 17685.64408374
0.13900001 644173.49794231 18938.70173262
0.14000001 635919.47799201 13449.69759383
0.14100001 627727.00950286 13370.58593301
0.14200001 619595.25170663 17277.41440873
0.14300001 611526.00551196 14529.85857630
0.14400001 603517.23971804 17064.45075796
0.14500001 595574.33558012 16956.00213382
0.14600001 587695.33042772 12958.68264725
0.14700001 579881.88105508 18022.72971344
0.14800001 572131.39448576 19180.70590506
0.14900001 564448.87444898 15240.12032916
0.15000001 556832.18607758 15134.69953169
0.15100001 549282.72455152 13776.01138177
0.15200001 541801.93249552 14921.22592501
0.15300001 534389.35124166 12344.39459620
0.15400001 527043.71807289 13479.14372581
0.15500001 519768.70675755 15811.36480575
0.15600001 512561.72325067 13277.91206746
0.15700001 505427.06319974 16770.07074846
0.15800001 498359.73150852 15451.64420472
0.15900001 491364.80584260 15330.58266590
0.16000001 484437.85942262 15208.92731447
0.16100001 477584.87460502 13926.37560087
0.16200001 470802.01750584 13813.33184569
0.16300001 464090.33736069 14841.60968944
0.16400001 457450.35917023 20379.41446314
0.16500001 450881.34178359 15717.72431663
0.16600001 444384.39726817 15584.56154799
0.16700001 437958.95552607 13243.87944041
0.16800001 431605.78065429 13129.44846743
0.16900001 425325.06360267 11930.36859738
0.17000001 419114.81991338 12900.35476608
0.17100001 412977.03563894 17047.69283619
0.17200001 406911.36830934 11615.28555690
0.17300001 400916.53387603 11510.31423115
0.17400001 394994.96509114 11405.48015564
0.17500001 389143.30854995 12328.06059709
0.17600001 383361.97079688 11196.08688590
0.17700001 377654.65770460 17141.74572283
0.17800001 372016.55432898 13984.10293772
0.17900001 366449.33339743 9894.13246907
0.18000001 360953.55726418 10779.87849688
0.18100001 355528.38163438 11647.11033251
0.18200001 350171.57814736 13457.09438389
0.18300001 344884.92412080 14278.23653309
0.18400001 339668.12102998 10368.36988425
0.18500001 334520.53405115 9333.12334094
0.18600001 329441.90983462 10164.93060817
0.18700001 324431.39105011 14638.34505577
0.18800001 319487.37382994 12680.45446641
0.18900001 314614.40595903 9863.16209282
0.19000001 309804.19366334 10651.06868140
0.19100001 305063.97590685 13178.76438187
0.19200001 300388.57617845 9565.87466040
0.19300001 295780.53316884 11189.37809850
0.19400001 291236.31969432 12777.99413040
0.19500001 286757.59028059 10959.87561843
0.19600001 282342.74357751 10846.19700708
0.19700001 277993.33513493 12384.60366553
0.19800001 273705.92142355 13889.20763902
0.19900001 269482.08203072 9701.35541159
0.20000001 265318.95095437 8799.30342427
0.20100001 261219.33629558 8706.44089022
0.20200001 257179.46862975 8614.22670889
0.20300001 253200.84199451 10072.32997061
0.20400001 249283.10654614 9965.09265519
0.20500001 245423.38932024 7583.58308845
0.20600001 241622.31318571 9753.08513275
0.20700001 237880.18195011 8906.23443320
0.20800001 234194.71052267 10278.80633072
0.20900001 230568.98705711 7989.21577919
0.21000001 226996.50789780 9339.77175897
0.21100001 223481.03691603 7817.36704088
0.21200001 220019.63978908 7732.59060594
0.21300001 216612.73605207 6953.26915599
0.21400001 213260.13223527 6877.63958974
0.21500001 209961.23902018 7483.01891246
0.21600001 206713.33780400 10092.77919545
0.21700001 203517.95819322 9317.05256659
0.21800001 200373.64226087 7898.72935138
0.21900001 197279.28497439 8463.28172556
0.22000001 194234.13485417 8370.52043732
0.22100001 191239.56226457 8915.58881433
0.22200001 188292.82144725 9447.59276284
0.22300001 185393.39919214 6229.21850741
0.22400001 182540.72135534 7392.89956447
0.22500001 179736.29662866 7311.67289260
0.22600001 176975.77893139 7833.83322485
0.22700001 174261.31130646 8939.60569277
0.22800001 171590.87554285 7072.97622436
0.22900001 168963.49490423 8743.86127480
0.23000001 166379.69927225 9800.59664912
0.23100001 163839.71620822 7412.10911180
0.23200001 161339.26386879 5638.80753889
0.23300001 158881.37438040 5576.73650450
0.23400001 156463.21744085 8272.99301346
0.23500001 154084.21637853 7090.95597312
0.23600001 151744.86704983 7012.88936240
0.23700001 149444.47747088 5335.16809805
0.23800001 147181.30616566 7914.67511341
0.23900001 144955.57914417 7305.76153443
0.24000001 142765.93811628 6193.18668842
0.24100001 140613.30979811 5104.26338711
0.24200001 138496.02177416 5552.99825570
0.24300001 136412.73925968 8487.60103822
0.24400001 134364.03604267 7406.81783722
0.24500001 132348.03174219 5860.37112277
0.24600001 130365.59267214 7728.07269918
0.24700001 128415.71240920 6687.89061865
0.24800001 126497.38175058 5197.14517508
0.24900001 124609.30478242 6074.70389552
0.25000001 122752.98169761 6008.14497342
0.25100001 120925.72691631 5028.09196305
0.25200001 119129.93605839 5425.17754476
0.25300001 117361.72258462 6260.07457883
0.25400001 115622.88232158 4864.83300384
0.25500001 113910.27981427 5686.40143736
0.25600001 112226.24510559 4758.95414886
0.25700001 110568.33399417 4706.89420083
0.25800001 108936.98173028 4655.42213451
0.25900001 107332.03939483 4604.54470790
0.26000001 105752.06756385 4968.23236922
0.26100001 104196.15551726 5323.38183726
0.26200001 102666.37455882 5265.24526838
0.26300001 101158.56835541 6008.81924463
0.26400001 99675.79890452  4754.53583272
0.26500001 98215.54206677  5094.44040807
0.26600001 96777.65081459  5038.72862809
