# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 271.69992646
0.00100000 1646585.71876976 543.37330010
0.00200000 1646344.14909218 814.94037961
0.00300000 1645941.73549716 1185.07809177
0.00400000 1645378.34844974 1234.03380823
0.00500000 1644654.48051631 1776.22690926
0.00600000 1643770.03792005 2588.93791513
0.00700000 1642725.59909038 2562.65204109
0.00800000 1641520.96562013 2216.05339715
0.00900000 1640157.38516832 2706.25980121
0.01000000 1638634.16247152 2703.74648482
0.01100000 1636952.62990050 2946.51486211
0.01200000 1635112.69973888 4145.01087557
0.01300000 1633115.48956237 3772.49694727
0.01400000 1630960.99443796 3669.66240017
0.01500000 1628650.71918948 4299.63809012
0.01600000 1626184.00589314 5805.47716056
0.01700000 1623563.02177399 6137.06849761
0.01800000 1620787.74503544 5081.16980933
0.01900000 1617858.89665345 6795.00767255
0.02000000 1614777.60347305 5595.20464914
0.02100000 1611545.82438223 6381.72175389
0.02200000 1608162.06718590 7767.42313740
0.02300000 1604629.70045655 6932.00062151
0.02400000 1600947.96290434 9005.33270196
0.02500000 1597119.69002862 8720.27390582
0.02600000 1593144.64624511 6452.23611241
0.02700000 1589025.08723071 8676.07737365
0.02800000 1584760.74879483 8961.82244542
0.02900000 1580354.12119032 8533.91264626
0.03000000 1575806.51500404 9525.75082105
0.03100000 1571118.35220207 12820.32634387
0.03200000 1566290.91606056 9303.76846991
0.03300000 1561328.21466652 8759.05168808
0.03400000 1556228.23247978 9804.23831699
0.03500000 1550994.12531310 10887.97926248
0.03600000 1545627.09706036 11151.70002065
0.03700000 1540129.08637693 10534.48343801
0.03800000 1534501.36243742 10772.20006284
0.03900000 1528746.10701688 11924.22018694
0.04000000 1522863.19130720 15921.53540290
0.04100000 1516856.48120796 14334.29441205
0.04200000 1510726.78370596 10718.60702766
0.04300000 1504474.95277060 17873.16326855
0.04400000 1498104.69178773 15168.31070880
0.04500000 1491617.12605716 15438.23797203
0.04600000 1485012.17705788 13610.13723543
0.04700000 1478294.26411282 11708.09111629
0.04800000 1471463.71371608 16222.88819854
0.04900000 1464523.93051436 13180.71598816
0.05000000 1457475.02164774 14494.58976524
0.05100000 1450321.14304378 15837.50761981
0.05200000 1443060.83888062 11472.33420373
0.05300000 1435699.82821713 15117.91989589
0.05400000 1428238.19267144 14139.55876683
0.05500000 1420678.38793170 16707.17862145
0.05600000 1413021.67322587 16913.87021779
0.05700000 1405272.57805362 14671.04639970
0.05800000 1397430.69563442 19787.61957412
0.05900000 1389497.95639531 12505.48219164
0.06000000 1381478.62157283 15168.63597353
0.06100000 1373373.82242848 19158.56571818
0.06200000 1365185.49620773 16771.30460486
0.06300000 1356917.27282543 16934.32835663
0.06400000 1348567.28855439 21037.65068531
0.06500000 1340141.89203598 17247.62695731
0.06600000 1331642.24499444 14721.30570720
0.06700000 1323069.24087490 14844.83757734
0.06800000 1314426.68470281 19046.04355287
0.06900000 1305716.88600396 15081.03073942
0.07000000 1296940.47107312 17956.14166287
0.07100000 1288100.56470670 18084.93277554
0.07200000 1279199.50511951 19610.12933215
0.07300000 1270240.00745424 18329.56416641
0.07400000 1261224.25282276 18445.40556196
0.07500000 1252153.77952643 18556.91988239
0.07600000 1243029.96617625 15792.69646064
0.07700000 1233857.73198875 17323.36336939
0.07800000 1224637.53544450 17414.34657069
0.07900000 1215371.18688830 16042.90041940
0.08000000 1206063.10588692 19049.76765113
0.08100000 1196713.61992344 16191.53603724
0.08200000 1187324.91229424 17738.63502206
0.08300000 1177900.45953832 16325.70113540
0.08400000 1168441.73606107 19366.92268427
0.08500000 1158950.97167741 19435.60870744
0.08600000 1149430.27377196 21000.09208780
0.08700000 1139883.12970200 22569.68702792
0.08800000 1130309.13110716 22634.44141342
0.08900000 1120713.74307651 19668.52711482
0.09000000 1111096.56429795 16683.11569663
0.09100000 1101460.43368365 21280.21657854
0.09200000 1091807.08507333 16753.78050766
0.09300000 1082142.03135424 24413.12537458
0.09400000 1072461.40033748 15282.57567305
0.09500000 1062771.13659159 16834.29559487
0.09600000 1053072.17202037 18386.64098779
0.09700000 1043369.32440788 19938.78872681
0.09800000 1033661.83178233 30699.75784737
0.09900000 1023953.00244651 15359.29575893
0.10000000 1014243.15079552 18438.94134859
0.10100000 1004534.97119157 18443.26293850
0.10200000 994831.31483469 16907.15899087
0.10300000 985133.07592576 18441.69204884
0.10400000 975443.55061213 19972.20763838
0.10500000 965765.20934676 16891.23430620
0.10600001 956095.64460408 19948.93656333
0.10700001 946441.75350448 19932.06426676
0.10800001 936802.41368122 18380.06422142
0.10900001 927181.45359919 16828.34417486
0.11000001 917578.67808814 19860.99142207
0.11100001 907996.87354919 22881.52229055
0.11200001 898437.66813047 16751.37111090
0.11300001 888902.56940501 16720.25811771
0.11400001 879394.11813430 21237.36895289
0.11500001 869913.52078655 18163.79516932
0.11600001 860462.15538273 24161.77846096
0.11700001 851042.68042982 18076.14738362
0.11800001 841653.98581807 16525.87678988
0.11900001 832299.33689737 16479.52764678
0.12000001 822979.68993386 17924.49849109
0.12100001 813699.42334095 19357.91019320
0.12200001 804456.74620047 23747.56426662
0.12300001 795254.51656009 26625.12246886
0.12400001 786093.01175730 17687.09359791
0.12500001 776973.37184479 17621.75690379
0.12600001 767900.06487927 14628.49692530
0.12700001 758871.24234381 17484.39424758
0.12800001 749888.96754012 17412.42264692
0.12900001 740954.90951734 14448.62141658
0.13000001 732070.58334338 17262.22516889
0.13100001 723235.91091517 18616.09322447
0.13200001 714452.76796069 15678.66673199
0.13300001 705722.95519863 18440.54168868
0.13400001 697046.02508475 19761.25574281
0.13500001 688424.82202740 15448.25373465
0.13600001 679859.23362725 13971.10790979
0.13700001 671350.71173998 15286.65642714
0.13800001 662898.55783717 16585.72269920
0.13900001 654506.84161356 13744.64432206
0.14000001 646173.59220795 15033.22933169
0.14100001 637901.94021611 20380.96795113
0.14200001 629691.19018481 18909.62733313
0.14300001 621543.35766792 13425.33715887
0.14400001 613455.93007564 14676.93381937
0.14500001 605434.62291799 15910.82264083
0.14600001 597477.00119231 14491.80534756
0.14700001 589585.50336603 14397.67867143
0.14800001 581757.32573117 14302.50452787
0.14900001 573996.71506663 14206.41936817
0.15000001 566302.59665972 14109.42986150
0.15100001 558675.81743588 15285.37108629
0.15200001 551118.07670413 16442.60859435
0.15300001 543628.69736005 17580.95290225
0.15400001 536206.43586315 29920.32053313
0.15500001 528855.00589337 12375.20772193
0.15600001 521571.60568256 15967.91546158
0.15700001 514361.04350567 14628.42876772
0.15800001 507217.78415631 12097.14472310
0.15900001 500147.39843834 12003.53812909
0.16000001 493145.69107754 13100.41590185
0.16100001 486217.57956075 11815.08774105
0.16200001 479360.32785206 11720.36056925
0.16300001 472574.23449657 17437.99007613
0.16400001 465860.44466595 11530.04654981
0.16500001 459217.76790165 20582.14132906
0.16600001 452647.73986842 13606.59170285
0.16700001 446149.10810717 15740.14127719
0.16800001 439722.77707711 18949.85397288
0.16900001 433369.69733929 15471.29892554
