# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 321.09991309
0.00100000 1646585.69887521 592.77086567
0.00200000 1646344.06870181 1111.28228156
0.00300000 1645941.54889942 1185.07795742
0.00400000 1645378.02421295 1357.43692156
0.00500000 1644653.97281606 2072.26408777
0.00600000 1643769.31556769 2071.14942194
0.00700000 1642724.62632207 2168.39659686
0.00800000 1641519.66413788 2437.65680416
0.00900000 1640155.72022055 2460.23368550
0.01000000 1638632.13416721 2703.74313812
0.01100000 1636950.19110500 4419.76570842
0.01200000 1635109.79499227 3188.46424003
0.01300000 1633112.06763613 3772.48904262
0.01400000 1630957.03347090 4770.54953439
0.01500000 1628646.17518212 4690.50119339
0.01600000 1626178.80921945 4976.10737866
0.01700000 1623557.22499414 6575.40705619
0.01800000 1620781.21338547 4619.22666600
0.01900000 1617851.61913727 6794.97710698
0.02000000 1614769.56843954 6103.82924481
0.02100000 1611536.94945422 5318.07217431
0.02200000 1608152.30051007 6102.93825771
0.02300000 1604619.04734635 6354.29171673
0.02400000 1600936.44278276 9605.61909469
0.02500000 1597107.15864825 9343.07730480
0.02600000 1593131.12524356 7097.39948758
0.02700000 1589010.56403007 9343.38254443
0.02800000 1584745.13195046 6893.64164012
0.02900000 1580337.29199618 7111.51814050
0.03000000 1575788.67155231 8792.90119143
0.03100000 1571099.30796786 8295.40472777
0.03200000 1566270.60778935 9303.64783878
0.03300000 1561306.65792775 8758.93075477
0.03400000 1556205.37234346 8170.07858177
0.03500000 1550969.98268546 10887.80978123
0.03600000 1545601.70050443 10293.70780107
0.03700000 1540102.12399425 11412.15726658
0.03800000 1534473.06183296 12567.33495802
0.03900000 1528716.34872851 11006.75822057
0.04000000 1522831.94083998 13111.58361821
0.04100000 1516823.77375553 9555.99021774
0.04200000 1510692.52231372 15590.34755356
0.04300000 1504439.07264652 14893.94751055
0.04400000 1498067.19984462 11123.14947543
0.04500000 1491577.95483529 13379.45487655
0.04600000 1484971.37001658 11515.95350982
0.04700000 1478251.79133704 13836.43741042
0.04800000 1471419.45560782 15140.90690268
0.04900000 1464478.10214398 13180.30353281
0.05000000 1457427.34244866 12264.25165780
0.05100000 1450271.73089054 19230.60404745
0.05200000 1443009.59687352 12619.11951273
0.05300000 1435646.58814480 18605.98064973
0.05400000 1428183.21041648 15317.26564602
0.05500000 1420621.43084097 14319.86469089
0.05600000 1412962.69195781 12080.83157998
0.05700000 1405211.90216124 18338.01617920
0.05800000 1397368.03732399 16076.72002007
0.05900000 1389433.29446898 17506.86032798
0.06000000 1381412.10523707 13903.91348879
0.06100000 1373305.12301070 19157.60736126
0.06200000 1365114.80377634 12900.33549869
0.06300000 1356844.46381723 16933.41970017
0.06400000 1348492.47563320 13147.80225230
0.06500000 1340064.99866340 14593.30851809
0.06600000 1331563.15506950 21411.53653533
0.06700000 1322988.08272477 14843.92698285
0.06800000 1314343.24724690 14963.79857035
0.06900000 1305631.30177702 16450.95517261
0.07000000 1296852.82063420 15192.63150518
0.07100000 1288010.71306462 16692.61962316
0.07200000 1279107.56360663 14006.22847764
0.07300000 1270145.80925260 18328.20488629
0.07400000 1261127.74344404 17025.22533437
0.07500000 1252055.09023774 17128.11443729
0.07600000 1242929.08672368 18662.58111207
0.07700000 1233754.66485545 20208.90235790
0.07800000 1224531.99015757 17412.84571664
0.07900000 1215263.46283206 16041.47846179
0.08000000 1205953.12182760 16117.56422932
0.08100000 1196601.52079242 16190.01933593
0.08200000 1187210.54616106 16258.84919263
0.08300000 1177783.86771041 20776.10840148
0.08400000 1168322.70039489 19364.94966801
0.08500000 1158829.86245604 17938.68711295
0.08600000 1149306.74393334 29996.90742506
0.08700000 1139757.31722258 16549.27702319
0.08800000 1130181.09126368 19614.29376004
0.08900000 1120583.41236687 15127.87677750
0.09000000 1110963.85959482 19714.05461459
0.09100000 1101325.48771407 15198.29244449
0.09200000 1091670.01547288 24366.07589024
0.09300000 1082002.40721937 16781.85812459
0.09400000 1072319.60035181 18336.66602779
0.09500000 1062627.13581021 18362.19776987
0.09600000 1052925.94607145 26044.12450035
0.09700000 1043220.64203940 15335.34415894
0.09800000 1033511.03745076 19951.93151608
0.09900000 1023800.00752336 16892.70091847
0.10000000 1014087.96469927 15363.43338769
0.10100000 1004377.54982544 21513.76812909
0.10200000 994671.69747427 19977.98198346
0.10300000 984971.32822695 15365.55344315
0.10400000 975279.51878700 18432.78377225
0.10500000 965599.12577898 21494.23755113
0.10600001 955927.40928150 21479.68989725
0.10700001 946271.36261749 18395.51615493
0.10800001 936630.06451931 16845.29250315
0.10900001 927007.05202187 15295.61707826
0.11000001 917402.03963893 21384.64255055
0.11100001 907818.24677669 18301.61671654
0.11200001 898256.96014095 18270.54742939
0.11300001 888719.88510579 21275.95505112
0.11400001 879209.38929527 16682.99894739
0.11500001 869726.84565500 16646.57260969
0.11600001 860273.47392138 16607.58019613
0.11700001 850851.98642314 21084.11321652
0.11800001 841461.60169337 21028.12641671
0.11900001 832105.25153349 20969.05332632
0.12000001 822783.32136924 16426.86978492
0.12100001 813501.42553885 19353.19982526
0.12200001 804256.67660407 16322.39002065
0.12300001 795052.93927539 16266.78390397
0.12400001 785889.69774860 14735.43252708
0.12500001 776768.46845320 16149.01722009
0.12600001 767693.40565174 20474.38409356
0.12700001 758662.97528297 20392.86173665
0.12800001 749678.92604043 17407.54548306
0.12900001 740743.45194110 14444.49799365
0.13000001 731857.47176259 15819.09999778
0.13100001 723021.33930404 20042.15247025
0.13200001 714236.73884063 18523.73069505
0.13300001 705505.45071598 15598.72625070
0.13400001 696826.96968579 25399.34424251
0.13500001 688204.37359657 14039.36988330
0.13600001 679637.71262246 18156.52234880
0.13700001 671127.88193693 16670.81737340
0.13800001 662674.41232570 19343.46700794
0.13900001 654281.40355938 13739.91012270
0.14000001 645946.95082314 15027.95651963
0.14100001 637674.13698576 13582.45975839
0.14200001 629462.36316905 14852.16515948
0.14300001 621313.50730555 16104.44686897
0.14400001 613224.80225177 18672.69610936
0.14500001 605202.67154753 17230.12087174
0.14600001 597244.31039229 13169.23766540
0.14700001 589351.92616430 15700.33605370
0.14800001 581522.84016265 14296.73969990
0.14900001 573761.41801902 18073.48552032
0.15000001 566066.54047301 14103.54852133
0.15100001 558439.07786880 12732.41157619
0.15200001 550880.60520828 15171.25258332
0.15300001 543390.62851274 17573.25375537
0.15400001 535967.71601442 18691.87497809
0.15500001 528615.82513478 17317.45524868
0.15600001 521331.97017787 15960.57902025
0.15700001 514121.01854312 19495.46994328
0.15800001 506977.42565433 12091.41217256
0.15900001 499906.75982179 19196.42048324
0.16000001 492904.53132221 16665.10299064
0.16100001 485976.34016416 17713.83843515
0.16200001 479118.81135142 14057.34658864
0.16300001 472332.62827551 12781.32152451
0.16400001 465618.73791916 13828.87716905
0.16500001 458975.98747665 14857.05341604
0.16600001 452405.96646508 12466.04699451
0.16700001 445907.42762667 12360.55447741
0.16800001 439481.31905336 13369.02235684
0.16900001 433128.42343605 17671.64051061
0.17000001 426846.30745918 12043.46913365
0.17100001 420637.35723869 10852.44432922
0.17200001 414500.31391318 13983.16875019
0.17300001 408435.09874048 12792.18789666
0.17400001 402443.12438385 10564.13251398
0.17500001 396521.61952214 14655.43974968
0.17600001 390670.93669490 17632.93356051
0.17700001 384894.65268542 15415.03156811
0.17800001 379187.93717763 12217.43591292
0.17900001 373552.38395347 13111.68929608
0.18000001 367988.93028941 11989.07991513
0.18100001 362496.62642069 12865.00587937
0.18200001 357072.83937782 12742.14487511
0.18300001 351719.76834601 9707.46606492
0.18400001 346437.02160073 12497.71614465
0.18500001 341223.91349128 11424.17716339
0.18600001 336080.27316956 9427.05210777
0.18700001 331005.02419872 10267.77633574
0.18800001 325996.58947884 13863.00562256
0.18900001 321059.97166300 10065.23058719
0.19000001 316186.72526491 9964.62511754
0.19100001 311383.70279978 11658.20638367
0.19200001 306646.00092886 11540.62279027
