# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 299.63713438
0.00100000 1664569.47493753 599.24502521
0.00200000 1664325.59555940 1048.52515840
0.00300000 1663919.33734069 1697.19778455
0.00400000 1663350.55058147 1372.26425637
0.00500000 1662619.77451599 1645.99364192
0.00600000 1661726.88705531 2268.25729318
0.00700000 1660672.46628921 2789.92985932
0.00800000 1659456.31544164 3360.39918065
0.00900000 1658079.66220210 2984.54351955
0.01000000 1656541.88759615 3279.95307907
0.01100000 1654844.27697712 3276.59181108
0.01200000 1652986.72532614 3545.65668128
0.01300000 1650970.43688964 4160.44568446
0.01400000 1648795.34994060 5193.70558255
0.01500000 1646462.95538835 3951.51126889
0.01600000 1643972.59480406 5030.55636498
0.01700000 1641326.57057339 5317.89832721
0.01800000 1638524.78537376 7471.67335751
0.01900000 1635567.87713177 6869.38539392
0.02000000 1632457.08541433 6170.68806200
0.02100000 1629194.36612537 7526.87831276
0.02200000 1625778.23915586 6169.82869791
0.02300000 1622212.06509594 7591.95281022
0.02400000 1618495.06035096 6676.29242837
0.02500000 1614630.08221098 7556.46912986
0.02600000 1610617.06469232 9784.49911553
0.02700000 1606457.96302733 6747.12375374
0.02800000 1602152.72953754 9060.17410103
0.02900000 1597703.90183246 10065.53504370
0.03000000 1593112.78503794 8148.77227003
0.03100000 1588379.69014709 9911.48972258
0.03200000 1583506.02114130 7838.35516567
0.03300000 1578495.67827635 11270.45966247
0.03400000 1573346.76232737 11564.09923668
0.03500000 1568062.31494171 10161.04427004
0.03600000 1562643.96039105 17345.34876193
0.03700000 1557093.14273977 12425.60385372
0.03800000 1551411.46256826 12706.06046646
0.03900000 1545601.04455497 9273.60669679
0.04000000 1539661.48526636 12309.59414512
0.04100000 1533597.16316226 12560.16134867
0.04200000 1527408.55936305 11822.14279793
0.04300000 1521096.82734400 12047.08743177
0.04400000 1514665.19902925 12268.78868192
0.04500000 1508115.24585480 11446.59524790
0.04600000 1501446.84045160 11643.72078898
0.04700000 1494664.26382375 11837.74152003
0.04800000 1487768.03703842 14215.62425533
0.04900000 1480761.59764989 12216.28374925
0.05000000 1473644.72710613 14655.39749352
0.05100000 1466422.11201696 20588.56741182
0.05200000 1459091.72354578 13919.73569130
0.05300000 1451660.02553712 12934.29143050
0.05400000 1444126.38399389 14296.85186826
0.05500000 1436493.74547689 12066.54802490
0.05600000 1428763.01017757 17102.29402989
0.05700000 1420939.54287966 12362.17460010
0.05800000 1413021.89098856 13755.76875106
0.05900000 1405012.69269621 16438.64927233
0.06000000 1396915.97757973 17894.49450881
0.06100000 1388732.81821999 14206.73739429
0.06200000 1380465.42010488 14349.93871276
0.06300000 1372117.25994714 21075.72209819
0.06400000 1363686.72550166 17284.73005408
0.06500000 1355179.81906374 18782.79317084
0.06600000 1346598.15585521 16239.97451946
0.06700000 1337942.19062862 13647.01098308
0.06800000 1329216.12265716 15133.12626482
0.06900000 1320421.91511426 13864.43075782
0.07000000 1311560.54238739 15364.93247358
0.07100000 1302634.95907114 16882.14986028
0.07200000 1293647.79256399 18415.07718984
0.07300000 1284601.39183803 14259.07611752
0.07400000 1275498.23103221 15784.29134874
0.07500000 1266339.86624585 24541.66775817
0.07600000 1257127.43096576 17423.78701002
0.07700000 1247866.29850218 17520.04365246
0.07800000 1238556.64172945 20547.65564990
0.07900000 1229200.36148110 16225.44553258
0.08000000 1219801.63751861 16302.64965021
0.08100000 1210361.44677875 17864.93579265
0.08200000 1200881.61292875 16446.07446079
0.08300000 1191365.53767246 18013.44777501
0.08400000 1181814.66623627 19588.57901233
0.08500000 1172231.44558718 18146.14362956
0.08600000 1162618.11014219 15172.16704971
0.08700000 1152978.08723828 15219.31146621
0.08800000 1143310.88284642 15263.20100282
0.08900000 1133622.02037318 16834.28779324
0.09000000 1123911.09646256 21477.94206234
0.09100000 1114180.85893689 21525.97520598
0.09200000 1104433.57264037 21569.58868715
0.09300000 1094673.95215886 18521.88414091
0.09400000 1084898.82128925 18551.77071593
0.09500000 1075113.78353869 20126.13097383
0.09600000 1065320.23791516 20150.53324740
0.09700000 1055522.50267810 18619.41782259
0.09800000 1045720.22733348 21740.52454845
0.09900000 1035916.45250076 18646.49702182
0.10000000 1026111.42787417 18654.70663603
0.10100000 1016308.23236118 17104.46835509
0.10200000 1006509.52447100 18660.68746142
0.10300000 996716.38201419 23323.16443627
0.10400000 986931.94691923 20207.43256383
0.10500000 977158.65600891 18644.18803385
0.10600001 967394.05118685 17079.34277735
0.10700001 957645.64576259 21719.40426796
0.10800001 947911.75625821 24797.37271072
0.10900001 938196.28573840 17028.26338760
0.11000001 928499.30478725 17005.46556762
0.11100001 918823.33742726 16979.85607495
0.11200001 909170.30613649 16951.48115594
0.11300001 899541.36521264 27687.88452481
0.11400001 889939.31847235 19956.89015640
0.11500001 880365.65425240 21445.70834742
0.11600001 870821.09309933 18339.49308431
0.11700001 861308.77713468 16769.68268058
0.11800001 851827.70009636 19766.66271171
0.11900001 842380.83731083 16679.14136437
0.12000001 832969.16551183 22677.58659929
0.12100001 823597.46811256 15071.83437647
0.12200001 814263.50329682 16525.47857795
0.12300001 804970.61927702 16469.69964637
0.12400001 795718.57278776 16411.69633703
0.12500001 786509.10631404 25270.53877663
0.12600001 777345.97720063 22212.66234525
0.12700001 768227.97956123 19174.97127350
0.12800001 759156.69022944 16158.65091308
0.12900001 750134.66570994 16090.38933785
0.13000001 741162.35041881 16020.22495941
0.13100001 732239.89051647 15948.18556721
0.13200001 723370.07524014 17317.48041760
0.13300001 714553.67358063 14362.52951606
0.13400001 705791.00177964 25726.08322774
0.13500001 697084.23680195 17064.62292148
0.13600001 688433.76950572 15562.04609344
0.13700001 679840.94546537 18294.52070512
0.13800001 671304.97917397 16796.05137096
0.13900001 662829.88851523 15311.37114676
0.14000001 654413.83799237 15224.93865891
0.14100001 646060.27628350 19265.51834739
0.14200001 637767.78259602 19152.16741468
0.14300001 629539.21128796 17677.46188677
0.14400001 621371.19148151 14866.30645744
0.14500001 613270.20937187 17459.80368443
0.14600001 605233.40330493 14679.93688968
0.14700001 597263.44584933 18562.94877273
0.14800001 589357.51050376 14489.35507932
0.14900001 581519.69803724 13084.19382316
0.15000001 573748.72058370 14294.95004782
0.15100001 566046.17750274 14196.43880163
0.15200001 558413.23680536 16660.25970624
0.15300001 550849.10269994 19086.92230925
0.15400001 543352.80874648 13896.24873947
0.15500001 535928.29774379 12540.72275904
0.15600001 528572.06400245 21161.38358105
0.15700001 521289.70186391 16060.93647245
0.15800001 514075.15416835 13486.76230616
0.15900001 506934.16482876 12166.42053015
0.16000001 499862.47930541 16900.35122305
0.16100001 492865.21784191 14371.95043069
0.16200001 485939.34185935 16633.70445706
0.16300001 479085.44149381 14142.60290054
0.16400001 472304.60732674 12858.49354151
0.16500001 465595.37408042 12752.65789813
0.16600001 458959.75040571 14946.02497761
0.16700001 452395.95255297 14820.49210538
0.16800001 445905.35220592 13564.44145457
0.16900001 439488.81825832 12327.66193423
0.17000001 433143.56943011 15554.18631270
0.17100001 426872.09686713 12114.63068116
0.17200001 420673.13915753 15283.05586730
0.17300001 414546.82652701 12983.60721997
0.17400001 408494.12249055 16084.45683267
0.17500001 402512.88240692 12751.60871688
0.17600001 396603.05646658 12635.77397580
0.17700001 390768.24699930 10433.51268766
0.17800001 385003.52577053 15506.01773279
0.17900001 379310.52471336 11265.52311610
0.18000001 373690.46790212 11160.26635105
0.18100001 368142.07689546 13065.36292618
0.18200001 362662.91349858 12941.62667953
0.18300001 357255.23696141 11832.29400711
0.18400001 351918.12334997 13672.01973802
0.18500001 346651.50153223 14507.36602448
0.18600001 341455.09102419 12451.16048243
0.18700001 336327.29130624 11381.31607551
0.18800001 331267.37625626 10330.57361663
0.18900001 326279.69351303 13948.45755671
0.19000001 321355.96152629 10127.53360601
0.19100001 316502.94659269 10026.81382182
0.19200001 311715.77921708 9926.58945821
