# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.41239343 798.99333692
0.00200000 1664325.34867464 1048.52500287
0.00300000 1663918.78030570 998.35130375
0.00400000 1663349.56880528 1372.26344641
0.00500000 1662618.21854671 1795.62774710
0.00600000 1661724.66806410 2093.77316700
0.00700000 1660669.43419078 2989.20510578
0.00800000 1659452.36163593 2240.26078279
0.00900000 1658074.65242250 2735.82329345
0.01000000 1656535.73082762 3006.61248128
0.01100000 1654836.82046882 3574.44768784
0.01200000 1652977.85008276 4190.29903368
0.01300000 1650960.04378986 4853.82274282
0.01400000 1648783.29059123 5193.66759560
0.01500000 1646449.12944599 6717.51274726
0.01600000 1643956.87426567 5449.71728181
0.01700000 1641308.83281806 6204.14766636
0.01800000 1638504.94026630 6070.66107685
0.01900000 1635545.80878832 4906.63764777
0.02000000 1632432.66253460 7199.02836743
0.02100000 1629167.49202470 6451.50356092
0.02200000 1625748.74964350 9535.01684986
0.02300000 1622179.92296244 5839.84798849
0.02400000 1618460.12703218 6676.14832842
0.02500000 1614592.26332083 6296.91011454
0.02600000 1610576.19929147 7175.11729602
0.02700000 1606414.05654574 6746.93934651
0.02800000 1602105.57502686 9756.82339936
0.02900000 1597653.46551516 10065.21729488
0.03000000 1593058.91228925 11852.35885223
0.03100000 1588322.20851639 11435.92042752
0.03200000 1583444.94750019 9405.66342136
0.03300000 1578430.90684112 9659.99759520
0.03400000 1573278.24468906 11563.59563201
0.03500000 1567989.96945586 8467.14622606
0.03600000 1562567.54975295 13875.60048305
0.03700000 1557012.67970887 11537.46449022
0.03800000 1551326.81109766 10890.31471790
0.03900000 1545512.10367739 9273.07305150
0.04000000 1539568.22926276 12308.84856334
0.04100000 1533499.52015198 11593.25690989
0.04200000 1527306.36766073 11821.35183412
0.04300000 1520990.13834349 11042.38891694
0.04400000 1514553.88925953 11245.56315002
0.04500000 1507999.11532877 10405.19437924
0.04600000 1501325.96330946 14818.08794671
0.04700000 1494538.51266640 10760.67779165
0.04800000 1487637.45927490 15307.79016818
0.04900000 1480626.03068479 12215.16532173
0.05000000 1473504.05492007 13526.76785406
0.05100000 1466276.31483631 16011.73810390
0.05200000 1458940.72264502 19717.58478541
0.05300000 1451503.89023166 12932.90026487
0.05400000 1443964.99046527 13103.98289956
0.05500000 1436327.02426800 15684.69183669
0.05600000 1428590.95243441 13435.89853462
0.05700000 1420761.97656163 13596.69275037
0.05800000 1412838.93563917 13753.98768065
0.05900000 1404824.18652654 16436.44375004
0.06000000 1396721.94213129 16614.00827784
0.06100000 1388533.38671052 14204.69720985
0.06200000 1380260.26338918 20869.53615796
0.06300000 1371906.61637396 18438.42578616
0.06400000 1363470.37983545 15952.60419013
0.06500000 1354957.86882544 16096.90023462
0.06600000 1346370.27565314 16237.22628409
0.06700000 1337708.80590252 19102.48264226
0.06800000 1328976.89229817 16505.89377497
0.06900000 1320176.97255683 18020.41651910
0.07000000 1311309.77636034 16758.53972666
0.07100000 1302378.61072814 18285.39655107
0.07200000 1293385.56474018 14162.57259738
0.07300000 1284333.49832659 17107.32299928
0.07400000 1275224.54182302 15780.90444462
0.07500000 1266060.38773500 14433.08909669
0.07600000 1256842.22928636 21774.79264320
0.07700000 1247575.25658048 20435.28366097
0.07800000 1238259.90762190 22010.07089017
0.07900000 1228897.85770056 17696.12998090
0.08000000 1219493.58881484 20743.58691884
0.08100000 1210047.64040740 17860.30401039
0.08200000 1200562.15469708 17936.39943284
0.08300000 1191040.32360033 16507.81965985
0.08400000 1181483.95338286 16570.31322398
0.08500000 1171895.12611696 15117.44783660
0.08600000 1162276.28554671 19718.01811009
0.08700000 1152630.63695515 18257.67014671
0.08800000 1142958.04616536 16784.33969619
0.08900000 1133263.65150906 15299.06001396
0.09000000 1123547.40155429 19937.34957715
0.09100000 1113811.90708539 16907.66554390
0.09200000 1104059.22946062 24642.60315944
0.09300000 1094294.22026622 21601.36892315
0.09400000 1084514.00273773 16999.75779186
0.09500000 1074723.91081831 15476.02504320
0.09600000 1064925.19046597 20143.06092454
0.09700000 1055122.50000248 20163.39192298
0.09800000 1045315.03648499 26388.97933681
0.09900000 1035506.68753641 20192.38135646
0.10000000 1025696.78531898 18647.16843402
0.10100000 1015888.90134702 23314.65138244
0.10200000 1006085.35164005 27979.23494515
0.10300000 996287.56646694 15542.08676800
0.10400000 986498.79083495 15537.35668661
0.10500000 976721.01730446 21741.81086814
0.10600001 966952.04401007 15519.58103661
0.10700001 957199.31491389 17057.29259444
0.10800001 947461.18245217 17040.09016834
0.10900001 937741.66932953 23209.10740826
0.11000001 928040.50083615 15451.87506623
0.11100001 918360.83117850 18514.15522808
0.11200001 908703.78518656 18483.03586082
0.11300001 899071.23277667 18448.94256517
0.11400001 889465.46556591 24549.24800551
0.11500001 879888.38509669 16841.06448376
0.11600001 870340.34001076 16801.92105514
0.11700001 860824.64326478 15236.59690335
0.11800001 851340.32527526 15196.42552189
0.11900001 841890.41399637 18184.83379886
0.12000001 832475.65658067 16620.37726653
0.12100001 823101.12807248 19581.57675930
0.12200001 813764.42259225 22520.93145623
0.12300001 804468.87535978 20948.37050134
0.12400001 795214.22728472 17892.32095695
0.12500001 786002.28578032 16340.98829137
0.12600001 776836.91867014 16278.61839784
0.12700001 767716.70758428 22110.24222040
0.12800001 758643.35313210 16147.72453245
0.12900001 749619.28004470 19002.84964478
0.13000001 740645.13385560 17464.41307950
0.13100001 731721.06729566 21732.11672308
0.13200001 722849.59101976 23073.36003304
0.13300001 714031.98953432 15787.24803286
0.13400001 705267.63089738 15709.83721889
0.13500001 696559.84257223 17051.78575013
0.13600001 687908.07429120 19791.11623052
0.13700001 679314.43722828 15467.99046505
0.13800001 670777.56624303 15384.28420724
0.13900001 662301.80424742 15299.17239960
0.14000001 653885.27475515 16595.60905594
0.14100001 645531.18675915 19249.74089703
0.14200001 637238.51500805 23236.90354574
0.14300001 629009.79420207 16303.93463474
0.14400001 620841.85164130 20254.96636522
0.14500001 612740.95955291 21470.44423554
0.14600001 604704.41144222 16000.47948157
0.14700001 596734.86038993 14572.26597819
0.14800001 588829.22335501 15792.40051545
0.14900001 580992.19750851 13072.32506070
0.15000001 573222.08413250 12983.48081820
0.15100001 565520.48304821 19340.80143284
0.15200001 557888.57526522 16644.60642845
0.15300001 550325.56657809 19068.78178177
0.15400001 542830.74416004 15144.97847677
0.15500001 535407.34952700 15034.23908423
0.15600001 528052.97928525 19897.03719851
0.15700001 520772.43840405 14810.76884723
0.15800001 513559.61153452 12248.39731321
0.15900001 506420.90062143 12154.10218860
0.16000001 499351.13772809 13265.26359990
0.16100001 492356.31066540 13160.68480533
0.16200001 485432.82084660 11868.83302998
0.16300001 478581.40551577 15305.03407091
0.16400001 471803.15282614 17515.69287558
0.16500001 465096.78005741 12739.00140720
0.16600001 458464.18306774 12632.98116087
0.16700001 451903.45499788 14804.35788471
0.16800001 445416.01583645 14678.68549496
0.16900001 439002.87799511 14552.94609270
0.17000001 432661.11162109 14427.08544825
0.17100001 426393.12798000 12101.03754350
0.17200001 420197.75943727 10904.13237232
0.17300001 414075.44050788 11888.10645839
0.17400001 408026.75649734 12852.84343665
0.17500001 402049.59862952 11675.52089561
0.17600001 396143.76174629 13672.90258243
0.17700001 390313.30005352 14589.91184509
0.17800001 384552.95606773 16520.39577296
0.17900001 378864.58341490 10229.34423537
0.18000001 373249.28146088 12160.46216440
0.18100001 367705.66618133 12046.03819311
0.18200001 362231.33701123 11931.90080479
0.18300001 356828.71789368 12803.01500283
0.18400001 351496.70455662 9754.03401223
0.18500001 346235.40871983 11591.96203157
0.18600001 341044.28937700 9566.29276897
0.18700001 335921.92485003 10420.29860115
0.18800001 330867.40437462 11256.10962863
0.18900001 325885.24995190 12074.04908119
0.19000001 320967.40230250 10115.28816150
0.19100001 316120.20542957 18208.52469310
0.19200001 311338.91814764 10815.91452752
0.19300001 306626.68397983 10707.40431053
0.19400001 301979.07281467 8832.88829722
0.19500001 297398.42206385 9617.86542404
0.19600001 292882.19506398 9520.13620044
0.19700001 288432.87765450 10279.74824540
0.19800001 284046.64471331 12718.18911808
0.19900001 279725.07067573 8391.75251687
0.20000001 275465.47781591 10796.86991327
0.20100001 271270.42058861 13973.14002492
0.20200001 267136.17359698 13014.87499277
0.20300001 263064.36938917 8049.77008378
0.20400001 259054.07942489 7965.91331883
0.20500001 255103.26812281 10247.49876486
0.20600001 251212.34693775 8580.15811523
0.20700001 247381.07508777 10033.77687985
0.20800001 243607.67589241 7637.10100023
0.20900001 239894.81841488 8312.35585101
0.21000001 236236.37083404 8224.56963938
0.21100001 232636.18349783 8877.39718194
0.21200001 229091.07765571 8783.35233255
0.21300001 225601.14769364 7965.97690166
0.21400001 222166.42458967 11463.78805079
0.21500001 218786.85245967 9215.30266128
0.21600001 215459.10824787 10519.79145756
0.21700001 212184.70505000 7632.28420150
0.21800001 208962.51511599 8237.30273534
0.21900001 205790.99283662 10186.65462705
0.22000001 202669.56045232 10077.74436999
