# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682650.99581867 555.27484181
0.00200000 1682405.07428764 757.08230740
0.00300000 1681995.39761565 1009.19727452
0.00400000 1681421.83364520 1387.17306547
0.00500000 1680684.91526148 1663.87813197
0.00600000 1679784.54579404 1940.15122938
0.00700000 1678721.25452287 2014.46558915
0.00800000 1677494.87592708 2944.00363155
0.00900000 1676106.65847336 3268.40812374
0.01000000 1674555.96990171 3039.31921661
0.01100000 1672844.08289438 3613.34337637
0.01200000 1670970.92986335 3910.07214731
0.01300000 1668937.66190775 3504.76924458
0.01400000 1666744.27689184 4125.19226818
0.01500000 1664392.22488280 4393.99566935
0.01600000 1661880.92339383 4661.57619851
0.01700000 1659212.62859763 6271.82401744
0.01800000 1656387.21081439 5664.84451589
0.01900000 1653405.40889839 5952.25974062
0.02000000 1650268.43184201 6238.01495454
0.02100000 1646978.17770105 7065.53670268
0.02200000 1643533.21496707 6237.20883417
0.02300000 1639936.94373460 8855.65989926
0.02400000 1636188.56024948 9203.56107106
0.02500000 1632291.01933766 7002.52879277
0.02600000 1628244.01989251 11869.89944793
0.02700000 1624049.76409357 7503.11025376
0.02800000 1619708.10313778 9864.02280047
0.02900000 1615221.65984105 7995.34758331
0.03000000 1610591.64926390 8987.10181599
0.03100000 1605818.46236933 8478.72187144
0.03200000 1600903.47729277 7924.47257759
0.03300000 1595850.68216349 8952.72273966
0.03400000 1590658.00604831 14196.62335902
0.03500000 1585328.74963367 9416.85320768
0.03600000 1579864.38077019 13152.37157773
0.03700000 1574266.19774294 9870.64951634
0.03800000 1568536.22903615 10093.53110097
0.03900000 1562676.26804881 10313.66384675
0.04000000 1556686.10422953 11488.34398157
0.04100000 1550570.04976105 10745.45094307
0.04200000 1544328.61729416 11953.10405240
0.04300000 1537963.01567300 11165.61201207
0.04400000 1531476.41077963 15506.19937928
0.04500000 1524870.29588943 13678.08718968
0.04600000 1518144.78636930 11773.21336559
0.04700000 1511304.19437255 17410.22512889
0.04800000 1504348.78287217 15479.74969600
0.04900000 1497282.18270504 16844.42533950
0.05000000 1490104.21220670 12539.22752962
0.05100000 1482819.47327696 13879.19091642
0.05200000 1475425.93871814 21113.34616697
0.05300000 1467930.05142909 13079.25736796
0.05400000 1460331.58606971 16866.83060567
0.05500000 1452632.92634413 14642.54058061
0.05600000 1444835.48547395 13588.67837499
0.05700000 1436944.33014816 12501.41625584
0.05800000 1428958.05233564 17704.79109512
0.05900000 1420879.33146360 15345.49749653
0.06000000 1412712.44202664 14218.95139329
0.06100000 1404458.18579350 19592.19260739
0.06200000 1396118.86317384 18470.65342317
0.06300000 1387697.85051749 15986.27998540
0.06400000 1379193.81500391 14791.85435768
0.06500000 1370612.80911368 18996.69442294
0.06600000 1361955.85760647 13687.65700937
0.06700000 1353224.40921417 15183.17858194
0.06800000 1344421.71174192 16697.71844144
0.06900000 1335550.50444491 22437.24952516
0.07000000 1326611.09430562 15541.24969756
0.07100000 1317607.21691396 15653.17447010
0.07200000 1308540.66454297 22925.63351679
0.07300000 1299414.64951484 17308.20394252
0.07400000 1290231.05843674 14515.10008765
0.07500000 1280991.78036229 20444.62977287
0.07600000 1271697.81725024 19094.54362118
0.07700000 1262354.53143961 20677.36819451
0.07800000 1252962.28184235 17817.12448335
0.07900000 1243522.68768021 16414.50024728
0.08000000 1234040.38043815 19491.66872340
0.08100000 1224516.16459367 16567.70448428
0.08200000 1214951.71669084 21176.60941564
0.08300000 1205350.27837457 19743.63848638
0.08400000 1195714.11046907 19818.96231130
0.08500000 1186044.85854552 16829.97733285
0.08600000 1176345.21950673 23026.95875299
0.08700000 1166618.52220474 20019.17478109
0.08800000 1156864.16773737 18532.96483753
0.08900000 1147087.77840531 20131.39145658
0.09000000 1137289.24200355 17076.39877086
0.09100000 1127471.10536539 21782.74277904
0.09200000 1117635.35410548 21827.41949128
0.09300000 1107787.06376569 20305.73783304
0.09400000 1097922.95777889 17209.94317201
0.09500000 1088048.86053936 17234.69476102
0.09600000 1078165.98550104 15687.31582647
0.09700000 1068278.66679953 18844.43656827
0.09800000 1058386.72753375 18860.45237143
0.09900000 1048492.97239002 17300.13485793
0.10000000 1038598.02617932 15734.76083658
0.10100000 1028704.67272612 18887.01867954
0.10200000 1018815.58100660 20462.91190702
0.10300000 1008931.91849542 20461.14026959
0.10400000 999057.10525892 18882.18017771
0.10500000 989193.37645251 15728.17542560
0.10600001 979338.10785519 25149.40379309
0.10700001 969499.27131651 17276.47782785
0.10800001 959674.68526104 21966.95457943
0.10900001 949868.41898150 17240.11261593
0.11000001 940080.70981014 20348.04792161
0.11100001 930314.44888578 21880.99686781
0.11200001 920570.66004636 18724.40810683
0.11300001 910851.39371409 23363.33934873
0.11400001 901158.79460376 20208.48692049
0.11500001 891495.04667752 18614.41745114
0.11600001 881860.13275363 17024.31066451
0.11700001 872257.97118905 16982.86349886
0.11800001 862686.86313456 16938.85735544
0.11900001 853150.29434189 16892.37662363
0.12000001 843648.98626758 19905.89876865
0.12100001 834188.04850230 18318.77040807
0.12200001 824764.70326828 21303.67328906
0.12300001 815383.09249918 21232.57672904
0.12400001 806042.11124962 18135.94835764
0.12500001 796744.11701784 18070.15742544
0.12600001 787492.81342964 18002.08656332
0.12700001 778286.87293886 16437.41953110
0.12800001 769127.96159309 17859.15210988
0.12900001 760018.47668019 17784.43319253
0.13000001 750959.06087302 17707.61549003
0.13100001 741949.86208546 27912.15512737
0.13200001 732993.73375377 17547.87081328
0.13300001 724091.36205574 20375.93188883
0.13400001 715242.67997033 15932.03144746
0.13500001 706450.75562430 23058.55375075
0.13600001 697715.41389733 20073.27340430
0.13700001 689037.99263550 15689.39583212
0.13800001 680417.65884434 17024.05062707
0.13900001 671859.20026986 14109.04387102
0.14000001 663359.80347320 16836.07260615
0.14100001 654923.34110205 22319.78851743
0.14200001 646548.40219342 13868.46388116
0.14300001 638238.11376597 15164.53829835
0.14400001 629988.55136369 15072.47680234
0.14500001 621806.72819063 16341.08158769
0.14600001 613689.36695082 17591.40653351
0.14700001 605639.42824872 20167.79391213
0.14800001 597654.10297672 16029.08379807
0.14900001 589737.18491578 21230.53965864
0.15000001 581887.89233359 17133.68979818
0.15100001 574107.53876278 15707.58300171
0.15200001 566397.28067369 15598.58184580
0.15300001 558756.45672866 14198.00223547
0.15400001 551183.99329631 23067.05120801
0.15500001 543683.61119822 17811.07594341
0.15600001 536252.26169825 15154.48963081
0.15700001 528895.44034945 12534.82252789
0.15800001 521606.89060107 13684.35742080
0.15900001 514392.65763269 18518.13654884
0.16000001 507248.30520070 18375.07072324
0.16100001 500178.71116348 18231.51488251
0.16200001 493181.27302355 15675.76750304
0.16300001 486256.48563663 14354.29213363
0.16400001 479405.41623481 11865.28461197
0.16500001 472626.57250625 12945.24243211
0.16600001 465922.10467131 16339.88898228
0.16700001 459289.79525411 12731.51372556
0.16800001 452731.26671277 12624.41196836
0.16900001 446247.65621403 12517.24734784
