# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 324.60689558
0.00100000 1664569.45964552 699.11918965
0.00200000 1664325.53977450 1048.52512326
0.00300000 1663919.20708794 1297.85702776
0.00400000 1663350.31920806 1871.26918021
0.00500000 1662619.40532036 1795.62902882
0.00600000 1661726.36918022 2442.73786214
0.00700000 1660671.75860960 2590.64805110
0.00800000 1659455.39727561 2912.34434518
0.00900000 1658078.50406973 2984.54143491
0.01000000 1656540.46827508 3006.62107974
0.01100000 1654842.54358864 3574.46004978
0.01200000 1652984.68487227 3223.32027682
0.01300000 1650968.02480017 3813.73630549
0.01400000 1648792.56337987 3709.78343206
0.01500000 1646459.76134300 4346.65396350
0.01600000 1643968.96707104 4192.12105343
0.01700000 1641322.50709837 5317.88516155
0.01800000 1638520.18859478 5136.76102239
0.01900000 1635562.79091926 6378.69517241
0.02000000 1632451.48223784 5142.22240166
0.02100000 1629188.18738859 6989.21764078
0.02200000 1625771.44548843 7852.47643847
0.02300000 1622204.66764939 5839.93706936
0.02400000 1618487.01434286 8497.05721274
0.02500000 1614621.43856306 8186.13106738
0.02600000 1610607.72819262 9132.14623654
0.02700000 1606447.90305969 7421.78965206
0.02800000 1602141.94071713 11150.90841877
0.02900000 1597692.40332009 7908.57775955
0.03000000 1593100.51415444 7407.91773133
0.03100000 1588366.58225731 8386.57594021
0.03200000 1583492.09838982 9405.94349766
0.03300000 1578480.94383724 9660.30382163
0.03400000 1573331.18870367 11563.98477054
0.03500000 1568045.89900109 8467.44824562
0.03600000 1562626.67069447 9539.83626546
0.03700000 1557074.86167021 8875.32712198
0.03800000 1551392.26465510 11798.33871872
0.03900000 1545580.82800536 11128.18247698
0.04000000 1539640.42308449 9468.78904074
0.04100000 1533575.13132574 11593.82853039
0.04200000 1527385.57721837 10836.80117311
0.04300000 1521072.76503825 12046.89685830
0.04400000 1514640.14058898 11246.20356617
0.04500000 1508089.18461465 17689.88695749
0.04600000 1501419.74494266 15877.51454086
0.04700000 1494636.15395357 17218.20929433
0.04800000 1487738.90618758 10934.88146926
0.04900000 1480731.38265655 13326.58306423
0.05000000 1473613.40983504 13527.77173222
0.05100000 1466389.71224105 14869.19237479
0.05200000 1459058.25810579 17399.27053874
0.05300000 1451625.37860408 14109.79933780
0.05400000 1444090.73295666 13105.12401272
0.05500000 1436456.92684048 12066.23874834
0.05600000 1428725.14117740 14658.72063252
0.05700000 1420900.56080312 18542.75318403
0.05800000 1412981.73842709 13755.37786586
0.05900000 1404971.33975339 13909.21691320
0.06000000 1396873.55121537 17893.95102705
