# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 249.69761198
0.00100000 1664569.38209103 499.37082649
0.00200000 1664325.23465463 748.94637931
0.00300000 1663918.51003389 1098.18625574
0.00400000 1663349.08727325 1621.76542172
0.00500000 1662617.48929881 1645.99137956
0.00600000 1661723.61115281 1919.29084902
0.00700000 1660667.97700088 2192.08182074
0.00800000 1659450.47461445 2912.33570591
0.00900000 1658072.28587406 3481.95194918
0.01000000 1656532.79518920 5193.23053716
0.01100000 1654833.28567388 4468.05006586
0.01200000 1652973.64440371 3867.95849749
0.01300000 1650955.08190827 3467.00582492
0.01400000 1648777.55926039 4451.69960735
0.01500000 1646442.55518917 4346.60853925
0.01600000 1643949.45370417 5449.69268265
0.01700000 1641300.44058727 4874.66252722
0.01800000 1638495.51013914 6537.59737963
0.01900000 1635535.35160162 6378.58815906
0.02000000 1632421.08718466 6684.76465441
0.02100000 1629154.72099012 5913.83190532
0.02200000 1625734.73844263 7291.42063318
0.02300000 1622164.62117922 7007.75148248
0.02400000 1618443.51871874 7889.91251351
0.02500000 1614574.34020015 6926.52423580
0.02600000 1610556.79637729 9784.13298550
0.02700000 1606393.13932693 9445.59209186
0.02800000 1602083.19668622 6969.06222518
0.02900000 1597629.46654601 9346.13280841
0.03000000 1593033.27090053 8889.12606022
0.03100000 1588294.95253287 8386.19773525
0.03200000 1583415.88218029 9405.49077335
0.03300000 1578400.19997524 9659.80966917
0.03400000 1573245.56282492 10737.40146171
0.03500000 1567955.48881712 9313.65603366
0.03600000 1562531.16261579 10406.45802394
0.03700000 1556974.29790064 11537.18008101
0.03800000 1551286.47462304 13612.53944480
0.03900000 1545469.67297663 12054.66400747
0.04000000 1539523.76842909 11361.68593750
0.04100000 1533452.89254021 13525.05513931
0.04200000 1527257.64480724 12806.05594582
0.04300000 1520939.08900810 10038.19845341
0.04400000 1514500.70320845 13289.74428786
0.04500000 1507943.72331134 10404.81217431
0.04600000 1501268.22226830 11642.33560491
0.04700000 1494478.49143521 10760.24563877
0.04800000 1487574.96552095 15307.14710742
0.04900000 1480560.96473780 12214.62852765
0.05000000 1473436.75080624 12398.97083541
