# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682651.13926908 555.27488915
0.00200000 1682405.65791744 984.20734105
0.00300000 1681996.70612760 1211.03767155
0.00400000 1681424.15408166 1387.17497983
0.00500000 1680688.54315711 2571.45357281
0.00600000 1679789.77453230 2116.53520208
0.00700000 1678728.35267323 2417.36892832
0.00800000 1677504.15460857 2717.55684520
0.00900000 1676118.39831966 3519.84878694
0.01000000 1674570.45299320 3315.64964009
0.01100000 1672861.60678243 4516.72653497
0.01200000 1670991.74127821 3584.27744219
0.01300000 1668962.07614160 3855.30256592
0.01400000 1666772.56101920 4125.26227140
0.01500000 1664424.68040575 5193.00523410
0.01600000 1661917.79371482 5085.46867611
0.01700000 1659254.18743428 4927.98515774
0.01800000 1656433.77716418 6137.08742055
0.01900000 1653457.22151613 7440.55783256
0.02000000 1650325.74465652 7797.78949624
0.02100000 1647041.25184598 7065.80729077
0.02200000 1643602.32334837 7938.59958244
0.02300000 1640012.33681095 8856.06702189
0.02400000 1636270.55925909 9817.62380321
0.02500000 1632379.80690866 7002.90969147
0.02600000 1628339.87980252 6594.77681483
0.02700000 1624152.94350590 7503.58694267
0.02800000 1619818.87642846 7750.83367916
0.02900000 1615340.27185020 8722.83786849
0.03000000 1610718.26582609 7489.84028036
0.03100000 1605953.25893833 11562.86399640
0.03200000 1601046.81533257 9510.21852110
0.03300000 1596002.84911111 10581.49937742
0.03400000 1590819.02170957 10022.16029920
0.03500000 1585499.00874510 10274.03405110
0.03600000 1580043.92047418 11400.01741306
0.03700000 1574455.46753369 8974.39657999
0.03800000 1568735.30968449 12847.94278091
0.03900000 1562885.30819006 15003.69965345
0.04000000 1556905.38050406 10532.46538717
0.04100000 1550799.76967060 10747.04290212
0.04200000 1544568.95171472 15939.95232120
0.04300000 1538214.08613442 12182.65612768
0.04400000 1531738.45235600 11373.15853693
0.04500000 1525143.51404109 14732.88703020
0.04600000 1518429.32646900 14986.89814894
0.04700000 1511600.18710468 13060.22622399
0.04800000 1504656.39488869 13271.07002040
0.04900000 1497601.54843011 16848.01820407
0.05000000 1490435.57362566 12542.01593609
0.05100000 1483162.86850062 15039.27218719
0.05200000 1475781.67655001 16425.45082545
0.05300000 1468298.11801189 13082.53684137
0.05400000 1460712.16862646 15666.13873909
0.05500000 1453026.10081648 13425.96179786
0.05600000 1445241.37305574 17299.54004275
0.05700000 1437363.04537452 13755.56498632
0.05800000 1429389.63354273 15180.11861702
0.05900000 1421324.09669306 17908.68445477
0.06000000 1413170.28812479 18102.71223662
0.06100000 1404929.27506072 16985.59572924
0.06200000 1396603.35730367 17157.27304647
0.06300000 1388195.67679843 15992.01494443
0.06400000 1379705.23959421 18832.97740122
0.06500000 1371137.76138726 14931.69091998
0.06600000 1362494.24569896 19170.29493393
0.06700000 1353776.50822185 17951.07733911
0.06800000 1344987.47124472 15312.68307689
0.06900000 1336129.99853528 22446.98502634
0.07000000 1327204.43230838 14134.72786599
0.07100000 1318214.34518399 22778.74495168
0.07200000 1309161.78603569 18635.91889725
0.07300000 1300049.49087810 15873.60502739
0.07400000 1290879.83733694 15974.63873568
0.07500000 1281654.36014722 16071.94642958
0.07600000 1272374.30551323 22043.88587645
0.07700000 1263044.96289655 16255.38943467
0.07800000 1253666.41863233 20798.32686047
0.07900000 1244240.56149751 16423.97618211
0.08000000 1234772.10754769 16502.72999154
0.08100000 1225261.66212718 21099.00681176
0.08200000 1215710.98526911 16649.16272453
0.08300000 1206123.33488555 16716.87020607
0.08400000 1196500.68355922 18306.46131774
0.08500000 1186845.05789155 15310.30196555
0.08600000 1177159.10073900 16898.11968450
0.08700000 1167445.75934415 15410.28474697
0.08800000 1157704.93780346 17000.89781007
0.08900000 1147941.69215333 15497.21357197
0.09000000 1138156.45469222 17089.41996999
0.09100000 1128351.47499922 24914.00173847
0.09200000 1118528.62796177 21844.86513051
0.09300000 1108693.33274279 17195.83439891
0.09400000 1098842.11760611 20356.05118534
0.09500000 1088980.84106675 18817.58981811
0.09600000 1079110.50355161 15701.05856475
0.09700000 1069235.73960813 18861.31933341
0.09800000 1059356.08158578 22024.01397169
0.09900000 1049474.68783558 22038.96948087
0.10000000 1039591.80210541 18899.77985108
0.10100000 1029710.30495836 22056.39576956
0.10200000 1019833.00818729 20483.34693290
0.10300000 1009961.02826755 18906.47133854
0.10400000 1000097.74680168 20477.00232911
0.10500000 990245.22575229 18893.87979630
0.10600001 980401.17030044 22029.61533322
0.10700001 970573.13419467 17295.61406524
0.10800001 960759.34180184 21991.78236881
0.10900001 950963.73528178 20398.17308185
0.11000001 941186.47663936 18804.90668839
0.11100001 931430.33521169 18777.63644179
0.11200001 921696.56015695 18747.30891616
0.11300001 911987.21334417 21832.97491537
0.11400001 902304.17821984 20234.17214929
0.11500001 892649.63331736 20191.73565643
0.11600001 883024.01889553 18596.48671368
0.11700001 873430.80113970 21643.61627155
0.11800001 863868.37429242 23130.07681107
0.11900001 854340.53288919 16915.94334797
0.12000001 844847.24745684 24534.36522184
0.12100001 835394.39346551 15287.71812059
0.12200001 825978.88026136 16763.24216464
0.12300001 816604.87181844 18226.62159772
0.12400001 807271.11270745 16649.96748410
0.12500001 797980.21735229 16590.00950048
0.12600001 788735.83146951 24040.66927607
0.12700001 779536.36224718 19457.22851864
0.12800001 770383.82395451 22360.39154411
0.12900001 761280.22179974 19298.45453220
0.13000001 752226.51313341 19215.62718372
0.13100001 743222.99276808 20602.14233067
0.13200001 734272.10451167 17578.47501066
0.13300001 725374.84495649 16038.03857807
0.13400001 716530.79838628 14509.74935139
0.13500001 707743.17949252 14437.96154237
0.13600001 699012.01067057 18674.10674556
0.13700001 690338.47147539 17148.00844003
0.13800001 681721.74532534 14213.89906030
0.13900001 673166.54883299 14136.49819214
0.14000001 664670.17298548 16869.32978594
0.14100001 656236.35705199 13977.83506444
0.14200001 647863.99880981 20845.02514487
0.14300001 639555.74730244 16577.28575199
0.14400001 631308.01655855 17850.23501019
0.14500001 623127.82802796 15011.15008530
0.14600001 615011.74367434 14917.11054653
0.14700001 606962.79057649 16169.48950378
0.14800001 598978.12518687 17403.31024837
0.14900001 591061.69417713 18618.44424501
0.15000001 583212.50555978 18493.66942389
0.15100001 575432.02486193 13119.85078591
0.15200001 567721.13488590 19543.80099066
0.15300001 560079.65765251 18112.97698322
0.15400001 552505.92002544 14130.33957148
0.15500001 545004.25913886 14028.41029228
0.15600001 537571.49078810 17723.73288775
0.15700001 530212.61382611 13822.64349483
0.15800001 522921.72092840 13718.85199607
0.15900001 515705.15946697 18565.38661711
0.16000001 508557.81106690 15966.17323209
0.16100001 501485.22556780 14623.30986784
0.16200001 494484.52946117 13299.16204766
0.16300001 487555.97286959 13193.26524868
0.16400001 480700.86864072 13087.08176658
0.16500001 473917.82381007 14160.66524399
0.16600001 467208.86147627 12873.94078580
0.16700001 460571.73921329 12767.04921379
0.16800001 454008.11067499 16112.74860864
0.16900001 447519.17126294 12552.91334665
0.17000001 441101.90277038 12445.69077435
0.17100001 434758.73605371 13460.13110383
0.17200001 428488.13454921 12231.19437830
0.17300001 422291.16825725 12123.98001321
0.17400001 416167.84902412 16386.60982920
0.17500001 410116.34445070 14075.19360629
0.17600001 404136.64364833 10729.82839562
0.17700001 398232.44782142 10632.80685903
0.17800001 392398.78992611 10535.90800715
0.17900001 386637.11351518 11483.12281379
0.18000001 380949.01120864 13445.59598571
0.18100001 375333.08068115 11271.25294527
0.18200001 369786.37009727 11165.69997253
0.18300001 364311.88311662 12066.01013881
0.18400001 358908.33605216 10955.67747555
0.18500001 353575.71160769 13810.66794784
0.18600001 348313.80445069 11724.24321170
0.18700001 343120.77150305 9676.00621353
0.18800001 337995.87431739 11498.62018754
0.18900001 332943.78472217 13284.45763807
0.19000001 327956.44774809 11275.14320632
0.19100001 323040.20227220 13024.98157105
0.19200001 318190.08505598 9211.60339763
0.19300001 313409.42079252 9120.21457602
0.19400001 308693.52281916 11738.07175987
0.19500001 304045.26811111 9832.82443536
0.19600001 299461.69827746 8849.09360227
0.19700001 294945.30745292 13139.81406798
0.19800001 290492.62655966 12139.68743763
0.19900001 286104.78066142 10299.77259058
