# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 249.69761198
0.00100000 1664569.37959191 499.37082574
0.00200000 1664325.22444871 1123.41956208
0.00300000 1663918.48723697 998.35112791
0.00400000 1663349.04740998 1372.26301626
0.00500000 1662617.41126197 1795.62687524
0.00600000 1661723.51048248 2093.77170845
0.00700000 1660667.85425982 2192.08165873
0.00800000 1659450.29376116 2912.33538851
0.00900000 1658072.04779232 2735.81899581
0.01000000 1656532.51758178 3553.26240364
0.01100000 1654832.95552221 3276.56939459
0.01200000 1652973.25769203 4834.94699073
0.01300000 1650954.61263329 3813.70532339
0.01400000 1648777.01607451 4080.72329569
0.01500000 1646441.93614365 4741.75298724
0.01600000 1643948.73091711 5449.69028661
0.01700000 1641299.66912212 5760.96209705
0.01800000 1638494.62587640 6070.62286204
0.01900000 1635534.33414766 4906.60322384
0.02000000 1632420.01758406 5142.12328800
0.02100000 1629153.51635401 6989.06890203
0.02200000 1625733.41131096 6730.53662861
0.02300000 1622163.18957358 10511.61794691
0.02400000 1618441.95674689 8496.82066036
0.02500000 1614572.63331207 7556.20026900
0.02600000 1610554.99429248 8479.57243279
0.02700000 1606391.19887198 8770.89634756
0.02800000 1602081.08632010 8362.86365411
0.02900000 1597627.21465879 7189.32279606
0.03000000 1593030.92538678 9629.87238660
0.03100000 1588292.38133376 10673.32529368
0.03200000 1583413.16586065 11756.84329801
0.03300000 1578397.29684578 10464.77456052
0.03400000 1573242.55573006 9085.47617855
0.03500000 1567952.30238427 11853.71995341
0.03600000 1562527.82643338 9539.23282122
0.03700000 1556970.68089773 12424.62660817
0.03800000 1551282.72932838 10890.00526387
0.03900000 1545465.71297278 11127.35364871
0.04000000 1539519.65303436 9468.04630490
0.04100000 1533448.62452048 11592.87213890
0.04200000 1527253.17156188 11820.94009630
0.04300000 1520934.43623215 11041.98451959
0.04400000 1514495.74008120 11245.13139235
0.04500000 1507938.58622073 13526.20974689
0.04600000 1501262.89487164 11642.29429094
0.04700000 1494472.99459710 12912.24727384
0.04800000 1487569.23427040 12026.99781867
0.04900000 1480555.17991612 14435.41367611
0.05000000 1473430.61041256 13526.09363345
0.05100000 1466200.22807828 12579.99854294
0.05200000 1458862.01759892 15077.33965451
0.05300000 1451422.19892153 17634.78053899
0.05400000 1443880.72338900 14294.41982816
0.05500000 1436239.80584600 12064.41493190
0.05600000 1428500.95298792 14656.42046159
0.05700000 1420669.24362850 21011.69909406
0.05800000 1412743.24734710 17503.88965193
0.05900000 1404725.57575833 17699.54308123
0.06000000 1396620.51403628 14056.98613050
0.06100000 1388428.85660161 15494.86676377
0.06200000 1380152.89787248 14346.69004400
0.06300000 1371796.10157468 22387.71342444
0.06400000 1363356.96622889 17280.55035511
0.06500000 1354841.52124245 17436.81119405
0.06600000 1346250.74878659 18941.74892168
0.06700000 1337586.25240047 16372.05649558
0.06800000 1328851.20118065 19255.05480642
0.06900000 1320048.34989940 18018.66081974
0.07000000 1311178.09748478 22342.47582740
0.07100000 1302243.78697238 15470.65691384
0.07200000 1293247.73817552 16993.27607571
0.07300000 1284192.46267176 19956.35180499
0.07400000 1275080.40995580 18648.05186953
0.07500000 1265913.24352301 17317.69398312
0.07600000 1256692.05604982 17417.75271341
0.07700000 1247422.02115762 14594.83833187
0.07800000 1238103.46995554 26408.74825262
0.07900000 1228738.13136422 19168.31574835
0.08000000 1219330.84702270 17777.84458357
0.08100000 1209881.96854538 22322.32336699
0.08200000 1200393.37459139 19428.36767944
