# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682651.11469557 706.71348496
0.00200000 1682405.55155365 1135.62378326
0.00300000 1681996.47140704 1412.87708631
0.00400000 1681423.74750100 1639.38821611
0.00500000 1680687.89531072 1663.88108222
0.00600000 1679788.82451071 1940.15617130
0.00700000 1678727.08404746 2820.26161841
0.00800000 1677502.46857966 2491.09127101
0.00900000 1676116.26619038 3017.00940811
0.01000000 1674567.83054823 3315.64444765
0.01100000 1672858.45090030 4516.71801409
0.01200000 1670988.00056025 3910.11209275
0.01300000 1668957.71417576 4906.73589609
0.01400000 1666767.49690365 4125.24973771
0.01500000 1664418.83058398 5991.90805692
0.01600000 1661911.15699351 5085.44836774
0.01700000 1659246.71025576 4927.96295052
0.01800000 1656425.38510650 6609.13758397
0.01900000 1653447.90406350 7440.51590402
0.02000000 1650315.39000953 5718.34308506
0.02100000 1647029.85184174 5978.71863325
0.02200000 1643589.89629419 6237.42393982
0.02300000 1639998.71069791 6494.39518998
0.02400000 1636255.82224248 7976.74749715
0.02500000 1632363.76537317 7002.84087328
0.02600000 1628322.53219855 11211.00114696
0.02700000 1624134.26111184 6821.36420910
0.02800000 1619798.84581023 10569.18795361
0.02900000 1615318.69766046 7268.93447322
0.03000000 1610695.31922294 8238.70693652
0.03100000 1605928.90693561 8479.30501878
0.03200000 1601020.95115173 12680.08651714
0.03300000 1595975.25290900 10581.31641459
0.03400000 1590789.87312343 10021.97666310
0.03500000 1585468.16639773 13698.44559024
0.03600000 1580011.38164136 9645.96993070
0.03700000 1574421.26391337 13461.30242901
0.03800000 1568699.17226659 11929.95775720
0.03900000 1562847.45916809 13127.91926497
0.04000000 1556865.59028319 10532.19620632
0.04100000 1550758.09096517 10746.75406868
0.04200000 1544525.27946216 13947.06392059
0.04300000 1538168.35215461 16243.05855272
0.04400000 1531690.79521046 16542.26135653
0.04500000 1525093.79761174 10523.14769248
0.04600000 1518377.54534930 12845.47463080
0.04700000 1511546.28023860 11971.44709626
0.04800000 1504600.19342136 13270.57432343
0.04900000 1497543.26894270 16847.36255981
0.05000000 1490375.17461346 14821.78180172
0.05100000 1483100.20196683 15038.63674850
0.05200000 1475716.63358738 16424.72689724
0.05300000 1468230.80176316 13081.93705356
0.05400000 1460642.51159280 16870.42179563
0.05500000 1452954.22402749 14645.77926141
0.05600000 1445167.08769793 12356.17917641
0.05700000 1437286.26014627 12504.39104696
0.05800000 1429310.39808667 22768.91570466
0.05900000 1421242.66205568 14070.30301152
0.06000000 1413086.19512361 15515.68714733
0.06100000 1404842.69074402 13065.03763447
0.06200000 1396514.24818679 17156.17834091
0.06300000 1388104.00106981 14658.37893665
0.06400000 1379610.82034800 18831.68857845
0.06500000 1371040.94047048 14930.63654015
0.06600000 1362394.88288043 16430.48305630
0.06700000 1353674.45948548 17949.72417281
0.06800000 1344882.91664201 16703.44660657
0.06900000 1336022.62712267 14028.23824157
0.07000000 1327094.42592071 14133.55629791
0.07100000 1318101.67303261 15659.04860906
0.07200000 1309046.44304033 17200.87106736
0.07300000 1299931.74166197 14429.24300854
0.07400000 1290759.13801087 15973.14508145
0.07500000 1281530.97545045 18992.28994639
0.07600000 1272248.27638058 17633.36193730
0.07700000 1262916.14729867 14776.11961622
0.07800000 1253534.81054633 19310.70466207
0.07900000 1244106.38759268 16422.20508649
0.08000000 1234635.18997886 22501.22739292
0.08100000 1225121.98261822 16575.90120254
0.08200000 1215568.49362384 21187.35983808
0.08300000 1205978.28179625 21273.45788929
0.08400000 1196352.71250620 18304.19736052
0.08500000 1186694.38901631 21431.70167175
0.08600000 1177005.53785163 15359.92299014
0.08700000 1167289.51103672 20030.68894999
0.08800000 1157545.83304693 20089.20887599
0.08900000 1147780.06718384 17044.53479826
0.09000000 1137991.68531599 21747.02212797
0.09100000 1128184.13746044 23353.41274260
0.09200000 1118358.76795751 17161.21610066
0.09300000 1108520.71551684 23445.21423492
0.09400000 1098666.66689812 15656.00073909
0.09500000 1088802.70315784 23518.13949362
0.09600000 1078929.74595314 18838.11424988
0.09700000 1069052.21341580 23572.60241403
0.09800000 1059170.00029139 20447.27781701
0.09900000 1049285.62623029 22034.99918698
0.10000000 1039400.21560839 18896.29680840
0.10100000 1029516.08153262 20477.07582476
0.10200000 1019636.18254153 17328.71773737
0.10300000 1009761.64574042 18902.73889746
0.10400000 999895.53197910 17323.19090651
0.10500000 990040.53418095 18889.97428093
0.10600001 980193.73171455 25171.37621483
0.10700001 970363.34999939 17291.87571070
0.10800001 960547.00030282 23557.41629108
0.10900001 950748.90860412 18824.82927636
0.11000001 940969.10484500 18800.56359974
0.11100001 931210.46434469 15644.33653742
0.11200001 921474.17951152 17180.88688582
0.11300001 911762.27286929 23386.70340016
0.11400001 902076.94645355 17116.91086490
0.11500001 892420.04100401 23292.16416699
0.11600001 882792.08372115 21690.20251845
0.11700001 873196.43838494 29365.59760586
0.11800001 863631.77045144 23123.74174293
0.11900001 854101.39606721 21523.35619468
0.12000001 844606.08996234 18395.52150590
0.12100001 835150.98359943 15283.26371984
0.12200001 825732.97382179 16758.25149322
0.12300001 816356.82183871 16702.66136176
0.12400001 807020.92141691 19671.13588639
0.12500001 797727.94866352 19600.17662223
0.12600001 788481.18971653 22530.85105788
0.12700001 779279.76843378 16458.38948495
0.12800001 770125.21624827 17882.30836406
0.12900001 761019.51888908 22259.82197666
0.13000001 751963.96550521 17731.31114238
0.13100001 742958.24346757 19123.74608830
0.13200001 734005.49931634 16107.75144182
0.13300001 725106.06177513 26234.33855179
0.13400001 716259.97988139 14504.26527641
0.13500001 707470.63366598 17318.88192870
0.13600001 698737.79910910 20102.68742823
0.13700001 690062.43429889 17141.15167625
0.13800001 681444.17036740 18470.54510880
0.13900001 672886.97180675 18369.81519661
0.14000001 664389.01879753 22482.92545642
0.14100001 655953.62850742 18163.35683001
0.14200001 647579.49925952 22224.92946283
0.14300001 639269.60563162 19331.51378612
0.14400001 631020.38343283 13724.69398706
0.14500001 622838.54342494 13640.16474444
0.14600001 614720.95732535 18976.43684783
0.14700001 606670.57995997 18855.32251468
0.14800001 598684.61138024 17394.78220432
0.14900001 590766.93308883 18609.15927029
0.15000001 582916.33454839 14523.36116053
0.15100001 575134.40097422 13113.06496095
0.15200001 567422.20702339 16929.04234537
0.15300001 559779.47785609 18103.26916814
0.15400001 552204.71128109 14122.63615748
0.15500001 544701.97752453 12746.02687560
0.15600001 537267.92894574 13917.92635619
0.15700001 529907.95564400 16326.46488395
0.15800001 522616.15482833 13710.83546906
0.15900001 515398.39543850 16080.43069669
0.16000001 508250.13310937 18411.36194095
0.16100001 501176.70089242 17050.03216919
0.16200001 494174.90640277 14499.09243830
0.16300001 487245.46446048 13184.86289073
0.16400001 480389.68926046 14267.57444460
0.16500001 473605.85651636 15330.62229921
0.16600001 466895.96711175 12865.31898118
0.16700001 460258.20123279 11598.50721869
0.16800001 453693.97464332 13801.37136030
0.16900001 447204.38915845 18245.93993920
0.17000001 440786.56772786 13567.41119531
0.17100001 434442.74139565 11208.62325729
0.17200001 428171.77784538 14444.37560772
0.17300001 421974.24002892 13216.23382184
0.17400001 415850.40992994 14190.89590904
0.17500001 409798.63744777 15146.15835539
0.17600001 403818.48823085 10721.38136889
0.17700001 397914.05438779 12749.16690474
0.17800001 392080.01395297 13685.55353343
0.17900001 386317.99324682 10430.58631034
0.18000001 380629.87426755 12400.92188939
0.18100001 375013.62685453 11261.65974640
0.18200001 369466.76920206 13184.42228178
0.18300001 363992.30577543 10046.18811398
0.18400001 358588.55257595 12936.08264529
0.18500001 353255.94299048 12812.59365756
0.18600001 347993.98819772 12689.60137913
0.18700001 342801.00421492 11600.38653069
