# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 252.40994265
0.00100000 1682651.10967564 807.67255183
0.00200000 1682405.52766639 984.20726485
0.00300000 1681996.41857322 1211.03746451
0.00400000 1681423.64508365 2269.92200712
0.00500000 1680687.75251767 1966.40474828
0.00600000 1679788.60576232 2116.53372943
0.00700000 1678726.78576503 3626.05000795
0.00800000 1677502.08459297 2491.09070079
0.00900000 1676115.78357204 2765.59116112
0.01000000 1674567.21346075 3315.64322582
0.01100000 1672857.72266522 3312.25843509
0.01200000 1670987.12308888 4235.95254275
0.01300000 1668956.66991012 5607.69465822
0.01400000 1666766.32184254 3750.22439040
0.01500000 1664417.47336673 5592.44295954
0.01600000 1661909.60607237 4661.65665343
0.01700000 1659244.98597678 5375.95399572
0.01800000 1656423.41392476 8969.53319001
0.01900000 1653445.73060930 5456.37115722
0.02000000 1650312.97390549 6758.03193385
0.02100000 1647027.18122888 8152.78491672
0.02200000 1643586.97481997 8505.56298112
0.02300000 1639995.54300694 7084.78106828
0.02400000 1636252.36110787 6135.94663394
0.02500000 1632360.06942994 8276.06592998
0.02600000 1628318.52215927 9232.56644292
0.02700000 1624129.92645472 6821.34600354
0.02800000 1619794.15625507 10569.15735426
0.02900000 1615313.67248054 7995.80304590
0.03000000 1610689.91883632 8238.67931354
0.03100000 1605923.20772080 9250.11810210
0.03200000 1601014.87598473 11095.03360159
0.03300000 1595968.74623783 10581.27327536
0.03400000 1590783.04015128 9186.77248075
0.03500000 1585460.85883188 10273.78683965
0.03600000 1580003.75557204 11399.72762328
0.03700000 1574413.13061216 9871.57078547
0.03800000 1568690.63386474 9176.84063281
0.03900000 1562838.48864697 9377.03136613
0.04000000 1556856.24778503 10532.13300431
0.04100000 1550748.21130497 14654.57127631
0.04200000 1544514.94149035 11954.54620174
0.04300000 1538157.54767033 11167.02431444
0.04400000 1531679.42772346 16542.13858766
0.04500000 1525082.00625342 12627.67959852
0.04600000 1518365.19327505 11774.92262123
0.04700000 1511533.39418644 15236.25732201
0.04800000 1504586.79454454 12164.58479989
0.04900000 1497529.36328338 12354.61782216
0.05000000 1490360.70514186 12541.38591777
0.05100000 1483085.18580048 13881.67798576
0.05200000 1475701.04809540 14078.18865489
0.05300000 1468214.64344320 14271.04699955
0.05400000 1460625.71686604 18075.24408914
0.05500000 1452936.87942630 20747.93960608
0.05600000 1445149.20507468 12356.02627997
0.05700000 1437267.71728314 15005.07566885
0.05800000 1429291.31027874 20238.76589854
0.05900000 1421222.90100436 17907.40938904
0.06000000 1413065.83391265 16808.41887966
0.06100000 1404821.74202325 18290.77993590
0.06200000 1396492.55634346 15836.22632918
0.06300000 1388081.71169160 15990.70206634
0.06400000 1379587.86493262 13450.98231215
0.06500000 1371017.32689971 19002.30103972
0.06600000 1362370.59602999 19168.55518301
0.06700000 1353649.47325407 16568.67032803
0.06800000 1344857.22119071 15311.20017996
0.06900000 1335996.37624077 15430.75886803
0.07000000 1327067.40220497 15546.59534485
0.07100000 1318073.93092789 18505.75885700
0.07200000 1309017.97076512 15767.12219651
0.07300000 1299902.58658795 20200.48714208
0.07400000 1290729.23431410 20328.98639315
0.07500000 1281500.43195667 14609.10560907
0.07600000 1272216.93881611 14694.10633219
0.07700000 1262884.08684309 19208.46786154
0.07800000 1253502.02185505 19310.19955225
0.07900000 1244072.93853010 19407.53875136
0.08000000 1234600.88378082 18000.48172995
0.08100000 1225087.06937679 18082.28599239
0.08200000 1215532.76001046 15133.38357227
0.08300000 1205941.73392838 21272.81318487
0.08400000 1196315.42147718 18303.62680775
0.08500000 1186656.37329376 18369.44152094
0.08600000 1176966.69043358 23039.12404696
0.08700000 1167250.03265328 21570.78161635
0.08800000 1157505.56052710 20088.50994638
0.08900000 1147738.96424917 30988.95349027
0.09000000 1137949.85937933 21746.22283428
0.09100000 1128141.56225306 23352.53143577
0.09200000 1118315.47321272 24960.80253493
0.09300000 1108476.58155931 17192.47258790
0.09400000 1098621.81873281 20351.97014852
0.09500000 1088756.96778579 23517.15160954
0.09600000 1078883.24499043 17267.52714778
0.09700000 1069005.05465495 22000.12505909
0.09800000 1059122.05508182 18873.55590895
0.09900000 1049236.77525479 17312.40760578
0.10000000 1039350.69584121 18895.39653899
0.10100000 1029465.70875487 18900.99130169
0.10200000 1019585.11391221 17327.84982598
0.10300000 1009709.70626497 20476.91380630
0.10400000 999842.75457420 18897.02895046
0.10500000 989987.04998947 20463.03328606
0.10600001 980139.56475015 23596.86113168
0.10700001 970308.40775362 20434.69602890
0.10800001 960491.34737209 20415.24454917
0.10900001 950692.44960785 23529.63923523
0.11000001 940911.82642178 20366.03744152
0.11100001 931152.55073519 25029.38174198
0.11200001 921415.43459318 17179.79158676
0.11300001 911702.76940810 17149.12989996
0.11400001 902016.73388810 21783.70514907
0.11500001 892359.11042525 18632.45910304
0.11600001 882730.39383462 15491.91914134
0.11700001 873134.01515924 16999.92007576
0.11800001 863568.69865879 15414.70199707
0.11900001 854037.52432678 19984.47901055
0.12000001 844541.62425668 19926.96056299
0.12100001 835085.79275943 16810.27780015
0.12200001 825666.97432538 21326.97895157
0.12300001 816290.18256473 25811.09678877
0.12400001 806953.72278910 21182.53622128
0.12500001 797660.08933251 21106.08695827
0.12600001 788412.48183861 18023.11018414
0.12700001 779210.45978262 16456.92568616
0.12800001 770055.29635427 17880.68482405
0.12900001 760948.98341500 14838.50587596
0.13000001 751892.71631500 20684.56960079
0.13100001 742886.53700459 23534.64660167
0.13200001 733932.97040476 17570.35613976
0.13300001 725033.09591479 14573.16591491
0.13400001 716186.33149913 18853.60606558
0.13500001 707396.40766872 20203.24235557
0.13600001 698663.02901303 18664.78370014
0.13700001 689987.01134298 14282.73180828
