# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 328.13292544
0.00100000 1682650.99232345 504.79530969
0.00200000 1682405.05820147 832.79053018
0.00300000 1681995.37197602 1009.19725914
0.00400000 1681421.78473164 1639.38630241
0.00500000 1680684.84700013 1663.87806439
0.00600000 1679784.41731268 1940.15108098
0.00700000 1678721.09986787 2215.91194392
0.00800000 1677494.67245576 2264.61790343
0.00900000 1676106.39481481 3016.99163964
0.01000000 1674555.63032079 3315.62029120
0.01100000 1672843.69483981 3914.45441636
0.01200000 1670970.46091253 3584.23179580
0.01300000 1668937.13060068 3504.76812884
0.01400000 1666743.64483141 4500.20804054
0.01500000 1664391.57141468 5192.90193405
0.01600000 1661880.12319297 6780.47120574
0.01700000 1659211.74235998 4927.85909587
0.01800000 1656386.19710420 5192.77096158
0.01900000 1653404.30597581 5456.23445592
0.02000000 1650267.17673194 7797.51276278
0.02100000 1646976.78520559 5435.02363759
0.02200000 1643531.73395643 7938.25863566
0.02300000 1639935.33143812 7674.89770048
0.02400000 1636186.88325774 6749.27120119
0.02500000 1632289.15321524 8275.70638476
0.02600000 1628241.97398842 7913.25635552
0.02700000 1624047.56318712 8185.20009335
0.02800000 1619705.75482112 10568.58053488
0.02900000 1615219.08252686 8722.18344612
0.03000000 1610588.98355913 8238.16302957
0.03100000 1605815.64644517 10020.29009488
0.03200000 1600900.57775151 11886.68733728
0.03300000 1595847.55349405 13022.11663684
0.03400000 1590654.65410647 9186.03105131
0.03500000 1585325.27388491 14553.28668631
0.03600000 1579860.64663415 11398.69509224
0.03700000 1574262.42482605 9870.62586015
0.03800000 1568532.18007507 13763.87051714
0.03900000 1562672.06952873 11251.23942165
0.04000000 1556681.84594521 10530.95317581
0.04100000 1550565.47356826 14652.84440462
0.04200000 1544323.90929613 10956.97864478
0.04300000 1537958.01607460 15225.78506589
0.04400000 1531471.26394415 10337.43151171
0.04500000 1524865.07204404 17886.66812618
0.04600000 1518139.34118498 14984.03599406
0.04700000 1511298.51164316 10881.34978990
0.04800000 1504342.83344628 13268.30440835
