# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1700912.83420644 255.13692513
0.00100000 1700830.34514606 714.34876193
0.00200000 1700582.82249233 918.31475322
0.00300000 1700170.48559931 1428.14325878
0.00400000 1699593.17725113 1402.16442451
0.00500000 1698851.47112826 2446.34621525
0.00600000 1697945.21807712 2317.69531703
0.00700000 1696875.01322191 2443.50012059
0.00800000 1695640.62904390 3433.67241878
0.00900000 1694243.36968740 3557.91122844
0.01000000 1692682.54755576 3351.51158888
0.01100000 1690959.51529709 3348.09998606
0.01200000 1689074.13250825 4940.54205420
0.01300000 1687027.59896711 3897.03392549
0.01400000 1684819.88661388 3790.84491293
0.01500000 1682452.48568937 4845.46337455
0.01600000 1679924.72662045 5568.95071770
0.01700000 1677238.98665591 6792.81820067
0.01800000 1674395.01719833 5249.22861512
0.01900000 1671393.74374110 7019.85404047
0.02000000 1668236.14325157 5780.43849785
0.02100000 1664924.26912249 6043.67537093
0.02200000 1661456.74592745 9744.44425758
0.02300000 1657836.75865634 8952.31890424
0.02400000 1654063.81175800 6202.73957692
0.02500000 1650140.59820482 7079.10348961
0.02600000 1646066.86111462 11333.17085713
0.02700000 1641844.91452379 8964.47364388
0.02800000 1637474.55982490 8547.61759428
0.02900000 1632958.42674242 9552.80723505
0.03000000 1628297.77879191 9843.06052524
0.03100000 1623492.97243867 8572.04328890
0.03200000 1618545.47533516 8812.98051911
0.03300000 1613459.07647254 11520.09833710
0.03400000 1608231.78446308 11820.50416121
0.03500000 1602867.02160865 12117.67524293
0.03600000 1597366.17989605 8865.38270813
0.03700000 1591730.69962939 10887.43848898
0.03800000 1585962.33766077 11133.45612563
0.03900000 1580063.10127744 9480.37904670
0.04000000 1574032.83148584 14520.45354332
0.04100000 1567875.61260725 11853.14018090
0.04200000 1561592.22206013 12086.72435948
0.04300000 1555183.57349132 12317.05447378
0.04400000 1548653.18380087 12544.09137136
0.04500000 1542002.46120047 13831.76271966
0.04600000 1535231.30609517 18399.74805890
0.04700000 1528344.29223675 18706.93500700
0.04800000 1521341.45243606 14536.41825438
0.04900000 1514226.80632290 11356.70157605
0.05000000 1506999.89888218 11528.54976329
0.05100000 1499665.21901844 12867.12817858
0.05200000 1492221.05236808 16608.42108683
0.05300000 1484673.66814320 12025.85727258
0.05400000 1477022.79020533 19496.70173992
0.05500000 1469271.12363002 13576.06581566
0.05600000 1461419.91167913 17493.19715910
0.05700000 1453473.93597355 15174.26859988
0.05800000 1445432.13323568 17908.90496700
0.05900000 1437297.40298778 14229.24495417
0.06000000 1429073.37376860 15691.22637705
0.06100000 1420761.46506378 17177.00691533
0.06200000 1412363.78054090 16016.20601999
0.06300000 1403883.42851784 16172.73785269
0.06400000 1395319.42150491 17685.67449468
0.06500000 1386678.00295249 16473.73544568
0.06600000 1377959.65446910 15233.34469290
0.06700000 1369166.36211383 22344.79607541
0.06800000 1360300.92387260 19710.76130956
0.06900000 1351366.48907849 15608.28367962
0.07000000 1342363.09168879 15725.78435555
0.07100000 1333294.53576777 20159.41432503
0.07200000 1324162.76062830 17399.49948977
0.07300000 1314971.05243618 18975.03317574
0.07400000 1305720.89048286 22034.04105950
0.07500000 1296414.68977459 14779.12815616
0.07600000 1287052.85768409 29730.92240631
0.07700000 1277641.48162215 14948.40603589
0.07800000 1268180.20192758 18033.52331711
0.07900000 1258671.42468534 15104.05780466
0.08000000 1249119.13248669 18212.15780601
0.08100000 1239524.63700184 15246.15375044
0.08200000 1229889.21541092 15312.12145039
0.08300000 1220216.29282383 21524.61641561
0.08400000 1210508.03604960 18520.77382090
0.08500000 1200766.37187243 20136.85300163
0.08600000 1190993.81200287 23313.70496457
0.08700000 1181193.90044342 20269.28828341
0.08800000 1171365.78215375 23456.60088924
0.08900000 1161514.97372797 17248.49817002
0.09000000 1151641.59520175 22007.87191814
0.09100000 1141748.47627630 17331.74268414
0.09200000 1131837.28880227 17368.04401274
0.09300000 1121912.97488852 23728.46053394
0.09400000 1111972.60564856 26937.53763783
0.09500000 1102021.86255359 19042.93868000
0.09600000 1092061.92315159 17478.45190166
0.09700000 1082097.45786309 22269.56672978
0.09800000 1072127.72340392 17513.20718523
0.09900000 1062155.75689685 20712.03823342
0.10000000 1052182.63638180 19128.68122899
0.10100000 1042210.49181857 17540.40340226
0.10200000 1032242.51957455 27111.85105187
0.10300000 1022279.57706183 23921.34322852
0.10400000 1012325.23548989 15944.12320906
0.10500000 1002381.83430992 17531.65910693
