# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.23398253 599.24493847
0.00200000 1664324.63232245 973.62994074
0.00300000 1663917.16852427 1397.69047135
0.00400000 1663346.69967123 1621.76309380
0.00500000 1662613.75337663 1496.35243727
0.00600000 1661718.21939665 1919.28462154
0.00700000 1660660.66311564 2192.07216642
0.00800000 1659440.90990919 2688.29438755
0.00900000 1658060.18470887 2735.79942172
0.01000000 1656517.86852963 3006.58006120
0.01100000 1654815.24111594 3574.40107644
0.01200000 1652952.20546224 4190.23402456
0.01300000 1650929.96423330 4507.03900114
0.01400000 1648748.43170989 4822.58937654
0.01500000 1646409.18041225 5927.07331341
0.01600000 1643911.49986119 5449.56686565
0.01700000 1641257.67464382 4874.53551236
0.01800000 1638447.60122294 5136.53346097
0.01900000 1635481.99920035 5397.09084089
0.02000000 1632362.11547783 6684.52316526
0.02100000 1629089.79737488 8063.99486261
0.02200000 1625663.66680460 5608.53990528
0.02300000 1622087.05358094 8759.27048804
0.02400000 1618359.25086200 9103.27120119
0.02500000 1614483.05766276 6926.13263369
0.02600000 1610458.19399503 9131.29837760
0.02700000 1606287.04596915 8095.68708248
0.02800000 1601969.29796433 9755.99347201
0.02900000 1597507.58515981 9345.41980227
0.03000000 1592903.17022177 9629.10010659
0.03100000 1588156.45221465 10672.41184995
0.03200000 1583268.72347016 10972.05275900
0.03300000 1578244.01229880 8049.04483379
0.03400000 1573080.29562356 9084.53912639
0.03500000 1567780.80804830 11852.42345617
0.03600000 1562346.83643269 11272.33294580
0.03700000 1556780.17388726 11535.74162200
0.03800000 1551082.29819548 10888.59823725
0.03900000 1545255.29414712 9271.53219425
0.04000000 1539299.04070249 13253.36535460
0.04100000 1533217.49649724 17386.68721644
0.04200000 1527011.41078820 10834.14646217
0.04300000 1520681.85351041 14051.10097866
0.04400000 1514232.31601201 15331.60291165
0.04500000 1507664.04920104 14564.03539200
0.04600000 1500976.97555014 11640.07698650
0.04700000 1494175.66094181 10758.06525912
0.04800000 1487260.26671634 14210.77250968
0.04900000 1480234.51360690 14432.28717945
0.05000000 1473098.01089427 18030.72049297
0.05100000 1465855.56591714 14863.77613081
0.05200000 1458505.12574344 11595.11629001
0.05300000 1451053.09496691 12928.88367887
0.05400000 1443499.16062512 15481.52921967
0.05500000 1435845.79197604 14473.32625829
0.05600000 1428094.40019584 13431.22846060
0.05700000 1420249.75688994 18534.26019257
0.05800000 1412311.04522484 16248.63933400
0.05900000 1404280.46393874 12638.52476574
0.06000000 1396162.20508841 12774.88477339
0.06100000 1387957.57329319 16780.40784529
0.06200000 1379668.48825869 15645.44138818
0.06300000 1371298.46620853 17113.80565844
0.06400000 1362845.80676696 13287.74723740
0.06500000 1354317.19178241 22793.15940391
