# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 374.54641798
0.00100000 1664569.21592445 599.24493196
0.00200000 1664324.55595784 1123.41911084
0.00300000 1663916.99598627 1098.18525647
0.00400000 1663346.40526561 1372.26083649
0.00500000 1662613.28834987 1795.62242249
0.00600000 1661717.54588379 2268.24454248
0.00700000 1660659.74623063 1992.79177830
0.00800000 1659439.68996224 2464.26804364
0.00900000 1658058.65734837 2735.79690157
0.01000000 1656515.97702819 3279.90177614
0.01100000 1654812.98428907 2978.66350141
0.01200000 1652949.52417616 4512.55239885
0.01300000 1650926.80527616 5547.11431038
0.01400000 1648744.78959173 4080.64353514
0.01500000 1646404.96101046 4346.50929061
0.01600000 1643906.73623363 5030.35483775
0.01700000 1641252.29666786 5760.79581973
0.01800000 1638441.57792255 5603.47044864
0.01900000 1635475.31945591 7359.63926964
0.02000000 1632354.68294215 5656.10923225
0.02100000 1629081.57224161 6988.76026178
0.02200000 1625654.67500686 5608.50888358
0.02300000 1622077.18537157 6423.42594646
0.02400000 1618348.58147832 7282.56894872
0.02500000 1614471.45018316 8815.01452059
0.02600000 1610445.68845584 7174.53587022
0.02700000 1606273.58347615 9444.88910343
0.02800000 1601954.85577371 6968.50394219
0.02900000 1597492.06694397 10064.20048384
0.03000000 1592886.56356776 8147.61514716
0.03100000 1588138.86276738 11434.60033807
0.03200000 1583249.92938100 9404.50501368
0.03300000 1578223.98192190 9658.73121463
0.03400000 1573059.07789307 9910.27264799
0.03500000 1567758.34496710 9312.48499914
0.03600000 1562323.16775500 10405.07277811
0.03700000 1556755.20797926 12422.90713420
0.03800000 1551055.98177744 10888.41349599
0.03900000 1545227.68450776 13907.04980461
0.04000000 1539270.01076066 14199.76650727
0.04100000 1533187.03320378 13522.71025986
0.04200000 1526979.48897068 10833.91997686
0.04300000 1520648.44574001 10036.28020775
0.04400000 1514197.42184875 10220.83307215
0.04500000 1507627.62155039 11442.89417926
0.04600000 1500939.08558276 12697.94525432
0.04700000 1494136.09513608 11833.55842383
0.04800000 1487218.94353894 15303.48364106
0.04900000 1480191.50660673 14431.86786118
0.05000000 1473053.54136539 14649.51815105
0.05100000 1465809.35510900 16006.63890344
0.05200000 1458457.23338315 11594.73554573
0.05300000 1451003.33568327 15279.06583702
0.05400000 1443447.65572030 16671.82120104
0.05500000 1435792.51722259 13266.72347802
0.05600000 1428039.18670688 15872.65630093
0.05700000 1420192.83011224 13591.24601859
0.05800000 1412252.19439131 18747.64875592
0.05900000 1404219.83939261 16429.37288824
0.06000000 1396099.72023118 15329.17564430
0.06100000 1387892.99979038 12907.40550123
0.06200000 1379602.01447151 15644.68757539
0.06300000 1371229.85746488 13163.80724714
0.06400000 1362775.38126290 21259.29694193
0.06500000 1354244.66733711 21451.23653406
0.06600000 1345638.67740434 16228.40320880
0.06700000 1336958.53831332 15000.67550189
0.06800000 1328208.01301140 19245.73500941
0.06900000 1319389.52921055 15238.94977585
0.07000000 1310503.61977708 15352.55062462
0.07100000 1301553.75716470 23896.52810080
0.07200000 1292542.00810296 16984.00278212
0.07300000 1283471.26339179 14246.53169118
0.07400000 1274343.30495193 15769.99913783
0.07500000 1265160.42222919 15865.11243839
0.07600000 1255923.41325017 21758.87415463
0.07700000 1246637.81980540 14585.66317562
0.07800000 1237303.43286087 19060.66027709
0.07900000 1227922.59879489 16208.57906434
0.08000000 1218499.63590022 20726.67977897
0.08100000 1209035.16361042 17845.35985216
0.08200000 1199530.87658699 19414.40814859
0.08300000 1189990.65039059 17992.65947834
0.08400000 1180415.67112789 19565.39066732
0.08500000 1170808.53666527 21144.80316482
0.08600000 1161171.32416784 16668.61514105
0.08700000 1151507.51373149 18239.87987401
0.08800000 1141816.29643378 15243.24827327
0.08900000 1132104.23418899 24453.45260705
0.09000000 1122369.63266291 16852.38082608
0.09100000 1112616.43322547 16889.51824985
0.09200000 1102846.08332998 20000.11466093
0.09300000 1093063.95526571 18494.64299220
0.09400000 1083265.97891341 16980.19501749
0.09500000 1073458.65398510 23186.70801592
0.09600000 1063642.91084393 17023.60558830
0.09700000 1053823.06751283 17040.31980280
0.09800000 1043999.19225501 17053.72760731
0.09900000 1034173.62556027 20166.38664670
0.10000000 1024347.65098310 18622.64117064
0.10100000 1014523.35077718 18626.64959631
0.10200000 1004704.07071672 20179.48220951
0.10300000 994890.55295730 24832.46936995
0.10400000 985085.82750733 20169.63326709
0.10500000 975292.74427750 17057.87089998
0.10600001 965508.81584817 18595.70066823
0.10700001 955741.20997066 20127.91082915
0.10800001 945988.41595148 21653.67586019
0.10900001 936254.44439339 18537.83887148
0.11000001 926538.99401534 24682.99996239
0.11100001 916845.42561668 16943.30426297
0.11200001 907174.82557239 15376.61401734
0.11300001 897528.72292206 21486.83863837
0.11400001 887910.07011686 19911.38425989
0.11500001 878319.90351674 15282.76704083
0.11600001 868759.51529553 21345.42229600
0.11700001 859231.59845797 16729.24000984
0.11800001 849735.33685435 22751.66471584
0.11900001 840273.69946815 18149.91276340
0.12000001 830847.79908113 21111.84356912
0.12100001 821462.16125088 24052.41321449
0.12200001 812114.37948196 19478.56430954
0.12300001 802808.59466658 19411.91273362
0.12400001 793543.94913391 17854.73969678
0.12500001 784322.40475393 17788.43297802
0.12600001 775147.32160354 19196.52432412
0.12700001 766018.17166198 25002.83430134
0.12800001 756936.21571696 19040.73140374
0.12900001 747903.50177341 16042.53086916
0.13000001 738921.41086838 17423.76768954
0.13100001 729989.68600604 18789.93540351
0.13200001 721110.93429251 14386.16381730
0.13300001 712285.98138016 15748.64379075
0.13400001 703515.05617227 24218.50695053
0.13500001 694800.92914459 18426.12150967
0.13600001 686143.62998456 18330.32793933
0.13700001 677544.35701451 16830.20262184
0.13800001 669002.45993797 19528.18272646
0.13900001 660521.67980879 13870.95593011
0.14000001 652100.88119138 15171.12771640
0.14100001 643742.62883588 17825.23423316
0.14200001 635446.35393701 20445.48740224
0.14300001 627214.06355473 24386.08394124
0.14400001 619043.23605838 16157.02922325
0.14500001 610939.71628823 13379.58041786
0.14600001 602900.96400027 17282.15694834
0.14700001 594929.72034084 18490.41658051
0.14800001 587022.89330285 17055.95096959
0.14900001 579184.59307689 15637.98475089
0.15000001 571414.01890641 18119.53939445
0.15100001 563711.95527508 14137.89650540
0.15200001 556080.26938304 15314.45134145
0.15300001 548517.80550373 19006.14285759
0.15400001 541023.83538988 13836.68524306
0.15500001 533601.98559818 16232.17316794
0.15600001 526249.07031635 18589.74928627
0.15700001 518970.38403464 12299.59868212
0.15800001 511760.07963572 13426.02632293
0.15900001 504623.91725742 12110.97458582
0.16000001 497557.58277479 15620.82104856
0.16100001 490566.09761647 13112.83240827
0.16200001 483646.60007011 15372.70790891
0.16300001 476799.60838572 12902.19801200
0.16400001 470026.06673604 13959.77484110
0.16500001 463324.66284995 16151.49850948
0.16600001 456697.30035110 16016.37507949
0.16700001 450142.36773232 13612.30584293
0.16800001 443661.20261322 15745.53682419
0.16900001 437254.41737574 11149.98816956
0.17000001 430919.44113539 14369.00944316
0.17100001 424658.69161332 12051.81423709
0.17200001 418471.05292368 13031.18920341
0.17300001 412356.48336428 11838.75519647
0.17400001 406316.05652619 17065.27518003
0.17500001 400347.43519674 13739.92462486
0.17600001 394450.62923043 11519.93117075
0.17700001 388629.39099806 13489.32679865
0.17800001 382878.87872830 11308.32821736
0.17900001 377200.30432607 12221.29043742
0.18000001 371594.94077513 14124.32436603
0.18100001 366062.05722352 11992.19356111
0.18200001 360598.56917850 16827.33302560
0.18300001 355207.12207228 11764.46043878
0.18400001 349886.55879956 13593.09345151
0.18500001 344637.05014537 13461.52381463
0.18600001 339457.91796947 11426.15405866
0.18700001 334348.07463222 10371.47776509
0.18800001 329306.35947092 11203.00287850
