# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.42357110 649.18209061
0.00200000 1664325.40150565 898.73574527
0.00300000 1663918.88878505 1098.18650572
0.00400000 1663349.76740299 1996.01979673
0.00500000 1662618.54378025 1795.62809836
0.00600000 1661725.12091534 2093.77373760
0.00700000 1660670.06022535 3188.48664815
0.00800000 1659453.15464804 2912.34040937
0.00900000 1658075.66340361 2735.82496157
0.01000000 1656536.98124416 3553.27197820
0.01100000 1654838.35353498 4765.93466569
0.01200000 1652979.69949507 4190.30372194
0.01300000 1650962.20506040 4507.12701860
0.01400000 1648785.77482976 4451.72178939
0.01500000 1646451.99517199 4346.63346080
0.01600000 1643960.14902466 4611.30842416
0.01700000 1641312.54954678 4874.69849083
0.01800000 1638509.05431891 5603.70121792
0.01900000 1635550.40560523 7359.97715732
0.02000000 1632437.75954264 5656.39709269
0.02100000 1629173.04285030 6451.52554219
0.02200000 1625754.91059253 6730.62563564
0.02300000 1622186.58749614 7007.84637697
0.02400000 1618467.46662864 6676.17860426
0.02500000 1614600.19607501 7556.32926273
0.02600000 1610584.72085158 9132.01578491
0.02700000 1606423.21410738 8096.37336992
0.02800000 1602115.50540870 9756.88387539
0.02900000 1597664.01338118 7908.43722935
0.03000000 1593070.30271743 7407.77724814
0.03100000 1588334.42058153 8386.40612656
0.03200000 1583457.91682984 9405.74045918
0.03300000 1578444.70733949 8855.07521640
0.03400000 1573292.75637143 9085.76608727
0.03500000 1568005.48345388 13547.56800264
0.03600000 1562583.92732080 11274.04355664
0.03700000 1557029.88948552 9762.57785857
0.03800000 1551344.94219854 9982.90516505
0.03900000 1545531.15663270 10200.50610616
0.04000000 1539588.34123369 12309.00935855
0.04100000 1533520.60953456 12559.53437443
0.04200000 1527328.55905738 13791.77752813
0.04300000 1521013.10916173 15058.03047966
0.04400000 1514578.02914258 12268.08260581
0.04500000 1508024.42330365 13526.97970556
0.04600000 1501352.39345785 10584.53486592
0.04700000 1494566.17323131 11836.96464250
0.04800000 1487666.04085543 10934.34590904
0.04900000 1480655.86121407 13325.90337121
0.05000000 1473535.25294330 15781.56329391
0.05100000 1466308.59287359 16012.09058009
0.05200000 1458974.39572372 12758.73168518
0.05300000 1451538.52924413 17636.19395248
0.05400000 1444001.09824172 19060.81538567
0.05500000 1436364.36776253 13272.00737726
0.05600000 1428629.67640276 15879.21959421
0.05700000 1420802.07119833 13597.07645606
0.05800000 1412880.33035260 17505.58811045
0.05900000 1404867.01510930 12643.80372652
0.06000000 1396766.15352397 16614.53417238
0.06100000 1388578.84820320 15496.54067012
0.06200000 1380307.37251884 13043.90528002
0.06300000 1371954.91593292 15804.92137051
0.06400000 1363520.18322215 15953.18688978
0.06500000 1355009.30652191 18780.42986690
0.06600000 1346423.20081678 23003.64146226
0.06700000 1337763.12143452 20467.77671582
0.06800000 1329032.64462894 16506.58621895
0.06900000 1320234.26418699 15248.70646529
0.07000000 1311368.68250933 16759.29254728
0.07100000 1302439.12772101 16879.61188587
0.07200000 1293447.69976148 15579.57827348
0.07300000 1284397.20083682 17108.17151676
0.07400000 1275289.66960702 14347.00945544
0.07500000 1266127.21947480 14433.85097856
0.07600000 1256910.80440796 14517.32047149
0.07700000 1247645.44008531 21896.17850018
0.07800000 1238331.48864548 20543.92036006
0.07900000 1228971.04467919 17697.18387344
0.08000000 1219568.50454207 16299.53382783
0.08100000 1210124.31310814 19349.88867446
0.08200000 1200640.36910511 17937.56795615
0.08300000 1191120.31912257 19510.55174290
0.08400000 1181565.47452581 19584.44865953
0.08500000 1171978.45900538 21165.93196328
0.08600000 1162361.31294456 16685.69743074
0.08700000 1152717.32534796 16737.45635000
0.08800000 1143046.25236716 15259.66818575
0.08900000 1133353.67081740 22950.41291203
0.09000000 1123638.93019281 19938.97375291
0.09100000 1113905.17417309 15371.89212578
0.09200000 1104154.04456676 15402.94964544
0.09300000 1094391.08207878 18517.09797893
0.09400000 1084612.36670467 17001.29964711
0.09500000 1074823.94721295 17025.21212408
0.09600000 1065026.94331917 17045.75702911
0.09700000 1055225.67369591 15511.81813258
0.09800000 1045420.13840422 17076.93876375
0.09900000 1035613.10284052 21747.87618229
0.10000000 1025804.93257811 24865.51273505
0.10100000 1015998.68200072 18653.73667885
0.10200000 1006196.89434007 24873.18839803
0.10300000 996400.79384787 24870.16498435
0.10400000 986613.30942422 18646.99242537
0.10500000 976837.19267815 17084.88330377
