# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 324.60689558
0.00100000 1664569.66057231 549.30800103
0.00200000 1664326.34834558 973.63094461
0.00300000 1663921.02721299 1397.69371265
0.00400000 1663353.56162560 1497.01826235
0.00500000 1662624.46295038 1496.36207588
0.00600000 1661733.65291013 1744.82040659
0.00700000 1660681.65984376 2590.66349702
0.00800000 1659468.30725147 3360.42346406
0.00900000 1658094.81635964 3481.99926320
0.01000000 1656560.60762709 3553.32265679
0.01100000 1654866.89479808 3872.38870243
0.01200000 1653013.63037058 3545.71439260
0.01300000 1651001.98588275 4507.23562025
0.01400000 1648831.85431693 4822.83338768
0.01500000 1646504.87072524 6322.57898512
0.01600000 1644020.21661174 5030.70208772
0.01700000 1641380.24351627 6204.41759881
0.01800000 1638584.86879566 6070.95721207
0.01900000 1635634.71370851 4906.90436254
0.02000000 1632531.04861251 6685.21494648
0.02100000 1629275.75258699 5376.61022730
0.02200000 1625867.39309401 7292.01558932
0.02300000 1622309.36678082 7008.37678350
0.02400000 1618600.79433368 8497.65455772
0.02500000 1614744.62669264 6927.25476488
0.02600000 1610740.60104343 7828.19967912
0.02700000 1606590.91352299 9446.75500419
0.02800000 1602295.42218397 7666.98394676
0.02900000 1597856.53006842 9347.46113008
0.03000000 1593275.85064167 9631.35295984
0.03100000 1588553.23637610 8387.56147400
0.03200000 1583690.53538551 8623.19536234
0.03300000 1578691.44580093 11271.85744266
0.03400000 1573553.92062804 9087.27431092
0.03500000 1568281.32033314 11009.33537713
0.03600000 1562874.88765446 10408.74723281
0.03700000 1557336.38293058 13315.22668985
0.03800000 1551667.15848476 12708.15461612
0.03900000 1545869.44898294 9275.21712343
0.04000000 1539943.02294819 9470.65002999
0.04100000 1533891.92799128 10629.87155385
0.04200000 1527716.84089368 12809.90630518
0.04300000 1521418.72690906 12049.63687644
0.04400000 1515001.14891100 12271.50987609
0.04500000 1508465.31001571 13530.93445955
0.04600000 1501811.17320912 12705.32311598
0.04700000 1495043.33240831 12917.17499276
0.04800000 1488161.80549421 12031.78875724
0.04900000 1481170.22279018 16663.16578202
0.05000000 1474068.50499613 15787.27442366
0.05100000 1466861.07257130 19450.57872838
0.05200000 1459546.18866745 11603.39274064
0.05300000 1452130.09334741 14114.70516533
0.05400000 1444612.25307657 16685.27230113
0.05500000 1436995.49663855 14484.91528183
0.05600000 1429280.73535699 19552.56137209
0.05700000 1421473.32649563 17313.54592489
0.05800000 1413571.88651064 15012.13413570
0.05900000 1405579.00888822 17710.29633917
0.06000000 1397498.60957768 17901.95802505
0.06100000 1389332.20263576 16797.02711481
0.06200000 1381081.48690771 14356.34272747
0.06300000 1372750.03324024 17131.92121585
0.06400000 1364336.28490924 18623.19115996
0.06500000 1355846.13234699 13422.87733813
0.06600000 1347281.28289031 14894.19527923
0.06700000 1338642.43863455 16384.98421569
0.06800000 1329933.17521041 17894.25171007
0.06900000 1321156.08943812 18033.78146515
0.07000000 1312311.66832758 15373.73191439
0.07100000 1303403.25240315 15484.43136381
0.07200000 1294433.12830612 18426.25644465
0.07300000 1285403.70948480 17121.57821258
0.07400000 1276317.51096510 25845.43080827
0.07500000 1267176.31506744 21668.71600332
0.07600000 1257980.88034236 15982.64783403
0.07700000 1248736.66567660 17532.26360816
0.07800000 1239443.83151302 17624.89211066
0.07900000 1230104.27447623 17713.50238329
0.08000000 1220722.54246900 16314.95754545
0.08100000 1211298.97506654 17878.77371082
0.08200000 1201835.85040693 16459.14274367
0.08300000 1192336.18654150 16525.78032105
0.08400000 1182801.80976090 21113.01329525
0.08500000 1173234.99011419 22702.09812446
