# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 374.54641798
0.00100000 1664569.65477548 549.30799912
0.00200000 1664326.32427743 1497.89373928
0.00300000 1663920.97010516 1198.02314115
0.00400000 1663353.45901117 1497.01816999
0.00500000 1662624.30920168 1945.27051876
0.00600000 1661733.42640427 2093.78420251
0.00700000 1660681.35219568 2391.38124655
0.00800000 1659467.91232492 3808.47901958
0.00900000 1658094.31851299 2984.56990091
0.01000000 1656559.97856270 4373.31853224
0.01100000 1654866.15164965 3574.51104320
0.01200000 1653012.72712414 4190.38744698
0.01300000 1651000.91388559 4160.52248649
0.01400000 1648830.63950667 4080.85601369
0.01500000 1646503.48414676 3951.60853791
0.01600000 1644018.60845276 5869.14669455
0.01700000 1641378.45292077 5761.23862819
0.01800000 1638582.85384932 6537.94588105
0.01900000 1635632.47117774 7360.34645242
0.02000000 1632528.57568560 6685.20481984
0.02100000 1629273.02504214 7527.24171697
0.02200000 1625864.39028404 7292.00212172
0.02300000 1622306.08367628 7008.36260049
0.02400000 1618597.24526257 8497.63592510
0.02500000 1614740.76871303 7556.98714271
0.02600000 1610736.43982150 9132.87603151
0.02700000 1606586.42221579 7422.42961059
0.02800000 1602290.59117457 7666.96083037
0.02900000 1597851.35283798 8628.39770149
0.03000000 1593270.30103732 7408.70724037
0.03100000 1588547.36453061 9912.53601078
0.03200000 1583684.27189008 7839.23750692
0.03300000 1578684.78194556 9661.55131091
0.03400000 1573546.84784499 10739.45773206
0.03500000 1568273.82281040 8468.67903424
0.03600000 1562866.99398050 9541.30343919
0.03700000 1557328.02209287 10652.12416375
0.03800000 1551658.37389576 15431.24324254
0.03900000 1545860.19661265 12057.71009197
0.04000000 1539933.36573728 9470.59063814
0.04100000 1533881.72022847 12562.49187115
0.04200000 1527706.16501094 9853.70522146
0.04300000 1521407.60238479 16066.06502694
0.04400000 1514989.45451661 11248.79722220
0.04500000 1508453.16404936 18734.98916801
0.04600000 1501798.47444817 14822.75163187
0.04700000 1495030.06101542 10764.21693993
0.04800000 1488147.98249691 13125.46581633
0.04900000 1481155.84089368 14441.27012092
0.05000000 1474053.58625753 12404.16150597
0.05100000 1466845.55639371 14873.81463471
0.05200000 1459530.13361275 13923.91812354
0.05300000 1452113.38764952 11762.11898829
0.05400000 1444594.98494254 19068.65469049
0.05500000 1436977.61195635 14484.73500422
0.05600000 1429262.23794875 18330.28905706
0.05700000 1421454.22214995 12366.65230996
0.05800000 1413552.12113573 16262.91791302
0.05900000 1405558.67740541 12650.02868748
0.06000000 1397477.58176632 17901.68865877
0.06100000 1389310.49205234 14212.64699787
0.06200000 1381059.15640543 13051.00963808
0.06300000 1372726.98911202 13178.17971163
0.06400000 1364312.55650739 15962.45765765
0.06500000 1355821.75368837 16107.16318728
0.06600000 1347256.17325252 16247.91020964
0.06700000 1338616.64418429 13653.89040967
0.06800000 1329906.63131626 17893.89456196
0.06900000 1321128.92711191 16646.22526097
0.07000000 1312283.66500586 16770.98602413
0.07100000 1303374.52271435 15484.09005509
0.07200000 1294403.70378000 19843.20970854
0.07300000 1285373.50301811 17121.17586242
0.07400000 1276286.57530924 14358.22464511
0.07500000 1267144.67289155 24557.26491170
0.07600000 1257948.47236579 21793.95830545
0.07700000 1248703.47626160 16070.81449302
0.07800000 1239409.94356131 16155.70937196
0.07900000 1230069.59075395 14760.83578139
0.08000000 1220686.98382225 17797.61705903
0.08100000 1211262.79463303 17878.23968760
0.08200000 1201798.81609228 16458.63555871
0.08300000 1192298.45993084 16525.25743020
0.08400000 1182763.15417609 21112.32329303
0.08500000 1173195.60326864 15134.22399264
0.08600000 1163597.84304260 25814.41935993
0.08700000 1153973.16323615 16755.69111700
0.08800000 1144321.12973724 18332.02535933
0.08900000 1134647.38487942 16849.51445688
0.09000000 1124951.54826261 16891.14829063
0.09100000 1115236.21479349 23085.39073080
0.09200000 1105503.49471662 16963.95192351
0.09300000 1095758.39790823 15450.19413654
0.09400000 1085997.64193788 20118.10726240
0.09500000 1076226.76587093 18597.19938837
0.09600000 1066447.30634841 20171.85174781
0.09700000 1056663.25561686 21746.13082294
0.09800000 1046874.70293864 20209.91709045
0.09900000 1037084.39858264 20223.14672330
0.10000000 1027292.58058832 20232.52832617
0.10100000 1017502.56065836 17124.56890128
0.10200000 1007716.56410452 15569.22164773
0.10300000 997935.98251184 17124.58226546
0.10400000 988164.03040947 17119.94263225
0.10500000 978402.93520342 15556.60740166
0.10600001 968650.23661994 20210.88813807
0.10700001 958913.56105632 17087.84046214
0.10800001 949191.02677713 18623.12882180
0.10900001 939486.60226683 18601.83560039
0.11000001 929800.47126178 17029.29643272
0.11100001 920135.43999783 20095.75895553
0.11200001 910492.58688445 16976.13508165
0.11300001 900873.91661100 27728.90045879
0.11400001 891281.65078213 18449.53103988
0.11500001 881717.53690714 19944.45162398
0.11600001 872182.40138307 21429.52261113
0.11700001 862679.10732185 19850.24719432
0.11800001 853206.66566000 16752.71366926
0.11900001 843768.27834002 16706.61269804
0.12000001 834364.73495831 18172.46478340
0.12100001 825000.90570717 19626.77247135
0.12200001 815674.49423710 19563.95366596
0.12300001 806388.86659616 16498.71698788
0.12400001 797143.70690963 16441.08972967
0.12500001 787940.78432445 17870.49783055
0.12600001 778784.02275863 23737.33813227
0.12700001 769671.87178967 19211.01082522
0.12800001 760606.46838143 17661.28302818
0.12900001 751589.55556976 21983.99553657
0.13000001 742622.36306935 18970.28915877
0.13100001 733704.65013151 20338.29386034
0.13200001 724839.24811631 21690.81552239
0.13300001 716027.02435123 23027.43018872
0.13400001 707267.99343191 21483.26631334
0.13500001 698564.68426810 15675.79225406
0.13600001 689917.26346101 17013.36051914
0.13700001 681327.16582449 16924.16759711
0.13800001 672793.56381589 18236.07040717
0.13900001 664320.70500601 20926.10319453
0.14000001 655906.39699144 16646.90514072
0.14100001 647554.22836243 15172.19628610
0.14200001 639262.86826694 15083.40808817
0.14300001 631035.05487104 14993.39361094
0.14400001 622867.55647910 16256.84399094
0.14500001 614766.79809689 13463.39351342
0.14600001 606729.72161014 18729.74738967
0.14700001 598759.24714566 15950.94709647
0.14800001 590852.45290427 15846.66353452
0.14900001 583013.26592509 15741.35892267
0.15000001 575241.10316614 13029.21160147
0.15100001 567536.75730283 15527.80641248
0.15200001 559901.59491299 15419.69065151
0.15300001 552335.10200137 16586.62389581
0.15400001 544835.95828429 13934.18029069
0.15500001 537408.36260547 16347.96316197
0.15600001 530048.86631051 12482.65139073
0.15700001 522762.76682470 13628.42597434
0.15800001 515544.21582117 15984.44916598
0.15900001 508399.04331998 13421.73537716
0.16000001 501322.72759186 12106.94444282
0.16100001 494320.59861352 16816.78755866
0.16200001 487389.64297914 15491.68053339
0.16300001 480530.24430947 14185.25348167
0.16400001 473743.75125437 14070.19007650
0.16500001 467028.52573002 13954.81300764
0.16600001 460386.60177758 16145.75888663
0.16700001 453816.17747908 12579.78503367
0.16800001 447318.82311917 13607.43924178
0.16900001 440895.14474095 14615.67473829
0.17000001 434542.57712644 12260.61939257
0.17100001 428263.58087190 12154.12099908
0.17200001 422056.57714552 13142.84243295
0.17300001 415922.22665870 13026.68475413
0.17400001 409861.28144152 11834.74506053
0.17500001 403871.36858752 12794.64556111
0.17600001 397952.69393812 14791.90233229
0.17700001 392108.80694142 10469.30563981
0.17800001 386334.84186659 11410.40009347
0.17900001 380632.37379375 13360.19695121
0.18000001 375002.54444991 12217.58347528
0.18100001 369444.41427835 15128.74947933
0.18200001 363954.99010857 10989.62144546
0.18300001 358537.03503880 10885.18489799
0.18400001 353189.40799806 9801.00653495
0.18500001 347912.20681883 10677.42613169
0.18600001 342704.87334617 11535.44658181
0.18700001 337565.97256829 12375.16913902
0.18800001 332494.82346676 11311.47442876
0.18900001 327495.53932587 14000.43496767
0.19000001 322560.41078979 11089.62744692
0.19100001 317695.71720940 11894.52821434
0.19200001 312896.69186789 11775.86755487
0.19300001 308166.49975029 10761.17467977
0.19400001 303500.54966836 15091.56554539
0.19500001 298901.48852331 9666.47459563
0.19600001 294366.65525801 8698.53507394
0.19700001 289898.37716465 8609.98220868
0.19800001 285493.24956922 10226.36868286
0.19900001 281152.41532784 10121.48743014
0.20000001 276873.46480175 12521.60303744
0.20100001 272658.64579984 8261.55735820
0.20200001 268504.73497355 10628.76043628
0.20300001 264413.07362126 8091.04043523
0.20400001 260382.62871363 11209.47269595
0.20500001 256411.81360646 13469.31320540
0.20600001 252500.51603555 11760.21209024
0.20700001 248648.72189549 11636.76073477
0.20800001 244854.95116146 9979.06400630
0.20900001 241121.58990984 7595.33044120
0.21000001 237442.29068759 9018.05862662
0.21100001 233821.29545271 8922.62105628
0.21200001 230255.37088458 10299.32322656
0.21300001 226744.53338164 10189.89981190
0.21400001 223288.72750269 8641.27416288
0.21500001 219888.03613395 9261.68451983
0.21600001 216539.24140537 9162.85843328
0.21700001 213243.69859549 9064.99005588
0.21800001 210000.31390876 8968.06382949
0.21900001 206807.57844676 10919.44065828
0.22000001 203664.92539938 8776.94037508
0.22100001 200574.03037365 7347.02707998
0.22200001 197531.69682672 11232.64047118
0.22300001 194537.76666255 7190.11619584
0.22400001 191591.23089839 7759.44521830
0.22500001 188694.12198263 8315.75034900
0.22600001 185841.67398407 6327.90929839
0.22700001 183036.26554766 8763.77680885
0.22800001 180275.63720644 9907.94948941
0.22900001 177558.93716323 7963.51870837
0.23000001 174886.98364803 6665.81769698
0.23100001 172259.30185885 6594.08638701
0.23200001 169672.56465804 7709.07333983
0.23300001 167128.83003905 7039.46665417
0.23400001 164625.47122982 6383.35294884
0.23500001 162162.69322031 8036.78345611
0.23600001 159740.34737270 5678.76961769
0.23700001 157357.31698952 6741.18777867
0.23800001 155012.77985845 8335.81263116
0.23900001 152706.36906173 8795.88727400
0.24000001 150436.81044030 5982.12005011
0.24100001 148205.33113645 6455.82452967
0.24200001 146009.91306284 5854.26774117
0.24300001 143849.33411565 7370.84022875
0.24400001 141723.86231764 7812.52827982
0.24500001 139632.17384806 6698.15569634
0.24600001 137574.53098490 6116.56393693
0.24700001 135550.74009110 6555.23410091
0.24800001 133559.04156951 6983.80261405
0.24900001 131598.11029841 6415.40818054
0.25000001 129669.88488881 5370.27853673
0.25100001 127771.84219718 5312.75344990
0.25200001 125905.71345364 4778.12205162
0.25300001 124067.44617410 5672.36390744
0.25400001 122259.84196175 5144.08309391
0.25500001 120479.08232627 7402.23516834
0.25600001 118727.90864879 5492.35331395
0.25700001 117003.34829878 6792.04469010
0.25800001 115305.89122825 5375.56090340
0.25900001 113635.99308664 4874.98433408
0.26000001 111991.08013177 4384.45099461
0.26100001 110371.59823986 6072.64562249
0.26200001 108778.43522929 4291.30947285
0.26300001 107208.38319629 5519.08782809
0.26400001 105663.46384486 5040.14746389
0.26500001 104142.14041608 5401.85307899
0.26600001 102643.79212373 4521.97247599
0.26700001 101168.47468085 4880.36744954
0.26800001 99715.80260735  4023.53282560
0.26900001 98284.32289394  5174.66984524
0.27000001 96875.17300349  4331.77356584
0.27100001 95486.69845983  4285.44322968
0.27200001 94119.68819266  5781.30212083
0.27300001 92772.80316244  4194.25862946
0.27400001 91444.58846113  4526.50734304
0.27500001 90137.97248889  4851.22590894
0.27600001 88848.39987230  5168.31166517
0.27700001 87579.75403171  5112.90628235
0.27800001 86328.49169633  3612.84754848
0.27900001 85095.84075625  5003.63567328
0.28000001 83880.78090998  3889.13259096
0.28100001 82683.52345696  4896.51849087
0.28200001 81503.86472304  5881.72667612
0.28300001 80340.95979358  3764.77755411
0.28400001 79194.10059503  3724.10275675
0.28500001 78064.25687892  4688.53949006
0.28600001 76950.35625671  5631.61208920
0.28700001 75852.80089672  4915.26173076
0.28800001 74769.26188286  4537.74671846
0.28900001 73702.93544520  3526.68562798
0.29000001 72650.56667946  4122.55660136
0.29100001 71613.75464516  4077.68738251
0.29200001 70591.07389820  4033.22119809
0.29300001 69583.16963426  3682.34151135
0.29400001 68588.48665229  3035.04067803
0.29500001 67609.22378856  3302.03464614
0.29600001 66642.27877781  3265.80502610
0.29700001 65689.29252477  3229.94266634
0.29800001 64750.01413451  3775.24975283
0.29900001 63824.14473092  2872.08664885
0.30000001 62910.15148026  3408.47216856
0.30100001 62010.25126682  3932.69032152
0.30200001 61121.85504328  2777.98844323
0.30300001 60246.69158575  3021.97419301
0.30400001 59383.68240552  4346.88575787
0.30500001 58533.38286487  2686.68240069
0.30600001 57693.72721209  3188.15551668
0.30700001 56866.91065194  2627.25139650
0.30800001 56051.66456803  2597.99477573
0.30900001 55248.16213267  2569.03966080
0.31000001 54456.13216573  3048.45442297
0.31100001 53674.96301830  3265.58490464
0.31200001 52905.92335042  3725.89982836
0.31300001 52147.31666666  2947.36647755
0.31400001 51401.06509293  3400.18061688
0.31500001 50664.34679676  2881.78818224
0.31600002 49939.80125254  3324.49272679
0.31700002 49225.13775973  2582.84310055
0.31800002 48520.92359839  2553.89893452
0.31900002 47828.07061883  2984.47174793
0.32000002 47145.84693501  2270.07263741
0.32100002 46473.50720293  3367.00575628
0.32200002 45812.52318430  2219.61685338
0.32300002 45160.28266536  3072.70577805
0.32400002 44519.42403473  2821.41863180
0.32500002 43888.19534081  2575.35942455
0.32600002 43267.31219252  2334.48793989
0.32700002 42656.60982084  2518.44636308
0.32800002 42056.68642239  2490.59708787
0.32900002 41464.65017810  2257.75030911
0.33000002 40883.88882893  2638.85072942
0.33100002 40311.91542482  2609.79352819
0.33200002 39751.13778930  2382.68331192
0.33300002 39199.25913436  2356.65957076
0.33400002 38657.63662031  3108.07413146
0.33500002 38125.34981882  2113.66949405
0.33600002 37601.98749722  1900.78055800
0.33700002 37088.29921538  1880.37685927
0.33800002 36584.90820215  2790.51400527
0.33900002 36090.07325877  1840.59382336
0.34000002 35604.75961901  2185.42024891
0.34100002 35128.84060057  1802.10960815
0.34200002 34662.91647166  1783.40713693
0.34300002 34205.49474654  1765.00361251
