# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 302.89193117
0.00100000 1682651.35646245 504.79541893
0.00200000 1682406.52061314 984.20784572
0.00300000 1681998.66026135 1009.19923211
0.00400000 1681427.62998177 2017.71323265
0.00500000 1680693.95079549 1815.14953870
0.00600000 1679797.55960643 2469.30251315
0.00700000 1678738.96468468 3021.73026202
0.00800000 1677517.99202626 2491.11432333
0.00900000 1676135.87473322 3268.46509545
0.01000000 1674592.03227355 3868.30776158
0.01100000 1672887.67750191 3312.31774567
0.01200000 1671022.77038577 3584.34399963
0.01300000 1668998.46239303 4556.36600329
0.01400000 1666814.66768563 3750.33316855
0.01500000 1664473.00079722 6791.05014565
0.01600000 1661972.68145953 5085.63663261
0.01700000 1659316.08311507 4480.15362538
0.01800000 1656503.08635839 5665.24081027
0.01900000 1653534.30000292 6944.84437338
0.02000000 1650411.02078395 5718.67444570
0.02100000 1647135.13102600 7066.21003247
0.02200000 1643705.20312735 9073.25313348
0.02300000 1640124.60903149 5904.44886127
0.02400000 1636392.50674926 7977.41383415
0.02500000 1632511.89024148 8276.83566153
0.02600000 1628482.39261769 10552.56638682
0.02700000 1624306.29662153 9550.92146158
0.02800000 1619983.41254308 8456.31380128
0.02900000 1615516.31570377 10177.75325624
0.03000000 1610906.33964657 8239.78630604
0.03100000 1606153.45110134 10022.39799603
0.03200000 1601259.72110439 8718.85958299
0.03300000 1596228.60241751 8140.76624762
0.03400000 1591058.03899389 10858.97161717
0.03500000 1585751.54280603 9419.36459924
0.03600000 1580310.32405229 9647.79497420
0.03700000 1574736.10652123 9873.59584452
0.03800000 1569030.29337250 11014.59316923
0.03900000 1563195.04141527 9379.17068284
0.04000000 1557230.24013228 13407.75298884
0.04100000 1551139.92846263 17589.92760435
0.04200000 1544924.65618677 9964.76449470
0.04300000 1538585.67200165 13201.06567854
0.04400000 1532126.13362795 11376.03707051
0.04500000 1525547.51387294 12631.53400179
0.04600000 1518849.80952320 11778.68082041
0.04700000 1512037.61138069 14152.67270073
0.04800000 1505110.91502779 13275.07888821
0.04900000 1498073.34270699 12359.10565262
0.05000000 1490924.71654911 17108.36191907
0.05100000 1483669.59317690 13887.14803906
0.05200000 1476306.21622717 12910.29846254
0.05300000 1468840.90011196 13087.37303010
0.05400000 1461272.98515152 19288.80430351
0.05500000 1453605.38654537 12210.28581658
0.05600000 1445839.13909436 19779.08034579
0.05700000 1437979.38204957 12510.42120780
0.05800000 1430024.71201967 21514.72279691
0.05900000 1421978.09240463 16637.14445819
0.06000000 1413843.13785766 14230.33184736
0.06100000 1405621.55575151 15686.73729525
0.06200000 1397314.79960207 15845.55056816
0.06300000 1388926.55946538 20000.54339143
0.06400000 1380455.49282728 13459.44168452
0.06500000 1371907.34450320 16298.26001509
0.06600000 1363283.52796890 21921.60015542
0.06700000 1354585.41565956 16580.12626361
0.06800000 1345816.09036419 13929.19718728
0.06900000 1336978.26251064 21057.40862043
0.07000000 1328072.42918556 18387.16364312
0.07100000 1319102.10114009 15670.93369554
0.07200000 1310069.30616922 20083.36340442
0.07300000 1300976.75398474 23105.34823338
0.07400000 1291826.88307859 15986.35842728
0.07500000 1282621.18150234 19008.44680084
0.07600000 1273360.75498103 22060.97611428
0.07700000 1264051.08697478 16268.33825216
0.07800000 1254692.16036918 17841.72335716
0.07900000 1245285.79128639 16437.77321597
0.08000000 1235837.08426564 15015.42127822
0.08100000 1226345.75092730 16592.45878853
0.08200000 1216814.52892189 19694.14407475
0.08300000 1207246.00587032 16732.43042665
