# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656091 374.54641798
0.00100000 1664569.57619156 499.37088472
0.00200000 1664326.00906131 823.84140057
0.00300000 1663920.25342023 1797.03393771
0.00400000 1663352.18913375 1497.01702710
0.00500000 1662622.32122379 1645.99616316
0.00600000 1661730.57236176 3140.67090963
0.00700000 1660677.47111798 2192.09435298
0.00800000 1659462.83391735 3136.38488852
0.00900000 1658087.89872509 2735.84514985
0.01000000 1656552.07249674 3553.30434894
0.01100000 1654856.58747206 2978.74198714
0.01200000 1653001.36240033 3223.35279800
0.01300000 1650987.56702745 4853.90366114
0.01400000 1648815.18079903 5935.73491401
0.01500000 1646485.74503271 4741.87915684
0.01600000 1643998.45937246 7126.73363997
0.01700000 1641355.71142174 4431.66061964
0.01800000 1638557.38467991 6070.85538341
0.01900000 1635604.18448583 5888.17532984
0.02000000 1632497.22693729 6685.07644671
0.02100000 1629238.51052487 5914.13606134
0.02200000 1625826.56225045 7291.83246298
0.02300000 1622264.82375678 6424.16899449
0.02400000 1618552.37773686 7890.44320125
0.02500000 1614692.19545515 7556.75981985
0.02600000 1610683.96114286 10437.23254559
0.02700000 1606529.97124258 7422.16880708
0.02800000 1602229.99731990 7666.67088877
0.02900000 1597786.44636450 10785.05900815
0.03000000 1593201.01133624 7408.38504324
0.03100000 1588473.53279253 7624.67330824
0.03200000 1583605.70350298 8622.73345272
0.03300000 1578601.50073763 9661.04162989
0.03400000 1573458.63394503 9086.72403030
0.03500000 1568180.60917064 11855.44595279
0.03600000 1562768.64355470 9540.70300981
0.03700000 1557224.28406320 9763.79671263
0.03800000 1551549.31382698 10891.87668714
0.03900000 1545745.54445862 11129.36843550
0.04000000 1539813.18705397 11363.82184705
0.04100000 1533755.81703182 9662.66209532
0.04200000 1527574.38069173 14779.28281885
0.04300000 1521269.86563799 13052.49605304
0.04400000 1514845.68227918 15337.81324539
0.04500000 1508303.21111582 11448.02190430
0.04600000 1501642.23923659 15879.86741813
0.04700000 1494867.59243402 16144.57074914
0.04800000 1487979.15085732 15311.30617473
0.04900000 1480980.50973255 14439.56064202
0.05000000 1473871.63962234 12402.63042496
0.05100000 1466656.92217134 17159.88678878
0.05200000 1459334.73423352 16242.39634894
0.05300000 1451911.05870998 14112.57614856
0.05400000 1444385.78826439 17874.27496332
0.05500000 1436761.44584830 14482.55604975
0.05600000 1429039.00231941 15883.76925198
0.05700000 1421223.90540605 14837.57826504
0.05800000 1413314.63517059 12507.83510528
0.05900000 1405313.91708225 17706.95618225
0.06000000 1397225.61917712 14063.07651403
0.06100000 1389051.20383199 14209.99447925
0.06200000 1380792.41481991 18267.88450197
0.06300000 1372452.75036296 14493.10172146
