# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1682732.95097188 277.65093691
0.00100000 1682651.30834272 757.19310674
0.00200000 1682406.33033202 832.79115988
0.00300000 1681998.21980098 1211.03876140
0.00400000 1681426.84284965 1387.17719806
0.00500000 1680692.74237542 1663.88588081
0.00600000 1679795.81879726 1763.78568154
0.00700000 1678736.57942294 2417.38077484
0.00800000 1677514.87546588 2717.57421299
0.00900000 1676131.94680747 3268.45743599
0.01000000 1674587.17478176 3039.37585347
0.01100000 1672881.81847921 3312.30614480
0.01200000 1671015.77769943 4561.87327313
0.01300000 1668990.26860787 3855.36769052
0.01400000 1666805.22518544 4500.37430751
0.01500000 1664462.10270735 5193.12199169
0.01600000 1661960.30177081 5085.59875076
0.01700000 1659302.13056892 6272.16233491
0.01800000 1656487.40674263 7081.48398247
0.01900000 1653516.90700928 7440.82641729
0.02000000 1650391.73200181 6758.35444827
0.02100000 1647113.86269469 6522.57119199
0.02200000 1643681.91319695 6237.77314398
0.02300000 1640099.15897050 5904.35724105
0.02400000 1636364.90391592 9818.18987118
0.02500000 1632481.96779135 7640.01595819
0.02600000 1628450.03659364 7254.74524484
0.02700000 1624271.49558915 6821.94059393
0.02800000 1619946.03355943 7751.44212606
0.02900000 1615476.15908206 8723.57165958
0.03000000 1610863.44009416 8988.61840889
0.03100000 1606107.93069818 9251.18210650
0.03200000 1601211.16166110 9511.19473833
0.03300000 1596177.03646756 9768.60391352
0.03400000 1591003.42553095 14199.70622804
0.03500000 1585693.74679113 9419.02129089
0.03600000 1580249.42019099 9647.42315611
0.03700000 1574671.74437409 8975.62935803
0.03800000 1568962.58455300 13767.64731661
0.03900000 1563123.87499862 11254.49242119
0.04000000 1557155.57353188 12449.45938728
0.04100000 1551061.59895468 10748.85737914
0.04200000 1544842.65160826 12953.50623469
0.04300000 1538499.85340981 17261.96915652
0.04400000 1532036.50268386 11375.37156072
0.04500000 1525454.01591717 14735.88647846
0.04600000 1518752.30120966 13919.36548765
0.04700000 1511936.11749214 10885.94055223
0.04800000 1505005.08681102 12167.96669302
0.04900000 1497963.39420948 13481.67117542
0.05000000 1490810.81246358 13685.64389570
0.05100000 1483551.36782126 16200.38169129
0.05200000 1476183.61700646 16429.92442294
0.05300000 1468713.65333137 17844.87171987
0.05400000 1461141.39161797 14465.30045159
0.05500000 1453469.33833446 13430.05731271
0.05600000 1445698.50466308 17305.01190834
0.05700000 1437834.08567908 13760.07284225
0.05800000 1429874.87922387 12654.39327200
0.05900000 1421823.55525719 15355.69511398
0.06000000 1413683.87407987 14228.72885736
0.06100000 1405457.31541924 15684.90437306
0.06200000 1397145.78284824 22445.14805062
0.06300000 1388752.38842101 17331.63061784
0.06400000 1380276.30704918 14803.46408541
0.06500000 1371723.36532286 16296.07434233
0.06600000 1363094.52771201 15069.01070891
0.06700000 1354391.27921164 19340.70837227
0.06800000 1345616.80257487 25068.84220542
0.06900000 1336773.95585229 18246.96535169
0.07000000 1327862.80721862 19798.43538276
0.07100000 1318887.30275898 21365.97530543
0.07200000 1309849.16513273 22948.55844819
0.07300000 1300751.54277207 18769.84564167
0.07400000 1291596.15126743 17436.54885926
0.07500000 1282385.21059721 16081.11129465
0.07600000 1273119.41390888 14704.52992000
0.07700000 1263804.50051739 16265.16468431
0.07800000 1254440.07985790 23784.18502949
0.07900000 1245028.55504382 28386.65238644
0.08000000 1235574.17873901 18014.67237110
0.08100000 1226077.76955923 18096.90872777
0.08200000 1216540.85198982 15145.93431800
0.08300000 1206967.07336170 18249.34300571
0.08400000 1197358.02250146 18319.57860417
0.08500000 1187716.16423506 19918.00100928
0.08600000 1178043.42638192 16910.81417970
0.08700000 1168343.50693035 16964.34851724
0.08800000 1158615.75206742 23201.28152477
0.08900000 1148865.72956611 15509.68807763
0.09000000 1139093.16002266 21768.07131060
0.09100000 1129301.17527712 23376.53542649
0.09200000 1119491.07483651 21863.66171886
0.09300000 1109668.01087968 18775.58362639
0.09400000 1099829.06820750 18807.07795023
0.09500000 1089979.78094541 15695.70958335
0.09600000 1080121.45134779 15715.76785587
0.09700000 1070258.34063763 15732.79834702
0.09800000 1060390.26265870 15746.79614086
0.09900000 1050520.01811421 17333.58111395
0.10000000 1040648.19626855 15765.82091489
0.10100000 1030777.70777499 20502.16957190
0.10200000 1020911.13728011 22082.30893804
0.10300000 1011049.47094585 22081.32148418
0.10400000 1001196.31945012 20499.49560514
0.10500000 991353.82567903 20491.28454089
0.10600001 981519.42471119 23630.08126180
0.10700001 971701.04090214 20464.02488439
0.10800001 961896.61683922 15727.01042546
0.10900001 952109.96328787 21993.74118710
0.11000001 942341.24127087 17258.98064625
0.11100001 932593.90280029 18801.09396548
0.11200001 922868.08557319 18771.13774425
0.11300001 913166.79358199 17176.66819597
0.11400001 903491.40204670 18702.27290295
0.11500001 893844.46933121 17108.18394859
0.11600001 884225.89242235 21725.43119990
0.11700001 874639.47679355 20125.45530883
0.11800001 865083.86068103 23162.62146065
0.11900001 855561.94207715 15400.11568276
0.12000001 846074.98801235 19963.14028251
0.12100001 836627.95483798 16841.32152425
0.12200001 827217.61598766 16788.38230739
0.12300001 817848.72777325 16733.18575861
0.12400001 808519.87591882 15159.74838777
0.12500001 799233.66287156 16616.06863406
0.12600001 789993.24858063 18059.24651357
0.12700001 780797.75917133 20987.84475561
0.12800001 771649.10382036 20903.97520768
0.12900001 762548.86396721 17843.64425784
0.13000001 753498.00840545 25170.60215720
0.13100001 744497.21816268 16215.15017593
0.13200001 735548.68598181 19076.45607021
0.13300001 726653.54406763 16066.31061675
0.13400001 717811.07306986 21803.51237244
0.13500001 709025.15721222 18803.34805581
0.13600001 700295.14120155 14391.06583024
0.13700001 691622.48969684 18611.56207534
0.13800001 683006.32321423 18512.88726371
0.13900001 674451.36777636 21245.21908684
0.14000001 665955.15627676 15493.44744146
0.14100001 657520.97478414 15405.71716577
0.14200001 649147.94784856 16709.06896571
0.14300001 640838.66254545 15226.32734027
0.14400001 632589.78407351 17886.47698838
0.14500001 624408.16544056 16409.44736185
0.14600001 616290.11937119 13589.19777320
0.14700001 608239.12891922 14853.20022893
0.14800001 600251.98210491 13415.63243298
0.14900001 592332.80260935 18658.48416252
0.15000001 584480.67158747 19857.73175413
0.15100001 576696.83188162 13148.68838732
0.15200001 568982.58418577 14363.96601556
0.15300001 561337.14359780 16856.95521771
0.15400001 553759.37651791 16737.37794511
0.15500001 546253.22601505 15338.79131039
0.15600001 538815.75382715 13958.02276164
0.15700001 531451.91500108 16374.03427399
0.15800001 524155.92286005 15001.34322030
0.15900001 516933.82891644 12406.41247958
0.16000001 509780.72998601 19697.92833645
0.16100001 502702.18320601 15880.36271710
0.16200001 495695.06905254 13331.71951151
0.16300001 488760.10683767 18035.24879371
0.16400001 481898.46993002 16697.78277137
0.16500001 475108.46512620 14196.24160819
0.16600001 468392.11959779 11733.22314989
0.16700001 461747.61668099 12799.64453873
0.16800001 455176.35285491 18461.95374350
0.16900001 448679.52415091 12585.46124669
0.17000001 442254.24396263 13612.58627195
0.17100001 435902.72670064 12370.91996793
0.17200001 429623.67462926 14493.35534804
0.17300001 423417.99460569 13261.45221732
0.17400001 417285.73094528 15335.25133646
0.17500001 411225.20241904 11941.98044224
0.17600001 405236.25069471 16138.53444613
0.17700001 399322.48435798 17059.05733748
0.17800001 393479.23765489 13734.39343905
0.17900001 387707.63340655 10468.10659642
0.18000001 382009.72705276 10371.56457938
0.18100001 376383.63614309 14385.38325290
0.18200001 370826.56917503 12215.02776564
0.18300001 365341.76691756 14116.80654056
0.18400001 359927.50458339 13983.18421364
0.18500001 354584.35009675 12860.77498558
0.18600001 349311.49084223 13717.46289343
0.18700001 344107.52154929 10674.21582276
