# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1664650.74656090 274.66737318
0.00100000 1664569.54841763 599.24505166
0.00200000 1664325.89531944 748.94667661
0.00300000 1663919.99524026 1198.02243925
0.00400000 1663351.72525683 2619.77906683
0.00500000 1662621.60175370 1795.63140097
0.00600000 1661729.54192981 1919.29769907
0.00700000 1660676.05997414 2192.09249027
0.00800000 1659460.98961785 2464.29967363
0.00900000 1658085.56804025 3730.69268757
0.01000000 1656549.19714307 4646.62069863
0.01100000 1654853.12576435 4170.23005850
0.01200000 1652997.22965039 3223.34473914
0.01300000 1650982.72417896 3813.77026106
0.01400000 1648809.58668738 4822.76825486
0.01500000 1646479.26456602 3951.55041092
0.01600000 1643991.12758958 7126.70185669
0.01700000 1641347.46862713 5761.12987332
0.01800000 1638548.11766688 6537.80728368
0.01900000 1635593.89033722 5888.13827090
0.02000000 1632485.83010554 6685.02977668
0.02100000 1629225.93419338 8602.31332256
0.02200000 1625812.78142887 6169.95978584
0.02300000 1622249.78839777 7008.11940488
0.02400000 1618536.05589335 7283.41258363
0.02500000 1614674.52173164 6297.23092235
0.02600000 1610664.84516187 8480.15079764
0.02700000 1606509.42362417 7422.07387708
0.02800000 1602207.91236783 9060.48615995
0.02900000 1597762.76312282 10065.90586984
0.03000000 1593175.68907655 7408.26729473
0.03100000 1588446.66998624 7624.54436676
0.03200000 1583577.06127074 10974.18954006
0.03300000 1578571.03587266 8050.71265409
0.03400000 1573426.43510462 8260.48916544
0.03500000 1568146.52951538 10161.58998050
0.03600000 1562732.74175873 12142.43396461
0.03700000 1557186.35571196 9763.55890185
0.03800000 1551509.40291079 9983.96346978
0.03900000 1545703.64002728 9274.22226965
0.04000000 1539769.21003263 10416.53918856
0.04100000 1533709.71144779 9662.37163013
0.04200000 1527526.11163629 9852.54387714
0.04300000 1521219.41726342 11044.05348197
0.04400000 1514792.98673038 11247.33844882
0.04500000 1508248.24176313 10406.91335172
0.04600000 1501584.96721549 10586.17451099
0.04700000 1494807.97202428 12915.14147895
0.04800000 1487916.99864223 12029.80949375
0.04900000 1480916.02773077 16660.30608747
0.05000000 1473804.79247537 15784.45006243
0.05100000 1466587.59598098 12583.32215970
0.05200000 1459262.83996387 12761.25413017
0.05300000 1451836.50972148 15287.83916005
0.05400000 1444308.71843838 14298.65697934
0.05500000 1436681.78804291 15688.56585729
0.05600000 1428956.75310203 14661.09697097
0.05700000 1421138.87837971 17309.47234665
0.05800000 1413227.06310918 13757.76610175
0.05900000 1405223.57044986 17705.81781463
0.06000000 1397132.61527740 17897.26963784
0.06100000 1388955.37727961 20667.65697975
0.06200000 1380693.74524819 16961.82345323
0.06300000 1372351.13128815 18444.40006689
0.06400000 1363926.36867455 17287.76753144
0.06500000 1355425.41191278 16102.45464676
0.06600000 1346849.20673128 13535.83516097
0.06700000 1338199.16025879 16379.55848811
0.06800000 1329478.61242672 20640.15642407
0.06900000 1320690.37696183 16640.69952882
0.07000000 1311834.37685639 15368.14044454
0.07100000 1302914.66806611 16885.77488903
0.07200000 1293932.99615589 18419.13706316
0.07300000 1284892.34857465 17114.76688494
0.07400000 1275794.50807407 14352.68888846
0.07500000 1266641.79686973 27435.46260617
0.07600000 1257434.81879201 17428.04740549
0.07700000 1248179.13837834 16064.06626415
0.07800000 1238874.60462336 16148.73122858
0.07900000 1229523.61473559 20655.99769640
0.08000000 1220130.21182869 14824.58276916
0.08100000 1210695.41506050 16380.70973432
0.08200000 1201220.50254069 25423.83312929
0.08300000 1191709.33802041 18018.64603652
0.08400000 1182163.44329174 22608.87691418
0.08500000 1172585.30367038 16638.98624020
0.08600000 1162976.72855731 15176.84702025
0.08700000 1153341.36299643 15224.10670644
0.08800000 1143678.68096709 21375.35555114
0.08900000 1133994.24792740 21432.49229251
0.09000000 1124287.84960910 18415.83584169
0.09100000 1114562.33982359 19995.24931584
0.09200000 1104819.20783007 23118.34301010
0.09300000 1095063.64488781 15440.39811850
0.09400000 1085292.75340564 17011.96470915
0.09500000 1075511.69243777 23231.05364858
0.09600000 1065721.98792187 18607.50678381
0.09700000 1055927.89563887 17074.35487519
0.09800000 1046129.33048485 17088.52341693
0.09900000 1036329.13075736 15544.93769232
0.10000000 1026527.67411986 18662.27399313
0.10100000 1016727.85776308 18667.12434648
0.10200000 1006932.44790344 15557.10705186
0.10300000 997142.27835345 23333.13041108
0.10400000 987360.80791727 24881.49353007
0.10500000 977590.49948845 18652.42760782
0.10600001 967828.70955772 18640.38182318
0.10700001 958082.93898026 18625.13321023
0.10800001 948351.69752052 24808.88157468
0.10900001 938638.59895404 20133.79889517
0.11000001 928943.53798355 18560.29276254
0.11100001 919270.11019183 16988.11243603
