# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097351 246.99993315
0.00100000 1646585.67851316 543.37328681
0.00200000 1646343.99499507 963.11126757
0.00300000 1645941.37605300 1185.07783297
0.00400000 1645377.70009052 1604.24331855
0.00500000 1644653.47549693 1776.22582384
0.00600000 1643768.62338624 1725.95712482
0.00700000 1642723.64628026 2562.64899470
0.00800000 1641518.41874425 2659.25995064
0.00900000 1640154.12305102 3198.30067667
0.01000000 1638630.17546503 2974.11389689
0.01100000 1636947.83159537 2946.50622516
0.01200000 1635106.94434761 4782.68802191
0.01300000 1633108.75228995 5144.29279660
0.01400000 1630953.20434864 3669.64487246
0.01500000 1628641.78953831 5472.23665652
0.01600000 1626173.80023154 4146.74337596
0.01700000 1623551.56878753 6575.38414855
0.01800000 1620774.95309717 6466.89235385
0.01900000 1617844.63455286 5338.88753493
0.02000000 1614761.85860226 7629.75012703
0.02100000 1611528.44222695 5849.84851051
0.02200000 1608142.99982077 5548.09360144
0.02300000 1604608.96672282 8087.22956040
0.02400000 1600925.43402126 6603.81771646
0.02500000 1597095.30717599 8720.14077544
0.02600000 1593118.29658952 7742.55527556
0.02700000 1588996.73549702 6673.78659475
0.02800000 1584730.34261504 8961.65049847
0.02900000 1580321.44147063 7822.59149445
0.03000000 1575771.81941398 8792.80715649
0.03100000 1571081.33769873 9049.42892154
0.03200000 1566251.58861624 12404.71315318
0.03300000 1561286.52928341 14332.61099956
0.03400000 1556184.09043147 10620.95690725
0.03500000 1550947.45480370 9212.62830696
0.03600000 1545577.99490920 11151.34574862
0.03700000 1540077.16398662 13167.66036106
0.03800000 1534446.84959349 16157.72607399
0.03900000 1528688.77706268 11923.77301328
0.04000000 1522803.21194616 11238.28822493
0.04100000 1516793.70187893 10511.38084140
0.04200000 1510661.05176212 13641.26993027
0.04300000 1504406.34952739 11914.89884132
0.04400000 1498033.00702014 11122.89559369
0.04500000 1491542.43717438 14408.30061258
0.04600000 1484934.33430603 13609.42380657
0.04700000 1478213.51249353 10643.13778494
0.04800000 1471379.74458735 11896.10578849
0.04900000 1464436.83089363 12081.60441724
