# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 1646666.22097350 246.99993315
0.00100000 1646580.82122656 543.37168391
0.00200000 1646324.58437996 814.93069507
0.00300000 1645897.73108432 1283.80027598
0.00400000 1645300.12104774 1233.97513767
0.00500000 1644532.42448953 1628.08716469
0.00600000 1643594.47052618 1725.77426431
0.00700000 1642487.00319015 2759.37828004
0.00800000 1641209.79164468 2437.19664349
0.00900000 1639764.25707684 3443.50508706
0.01000000 1638149.80768229 3513.83148920
0.01100000 1636367.87381479 2945.46230111
0.01200000 1634418.49557073 4780.67430915
0.01300000 1632302.96945539 4456.18730315
0.01400000 1630021.47127619 5134.56786214
0.01500000 1627575.42728481 4687.41743931
0.01600000 1624964.65531109 4143.66005628
0.01700000 1622191.22080089 6569.87473896
0.01800000 1619255.59813458 5537.85439481
0.01900000 1616158.97049239 5333.32484328
0.02000000 1612901.72945228 5080.64067760
0.02100000 1609486.91851258 6373.56848628
0.02200000 1605912.89244824 7202.51964986
0.02300000 1602183.04357301 6921.43106329
0.02400000 1598297.67509680 5993.61655491
0.02500000 1594259.14583524 6839.37204799
0.02600000 1590068.15645752 9015.68685948
0.02700000 1585726.29070916 9324.07101642
0.02800000 1581234.13074552 7566.20566260
0.02900000 1576595.04543781 11351.48484835
0.03000000 1571809.51781532 10232.48043132
0.03100000 1566879.26904156 9777.32708871
0.03200000 1561805.44096687 10823.31220440
0.03300000 1556591.98208195 8732.48142205
0.03400000 1551237.56745251 10587.19688636
0.03500000 1545746.32822846 8347.03055788
0.03600000 1540118.72473929 9402.42524905
0.03700000 1534357.78146421 13993.34361411
0.03800000 1528464.99878890 9835.67272240
0.03900000 1522442.80858241 13701.98591178
0.04000000 1516291.45051735 10257.71213808
0.04100000 1510014.90594477 15220.95095767
0.04200000 1503614.55821921 10668.14578549
0.04300000 1497092.26913082 10868.89037840
0.04400000 1490451.00043749 12072.65366422
0.04500000 1483692.78449598 15356.22103306
0.04600000 1476818.19158524 11452.72560814
0.04700000 1469831.75054430 10582.78909610
0.04800000 1462734.22693150 10751.09706817
0.04900000 1455528.82683392 14191.40672221
0.05000000 1448217.28056387 12186.74898343
0.05100000 1440803.17076017 16857.39788318
0.05200000 1433285.78430692 12534.08476787
0.05300000 1425670.55125387 13857.51840420
0.05400000 1417958.35484407 21056.68255139
0.05500000 1410152.98191753 15398.87128089
0.05600000 1402255.04103065 14387.13739234
0.05700000 1394269.52721540 12130.14545299
0.05800000 1386195.75173598 13494.61627325
0.05900000 1378037.58444052 13642.57272315
0.06000000 1369798.77706493 12533.65939570
0.06100000 1361480.59830520 13927.94717153
0.06200000 1353085.72293379 17901.32495118
0.06300000 1344617.62527100 18071.66172859
0.06400000 1336075.25593519 14329.40779004
0.06500000 1327466.05138387 17084.48888049
0.06600000 1318789.80066747 13253.83811684
0.06700000 1310048.83799918 14698.74865024
0.06800000 1301246.55057656 14814.69267178
0.06900000 1292386.86389651 24426.11287125
0.07000000 1283469.16935368 13668.94729371
0.07100000 1274498.16482872 15141.03890734
0.07200000 1265475.15254812 13856.95356956
0.07300000 1256403.87929634 18129.90882773
0.07400000 1247287.47281518 18241.58014480
0.07500000 1238125.89139899 16937.56298824
0.07600000 1228923.01912095 15613.46768990
0.07700000 1219682.31019470 14270.28369839
0.07800000 1210404.75425079 15777.62671157
0.07900000 1201092.58809454 15854.42290648
0.08000000 1191750.82534142 18823.70516931
0.08100000 1182380.12685356 15997.60386691
0.08200000 1172982.09441057 16063.99053676
0.08300000 1163559.80773182 17593.02511858
0.08400000 1154116.57539609 23543.97924320
0.08500000 1144654.06936488 17719.24582560
0.08600000 1135174.65216101 16295.43289687
0.08700000 1125680.84526292 17830.78542626
0.08800000 1116173.95487244 19371.19989656
0.08900000 1106657.85848138 23903.81086595
0.09000000 1097134.40044824 19468.65085050
0.09100000 1087605.22051737 16509.84802311
0.09200000 1078072.16388942 24062.57182863
0.09300000 1068539.89027098 21092.97842515
0.09400000 1059006.79569378 18109.01705744
0.09500000 1049477.08095103 24179.95308163
0.09600000 1039952.49091672 19670.70229037
0.09700000 1030437.61702894 24235.89389192
